username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Premium Shisha Services UG,@pss_shisha_shop,2021-08-05T23:25:24.000Z,"DC Shishamanufaktur Altrip
Handmade Epoxidharz Hookah
from Germany.

#epoxidharz #hookah #handmade #altrip #ludwigshafen #mannheim #heidelberg #dc #shisha #nargile #kalyan #hookah @ PSS Shop Ludwigshafen https://instagram.com/p/CSNgk6YDacA/?utm_medium=twitter…",,,,,"['epoxidharz', 'hookah', 'handmade', 'altrip', 'ludwigshafen', 'mannheim', 'heidelberg', 'dc', 'shisha', 'nargile', 'kalyan', 'hookah']"
ODUMAN JAPAN,@odumanjapan,2021-08-12T13:39:28.000Z,"ODUMAN MONSTER HOOKAH
https://shop.oduman-japan.com/collections/shisha-hookah/products/oduman-monster…

#oduman #shisha #chicha #hookah #nargile #シーシャ #시샤 #水タバコ #シーシャバー #シーシャカフェ #家シーシャ #チル #チルタイム #キャンプ #オデュマン #フーカー #水たばこ #グランピング #ビーチ #シーシャデート #ODUMANJAPAN",,,,1,"['oduman', 'shisha', 'chicha', 'hookah', 'nargile', 'シーシャ', '시샤', '水タバコ', 'シーシャバー', 'シーシャカフェ', '家シーシャ', 'チル', 'チルタイム', 'キャンプ', 'オデュマン', 'フーカー', '水たばこ', 'グランピング', 'ビーチ', 'シーシャデート', 'ODUMANJAPAN']"
ODUMAN JAPAN,@odumanjapan,2021-08-12T11:50:57.000Z,"#
ODUMAN N3 MATT HOOKAH
https://shop.oduman-japan.com/collections/shisha-hookah/products/oduman-n3-matt…

 #crimson_ebisu #恵比寿 #oduman #shisha #hookah #nargile #シーシャ #水タバコ #水煙 #シーシャバー #シーシャカフェ #ラウンジ #チル #チルタイム #chill #chilltime #オデュマン #フーカー #水たばこ #シーシャ女子 #ODUMANJAPAN",,,,1,"['crimson_ebisu', '恵比寿', 'oduman', 'shisha', 'hookah', 'nargile', 'シーシャ', '水タバコ', '水煙', 'シーシャバー', 'シーシャカフェ', 'ラウンジ', 'チル', 'チルタイム', 'chill', 'chilltime', 'オデュマン', 'フーカー', '水たばこ', 'シーシャ女子', 'ODUMANJAPAN']"
huhoshisha,@huhoshisha,2021-08-06T02:56:21.000Z,hookah starter。#shisha #chicha #nargile #شيشة #kalyan #starbuzz #кальян #fumari #paris #vape #miami #alfakher #khalilmamoon #kaloud #cachimba #dubai #uae #canada #shishabucks #lounge #bar #russia #usa #Australia #kuwait #Bulgaria #wasserpfeife #hookah,,,,,"['shisha', 'chicha', 'nargile', 'شيشة', 'kalyan', 'starbuzz', 'кальян', 'fumari', 'paris', 'vape', 'miami', 'alfakher', 'khalilmamoon', 'kaloud', 'cachimba', 'dubai', 'uae', 'canada', 'shishabucks', 'lounge', 'bar', 'russia', 'usa', 'Australia', 'kuwait', 'Bulgaria', 'wasserpfeife', 'hookah']"
Satoru_Kumamoto,@shisha_sa10ru,2021-08-11T06:50:02.000Z,"L･HOOKHA【@hookha_l】さんのエプロン、カッコよくて使いやすい！

考えられた位置にポケットがあるので、収納力も抜群！

L sizeだけど、長さ調節出来るからピッタリのサイズで着れます
お客様からも好評です

#shisha #sheesha #hookha #nargile #シーシャ #熊本 #熊本県 #熊本市 #Route",工儿•L•HOOKAH,1,2,11,"['shisha', 'sheesha', 'hookha', 'nargile', 'シーシャ', '熊本', '熊本県', '熊本市', 'Route']"
abdullah çelik,@abdullahclk10,2021-08-11T21:14:52.000Z,Eskiden sevdiğim kadındı #nargile ,,,,2,['nargile']
Ayas Hediyelik,@ayashediyelik,2021-08-09T00:31:02.000Z,"Kişiye özel nargile takımı 
(İsim silikon marpuç - tepsiye yazılır)
#nargile #nargiletakımı #kişiyeözel #hediyelikeşya #istanbul #ankara #izmir #duman #keyif #hediye #eşya #sipariş #kapıdaöde #marpuç",,,2,4,"['nargile', 'nargiletakımı', 'kişiyeözel', 'hediyelikeşya', 'istanbul', 'ankara', 'izmir', 'duman', 'keyif', 'hediye', 'eşya', 'sipariş', 'kapıdaöde', 'marpuç']"
ODUMAN JAPAN,@odumanjapan,2021-08-12T19:07:45.000Z,"❍｡ODUMAN VOYAGE HOOKAH
https://shop.oduman-japan.com/collections/shisha-hookah/products/oduman-voyage…

#oduman #shisha #hookah #nargile #シーシャ #시샤 #水タバコ #チル #チルタイム #キャンプ #オデュマン #フーカー #水たばこ #シーシャでーと #グランピング #キャンプ女子 #シーシャ女子 #ベランピング  #ちゅるん #ODUMANJAPAN",,,,3,"['oduman', 'shisha', 'hookah', 'nargile', 'シーシャ', '시샤', '水タバコ', 'チル', 'チルタイム', 'キャンプ', 'オデュマン', 'フーカー', '水たばこ', 'シーシャでーと', 'グランピング', 'キャンプ女子', 'シーシャ女子', 'ベランピング', 'ちゅるん', 'ODUMANJAPAN']"
Hookah PANDA,@yTP3wsMFhol8ajl,2021-08-13T14:24:59.000Z,"Hookah PANDA  
#кальянпанда #collectiionkurs #explorepage #shishablog #hookahlover #shisha #hookahtime #shishalife #shishalover #shishatime #shishacrew #blowoff #hookahblog #hookahholic #shishalove #hookah #кальян #шиша #шишабар #nargile #narguile #кальянная #hookahrussia #rus",,,,1,"['кальянпанда', 'collectiionkurs', 'explorepage', 'shishablog', 'hookahlover', 'shisha', 'hookahtime', 'shishalife', 'shishalover', 'shishatime', 'shishacrew', 'blowoff', 'hookahblog', 'hookahholic', 'shishalove', 'hookah', 'кальян', 'шиша', 'шишабар', 'nargile', 'narguile', 'кальянная', 'hookahrussia', 'rus']"
ODUMAN JAPAN,@odumanjapan,2021-08-12T06:17:38.000Z,"#
ODUMAN N5-Z HOOKAH
 &
ODUMAN N5-Z JUNIOUR

 #redmoonebisu #恵比寿 #oduman #shisha #chicha #hookah #nargile #シーシャ #시샤 #水タバコ #水煙 #シーシャバー #シーシャカフェ #チル #チルタイム #オデュマン #フーカー #水たばこ #シーシャガール #シーシャ女子 #ODUMANJAPAN",,,,1,"['redmoonebisu', '恵比寿', 'oduman', 'shisha', 'chicha', 'hookah', 'nargile', 'シーシャ', '시샤', '水タバコ', '水煙', 'シーシャバー', 'シーシャカフェ', 'チル', 'チルタイム', 'オデュマン', 'フーカー', '水たばこ', 'シーシャガール', 'シーシャ女子', 'ODUMANJAPAN']"
BAM,@mucadele_bam,2021-08-05T10:40:11.000Z,"Tütün kullanımı, Covid-19 ile mücadele ettiğimiz bu dönemde her zamankinden çok daha fazla tehlike içermekte ve tütün ürünü kullanımını bırakmak da her zamankinden çok daha fazla önem taşımaktadır. #Persembe #Covid_19 #coronavirus #sağlık #sigara #tütün #nargile #alkol #alo191",,,,2,"['Persembe', 'Covid_19', 'coronavirus', 'sağlık', 'sigara', 'tütün', 'nargile', 'alkol', 'alo191']"
BAM,@mucadele_bam,2021-08-12T14:21:24.000Z,"Yapılan bir araştırmaya göre, tek bir sigara izmaritinin içinden sızan maddelerin bir litrelik su içerisinde yaşayan bir balığın ölümüne yol açtığı tespit edilmiştir. #perşembe #COVID19 #sigara #nargile #tütün #alkol #çevre #doğa #izmarit #yeşilay #sağlıkbakanlığı #sağlık",,,1,6,"['perşembe', 'COVID19', 'sigara', 'nargile', 'tütün', 'alkol', 'çevre', 'doğa', 'izmarit', 'yeşilay', 'sağlıkbakanlığı', 'sağlık']"
mustafa emin,@MustafaaEmin,2021-08-06T21:45:09.000Z,#nargile #Cumartesi  #keyif  yakmadan da olmuyor mereti ,,,,2,"['nargile', 'Cumartesi', 'keyif']"
Route(ルート)/熊本 シーシャバー,@route_kumamoto,2021-08-12T07:36:10.000Z,"現在VIPルームは満席ですので、カウンター、ボックス席のみご案内可能です

雨が降り続いてますので、お気を付けてお越しくださいませ

#shisha #sheesha #hookha #nargile #シーシャ #熊本 #熊本県 #熊本市 #Route #ルート #neon #ネオン",,,,,"['shisha', 'sheesha', 'hookha', 'nargile', 'シーシャ', '熊本', '熊本県', '熊本市', 'Route', 'ルート', 'neon', 'ネオン']"
BAM,@mucadele_bam,2021-08-11T06:46:27.000Z,"Sigara dumanına maruz kalma olarak tanımlanan pasif maruziyet, kişi sigara içmese bile sigara dumanınından yoğun olarak etkilenmesi olarak tanımlanmaktadır. #çarşamba #coronavirus #Covid_19 #sağlık #yeşilay #sağlıkbakanlığı #tütün #nargile #sigara #esigara #alkol #çevre #alo171",,,,1,"['çarşamba', 'coronavirus', 'Covid_19', 'sağlık', 'yeşilay', 'sağlıkbakanlığı', 'tütün', 'nargile', 'sigara', 'esigara', 'alkol', 'çevre', 'alo171']"
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-06T07:30:14.000Z," Bilgi ve Sipariş İçin - 0542 542 7484  Numaralı Telefonlardan Ulaşabilirsiniz.

#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarmatütün #toptantutunsatis #tütün #antalyatütün",,,,,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarmatütün', 'toptantutunsatis', 'tütün', 'antalyatütün']"
özgür engin,@mezarkabbul,2021-08-07T15:53:08.000Z,#keyif #kahve #nargile,,,,1,"['keyif', 'kahve', 'nargile']"
Aqua Lounge,@aqualoungetr,2021-08-11T10:10:01.000Z,"Sıcaklara soğuk bir mola verin! #aqualoungetr 
#ortaköy #beşiktaş #freshdrink #icecold #colddrink #soğukiçecek #yemeksepeti #getir #getiryemek #hookah #lounge #shisha #nargile #istanbulda1yer #istanbuldayaşam #mekanrehberi",,,,,"['aqualoungetr', 'ortaköy', 'beşiktaş', 'freshdrink', 'icecold', 'colddrink', 'soğukiçecek', 'yemeksepeti', 'getir', 'getiryemek', 'hookah', 'lounge', 'shisha', 'nargile', 'istanbulda1yer', 'istanbuldayaşam', 'mekanrehberi']"
