username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
vedicaspring,@vedicaspring,2021-08-13T12:39:06.000Z,"A splash of pure freshness and alkalinity!

Order the goodness of Vedica from the Himalayas to your homes: 1800 121 1007 

#Vedica #FullOfAltitude #himalayas #naturalspringwater #phlevel #bisleri #drinkpure #drinkfresh #alkalinity #minerals #freshwater #springwater #mountainwater","0:06
2 views",,1,,"['Vedica', 'FullOfAltitude', 'himalayas', 'naturalspringwater', 'phlevel', 'bisleri', 'drinkpure', 'drinkfresh', 'alkalinity', 'minerals', 'freshwater', 'springwater', 'mountainwater']"
Cyndi Leigh,@healthisenough,2020-09-14T12:49:16.000Z,"Monday Road Trip: Would you believe we have a Natural Spring Water, down underground that we can swim in. Watch and see and enjoy it. Cyndi Leigh  
#NaturalSpringwater  #MondayVibes",,4,7,28,"['NaturalSpringwater', 'MondayVibes']"
H2Om Water ®,@H2OmWater,2020-05-12T04:19:43.000Z,H2Om hydrates the Stars! #NaturalSpringWater #recycledbottle #eco #goldmedal #water #Hollywood #dance #joy,,,1,2,"['NaturalSpringWater', 'recycledbottle', 'eco', 'goldmedal', 'water', 'Hollywood', 'dance', 'joy']"
H2Om Water ®,@H2OmWater,2018-08-15T23:18:09.000Z,"#NationalRelaxationDay ""Stayin cool, by the pool with the eco friendly, award winning H2Om."" #WaterwithIntention #RecycledBottles #NaturalSpringWater",,,3,3,"['NationalRelaxationDay', 'WaterwithIntention', 'RecycledBottles', 'NaturalSpringWater']"
Cake-O®,@cakeorito,2020-02-07T06:33:16.000Z,Cake-O® Natural Spring Water #CakeO #CakeOrito #SushiBurrito #WongTong #BrownSugar #NaturalSpringWater,,,,3,"['CakeO', 'CakeOrito', 'SushiBurrito', 'WongTong', 'BrownSugar', 'NaturalSpringWater']"
LaurenBExact,@AlongCameStoney,2019-05-20T10:54:29.000Z,"Lemon + Strawberry Infused Combo These 2 Combined Have Wonderful Health Benefits, I’ve Listed A Few For You #STRONGWATER #HEALTHBENEFITS #NATURALSPRINGWATER #FRESHFRUIT",,,2,4,"['STRONGWATER', 'HEALTHBENEFITS', 'NATURALSPRINGWATER', 'FRESHFRUIT']"
LaurenBExact,@AlongCameStoney,2019-07-02T14:15:04.000Z,WOTD: Orange + Strawberry + Lemon Infused Water Combo #WaterOfTheDay #InfusedWaterCombo #HealthBenefits #InfusedWater #StrongWater #Orange #Strawberry #Lemon #FreshFruits #NaturalSpringWater Order Yours Today  Cool & Refreshing  #ReasonablePrices,,,2,1,"['WaterOfTheDay', 'InfusedWaterCombo', 'HealthBenefits', 'InfusedWater', 'StrongWater', 'Orange', 'Strawberry', 'Lemon', 'FreshFruits', 'NaturalSpringWater', 'ReasonablePrices']"
Wekiva Wilderness Trust,@WekivaTrust,2019-05-29T14:25:13.000Z,"Have you caught one of our many residents on camera  lately? Share the picture with us!

#Repost 
@no_bad_days1
Wildlife spotting at the State Park. Very clever squirrels out here. #floridawildlife #naturalspringwater #wekiwasprings  #wonderful_places #protectstateparks #florida",,,,,"['Repost', 'floridawildlife', 'naturalspringwater', 'wekiwasprings', 'wonderful_places', 'protectstateparks', 'florida']"
Highfield Drinks Group,@highfielddrinks,2019-01-10T12:28:16.000Z,If you're keeping on top of your #NewYearsResolution don't forget to stay hydrated! Grab a bottle of our 100% Sports Cap natural spring water & keep going! #NaturalSpringWater #StayHydrated #FullyRecyclable,,,,3,"['NewYearsResolution', 'NaturalSpringWater', 'StayHydrated', 'FullyRecyclable']"
Big Skell,@BigSkell,2019-06-05T17:20:40.000Z,"Kudos to 
@canowater
 for bringing this in and to 
@Morrisons
 for stocking these as a recycling alternative to #SingleUsePlastics #ImDoingMyBit #ItsOurPlanet #NaturalSpringWater #DontBottleIt",,1,3,7,"['SingleUsePlastics', 'ImDoingMyBit', 'ItsOurPlanet', 'NaturalSpringWater', 'DontBottleIt']"
vedicaspring,@vedicaspring,2019-03-22T15:00:01.000Z,"#ContestAlert 
We know a thing or two about spring water. The question is, do you? Tell us if the statement below is a fact or not and you could stand a chance to win amazing new merchandise from #BisleriVedica.
#WorldWaterDay #NaturalSpringWater #ChooseYellow",,84,64,64,"['ContestAlert', 'BisleriVedica', 'WorldWaterDay', 'NaturalSpringWater', 'ChooseYellow']"
#kurtaking,@rajput_2212,2019-03-22T17:47:11.000Z,"★·.·´¯`·.·★ 𝐀𝐍𝐒𝐖𝐄𝐑 𝟒)- 𝐅𝐀𝐂𝐓 ★·.·´¯`·.·★

#BisleriVedica 
#WorldWaterDay 
#NaturalSpringWater 
#ChooseYellow 

COME ON GUYS 

@_WarGoddess_ 
@swastik_exp
 
@acidkidrock
 
@sandipdey_
 
@ranchikuldeep
 
@kapil_vinayak_ 
@riyazali4312
 
@Heart_loverR 
@Rain_Man25",GIF,,,2,"['BisleriVedica', 'WorldWaterDay', 'NaturalSpringWater', 'ChooseYellow']"
vedicaspring,@vedicaspring,2021-07-30T12:50:00.000Z,"Treat your skin right with care of the highest order!

Alleviate your skin woes, remove tan lines, wrinkles and so much more with a natural combination of neem and Vedica's alkalinity to keep your skin healthy, hydrated and moisturized always!

#vedica #naturalspringwater",,,,1,"['vedica', 'naturalspringwater']"
Llanllyr SOURCE,@LlanllyrSource,2019-12-17T19:50:31.000Z,"Tuesday Wisdom from Inka 
@OnTheSauceAgain
 

#water #naturalspringwater #KnowYourSOURCE","Inka Larissa
@OnTheSauceAgain
 · Dec 17, 2019
How much water do you drink each day? Our bodies consist of around 60% water, which helps to flush out toxins and keep us hydrated 
#Ad 
https://onthesauceagain.com/2019/03/21/the-one-drink-we-should-all-be-drinking-more-of/…",,3,4,"['water', 'naturalspringwater', 'KnowYourSOURCE']"
CreativeLabels ofVT,@CreativeLabelVT,2019-10-16T17:15:42.000Z,"Some #labels we printed for 
@Sandsprings
 applied to their 5 gallon #water jugs. #naturalspringwater  #customlabels #stickers",,,,1,"['labels', 'water', 'naturalspringwater', 'customlabels', 'stickers']"
Collin Rison | GassedUpUniversity,@GassedUpUniv,2018-09-26T19:50:00.000Z,"Gassed up 
#alkaline #naturalspringwater preferably people","#LakeShow
@EseVatoEdgar
 · Sep 26, 2018
#DrinkMoreWater",,1,,"['alkaline', 'naturalspringwater']"
NestleWatersNA,@NestleWatersNA,2019-04-06T15:00:07.000Z,"Our Poland Spring water is still what we’ve always said it is: 100% #NaturalSpringWater #ProudlyFromMaine. Tested, Verified, Regulated.","Standing Behind the Facts
Poland Spring® is 100% natural spring water from the heart of Maine. Every. Single. Drop.
youtube.com",1,1,3,"['NaturalSpringWater', 'ProudlyFromMaine']"
DON FULANO TEQUILA,@sipdonfulano,2018-12-17T21:15:15.000Z,"Good friends  the new Don Fulano. Thanks for 16 years of love. Happy Holidays. 

#16yearanniversary #authentic #natural #estategrown #agavemaduro #naturalspringwater #distilledincopper… https://instagram.com/p/BrgM9dNlw1K/?utm_source=ig_twitter_share&igshid=lco50uy8549c…",,,,3,"['16yearanniversary', 'authentic', 'natural', 'estategrown', 'agavemaduro', 'naturalspringwater', 'distilledincopper']"
Rohith,@Rohith8977,2019-03-22T17:07:37.000Z,"Replying to 
@vedicaspring","A4) FACT
#BisleriVedica 
#WorldWaterDay 
#NaturalSpringWater 
#ChooseYellow 
Join in
@Rahulrahs
 
@Veerrajchowdary 
@SushmaSonu333
 
@pinkyk1980
 
@blessedkamal",,1,1,[]
