username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ne Haber,@nehaberajansi,2021-08-04T14:05:25.000Z,"4 Ağustos Çarşamba günü Nöbetçi Eczaneler

#siirt #nehaber #neajans #siirtnehaber #sağlık #eczane",,,,5,"['siirt', 'nehaber', 'neajans', 'siirtnehaber', 'sağlık', 'eczane']"
Ne Haber,@nehaberajansi,2021-08-04T07:45:36.000Z,"4 Ağustos tarihinde Neler oldu 

#siirt #nehaber #neajans #tarih #tarihtebugün #4agustos",,,1,9,"['siirt', 'nehaber', 'neajans', 'tarih', 'tarihtebugün', '4agustos']"
Bünyamin Aybek,@bunyaminaybekk,2021-02-28T11:34:59.000Z,"Yaşar Kemal: “Yazarın acısı hapishane değildir, yazarın acısı işkence değildir, yazarın acısı kendi acısıdır. Ben son düşüncelerime gelene kadar çok acı çektim. Bir karanlıktan geldik bir karanlığa gidiyoruz ama iyi ki geldik bu dünyaya.”

#yaşarkemal #yazar #nehaber #neajans",,,,13,"['yaşarkemal', 'yazar', 'nehaber', 'neajans']"
Ne Haber,@nehaberajansi,2021-08-12T15:38:02.000Z,"Siirt’te 10 yıl hapis cezası bulunan çocuk tutuklandı

Siirt’te 2 ayrı hırsızlık dosyasından hakkında toplamda 10 yıl kesinleşmiş hapis cezası bulunan A. A. isimli çocuk, çıkarıldığı adli makamlarca tutuklanarak cezaevine teslim edildi.

#siirt #nehaber #neajans #hırsızlık",,,,5,"['siirt', 'nehaber', 'neajans', 'hırsızlık']"
Ne Haber,@nehaberajansi,2021-08-12T16:12:11.000Z,"Siirtliler faturaları görünce şok oldu

https://neajans.com/2021/08/12/siirtler-faturalari-gorunce-sok-oldu/…

#siirt #nehaber #neajans #siirtnehaber #elektrikfaturası",,,3,9,"['siirt', 'nehaber', 'neajans', 'siirtnehaber', 'elektrikfaturası']"
Ne Haber,@nehaberajansi,2021-08-11T12:58:25.000Z,"Siirtlilerin neden maske takmadığını sokağa sorduk. İşte yanıtlar 

#siirt #nehaber #neajans #sokaknediyor #röportaj",,,,6,"['siirt', 'nehaber', 'neajans', 'sokaknediyor', 'röportaj']"
Ne Haber,@nehaberajansi,2021-08-09T13:27:57.000Z,"Siirt’te oyun kültürü yaşa ve mahalleye göre değişiklik gösteriyor

https://neajans.com/2021/08/09/siirtte-oyun-kulturu-yasa-ve-mahalleye-gore-degisiklik-gosteriyor/…

#siirt #nehaber #neajans #oyun #kültür","Siirt'te oyun kültürü yaşa ve mahalleye göre değişiklik gösteriyor - NE Haber
ne haber - Siirt Haberleri - siirt ne haber - ne ajans
neajans.com",,2,11,"['siirt', 'nehaber', 'neajans', 'oyun', 'kültür']"
Ne Haber,@nehaberajansi,2021-08-05T10:59:02.000Z,"Siirt Belediyesi 150 aileye yemek desteği veriyor

https://neajans.com/2021/08/05/siirt-belediyesi-150-aileye-yemek-destegi-veriyor/…

#siirt #nehaber #neajans #siirtbelediyesi","Siirt Belediyesi 150 aileye yemek desteği veriyor - NE Haber
ne haber - Siirt Haberleri - siirt ne haber - ne ajans
neajans.com",,,7,"['siirt', 'nehaber', 'neajans', 'siirtbelediyesi']"
Ne Haber,@nehaberajansi,2021-08-05T10:06:40.000Z,"Siirtli güreşçi yarın maça çıkıyor

https://neajans.com/2021/08/05/siirtli-guresci-yarin-maca-cikiyor/…

#siirt #nehaber #neajans #güreş #Tokyo2021","Siirtli güreşçi yarın maça çıkıyor - NE Haber
ne haber - Siirt Haberleri - siirt ne haber - ne ajans
neajans.com",,,9,"['siirt', 'nehaber', 'neajans', 'güreş', 'Tokyo2021']"
Ne Haber,@nehaberajansi,2021-08-08T06:51:01.000Z,"8 Ağustos Pazar günü Nöbetçi Eczaneler

#siirt #nehaber #neajans #siirtnehaber #sağlık #eczane",,,,6,"['siirt', 'nehaber', 'neajans', 'siirtnehaber', 'sağlık', 'eczane']"
Ne Haber,@nehaberajansi,2021-08-08T06:49:51.000Z,"8 Ağustos tarihinde Neler oldu 

#siirt #nehaber #neajans #tarih #tarihtebugün #8ağustos",,,,6,"['siirt', 'nehaber', 'neajans', 'tarih', 'tarihtebugün', '8ağustos']"
