username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ne Haber,@nehaberajansi,2021-08-05T12:48:04.000Z,"#SonDakika 

SİİRT’TE BİR YANGIN DAHA

Siirt'in merkeze bağlı Aktaş köyünde de yangın çıktığı bildiriliyor. Köy civarında bulunan ağaçlık alanlardan dumanların yükseldiğini fark eden vatandaşlar ekiplere haber verdi.

#s #nehaber",,,2,11,"['SonDakika', 's', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-13T11:05:21.000Z,"DESTİCİ SİİRT’TE 

Büyük Birlik Partisi Genel Başkanı Mustafa Destici bir dizi temaslarda bulunmak üzere Siirt’e geldi.

#siirt #nehaber",,,,2,"['siirt', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-05T16:09:46.000Z,"Akyayla yeniden alev aldı

Siirt’in Tillo ilçesine bağlı Akyayla köyünde dumanlar yeniden yükseldi. Sabah saatlerinde ağaçlık alanda çıkan yangının kontrol altına alındığı belirtilse de köyün doğu yamaçlarından yeniden dumanların yükseldiği bildiriliyor.

#siirt #nehaber #yangın",,,1,9,"['siirt', 'nehaber', 'yangın']"
Ne Haber,@nehaberajansi,2021-08-11T08:00:46.000Z,"Akrabalar arasında kadına şiddet kavgası: 1 yaralı

Siirt’in Hükümet Bulvarı Caddesi’nde aynı aileden iki grup arasında iddiaya göre kadına şiddet tartışması bıçaklı kavgaya dönüştü. Kavgada bir kişi yaralandı. 
#siirt #nehaber",,,,8,"['siirt', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-10T11:13:22.000Z,"60 otobüs durağı montajı başladı
Siirt genelinde 60 adet otobüs bekleme duraklarının montaj işlemlerine başladı. 25 adet yeni tip kapalı durak hizmete girdi. Geriye kalan 35 durağın montaj çalışmaları devam ediyor.

#siirt #durak #nehaber 
@SiirtBel",,,1,7,"['siirt', 'durak', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-05T15:14:08.000Z,"Siirt - Batman çevre yolunda aylık 900 ton atık toplanıyor
Siirt - Batman çevre yolunda bulunan bir atık geri dönüşüm tesisinde günde 30 ton atık toplanıyor.

#siirt #batman #nehaber",,,1,9,"['siirt', 'batman', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-06T17:13:37.000Z,"Nedim abi aşı yapmamakta ısrarcı fakat Nedime ablamız kocasını ikna etmeye çalışıyor. 

#nedime #nedim #nedimabi #karikatür #nehaber #siirt",,,1,10,"['nedime', 'nedim', 'nedimabi', 'karikatür', 'nehaber', 'siirt']"
Ne Haber,@nehaberajansi,2021-08-05T17:52:26.000Z,"Ciğerimiz yanıyor #geçmişolsun Türkiye  

#ciğerimizyanıyor #yangınvar #siirt #nehaber",,,,8,"['geçmişolsun', 'ciğerimizyanıyor', 'yangınvar', 'siirt', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-07T16:35:18.000Z,"Siirt’in Bahçelievler Mahallesi Gençlik Spor Merkezi önünde bir araç, karşıdan karşıya geçmeye çalışan çocuğa çarptı. 

Yaralı, olay yerindeki ilk müdahalenin ardından Siirt Eğitim ve Araştırma Hastanesi’ne kaldırıldı.

#siirt #nehaber #trafikkazasi",,,,8,"['siirt', 'nehaber', 'trafikkazasi']"
Ne Haber,@nehaberajansi,2021-08-10T17:50:10.000Z,"Bu hafta fiyat araştırmamızda ulaşımı konu aldık  

#siirt #nehaber #otobüs #ulaşım",,,,8,"['siirt', 'nehaber', 'otobüs', 'ulaşım']"
Ne Haber,@nehaberajansi,2021-08-08T06:51:01.000Z,"8 Ağustos Pazar günü Nöbetçi Eczaneler

#siirt #nehaber #neajans #siirtnehaber #sağlık #eczane",,,,6,"['siirt', 'nehaber', 'neajans', 'siirtnehaber', 'sağlık', 'eczane']"
Ne Haber,@nehaberajansi,2021-08-09T18:41:59.000Z,"KONUĞUMUZ: DEVA PARTİSİ

Ne Haber siyasetin nabzını tutmaya devam ediyor. Bu haftaki konuğumuz Demokrasi ve Atılım Partisi Siirt İl Başkanı Av. Umut Dayanan  ile Siirt’in sorunlarını konuştuk.

İzlemek için tıklayınız: https://instagram.com/tv/CSXKrnYo_Qd/?utm_medium=copy_link…

#siirt #deva #nehaber",Umut DAYANAN and 4 others,,8,22,"['siirt', 'deva', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-10T14:40:35.000Z,"Hapis cezası bulunan firariler Siirt’te yakalandı

Siirt’in Bahçelievler ve Veyselkarani mahallelerinde yapılan uygulamalarda 3 yıl 1 ay 10 gün kesinleşmiş hapis cezası bulunan N. K. isimli şahıs ve 3 yıl 4 ay hapis cezası bulunan N. S. isimli şahıslar yakalandı.

#siirt #nehaber",,,,6,"['siirt', 'nehaber']"
Ne Haber,@nehaberajansi,2021-08-12T15:08:38.000Z,"12 Ağustos Perşembe günü Nöbetçi Eczaneler

#siirt #nehaber #neajans #siirtnehaber #sağlık #eczane",,,,3,"['siirt', 'nehaber', 'neajans', 'siirtnehaber', 'sağlık', 'eczane']"
Ne Haber,@nehaberajansi,2021-08-12T15:38:02.000Z,"Siirt’te 10 yıl hapis cezası bulunan çocuk tutuklandı

Siirt’te 2 ayrı hırsızlık dosyasından hakkında toplamda 10 yıl kesinleşmiş hapis cezası bulunan A. A. isimli çocuk, çıkarıldığı adli makamlarca tutuklanarak cezaevine teslim edildi.

#siirt #nehaber #neajans #hırsızlık",,,,5,"['siirt', 'nehaber', 'neajans', 'hırsızlık']"
