username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Nassau Suffolk Building Trades Council,@nsbctc,2019-10-31T19:18:25.000Z,The Building Trades Council today came together with Organizations from across Long Island to address the #NESE pipeline and what NYS’s PSC delay has done and will do you the region. We cannot afford to wait any longer.,"ABLI
@ForABetterLI
 · Oct 31, 2019
Today ABLI, w/ EcoDev & Labor coalition, called for an investigation of NYS Public Service Commission as to how we are 170 days into a LI Energy Crisis & for PSC to lend DEC its expertise to approve #NESE pipeline.@LIBuildersInst @Samaneanewyork @libcny @nsbctc @IgniteLINY",,3,4,['NESE']
RON SELİM,@RonSelim,2020-02-16T15:52:37.000Z,Ahahaaaa #pazar #neşe,"Ata Benli
@atabenli
 · Feb 10, 2020
Güne güzel başladık #pazartesi",,,1,"['pazar', 'neşe']"
Kathylens,@katre_dix,2020-06-24T19:25:22.000Z,I asked you what #nese you are and you told me you don't know. How can't you know your origin,,,,1,['nese']
Zorisha,@Zorisha,2019-08-03T13:49:14.000Z,Is that huge thing the shadow of my NOSE?! Cuz DAYUM!  #Nose #Nariz #Nez #Nase #Naso #Neus #Nese #鼻子 #Нос #Näsa #أنف #Nas https://ift.tt/2YnaBwa,,,,3,"['Nose', 'Nariz', 'Nez', 'Nase', 'Naso', 'Neus', 'Nese', '鼻子', 'Нос', 'Näsa', 'أنف', 'Nas']"
Producer/Beatmaker,@SVNTY6Beats,2020-07-24T02:20:05.000Z,"Banging new album - Me and 
@JisterMusic
 representing #UKHipHop to the fullest!

#NESE 

https://svnty6.bandcamp.com/album/n-e-s-e

#HipHop #UKHipHop #BoomBap #UKProduction #OneEmceeOneProducer #BeatsRhymesLife #Middlesborough #Essex",,,3,1,"['UKHipHop', 'NESE', 'HipHop', 'UKHipHop', 'BoomBap', 'UKProduction', 'OneEmceeOneProducer', 'BeatsRhymesLife', 'Middlesborough', 'Essex']"
Макс Им,@MaxPyziur,2020-09-01T23:04:28.000Z,"Yes on #2 & #4
But.
Climates change, by def. So pls approve Northeast Supply Extension (#NESE) so that #NYS doesn't look like #California.
The score on scientists is mixed:(.
@MichaelEMann
| .
@mzjacobson
 vs .
@RogerPielkeJr
| .
@curryja
 )

.
@NYGovCuomo
 |.
@melissadderosa
 |.
@jimmalatras",,,,,"['2', '4', 'NESE', 'NYS', 'California']"
EpiphanyOnWallStreet,@NineInchBride,2020-03-30T00:35:03.000Z,"#StopTheWilliamsPipeline ( #NESE) 
Flood the New York Public Service Commission with comments telling them to reject #NationalGrid's #FrackedGas pipeline proposals and to fund renewable solutions now!","Tell the PSC: There’s no need for the Williams Pipeline
National Grid, the corporate utility covering part of NYC and Long Island has put forth a long-term energy plan to end their widely condemned moratorium that includes 1) off-shore liquefied natural...
actionnetwork.org",,3,1,"['StopTheWilliamsPipeline', 'NESE', 'NationalGrid', 'FrackedGas']"
Kristina Wilson,@kwilson008,2020-05-12T03:26:16.000Z,"Replying to 
@ComplaintsNyc
 and 
@NYCMayor","What do you mean small businesses can’t afford utility payments? They absolutely can. Landlords just need to be incentivized to rent their commercial units at market rate & market risk level instead of holding out for a “perfect” low-risk, high-rent tenant.",4,,,[]
NYC Complaints,@ComplaintsNyc,2020-05-12T11:18:03.000Z,"There is a huge problem for residential and commercial buildings to get gas because of the political #NESE program. The 
@NYGovCuomo
 @andrewcuomo
 directed 
@nationalgridus
 and 
@ConEdison
 to not supply gas for any renovations or construction leaving many buildings including stores",,,,,['NESE']
NYC Complaints,@ComplaintsNyc,2020-05-12T11:20:06.000Z,"Replying to 
@kwilson008
 and 
@NYCMayor","without gas. Look up #NESE. As such, gas prices have jumped incredibly. 
@NYCWater
 is such an incompetent department, prices are astronomically high. If a restaurant, deli or bodega has refrigeration hooked up to water, the prices are exorbitant. Why? The meters are commercial",,,,[]
Irie1,@stbessgirl,2020-09-04T02:07:24.000Z,"#NESE has fallen! Slowley and the JLP has been victorious 
@5Solae
 ",,1,,4,['NESE']
Umut Şafak POYRAZ,@umut_sfkpoyraz,2021-04-28T15:07:42.000Z,"look at life with hope 
#umut #hayat #neşe #kahkaha #mutluluk #hiç #bitmesin @ Ankara, Turkey https://instagram.com/p/CONs7EaBM4C/?igshid=hou46onckze6…",,,,,"['umut', 'hayat', 'neşe', 'kahkaha', 'mutluluk', 'hiç', 'bitmesin']"
Grapla the DJ,@djgrapla,2020-04-09T16:16:10.000Z,every time some tries to guess my asian-nese #whatkindofasianareyou #guesswhatchallenge #nese #asian #asianboy #pinoy #filipino #fyp #foryou #tiktok #tiktokvideo #tiktokgeneration #tiktokasian https://instagram.com/p/B-xDfavBuES/?igshid=1q35hropeoqam…,,,,,"['whatkindofasianareyou', 'guesswhatchallenge', 'nese', 'asian', 'asianboy', 'pinoy', 'filipino', 'fyp', 'foryou', 'tiktok', 'tiktokvideo', 'tiktokgeneration', 'tiktokasian']"
neseWILLrockYOU,@neseWILLrock,2020-04-27T23:58:29.000Z,"I dropped a new song/video today. Link in da biography 
#fortnite
#newmusic
#nese https://instagram.com/p/B_gOufrD9A_/?igshid=k83h5zwbqytu…",,,,,"['fortnite', 'newmusic', 'nese']"
Frantz,@Frantz2M,2019-10-08T19:25:42.000Z,"@NYGovCuomo
 when is this standoff with 
@nationalgridus
 going to come to an end? People like me are the casualty of this political agenda. 5 months with no heat,  no hot water and no stove. #Nese #nationalgrid #freeNYers 
@SenSchumer
 @SenGillibrand
 @CBSThisMorning
 @MKramerTV",,,,,"['Nese', 'nationalgrid', 'freeNYers']"
David Pringle,@DavidPringle11,2020-04-09T15:06:37.000Z,"Another reason 
@GovMurphy
's 
@NewJerseyDEP
 & 
@NJDEPMcCabe
 must reject #NESE & all should sign this petition  http://bit.ly/CleanWater50, spread the word, #WeAreEarthDay! 
@NYNJBaykeeper
, 
@CleanOcean
, 
@CleanWaterNJ
, @DougOMalley, 
@EmpowerNJ
 https://mycentraljersey.com/story/news/local/land-environment/2020/04/09/raritan-bay-nj-gas-pipeline-not-needed-environmental-report-says/2961536001/… via 
@MyCentralJersey","No need for natural gas pipeline across Raritan Bay, environmental report says
The report says Oklahoma-based natural gas supplier Williams’ proposed Northeast Supply Enhancement of its Transco pipeline is not needed.
mycentraljersey.com",,,,"['NESE', 'WeAreEarthDay']"
New Jersey LCV,@NJLCV,2021-05-21T16:12:08.000Z,"#NESE isn’t needed, New York and New Jersey don’t want it, and it poses a threat to clean water, wildlife, and the safety and health of New Jersey communities.” - 
@edpotosnak
, executive director of New Jersey LCV #StopNESE","NESE pipeline developer receives two-year extension; environmentalists are disappointed in the...
Transcontinental Gas Pipe Line Company, LLC, (Transco) received a two-year extension of time to construct and place into service the expansion facilities authorized by the Federal Energy Regulatory...
centraljersey.com",,3,2,"['NESE', 'StopNESE']"
American Petroleum Institute,@APIenergy,2020-05-29T19:28:02.000Z,"On the API Blog: Section 401 of the #CleanWaterAct needs modernizing. This will boost US #pipeline construction which, in some cases, has been blocked by states exceeding their jurisdictional scope under Section 401: https://bit.ly/2yDs1bY | #NESE",,1,,8,"['CleanWaterAct', 'pipeline', 'NESE']"
