username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
UNESCO World Water Assessment Programme (WWAP),,2019-03-19T09:23:00.000Z,"TODAY we launch the annual UN WORLD WATER DEVELOPMENT REPORT 2019 ""Leaving NO One Behind"", 4PM CET @ Palais des Nations in Geneva with multiple high-level speakers. Take a look at the event agenda: https://bit.ly/2FlkrU8
Follow the event live https://buff.ly/2kie0pi
#NoOneBehind",UN-Water and 8 others,2,63,94,['NoOneBehind']
PAHO/WHO,@pahowho,2019-10-16T12:00:00.000Z,"During the #CD57 Ministers of health from the Americas approved a Strategy that seeks to ensure that all people have equitable access to timely, efficient, safe, and quality health services that leave #noonebehind.

 INFO: https://paho.org/hq/index.php?option=com_content&view=article&id=15489:countries-agree-plans-to-increase-organ-donation-and-transplant-promote-health-and-improve-health-information-systems&Itemid=1926&lang=en…",,1,5,2,"['CD57', 'noonebehind']"
Nicolas Giraudeau,@n_giraudeau,2019-06-20T19:28:27.000Z,"Very impressed by the work of the colleagues from India and US. #teledentistry is everywhere for everyone #noonebehind 
@e_oralhealth
 @benoit_varenne
 @BHBM_mHealth
 @J_Scheerman
 @Opk15Om",,,7,19,"['teledentistry', 'noonebehind']"
Forests & Water,@FoWaNetwork,2020-01-06T10:00:51.000Z,"Three-quarters of water comes from forested watersheds. Protecting, conserving and restoring our forests for water is a way to ensure water security for all, leaving #NoOneBehind. Help us to raise awareness on the forest-water nexus with the hashtag #ForestH2O",,1,33,38,"['NoOneBehind', 'ForestH2O']"
ConnectAID #SDGs,@ConnectAID_int,2021-05-31T15:28:57.000Z,"Replying to 
@GaelleMogli
 @AdamRogers2030
 and 17 others","Such a great line-up! 

 https://connectaid.com/en/worldsummit

#NoOnebehind #LifeOnPurpose",,12,25,[]
Serena Ceola,@SerenaCeola,2019-03-19T13:13:28.000Z,Honoured to have contributed! #NoOneBehind,"UNESCO World Water Assessment Programme (WWAP)
 · Mar 19, 2019
TODAY we launch the annual UN WORLD WATER DEVELOPMENT REPORT 2019 ""Leaving NO One Behind"", 4PM CET @ Palais des Nations in Geneva with multiple high-level speakers. Take a look at the event agenda: https://bit.ly/2FlkrU8
Follow the event live https://buff.ly/2kie0pi
#NoOneBehind",,1,11,['NoOneBehind']
UNHCR Asia Pacific,@UNHCRAsia,2021-06-09T14:32:30.000Z,"Pakistan + its people have stood with generations of displaced Afghan refugees for more than 40 years. The international community must stand firmly with Pakistan in a spirit of partnership for humanitarian action, protection + solutions. 
#Pakistan #InvestInHumanity #NoOneBehind",UNHCR Pakistan and Filippo Grandi,,11,21,"['Pakistan', 'InvestInHumanity', 'NoOneBehind']"
DigiTeRRI,@digiTeRRI,2021-06-29T09:02:31.000Z,"After our conversations today, we’re impressed with the 
@unileoben
 work in providing workshops to educate children in #scienceandtechnology . The future is here! #NoOneBehind #Innovation",,,3,6,"['scienceandtechnology', 'NoOneBehind', 'Innovation']"
ConnectAID #SDGs,@ConnectAID_int,2021-06-08T01:00:00.000Z,"We are #TakingActionOnline at the World Summit of #SDGInfluencers

Speaker Felix Dodds (
@felixdodds
) is an Author, activist, academic & futurist. 

Register to learn how he influences others, leaving #NoOneBehind.

https://connectaid.com/en/worldsummit 
@GaelleMogli
 @AdamRogers2030
 

#SDGs",,,8,15,"['TakingActionOnline', 'SDGInfluencers', 'NoOneBehind', 'SDGs']"
Hans Kluge,@hans_kluge,2021-07-23T07:06:30.000Z,"Honoured to meet  MEP & psychiatrist Dr Stelios Kympouropoulos at the Athens Summit on #MentalHealth:
 Support mental well-being of people with disabilities to leave #noonebehind
 Foster resilience of mental health workers
 Advocate for the European Year of #MentalHealth",,1,8,25,"['MentalHealth', 'noonebehind', 'MentalHealth']"
Philippe Lazzarini,@UNLazzarini,2020-04-12T12:44:13.000Z,"Happy Easter! A time of hope for peace & recovery from #COVID19, a time for solidarity w/ all those suffering from injustice. #InThisTogether to build a world where we leave #NoOneBehind including #Palestine refugees.",,13,8,61,"['COVID19', 'InThisTogether', 'NoOneBehind', 'Palestine']"
Elisa Ferreira,@ElisaFerreiraEC,2020-03-05T18:23:54.000Z,"Excellent discussion on the Reform Support Programme and the Budgetary Instrument for Convergence and Competitiveness (BICC) with the Members of the European Parliament and co-rapporteurs 
@EGardiazabal
 and 
@dragos_pislaru
 
#NoOneBehind",,,4,22,['NoOneBehind']
Philippe Lazzarini,@UNLazzarini,2018-10-24T12:11:58.000Z,"The 
@UN
 marks its 73rd anniversary today. 
@UN_Lebanon
 is here to improve the daily lives of the people & leave #NoOneBehind . Learn more about what we do today at Beit Beirut from 2-6pm #UNDay",,,13,42,"['NoOneBehind', 'UNDay']"
OCHA Philippines,@OCHAPhilippines,2021-02-04T08:22:44.000Z," SNAPSHOT: 
@UNCERF
-funded humanitarian response to#TCGoni (#RollyPH) and#TCVamco (#UlyssesPH)

#InvestInHumanity #NoOneBehind #ClimateAction

https://reliefweb.int/report/philippines/philippines-typhoons-goni-and-vamco-un-central-emergency-response-fund-cerf… #Philippines",Gustavo Gonzalez and 9 others,,22,33,"['TCGoni', 'RollyPH', 'TCVamco', 'UlyssesPH', 'InvestInHumanity', 'NoOneBehind', 'ClimateAction', 'Philippines']"
UN-Habitat Lebanon,@UNHabitatLB,2019-10-07T12:05:47.000Z," Lets join hands as we celebrate #WorldHabitatDay! 

Today, UN-HABITAT #Lebanon stands with all communities in Lebanon, to work towards a better urban future, where we #LeaveNoPlace & #NoOneBehind. 

#WorldHabitatDay
#UrbanOctober
#WasteWiseCities",,,1,6,"['WorldHabitatDay', 'Lebanon', 'LeaveNoPlace', 'NoOneBehind', 'WorldHabitatDay', 'UrbanOctober', 'WasteWiseCities']"
HDI Rwanda,@HDIRwanda,2018-12-10T18:53:44.000Z,"Today, 
@HDIRwanda
 joined two Community Based Organisations (Safe Friendly Society & Horizon Community Association) in the celebration of #HumanRightsDay⁠ ⁠ Let's celebrate #HumanRights by leaving #NooneBehind 
@EUinRW",,,2,8,"['HumanRightsDay', 'HumanRights', 'NooneBehind']"
Cooperatives Europe,@CoopsEurope,2020-10-24T09:31:33.000Z,"Happy 75th anniversary to the 
@UN
! 

The #cooperative movement works towards building a world that leaves #NoOneBehind. But we cannot tackle global challenges alone. 

 Let's keep working together at shaping a common future & building #TheWorldWeWant!

#coops4dev #UNDay",UN For Cooperatives and 8 others,1,11,21,"['cooperative', 'NoOneBehind', 'TheWorldWeWant', 'coops4dev', 'UNDay']"
Elisa Ferreira,@ElisaFerreiraEC,2020-03-05T11:43:42.000Z,Adressing today's meeting of the EU Council of Environment Ministers to explain how the Just Transition Fund and the Just Transition Mechanism can support the transition of regions and citizens to the EU's target of a carbon neutral economy in 2050 #EUinmyRegion #NoOneBehind,,,4,16,"['EUinmyRegion', 'NoOneBehind']"
