username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TC aydın usta,@7727927,2021-07-09T18:49:35.000Z,"❥❥℘₰ﮩ℘₰ﮩ❥❥....""☆‿➹⁀☆•••☆‿➹⁀☆•
#Mutlu #Akşamlar ƪ
★.¸¸¸. •°´ ✿. ☆¯`•.¸'.
¸.•*´¯..#Her şey #gönLünCe.. .`°★.',☆
(　　☆ #OLsun ☆
`★.¸¸¸. •°´ (☆~ ♡~☆. ~☆.
✿══✿
.. #KěýifŁi_VãKiţŁëř 
☆‿➹⁀☆•",,,3,9,"['Mutlu', 'Akşamlar', 'Her', 'gönLünCe', 'OLsun', 'KěýifŁi_VãKiţŁëř']"
Bylimousine,@bylimousine,2021-07-20T19:19:17.000Z,"Eid Mubarak to all the Islamic world.  
#eidmubarak #hayırlıbayramlar #kurbanbayramı #mübarek #olsun #muslim #worship #prayer #dua #ibadet #like #müslüman #happy #insta #instagood #instalike #likes #newpost #igers",,,3,3,"['eidmubarak', 'hayırlıbayramlar', 'kurbanbayramı', 'mübarek', 'olsun', 'muslim', 'worship', 'prayer', 'dua', 'ibadet', 'like', 'müslüman', 'happy', 'insta', 'instagood', 'instalike', 'likes', 'newpost', 'igers']"
DailyHadise | HayHayOUTNOW,@Daily_Hadise,2021-07-26T22:03:17.000Z,"Update

#Hadise ’s #Olsun Sound Video has now surpassed 2 MILLION views on YouTube. 
: https://youtu.be/tfmvHeyuWZ0",,,2,11,"['Hadise', 'Olsun']"
Nuraycatarifler,@nuraycatarifler,2021-05-13T08:57:05.000Z,"#nuraycatarifler #sargıburma #baklava #bayramtatlısı #ramazanbayramı #mübarek #olsun 
@twitter
 #twitter 
@instagram
 #instagram #lezzet #leziz #enfes #iyibayramlar #gurme #yemektarifi #günaydın #keşfet #turkey #tarif  Instagram 
@nuraycatarifler
 #ramazanbayraminizmübarekolsun ",,,,,"['nuraycatarifler', 'sargıburma', 'baklava', 'bayramtatlısı', 'ramazanbayramı', 'mübarek', 'olsun', 'twitter', 'instagram', 'lezzet', 'leziz', 'enfes', 'iyibayramlar', 'gurme', 'yemektarifi', 'günaydın', 'keşfet', 'turkey', 'tarif', 'ramazanbayraminizmübarekolsun']"
a little this and that,@skydark222,2021-05-17T10:46:00.000Z,"#Olsun

Total of 23M plays",,,,1,['Olsun']
Binnur Ada Aslan,@BinnurAdaAslan,2021-05-25T06:40:49.000Z,"Can bey,

#Doğum #Gününüz    #Kutlu #Olsun.
@can_atakli_",,,,3,"['Doğum', 'Gününüz', 'Kutlu', 'Olsun']"
M.Çakır ÇağrıR.T.E.,@Cakir34915460,2021-06-20T20:28:50.000Z,"#GeceyeBirDuâ
Ey kalpleri Hâlden Hâle Çeviren  Allah'ım, Kalbimi! Senin Dinin Üzere Sabit kıl.  (Amin)

(Al-Tirmidhi)

#Geceniz
         #Huzur
#Olsun",,8,28,192,"['GeceyeBirDuâ', 'Geceniz', 'Huzur', 'Olsun']"
♪♬•*¨*•.¸ (NaZ)¸.•*¨*•♬♪,@Naz47803835,2021-06-10T15:21:30.000Z,".
Dostun dosta ettiği 
Duâ kabül olurmuş 
Ettiğiniz her duâ
Derdinize DEVA,
Hastalara ŞİFA,
Gözlere NUR,
Gönüllere HUZUR,
Geçmişlere RAHMET,
Evinize BEREKET getirsin...!
Ben DUÂMÂ kattım sizleri,
Sizlerde DUÂNIZDA anın beni.!

#CUMA_AKŞAMIMIZ_MUBAREK
#OLSUN.......#SELÂMDUAILE
.",,25,173,947,"['CUMA_AKŞAMIMIZ_MUBAREK', 'OLSUN', 'SELÂMDUAILE']"
#EjdeR,@Ha_YaLL_eT,2021-06-18T14:29:08.000Z,"''

En GüzeL Köprü; 
GönüLLer Arasında KuruLandır.
En GüzeL Göz;
Her şeye GüzeL Bakandır.
En GüzeL Irmak;
Dost Bahçesine Akandır.
En Güzel Sevgi;
YaratıLanı, Yaradan’dan DoLayı
SevenLerin Sevgisidir.

Hoş Görüp, Hor GörmeyenLere

  #SELÂM #OLSUN...                ''",,5,44,258,"['SELÂM', 'OLSUN']"
Hidayet Erel,@HidayetErel,2021-05-26T20:14:38.000Z,"#Huzur #verenleriniz #çok #olsun 
#Mutlu #Geceler #Dilerim  

Ah benim yaşama sevincim,
dur seni gözlerinden öpeyim.
Nazım Hikmet 
#Dolunay ",,,6,58,"['Huzur', 'verenleriniz', 'çok', 'olsun', 'Mutlu', 'Geceler', 'Dilerim', 'Dolunay']"
Ayşe Yaman,@YamanAyse42,2021-05-09T10:05:55.000Z,"#ANNELEREMEKTUP

İnsanı Önce Karnında 
Sonra Kucağında VE..
Ömür Boyu da Yüreğinde Taşıyan Tüm Annelerin 
#ANNELERGÜNÜ...
           KUTLUOLSUN 
Hiç bir Annenin Gözyaşı 
Dökmeyeceği

#GÜZELgünlerDİLEĞİYLE

Tüm Babalara da 
#SELÂM #OLSUN",,15,31,263,"['ANNELEREMEKTUP', 'ANNELERGÜNÜ', 'GÜZELgünlerDİLEĞİYLE', 'SELÂM', 'OLSUN']"
m͚e͚l͚e͚g͚i͚m͚m͚,@melegim472,2021-06-25T12:38:29.000Z,".Sen bakma dile düşmüş sözlerime benim. Akla düşüpte sustuklarım, kalbe düşüp de sakladıklarım var.

#k͓͓̽̽a͓͓̽̽h͓̽w͓̽e͓̽     #t͓̽a͓̽d͓̽ın͓̽ #d͓̽a͓̽  #b͓̽i͓̽r͓̽ #g͓̽ün͓̽ #o͓̽l͓̽s͓̽u͓̽n͓̽",,20,38,186,"['k', 't', 'd', 'b', 'g', 'o']"
FERİT,@simal_yildizi_,2021-05-04T07:14:30.000Z,"Gönlü #güzel insan her #yeri güzelleştirir 
Gönlü #kalbi güzel #herkese selam #olsun...

 GÜNAYDIN______________ 
_____________// hayırlı sabahlar... ",,16,18,101,"['güzel', 'yeri', 'kalbi', 'herkese', 'olsun']"
Ayşe Özdoğan,@Ayezdoa70673080,2021-07-18T00:22:23.000Z,"HAYATİNİZİN HER DÖNEMİNDE , MUTLU VE SAĞLIKLI, AİLENİZLE BİRLİK VE BERABERLİK İCİNDE NİCE MUTLU YILLAR DİLERİM SAYIN GENEL BAŞKANIM..ÜLKEMİZ İÇİN VERDİGİNİZ MÜCADELENİZ GERÇEKLEŞSİN,. HAYAT GÜNEŞİ HER DAİM SİZİ AYDINLATSIN.##AD ##GÜNÜNÜZ##KUTLU ##OLSUN##",Meral Akşener,,2,47,"['AD', 'GÜNÜNÜZ', 'KUTLU', 'OLSUN']"
Rizeli...,@mazidekalmis,2021-04-22T23:51:32.000Z,"Selâmun Aleykűm 
A L L A H ""ım
Rahmetin
Gökyüzünden Yağarken
Sana Açılan Elleri
Yapılan duâ"" ları
Boş Çevirme Amin!!!
#Sahur #Sofranız
#Bereketli #Olsun 
#Hayırlı #Sabahlar
#Günaydın
#Cuma",,5,13,82,"['Sahur', 'Sofranız', 'Bereketli', 'Olsun', 'Hayırlı', 'Sabahlar', 'Günaydın', 'Cuma']"
FERİT,@simal_yildizi_,2021-05-20T03:00:53.000Z,"#Uyandığınızda sadece 
Üstündeki #battaniye düşmüş #olsun
#Güneş biraz geç #doğsun ya da #yağmur yağsın
Dökülen #çay kırılan #bardak olsun
Yeter ki #sevdiklerimiz sağ salim #olsun...

 GÜNAYDIN_______ ________
__//perişan olmayan bir perşembe olması dileğiyle.",,15,12,85,"['Uyandığınızda', 'battaniye', 'olsun', 'Güneş', 'doğsun', 'yağmur', 'çay', 'bardak', 'sevdiklerimiz', 'olsun']"
