username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
(Rap)Genius Türkiye,@RapGeniusTR,2019-02-28T22:44:11.000Z,You know what we will do this weekend: Transcribing #Omurga & #SuçSokağıSakinleri,,,,5,"['Omurga', 'SuçSokağıSakinleri']"
"Ups, ein Pups!",@bgldkr,2019-03-05T06:06:36.000Z,#omurga RE5PECT,"Omzuna Al - Cuts by DJ Boba Fettt
Fuat · Song · 2019
open.spotify.com",,,,['omurga']
FİZYOCARE Medical C.,@c_fizyocare,2018-09-24T07:11:19.000Z,"You are kindly invited to our rehabilitation center for without surgery treatment on herniated disc&herniated cervical disc.

#spine #backpain #injury #health #surgery #CORD #pain #BACK #treatment #SummitSpinalCare #omurga #healthcare #healthtourism #rehab #phsyicalrehabilitation",,,3,1,"['spine', 'backpain', 'injury', 'health', 'surgery', 'CORD', 'pain', 'BACK', 'treatment', 'SummitSpinalCare', 'omurga', 'healthcare', 'healthtourism', 'rehab', 'phsyicalrehabilitation']"
Prof Dr Alpaslan Şenköylü,@spinesurgeon3,2018-10-17T18:14:44.000Z,Learn and have fun!! #spineismypassion #omurga #cerrahi #spine #surgery,,,,2,"['spineismypassion', 'omurga', 'cerrahi', 'spine', 'surgery']"
Isico,@isicoitalia,2021-07-02T12:00:18.000Z,"July 6th, Michele Romano talks online about ""Evaluation methods of #scoliosis""
https://medikurs.com.tr/kurs/skolyoz-degerlendirme-yontemleri/… 
 Info at +90(535) 362 95 47
#skolyoz  #scoliosis  #omurgasağlığı #omurga  #fiziktedaviverehabilitasyon  
@AntalyaSkolyoz
 @Hacettepe1967
 #physiotherapy 
@WorldPhysio1951",,,,2,"['scoliosis', 'skolyoz', 'scoliosis', 'omurgasağlığı', 'omurga', 'fiziktedaviverehabilitasyon', 'physiotherapy']"
Prof Dr Alpaslan Şenköylü,@spinesurgeon3,2020-10-22T15:49:33.000Z,"Still working in the office. Minimally invasive surgery for degenerative and traumatic pathologies of the spine. 

#onlinelearning #onlinecongress #onlineeducaion #omurga #omurgacerrahisi #omurgasagligi #omurkırığı #belağrısı #belfıtığı #belkayması","Alpaslan Senkoylu on LinkedIn: #onlinelearning #onlinecongress #onlineeducaion
Still working in the office. Minimally invasive surgery for degenerative and traumatic pathologies of the spine. #onlinelearning #onlinecongress #onlineeducaion...
linkedin.com",,,12,"['onlinelearning', 'onlinecongress', 'onlineeducaion', 'omurga', 'omurgacerrahisi', 'omurgasagligi', 'omurkırığı', 'belağrısı', 'belfıtığı', 'belkayması']"
Av. Mert Koç,@avmertkoc,2020-11-19T07:19:24.000Z,"Before;
""Hayatım Chp zihniyetiyle mücadele etmekle geçti.""
21.05.2020 Ahmet Davutoğlu 
After;
#omurga",,,3,20,['omurga']
onur,@aknsensei,2019-03-01T17:56:25.000Z,sana puanım 9 kanka #omurga,GIF,,,4,['omurga']
FUAT,@fuat_ergin,2019-09-13T20:09:25.000Z,"Bağımsızlık bizim karakterimiz, lügat şarjörümüzdeki tek mermidir! Vazgeçmeyeceğiz !! #Omurga Lansman 12/09/2019 @ IF Beşiktaş fotoğraflar: Nuri Çiçekkan",,3,22,360,['Omurga']
Fulya Mısırlıgil,@Fulyamisirligil,2020-12-16T17:11:31.000Z,"Memleket omurga konuşuyorken, şuraya bir örnek bırakayım.#omurga",,6,5,56,['omurga']
