username,twhandle,postdate,content,responding,reply,retweet,like
Hidayet Uskal,@hdytuskl,2021-08-01T16:39:38.000Z,"“Yaz Oyun Kampı” 

Çocuklarımızın sosyal, duygusal ve psikomotor beceri gelişimini destekleyecek harika bir “Oyun Kampı” ile Gazturman Gayan’da olacağız. 
 6 AğustosKınalıada 
#oyunkampı #oyun #çocuk",,,1,5
Kadın ve Aile,@kadinveaile_com,2021-07-28T18:17:28.000Z,"ÇOCUKLARIN OKUL BAŞARISINA KATKI SAĞLAYAN SAĞ BEYİN SOL BEYİN
ETKİNLİKLERİ
#çocuk #oyun #aile",,,28,107
TÜGVA Balıkesir,@tugvabalikesir,2021-07-26T19:24:12.000Z,"Tiyatro vaaz kürsülerinin en yükseğidir diyerek tiyatro akademisi için ilk buluşmamızı gerçekleştirdik.

#tiyatro #tiyatrokursu #tiyatroeğitimi #akademi #tiyatroakademisi #sanat #sahne #perde #oyun #tügva #tügvalise #tügvaüniversite #tügvaortaokul",TürkiyeGençlikVakfı and 9 others,,3,8
Park and More,@ParkandMore,2021-07-26T07:45:58.000Z,"Herkes için mutlu geçecek bir hafta diliyoruz.

#pazartesi #hafta #eğlence #aile #çocuk #park #oyun #temmuz #2021",,,1,1
IFASTURK MALİ MÜŞAVİRLİK VE DENETİM,@ifas_turk,2021-07-30T06:45:29.000Z,"2021'in ilk yarısında dünya genelinde yaklaşık 72,5 milyar mobil uygulama indirme işlemi gerçekleşti. Bu sayı geçtiğimiz yılın aynı döneminde 71,3 milyardı. #mobiloyun #mobiluygulama #oyungeliştirme #oyun #girişimci #destek #teşvik",,,,
Alp Kaan,@kaana71,2021-07-30T19:09:28.000Z,"Artık Sedat Peker bile topluma sağduyu ve itidal çağrısında bulunuyorsa....
Gerçekten ne hale dönüşmüşüz, bir düşünün!
#konyadakatliam #oyun
#yangin #yangınvar #Manavgat #ADANAYANIYOR
@balikesir24saat
 @ArsivUnutmaz
 @asikmelih",,1,3,11
TurkGamer,@TurkGamerNet,2021-07-27T15:09:50.000Z,"FIFA 22'nin çıkış tarihi 1 Ekim olarak açıklandı.

#turkgamer #fifa22 #gaming #oyun",,,,2
TurkGamer,@TurkGamerNet,2021-07-26T13:37:57.000Z,"Unutamadığınız oyun karakterleri? 
-
#turkgamer #oyun #oyuncu",,,,2
Çok haklısın Peri,@perihan_aydas,2021-07-27T09:41:03.000Z,"Yazılım programlarini kaldirabilen, çalıştıracak, kasmayan, hızlı, uzun ömürlü, web sitesi ve oyun tasarlayabilecegim en iyi leptop çeşitlerini ve özelliklerini bilen aşağıya yazabilir mi.
#yazilim #leptop #web #oyun #programlama #kodlama
#bilgisayarprogramciligi",,,,
TurkGamer,@TurkGamerNet,2021-07-26T12:30:59.000Z,"Tokyo Olimpiyatları açılış töreninde, Dragon Quest, Final Fantasy, Chrono Trigger, Monster Hunter gibi oyunlardan oyun müzikleri kullanıldı.

#turkgamer #Tokyo2020 #gaming #oyun",,,1,1
