username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
Pelin Esmer,@pelinesmerfilm,2021-08-05T15:57:09.000Z,"Yakın zamandan bir #tbt 
#Oyun filmi Chris Wiegand’ın 15 Haziran’da The Guardian’da yayımlanan “Tiyatro hakkında en iyi 10 belgesel” listesinde yer aldı. 

#ThePlay was in Chris Wiegand’s “Real-life dramas: 10 great documentaries about theatre”, published on The Guardian.",,,1,18,"['tbt', 'Oyun', 'ThePlay']"
Notit,@notitbilim,2021-08-05T15:28:24.000Z,"Öneri: Ancestors: The Humankind Odyssey (Oyun)

Tür: Hayatta kalma

#DUTlab #notit #bilim #science #öneri #ancestors #oyun #hayattakalma #ancestorsthehumankindodyssey",,1,,3,"['DUTlab', 'notit', 'bilim', 'science', 'öneri', 'ancestors', 'oyun', 'hayattakalma', 'ancestorsthehumankindodyssey']"
TurkGamer,@TurkGamerNet,2021-08-05T10:07:21.000Z,"Hazır okul seçimleri yaklaşıyorken efsaneyi hatırlayalım 

#turkgamer #oyun #oyuncu",,,,1,"['turkgamer', 'oyun', 'oyuncu']"
T_K_T,@TheKindestTeach,2021-08-10T09:31:08.000Z,Oyun çocuğun dilidir. Yıllardır öğrenci alıyorum ve herşeyi oyunlaştırarak öğretiyorum. Bugün bir öğrencim 1'den 6'ya kadar saydı ilk kez  #otizm #oyunlastırma #oyun,,1,2,17,"['otizm', 'oyunlastırma', 'oyun']"
Peugeot Mepa,@PeugeotMepa,2021-08-06T07:00:00.000Z,O'nu sadece silüetinden tanıyanları yorumlara bekliyoruz  #Peugeot #Oyun,,,,,"['Peugeot', 'Oyun']"
kedim_mia,@kedim_mia,2021-08-08T17:31:28.000Z,#Mia #oyun,"0:34
30 views",,1,8,"['Mia', 'oyun']"
ZİÇEV,@zicevofficial,2021-08-11T08:00:11.000Z,"Hem eğitim hem oyun 

#eğitim #education  #oyun #game #otizm #otizmspektrumbozukluğu #autism #ziçev",,,1,3,"['eğitim', 'education', 'oyun', 'game', 'otizm', 'otizmspektrumbozukluğu', 'autism', 'ziçev']"
MorDavsan,@mordavsan62,2021-08-08T16:27:44.000Z,Piyasada oyun yok abi kafayı yicem. Ne oynıcam la ben yayında #Takiplesiyoruz #twitch #oyun #gamerlife #yayıncı,,,,4,"['Takiplesiyoruz', 'twitch', 'oyun', 'gamerlife', 'yayıncı']"
Ozlem Kurtman,@ozlemkurtman,2021-08-12T14:09:38.000Z,"Doğaçlamanın ve oyun tasarlamanın en güzel örneklerinden birini yaşadık bugün; günün anısına birkaç kare arşivde dursun.  
12.08.2021
@istanbulmasalokulu 
#çocuklar #masallar #oyun #doğaçlama #sanat #oyunoynamasanatı https://instagram.com/p/CSeiiehjk1L/?utm_medium=twitter…",,,,,"['çocuklar', 'masallar', 'oyun', 'doğaçlama', 'sanat', 'oyunoynamasanatı']"
Arrange Point,@arrange_point,2021-08-10T18:36:53.000Z,"Mount & Blade II: Bannerlord için yeni Hotfix yaması yayınlandı.

#ArrangePoint #oyunhaberleri #güncelleme #bannerlord #mountandblade #oyun #videogames #patch","BANNERLORD HOTFIX (E1.6.0) VE BETA HOTFIX (E1.6.1) DETAYLARI - Arrange Point
TaleWorlds Entertainment tarafından geliştirilen ve yayınlanan Mount & Blade II: Bannerlord için yeni Hotfix yaması yayınlandı.
arrangepoint.com.tr",,2,4,"['ArrangePoint', 'oyunhaberleri', 'güncelleme', 'bannerlord', 'mountandblade', 'oyun', 'videogames', 'patch']"
Arrange Point,@arrange_point,2021-08-11T20:17:25.000Z,"ATS için yeni bir DLC oyuna ekleniyor. Yeni eklenecek Wyoming DLC’si size Wyoming eyaletinin kapılarını açacak.

#ArrangePoint #oyun #AmericanTruckSimulator #games #Steam #DLC #patch","ATS - WYOMING'İN 2. OYNANIŞ VİDEOSU - Arrange Point
Yakında ATS için yeni bir DLC oyuna eklenecek. DLC'nin adı Wyoming ve bu size yeni bir eyaletin kapılarını açacak 2. oynanış videosu yayında.
arrangepoint.com.tr",,3,5,"['ArrangePoint', 'oyun', 'AmericanTruckSimulator', 'games', 'Steam', 'DLC', 'patch']"
murti,@1kilobayt,2021-08-08T15:33:08.000Z,"""Bahadır"" pazar günü oynamalık basit bir pixelart dövüş oyunu. #pazar #pixelart #oyun #android","Bahadır
Pixelart Beat'em Up Game 
https://t.co/THOb9eEoaV",,1,1,"['pazar', 'pixelart', 'oyun', 'android']"
Kurtköy Saklambaç Anaokulu,@saklambacanaoku,2021-08-11T23:05:01.000Z,#yarışma #park #survivor #çarşamba #okulöncesietkinlikleri #Oyun @ Kurtköy Saklambaç Anaokulu https://instagram.com/p/CSc7AiNjNC6/?utm_medium=twitter…,,,,,"['yarışma', 'park', 'survivor', 'çarşamba', 'okulöncesietkinlikleri', 'Oyun']"
Atınç Büyük,@atincbuyuk,2021-08-11T09:11:25.000Z,#oyun,"Nezih Onur Kuru
@NOnurkuru
 · Aug 11
Türkiye’de anarşi-kaos ortamı yaratıp seçimsiz otoriter bir rejime giden yolun taşları döşeniyor:
1-Sınırların kör göze parmak sokar gibi kevgire döndürülmesi
2-Sosyal medyaya yayılan provokatif görüntüler
3-Sivillerin kimlik kontrolleri
4-Siyasilere linç ve saldırı buna işaret. twitter.com/aykiricomtr/st…",,,,['oyun']
Syrox Technologies,@SyroxTechnology,2021-08-11T04:19:32.000Z,"Yeni S26
Gerçek ses teknolojisi (Hifi)
#syrox #syroxtechnologies #headphone #music #headset #wireless #microsdcard #gameR #color #headsetbluetooth #efsane #oyun #mikrosd #kulaklık #müzik #kablosuzkulaklık",,,,,"['syrox', 'syroxtechnologies', 'headphone', 'music', 'headset', 'wireless', 'microsdcard', 'gameR', 'color', 'headsetbluetooth', 'efsane', 'oyun', 'mikrosd', 'kulaklık', 'müzik', 'kablosuzkulaklık']"
TEKNOBH,@teknobhcom,2021-08-05T13:15:05.000Z,"PUBG için birçok yenilik barındıran 13.1 güncellemesi yayınlandı.

➤ https://teknobh.com/pubg-131-guncellemesi-yayinlandi-iste-yenilikler/…

#oyun #game #haberler #teknoloji #sondakika #trend #haberler #helpturkey #muegeanli #mansuryavas","PUBG 13.1 Güncellemesi Yayınlandı: İşte Yenilikler | TEKNOBH
PUBG'nin PC versiyonunda yeni bir sezon başlatan PUBG 13.1 güncellemesi resmen yayınlandı. Yeni güncelleme ile oyunculara neler sunuluyor? İşte Detaylar
teknobh.com",,,,"['oyun', 'game', 'haberler', 'teknoloji', 'sondakika', 'trend', 'haberler', 'helpturkey', 'muegeanli', 'mansuryavas']"
Syrox Technologies,@SyroxTechnology,2021-08-11T04:19:14.000Z,"Yeni S26
Gerçek ses teknolojisi (Hifi)
#syrox #syroxtechnologies #headphone #music #headset #wireless #microsdcard #gameR #color #headsetbluetooth #efsane #oyun #mikrosd #kulaklık #müzik #kablosuzkulaklık",,,,,"['syrox', 'syroxtechnologies', 'headphone', 'music', 'headset', 'wireless', 'microsdcard', 'gameR', 'color', 'headsetbluetooth', 'efsane', 'oyun', 'mikrosd', 'kulaklık', 'müzik', 'kablosuzkulaklık']"
"kaptan,marsda inicem",@fsh77,2021-08-11T16:02:17.000Z,"#Kodlama #ders lerinde bugün biraz nostalji yaparak iki boyutlu #uzay savaşı temalı #oyun u yaparken bir çok kavramı öğrenmiş oluyoruz
#Dersler uzaktan etkileşimli olarak veya grup olarak verilebilir,kodlama öğrenme fırsatı 
https://scratch.mit.edu/proj",,,,,"['Kodlama', 'ders', 'uzay', 'oyun', 'Dersler']"
Ali Erşin,@av_aliersin,2021-08-12T03:43:14.000Z,"“Bilgisayar oyunları alanında faaliyet gösteren veri sorumlusunun veri ihlali bildirimi hakkında” Kişisel Verileri Koruma Kurulu, veri sorumlusunun ""teknik ve idari tedbirler"" konusunda yetersiz kalmasından dolayı 100.000 TL idari para cezası verdi.
#KVKK #ceza #oyun",,,,,"['KVKK', 'ceza', 'oyun']"
