username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TÜGVA Balıkesir,@tugvabalikesir,2021-07-26T19:24:12.000Z,"Tiyatro vaaz kürsülerinin en yükseğidir diyerek tiyatro akademisi için ilk buluşmamızı gerçekleştirdik.

#tiyatro #tiyatrokursu #tiyatroeğitimi #akademi #tiyatroakademisi #sanat #sahne #perde #oyun #tügva #tügvalise #tügvaüniversite #tügvaortaokul",TürkiyeGençlikVakfı and 9 others,,3,8,"[""['tiyatro', 'tiyatrokursu', 'tiyatroeğitimi', 'akademi', 'tiyatroakademisi', 'sanat', 'sahne', 'perde', 'oyun', 'tügva', 'tügvalise', 'tügvaüniversite', 'tügvaortaokul']""]"
Kadın ve Aile,@kadinveaile_com,2021-07-28T18:17:28.000Z,"ÇOCUKLARIN OKUL BAŞARISINA KATKI SAĞLAYAN SAĞ BEYİN SOL BEYİN
ETKİNLİKLERİ
#çocuk #oyun #aile",,,28,108,"[""['çocuk', 'oyun', 'aile']""]"
Hidayet Uskal,@hdytuskl,2021-08-01T16:39:38.000Z,"“Yaz Oyun Kampı” 

Çocuklarımızın sosyal, duygusal ve psikomotor beceri gelişimini destekleyecek harika bir “Oyun Kampı” ile Gazturman Gayan’da olacağız. 
 6 AğustosKınalıada 
#oyunkampı #oyun #çocuk",,,1,5,"[""['oyunkampı', 'oyun', 'çocuk']""]"
IFASTURK MALİ MÜŞAVİRLİK VE DENETİM,@ifas_turk,2021-07-30T06:45:29.000Z,"2021'in ilk yarısında dünya genelinde yaklaşık 72,5 milyar mobil uygulama indirme işlemi gerçekleşti. Bu sayı geçtiğimiz yılın aynı döneminde 71,3 milyardı. #mobiloyun #mobiluygulama #oyungeliştirme #oyun #girişimci #destek #teşvik",,,,,"[""['mobiloyun', 'mobiluygulama', 'oyungeliştirme', 'oyun', 'girişimci', 'destek', 'teşvik']""]"
Park and More,@ParkandMore,2021-07-26T07:45:58.000Z,"Herkes için mutlu geçecek bir hafta diliyoruz.

#pazartesi #hafta #eğlence #aile #çocuk #park #oyun #temmuz #2021",,,1,1,"[""['pazartesi', 'hafta', 'eğlence', 'aile', 'çocuk', 'park', 'oyun', 'temmuz', '2021']""]"
kedim_mia,@kedim_mia,2021-07-26T19:10:15.000Z,#oyun #oyuncak #kedi #mia,,2,5,22,"[""['oyun', 'oyuncak', 'kedi', 'mia']""]"
TurkGamer,@TurkGamerNet,2021-07-26T11:03:36.000Z,"EVGA, Amazon’un MMO oyunu New World nedeniyle hasar gören RTX 3090 ekran kartı sahiplerine, zararlarını karşılamak için yeni RTX 3090 kartları göndereceğini açıkladı.

#turkgamer #newworld #nvidia #gaming #oyun",,,1,2,"[""['turkgamer', 'newworld', 'nvidia', 'gaming', 'oyun']""]"
Güzel Günler Ajandası,@GuzelGunlerAjnd,2021-07-30T10:02:15.000Z, Güzel Günler Ajandası olarak Otizm Üzerine Konuşmalar Serisi'nin yedinci etkinliğiyle sizlerleyiz!  Klinik Psikolog Büşra Temizel ile Otizmde Gelişimsel Oyun Terapisi üzerine konuşacağımız etkinliğimizi 13 Temmuz Salı günü saat 20.00’de Zoom üzerinden gerçekleştireceğiz.,MEF Üniversitesi and 2 others,1,1,1,['[]']
Güzel Günler Ajandası,@GuzelGunlerAjnd,2021-07-30T10:02:30.000Z," Etkinliğimizde sizleri de aramızda görmeyi çok isteriz! 

Etkinliğimize bio'daki linkten kaydolabilirsiniz. 
@MEFuniversitesi
#otizm #otizmemaviışıkyak #otizmifarketyaşamıpaylaş #otizmüzerinekonuşmalar #gelişimseloyunterapisi #oyun",,,,1,"[""['otizm', 'otizmemaviışıkyak', 'otizmifarketyaşamıpaylaş', 'otizmüzerinekonuşmalar', 'gelişimseloyunterapisi', 'oyun']""]"
TurkGamer,@TurkGamerNet,2021-07-26T13:37:57.000Z,"Unutamadığınız oyun karakterleri? 
-
#turkgamer #oyun #oyuncu",,,,2,"[""['turkgamer', 'oyun', 'oyuncu']""]"
Şeref Oğuz,@serefoguz,2021-07-28T07:55:23.000Z,"NOT 
Bizler, büyüdüğüm için oynamayı bırakmayız, oynamayı bıraktığımız için büyürüz...
Ancak her oyuncağın da bir ömrü vardır.
Hele ki ekonomik oyuncaklar, aniden eskir. Oyun biter bitmez...
#oyuncak #ömür #öğrenme #oyun #ekonomi #büyümek #NOT 
@serefoguz
 
https://dunya.com/kose-yazisi/gozunu-gelecege-ceviren-kazanacak/628894…",Şeref Oğuz,,,32,"[""['oyuncak', 'ömür', 'öğrenme', 'oyun', 'ekonomi', 'büyümek', 'NOT']""]"
TurkGamer,@TurkGamerNet,2021-07-28T08:43:40.000Z,"Guild Wars 2’nin yeni genişleme paketi ‘’End of Dragons’’ açıklandı. Guild Wars 2: End of Dragons Şubat 2022’de oyuncularla buluşacak.

#turkgamer #guildwars2 #oyun #gaming",,1,,2,"[""['turkgamer', 'guildwars2', 'oyun', 'gaming']""]"
Furkan KILIÇ,@furkankilicc06,2021-08-02T09:57:32.000Z,"#Oyun
Zamanla Oyuncak Gibi Oynayabileceğiniz Zaman Yolculuğu Temalı 10 Oyun!",,,,,"[""['Oyun']""]"
maxicocuk,@maxicocuk1,2021-07-29T18:12:34.000Z,"Maxi Çocuk Sudoku ile günler etkinliksiz geçmiyor. Çocukların sevdiği dergi.
 

 Migros,  Carrefour, Macro Center Groseri ve Çağdaş Marketleri ile D&R zincir mağazaları ve tüm dergi - gazete  satış  noktalarında...
 
#oyun #çocuk #sudoku",,,,,"[""['oyun', 'çocuk', 'sudoku']""]"
Kutlu Yayınevi - 𐰴𐰆𐱃𐰞𐰆 𐰖𐰀𐰖𐰃𐰣 𐰌:𐰃,@kutluyayinevi,2021-08-01T06:28:44.000Z,"#YéñiBétik 

#TahsinMelan'ıñ yéñi bétiği ""#KeloğlanınBecerikliEşeği"" yayımlandı!

%20 indirimli:  http://arkaraf.com/tahsin-melan

 Avrupa'ya özel fiyat ve gönderi için:  http://betikevi.istanbul

#KutluYayınevi #KutluYazarlar #Oyun #Tiyatro #Keloğlan",,,,3,"[""['YéñiBétik', 'TahsinMelan', 'KeloğlanınBecerikliEşeği', 'KutluYayınevi', 'KutluYazarlar', 'Oyun', 'Tiyatro', 'Keloğlan']""]"
startups watch,@startups_watch,2021-07-27T20:18:59.000Z,"Oyun sektörüne ilgi duyan, oyun sektöründe olan herkes davetli. 3 Ağustos Salı günü 11:00'da http://Startups.watch x Google Gaming Summit'i kaçırmayın! 
Kayıt : https://bit.ly/gaming-kayit
#game #oyun #gaming #mobilegame","Startups.watch x Google Gaming Summit
Türkiye oyun sektöründeki tüm gelişmeler, deneyim paylaşımları bu etkinlikte!
eventbrite.com",,10,19,"[""['game', 'oyun', 'gaming', 'mobilegame']""]"
Toysmar Oyun Grupları,@toysmar,2021-07-27T07:05:03.000Z,"Yuvarlak Trambolin Korumalı 240/250 cm (10 gen)

https://toysmar.com/urun/yuvarlak-trambolin-korumali-240-250-cm…

#toysmar #çocuk #oyun #eğlence #oyunalanı #oyungrubu #softplay #proje #trambolin #korumalı #children #game #entertainment #playground #gamegroup #kafe #cafe #trampoline #trampolines",,,,,"[""['toysmar', 'çocuk', 'oyun', 'eğlence', 'oyunalanı', 'oyungrubu', 'softplay', 'proje', 'trambolin', 'korumalı', 'children', 'game', 'entertainment', 'playground', 'gamegroup', 'kafe', 'cafe', 'trampoline', 'trampolines']""]"
Caféturc music&arts,@Cafeturc_arts,2021-07-31T14:37:54.000Z,"#ARİDU, Ayvalık yaratım süreci ardından İstanbul 
@ZorluPSM
'de! Pazar 11:00. 

#çocuk #oyun #tiyatro
#interaktif #multidisipliner #performans
#sahnesanatları
#beden #perküsyon #bodypercussion #soundpainting #dans #akrobasi #illüzyon #sihir
#attafestival #caféturc #biz
#istanbul","Quote Tweet
Zorlu PSM
@ZorluPSM
 · Jul 31
Yaratıcı Çocuk Atölyeleri kapsamında yarın 11:00’da ARİDU İnteraktif Çocuk Oyunu, ücretsiz olarak Vestel Amfi’de!

Etkinliğe katılmak için etkinlik girişinde kaydınızı yaptırmayı unutmayın. 
@aridu_tiyatro @cafeturc_music_arts @biz_we_ @nilufertiyatro @kulturicinalan",,,,"[""['ARİDU', 'çocuk', 'oyun', 'tiyatro', 'interaktif', 'multidisipliner', 'performans', 'sahnesanatları', 'beden', 'perküsyon', 'bodypercussion', 'soundpainting', 'dans', 'akrobasi', 'illüzyon', 'sihir', 'attafestival', 'caféturc', 'biz', 'istanbul']""]"
Rugbytots Türkiye,@RugbytotsTrkiy1,2021-07-26T12:35:07.000Z,"Yeni haftanın üstesinden gelmek için hazır mıyız?  #lovemondays
#rugbytots #rugbytotstürkiye #rugby #ragbi #çocuk #çocukgelişimi #okuköncesietkinlik #oyun #spor #eğitim",,,,,"[""['lovemondays', 'rugbytots', 'rugbytotstürkiye', 'rugby', 'ragbi', 'çocuk', 'çocukgelişimi', 'okuköncesietkinlik', 'oyun', 'spor', 'eğitim']""]"
Kayra Keri Küpçü,@kayrakerikupcu,2021-08-01T14:17:43.000Z,"Atari 2600 oyunları 3D oldu.

#atari2600 #oyun #game #retrogames","2:16
979 views",4,3,48,"[""['atari2600', 'oyun', 'game', 'retrogames']""]"
TurkGamer,@TurkGamerNet,2021-07-28T14:10:00.000Z,"Sony, bugün itibariyle 10 milyon adet PlayStation 5 satışı yaptığını açıkladı.

#turkgamer #playstation #oyun #gaming",,1,,1,"[""['turkgamer', 'playstation', 'oyun', 'gaming']""]"
Kayra Keri Küpçü,@kayrakerikupcu,2021-08-01T14:17:43.000Z,"Atari 2600 oyunları 3D oldu.

#atari2600 #oyun #game #retrogames","979 views
0:04 / 2:18",4,3,48,"[""['atari2600', 'oyun', 'game', 'retrogames']""]"
