username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Esra Gümeç,@esraagmc,2021-08-06T20:45:24.000Z,Çoookkk şirinsin #pamuk ,,,,6,['pamuk']
Econ101,@Econ10113,2021-07-27T14:43:43.000Z,"Replying to 
@Econ10113",$CT #Pamuk,1,,1,[]
Econ101,@Econ10113,2021-08-12T16:38:56.000Z,$CT #Pamuk,,,,,['Pamuk']
İzmirTicaretBorsası,@izmirticborsasi,2021-08-12T08:00:00.000Z,"Tekstil, yağ ve yem sanayiine hammadde sağlayan ve ülkemizin en önemli lif bitkilerinden olan beyaz altın pamuk, çiçek açtı. Toplama zamanlarının tam bir şölene dönüştüğü Ağustos – Ekim aylarını dört gözle bekliyoruz.

 #İTB #İzmirTicaretBorsası #Pamuk #EgePamuğu #Coğrafiİşaret",,,1,8,"['İTB', 'İzmirTicaretBorsası', 'Pamuk', 'EgePamuğu', 'Coğrafiİşaret']"
fatih pakdamar,@fatihpakdamar,2021-08-06T23:00:58.000Z,"B) 
1-Dünya Pamuk borsası fiyatı 
2-Dünya daki genel emtia hareketleri.
3-Dünyadaki genel enflasyon ve faiz değerleri.
4-Dolar/TL kuru...
Bunlar #pamuk fiyatlarını yine doğrudan etkiler.",,,1,4,['pamuk']
Innova Bedding,@innovabedding,2021-08-11T06:33:21.000Z,"Organik Pamuk

%100 Doğal pamuk dolgu malzemesi ile üretilmiş yatakların nem emici, havalandırılabilir ve ten teması ile uyumlu özellikte olduğunu biliyor musunuz?

#pamuk #cotton #organiccotton #mattress

𝐬𝐚𝐥𝐞𝐬@𝐢𝐧𝐧𝐨𝐯𝐚𝐛𝐞𝐝𝐝𝐢𝐧𝐠.𝐜𝐨𝐦
+𝟗𝟎𝟑𝟓𝟐𝟐𝟑𝟓𝟔𝟎𝟔𝟎",,,2,4,"['pamuk', 'cotton', 'organiccotton', 'mattress']"
fatih pakdamar,@fatihpakdamar,2021-08-12T19:54:30.000Z,Çok “demiştim” demek istemiyorum. Ama demiştim ... Cumaya kalmaz 94 ü dener demiştim... #pamuk #pamuğu #fiyati #borsa #izmir #balya #kütlü #tohum #verim #dekar #no #amerikan #yunan #özbek #yöre #hasat #sezon #mevsim,,1,,3,"['pamuk', 'pamuğu', 'fiyati', 'borsa', 'izmir', 'balya', 'kütlü', 'tohum', 'verim', 'dekar', 'no', 'amerikan', 'yunan', 'özbek', 'yöre', 'hasat', 'sezon', 'mevsim']"
fatih pakdamar,@fatihpakdamar,2021-08-10T13:52:44.000Z,Ve Pamuk !!! 94 bölgesini deneyecek. Bu bölgeyi defalarca yazdım. Sağlam tavandır. 2010 sonunda bir kere geçildi temiz  geçildi  Sezon zor olacak. #pamuk #cotton #emtia #izmir #borsa #amerikan #yunan #özbek #yöre #balya #kütlü #telef #penye #ring #vadeli #kontrat #pamuğu,,,2,2,"['pamuk', 'cotton', 'emtia', 'izmir', 'borsa', 'amerikan', 'yunan', 'özbek', 'yöre', 'balya', 'kütlü', 'telef', 'penye', 'ring', 'vadeli', 'kontrat', 'pamuğu']"
fatih pakdamar,@fatihpakdamar,2021-08-07T09:02:36.000Z,1-Pamuk #fiyatı nasıl oluşur ? Bir takipçimiz sormuş. Amerika NY da bir vadeli #Pamuk #borsası vardır. Burda nerdeyse 24 saat işlem olur. Fiziksel Pamuk sevk edilmez lakin onlarca ton Ekim Aralık Mart Mayıs gibi yüklemelerle adlandırılan #kontrat satışları olur.,,1,,5,"['fiyatı', 'Pamuk', 'borsası', 'kontrat']"
fatih pakdamar,@fatihpakdamar,2021-08-07T09:06:11.000Z,"2-Bu ve benzer #emtia borsalarının asıl amacı. Mal yüklemek değil. Fiyat oluşmasını, işlem hızını, risk yönetimini (#hedge) kolaylaştırmaktır. Gerçek yüklemeli fiziksel piyasa ile tam örtüşmez. Ama birbirini düzletir ve çok etkiler... #borsa #pamuk #ny #Amerikan",,1,1,2,"['emtia', 'hedge', 'borsa', 'pamuk', 'ny', 'Amerikan']"
