username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Nermin,@InspiringPeopl6,2021-08-08T06:23:28.000Z,"#HappySunday #Pazar 

It's Sunday. Sometimes,  some people are not able to change their behaviour. 

A friend's pic",,2,,3,"['HappySunday', 'Pazar']"
İngilizce Cümle,@ingilizce_cumle,2021-08-08T07:58:50.000Z,Good morning beautiful people #pazar #haftasonu,,,,11,"['pazar', 'haftasonu']"
Engr Faisal,@Eng_Faisal_Aziz,2021-08-08T06:05:21.000Z,"Morning 

#Pazar",,,,5,['Pazar']
Bahar,@Halise_Alp48,2021-08-08T12:25:59.000Z,Son anda...#pazar #fazılsay #Mugla #Bodrum,"Fazıl Say
@fazilsaymusic
 · Aug 8",,11,32,"['pazar', 'fazılsay', 'Mugla', 'Bodrum']"
Angel,@mlkustgl,2021-08-08T19:29:31.000Z,"I didn't know what I wanted ; I was afraid of life, I wanted to run away from life, But I was still expecting something from life.
#iyigeceler #picemiyeti #pazar #GeceyeNotum #GeceyeBirNot",,,,1,"['iyigeceler', 'picemiyeti', 'pazar', 'GeceyeNotum', 'GeceyeBirNot']"
ayla,@Heidiweld,2021-08-08T15:41:42.000Z,Vintage #pazar,,,,10,['pazar']
eric haala,@Harlanderic2,2021-08-08T05:24:22.000Z,"Turkish man arrested by the regime in Kenya. He will probably be sentenced to death.

#busenazsurmeneli
#pazartesi
#pazar",,,1,,"['busenazsurmeneli', 'pazartesi', 'pazar']"
Zeyneplik,@salsanatzeynep,2021-08-08T11:15:57.000Z,"https://youtu.be/R0xoMhCT-7A
What s wonderful world..
#yagmur #Ankara #pazar","OFFICIAL Israel ""IZ"" Kamakawiwoʻole - ""What A Wonderful World"" Video
Subscribe for more IZ!Israel ""IZ"" Kamakawiwo`ole's video of the worldwide hit ""What A Wonderful World"" produced by Jon de Mello for The Mountain Apple Compan...
youtube.com",,,1,"['yagmur', 'Ankara', 'pazar']"
Abas Rajir KIGOZI,@abasrajirkigozi,2021-08-08T06:44:05.000Z,"#Pazar
As we felicitate the the Olympic victors #Cheptegei  #Chemutai  & #Kiplomo 
#Uganda   #OlympicGamesTokyo2020

#Tokyo2020 #olympics2020
#instasaturday #sundaymood #sanday #beatifulday #thusday #dayoff #sunny #funday #weekend #SaturdayVibes",#Tokyo2020 and 5 others,,,,"['Pazar', 'Cheptegei', 'Chemutai', 'Kiplomo', 'Uganda', 'OlympicGamesTokyo2020', 'Tokyo2020', 'olympics2020', 'instasaturday', 'sundaymood', 'sanday', 'beatifulday', 'thusday', 'dayoff', 'sunny', 'funday', 'weekend', 'SaturdayVibes']"
Cihan Şin,@cihansinn,2021-08-08T15:09:50.000Z,"Sunday mod ON 
#pazar #deniz #LionelMessi",,1,,6,"['pazar', 'deniz', 'LionelMessi']"
"Michael Corleone, Tr",@istanbul345678,2021-08-08T07:48:00.000Z,Vaww . #yagmur #hayat #pazar,"Tuna Yüksel
@tunayuxel
 · Aug 8
hayatım, geçmişte mutlu olduğum ama mutlu olduğumu bilmediğim anlardan oluşuyor.",,,,"['yagmur', 'hayat', 'pazar']"
Yazan Adam,@twit_Meclisi,2021-08-08T05:18:25.000Z,"Trabzonlu vatandaş ağzını bir açtı pir açtı.

Ormanları yaktıran Erdoğan 
15 temmuzu yaptıran Erdoğan 
Herseye el koyan para çalan Erdoğan 

 #pazar",,70,456,1.1K,['pazar']
CUMHUR,@cmhr1881,2021-08-08T05:17:47.000Z,"Merhamet kitaplardan öğrenilmez. Merhamet, merhametli olanlardan öğrenilir.

Herkese güzel haberler alacağı mutlu bir gün diliyorum. #pazar","0:15
15.6K views",24,348,1K,['pazar']
Funda,@sidneygirl112,2021-08-08T05:31:34.000Z,"Satın alınamayan şeyleri severim ben. Deniz gibi, gökyüzü gibi, ay gibi, güneş gibi ve sevgi gibi.

-Sabahattin Ali

Mutlu pazarlar 

#pazar",,78,34,576,['pazar']
Mehmet Çınar,@mehmetcinar44,2021-08-08T17:21:09.000Z,"Uğur Böceği Sosyal Tesislerimizde vakit geçiren kıymetli hemşehrilerimize selam verip hasbihâl ettik.
#pazar",,,23,103,['pazar']
hakan yildiz,@hakanyildizi,2021-08-08T04:00:33.000Z,"•  ""Her başarının temelinde , iyi niyet vardır.""

 #pazar",,,29,184,['pazar']
Serpil,@ahserr,2021-08-08T08:16:11.000Z,"Kalbimizdeki iyiliğin
Dünyayı sevgiyle aydınlattığı
Güzel bir gün olsun..

 #mutlugünler 
 #pazar",,14,138,691,"['mutlugünler', 'pazar']"
