username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Bilge,@aynenbilge,2021-08-09T05:07:27.000Z,"‘ Morn .

#pazartesi",,,,19,['pazartesi']
Nermin,@InspiringPeopl6,2021-08-09T06:23:30.000Z,"#HappyMonday #Pazartesi 

Are you ready to walk another stony road? Have the courage to do it. 

A friend's pic",,,,5,"['HappyMonday', 'Pazartesi']"
Ümit Aktaş,@97umitats003,2021-08-09T01:23:19.000Z,"Amin
#pazartesi",,,,6,['pazartesi']
NurA,@NurBalto_AB,2021-08-10T08:08:03.000Z,"H e l l o o o o 
          Summer vibes  

#pazartesi",,,,1,['pazartesi']
İlker,@ilker_karaaslan,2021-08-09T09:10:45.000Z,"my frequency 
 #pazartesi",,,,1,['pazartesi']
Cigdem Celik,@juve_baby,2021-08-09T05:31:41.000Z,Isengard Unleashed #pazartesi,,1,,7,['pazartesi']
Şeymaaa,@seyma3889,2021-08-09T12:01:21.000Z,Is guc :) #pazartesi  #İstanbul,,,,5,"['pazartesi', 'İstanbul']"
Goreme Inn,@GoremeInnHotel,2021-08-09T06:55:59.000Z,#dgs2021 #bornova #pazartesi #Emanet #Messi #iyihaftalar #BLACKPINK5thANNIVERSARY #Tokyo2020  Good morning,,,1,9,"['dgs2021', 'bornova', 'pazartesi', 'Emanet', 'Messi', 'iyihaftalar', 'BLACKPINK5thANNIVERSARY', 'Tokyo2020']"
Sev Kudu,@sev_kudu,2021-08-09T05:55:45.000Z,"F-E-A-R
Has two meanings;

Forget everything and run 

Or

Face everything and rise!

The CHOICE is yours 

#mondaythoughts #pazartesi #Motivation",,,,3,"['mondaythoughts', 'pazartesi', 'Motivation']"
'Ne kadarda Pınar gibi bir profil' dedi,@Pnr_eym,2021-08-09T04:52:53.000Z,"Sade #gunaydin 
#pazartesi",,,,5,"['gunaydin', 'pazartesi']"
aresevi,@aresevi1,2021-08-09T09:07:21.000Z,"#pazartesi 
I though I saw",,,,,['pazartesi']
ᴇᴄɴᴜɴ ʙᴇʏᴅᴀɢ̆ ✯✯✯,@Mecnunbjk1903,2021-08-09T12:37:47.000Z,"𝐋𝐨𝐯𝐞 𝐭𝐡𝐞 𝐥𝐢𝐟𝐞 𝐲𝐨𝐮 𝐥𝐢𝐯𝐞.𝐋𝐢𝐯𝐞 𝐭𝐡𝐞 𝐥𝐢𝐟𝐞 𝐲𝐨𝐮 𝐥𝐨𝐯𝐞. 𝐇𝐨𝐦𝐞
#𝐏𝐚𝐳𝐚𝐫𝐭𝐞𝐬𝐢",,,,19,['𝐏𝐚𝐳𝐚𝐫𝐭𝐞𝐬𝐢']
Efe,@efe_m8,2021-08-09T07:20:12.000Z,"Today Im going to start new portfolio project. 
#mondaythoughts 
#React 
#HTML 
#CSS3 
#javascript 
#codinglife 
#code 
#developer 
#softwaredevelopment 
#webdevelopment 
#tailwindcss 
#MondayMotivaton 
#MondayVibes 
#pazartesi 
#plantbased",,1,14,7,"['mondaythoughts', 'React', 'HTML', 'CSS3', 'javascript', 'codinglife', 'code', 'developer', 'softwaredevelopment', 'webdevelopment', 'tailwindcss', 'MondayMotivaton', 'MondayVibes', 'pazartesi', 'plantbased']"
eric haala,@Harlanderic2,2021-08-08T05:24:22.000Z,"Turkish man arrested by the regime in Kenya. He will probably be sentenced to death.

#busenazsurmeneli
#pazartesi
#pazar",,,1,,"['busenazsurmeneli', 'pazartesi', 'pazar']"
