username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Doğan Kökdemir,@dkokdemir,2021-08-06T07:41:51.000Z,"Son olarak #psikoloji bir sosyal bilim değil. Bilim. Bilimin sosyali, antisosyali yapay bir uydurmadır. Ayrıca Fakültelerin adı ""Science and Letters""dır, ""Edebiyat"" zaten yanlış kullanım. Eğer çok önemliyse #psikoloji ""science"" kısmındadır; ""letters"" değil. ",,1,42,637,"['psikoloji', 'psikoloji']"
Doğan Kökdemir,@dkokdemir,2021-08-06T23:10:42.000Z,"Farklı alanlardan gelen uzmanların çoğunlukla, psikologların ve #psikoloji öğrencilerinin de (maalesef) zaman zaman unuttukları basit bir gerçek var:

psikoloji > (klinik psikoloji ≠ psikoterapi )

Bu unutulunca argümanlar anlamsız kalıyor.",,4,24,334,['psikoloji']
Zeynep Akyüz,@PskZeynepAkyuz,2021-08-11T13:23:15.000Z,"#Psikoloji bölümlerine liyakata göre öğretim elemanı istihdamı için elimizden geleni yapacağız. Derneğimize üye olarak, bu yolculukta bize destek olabilirsiniz.","Türk Psikologlar Derneği
@TPDBilgi
 · Aug 11
12 Temmuz 2021 tarihli Resmi Gazete'de yayımlanan Kırıkkale Üniversitesinin öğretim üyesi ilanı hakkında yasal sürecin başlatıldığı meslektaşlarımıza duyurulur.",,6,53,['Psikoloji']
Psikoloji Bilim Akademisi,@psk_BA,2021-08-12T17:55:55.000Z,"100 Years of #Psychology Studies
#Psikoloji Çalışmalarının 100 Yılı

https://sciencenews.org/century/psychology-mind-humans-mental-health… (Cc: 
@PSK100TR
 )","100 years of psychology studies have tried to make sense of the mind
Contentious ideas and sometimes questionable experiments have offered intriguing insights into what makes us tick.
sciencenews.org",,16,134,"['Psychology', 'Psikoloji']"
YAĞIZ ATA #İstanbulSözleşmesiYaşatır,@PskYGZ,2021-08-05T07:28:46.000Z,"Zaferimizin Yıl Dönümü Lakin Ülkemizde ki Yangınlardan Dolayı Kutlamalarımızı Sessiz ve Abartmadan Yapıyoruz, Tekrardan Tüm #Psikoloji Ailesinin Zaferini Kutluyorum. 

İnandık, Çalıştık ve KAZANDIK
#5AğustosPsikolojiŞenliği 
@TPDBilgi","Türk Psikologlar Derneği
@TPDBilgi
 · Aug 5
Kamuoyuna saygıyla duyurulur.",,2,34,"['Psikoloji', '5AğustosPsikolojiŞenliği']"
YAĞIZ ATA #İstanbulSözleşmesiYaşatır,@PskYGZ,2021-08-05T21:51:59.000Z,"Psikiyatri Uzmanı #Psikolog’un Amiri yada Üstü Değildir

Bu Tür Yaklaşımların Temelinde Türkiye’de Piyasada Dönen Paranın Paylaşılmak İstenmemesindendir

#Psikoloji // 
@TPDBilgi
 // 
@LPBilgi",,4,27,179,"['Psikolog', 'Psikoloji']"
YAĞIZ ATA #İstanbulSözleşmesiYaşatır,@PskYGZ,2021-08-09T19:54:57.000Z,"#Psikoloji Alınımızda ki  60.000 Psikoloğun Hakkı Var Üzerimizde ve Kimsenin Psikologların Hakkına Girmesine İzin Vermeyeceğiz 

#SenVarsanÇözümVar // 
@TPDBilgi",Türk Psikologlar Derneği,,6,50,"['Psikoloji', 'SenVarsanÇözümVar']"
Cyprus Science University,@csuedutr,2021-08-11T13:31:00.000Z,"Neden İktisadi, İdari ve Sosyal Bilimler Fakültesi? 

#OnceSen  #benimtercihimturuncu #yks21 #tercih #psikoloji #iktisadiidari",,,5,11,"['OnceSen', 'benimtercihimturuncu', 'yks21', 'tercih', 'psikoloji', 'iktisadiidari']"
M. Hakan Türkçapar,@HTurkcapar,2021-08-06T07:07:03.000Z,"Eğer olumsuz duygularımız olduğunda onları bastırmaya, yok etmeye çalışırsak ya da onlara eşlik eden düşüncelere gerçekmiş gibi davranırsak o duygular devam eder ve peşimizi bırakmaz.
#psikiyatri #psikiyatrist #psikoloji #insan #insanpsikolojisi #duygu #duygular #ruhsağlığı",,5,66,496,"['psikiyatri', 'psikiyatrist', 'psikoloji', 'insan', 'insanpsikolojisi', 'duygu', 'duygular', 'ruhsağlığı']"
YAĞIZ ATA #İstanbulSözleşmesiYaşatır,@PskYGZ,2021-08-11T18:38:53.000Z,"19 Haziranda Seçilen #YeniYönetim olarak #Psikoloji Öğrencilerini Değerli ve Önrmli Buluyoruz.

Öğrenci Arkadaşlarımızın Gücüne ve Yeteneklerine İnanıyoruz.

Artık Evinize Dönme Zamanı 
@TPDBilgi
Gelin TPD Öğrenci Birimini Türkiye’nin En Büyük Öğrenci Topluluğu Yapalım",,,3,40,"['YeniYönetim', 'Psikoloji']"
