username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Sandwell Adult Education,@learnsafl,2021-08-05T08:34:58.000Z,Thank you so much for providing the books for our Reading with your Child courses #Rotary Club of Wednesbury   These will be hugely beneficial to the families involved.,Sandwell Council and SCVO,,1,2,['Rotary']
Rotary Club Of Ballarpur Dist 3030,@RBallarpur,2021-08-05T10:54:32.000Z,"People of action...
#Rotaryindia
#Rotary",Shekhar Mehta and 5 others,,2,6,"['Rotaryindia', 'Rotary']"
Frome Rotary,@FromeRotary,2021-08-06T21:10:23.000Z,The #Rotary in #Frome shop has revised opening hours during August. We will continue to open from Wednesday to Saturday but with reduced hours from 10am to 2pm. Your fantastic support is allowing us to support local charities  #shoplocal #frome,,,3,3,"['Rotary', 'Frome', 'shoplocal', 'frome']"
Bryan Kelly,@RotaryQuotes,2021-08-07T02:51:00.000Z,"""We need to expand our membership so we can do more work."" John Germ #Rotary",,,2,5,['Rotary']
Rotary International,@Rotary,2021-08-09T13:36:16.000Z,"Dozens of people from Meihua village, Taiwan, were trained in organic farming techniques through a project of #Rotary clubs in Taiwan and Thailand. Find out what else we're doing to fight climate change: https://on.rotary.org/3CuVAso",,1,26,54,['Rotary']
RC Jericho Metro Ibadan,@RcIbadan,2021-08-06T16:34:11.000Z,"Final Boarding Call!!!  All Roads leads to Rotary Club of Ibadan Jericho-Metro  Investiture at Kakanfo Inn    Pack your Bag & Luggages and Don't be left out 
#Rotary 
#rotaryinternational",,,2,4,"['Rotary', 'rotaryinternational']"
Rotary International,@Rotary,2021-08-05T16:27:50.000Z,"Gordon R. McInally, of the Rotary Club of South Queensferry, Lothian, Scotland, has been selected to become #Rotary president for 2023-24.",,24,118,264,['Rotary']
Rotary Club of Accra-Legon,@rcaccralegon,2021-08-05T07:07:29.000Z,Have you joined the family yet? Come let’s serve to change lives!  #Rotary,,,1,1,['Rotary']
Leandro Oliveira,@BrokerClassA,2021-08-11T11:43:59.000Z,#Rotary Bom dia! Good Morning!,,,1,1,['Rotary']
"Nancy Germond, MA",@insurancewriter,2021-08-12T19:33:47.000Z,"USO Arizona's Ms Garcia presenting today about the USO mission. 

#Rotary",,,,1,['Rotary']
Rtn Pawan Agarwal,@Rotary3110,2021-08-06T13:17:31.000Z,"August is the month for increasing members in Rotary International Lets all join hands and come together to serve and change lives.

#EachOneBringOne #Rotary #RotaryInternational #RD3110 #District3110 #volunteering #change #leadership #inspiration",Rotary International and 3 others,,2,4,"['EachOneBringOne', 'Rotary', 'RotaryInternational', 'RD3110', 'District3110', 'volunteering', 'change', 'leadership', 'inspiration']"
Rotary Norwich,@RotaryNorwich,2021-08-05T16:31:00.000Z,"Why Should I Join Rotary?

Change lives: You’ll have the opportunity to discuss & act upon your community’s greatest needs

Find out more at https://rotaryclubnorwich.co.uk/how-to-join-rotary.html…
 
#Rotary #Norwich",,,2,5,"['Rotary', 'Norwich']"
Rotary Club of Acacia Sunset,@RotaryAcaciasu1,2021-08-12T07:17:10.000Z,"""Be a good Ambassador of doing good to the world.""
#Rotary
#ServiceAboveSelf
#ServeToChangeLives",,,,7,"['Rotary', 'ServiceAboveSelf', 'ServeToChangeLives']"
Norman Rotary Club,@NormanRotary,2021-08-06T16:30:12.000Z,"Yesterday at #Rotary we heard visions of a vastly improved Lake Thunderbird.

When were you last out at Lake Thunderbird? What did you do?",,1,,3,['Rotary']
Bryan Kelly,@RotaryQuotes,2021-08-10T23:51:00.000Z,"""Remember that great missions are serious undertakings."" Paul Harris #Rotary",,,,4,['Rotary']
