username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Rich Nickel,@Rich_Nickel,2021-08-06T22:54:38.000Z,"Loved being with #rural leaders from across #AZ today. Sharing with folks who aren’t part of the education community about the role education plays in rural communities was a blast! Great questions, ideas & clear links between workforce development & high-quality education.","Education Forward Arizona
@EdForwardAZ
 · Aug 6
We’re hitting the ground running as a new organization! 

Today our pres/CEO and EVP/COO are attending/speaking at the 2021 Rural Policy Forum in Sahuarita, #Arizona. @Rich_Nickel @RDPhD2001 #education #ruralpolicy",,2,8,"['rural', 'AZ']"
High Legh & Mobberley Police,@HighLeghMobPol,2021-08-06T21:19:40.000Z,"Good evening, Please taker note of the Police surgeries occurring tomorrow within the rural area of Knutsford. High Legh Village Hall car park 4-5pm  and Mobberley 17.30-18.30 within the Rajar building, Please attend if you haver any policing issues #20604 #rural",,,1,2,"['20604', 'rural']"
NEPowerAlliance,@NEPowerAlliance,2021-08-06T22:52:10.000Z,"New energy careers, millions of dollars in tax revenue and reduced energy prices for our communities are examples of the positive trickle-down effects on our #rural and #state economies! #CleanEnergy #RenewableEnergy #EnergyStorage #Energy",,,2,4,"['rural', 'state', 'CleanEnergy', 'RenewableEnergy', 'EnergyStorage', 'Energy']"
Angie Morrissey,@crhaAngie,2021-08-05T13:35:29.000Z,"Happy birthday 
@CornwallRuralHA
  36 years old today! #rural #1985 #affordablehousing",,,2,4,"['rural', '1985', 'affordablehousing']"
Langton Arms,@LangtonArms,2021-08-06T15:33:42.000Z,"Big Thank you to 
@blackmore_vale
 for choosing The Langton Arms to be “meet your local” of the month! We are especially honoured as it is their “happy birthday” edition. Congratulations!  #meetthelocals #britishpub #englishpub #countrypub #rural #dorset #magazine",,,4,10,"['meetthelocals', 'britishpub', 'englishpub', 'countrypub', 'rural', 'dorset', 'magazine']"
ɢᴇɴᴇʀᴀᴄᴛɪᴏɴ x,@pincho2018,2021-08-05T21:47:42.000Z,Going #rural,,,,3,['rural']
Bryce Oates,@OatesBryce,2021-08-11T12:13:50.000Z,"Replying to 
@OatesBryce",For more detailed info it's worth reading the package put forward Monday by Senate Budget Committee Dems (Bernie Sanders of VT in lead). Links at bottom of this website for docs outlining the Dem resolution:,1,,,[]
Michelle Rathman #LeadershipMatters,@MRBImpact,2021-08-09T23:36:10.000Z,Love your personal story. Thankful for your service and focus on #rural America.,"Deputy Secretary Don Graves
@DepSecGraves
 · Aug 10
Great conversation with @MRBImpact on @RuralMattersPod on the importance of investing in rural communities and how @CommerceGov’s bureau @US_EDA funds from the American Rescue Plan will help rural communities & regions #BuildBackBetter.

You can  here 
https://ruralmatters.libsyn.com/bonus-brief-deputy-secretary-of-commerce-don-graves…",,,,['rural']
RET Germany e.V.,@RETGermany,2021-08-06T08:00:54.000Z,"To leave #NoOneBehind, RET targeted #rural districts and villages around Şanlıurfa with #SGBV training, namely #Suruç District #Sağlık, #Mutluca, and #Havşanlı. To date, RET has reached 350 #women and #men in #Şanlıurfa and surrounding. 
@BMZ_Bund
 @EngGlobal",,,2,2,"['NoOneBehind', 'rural', 'SGBV', 'Suruç', 'Sağlık', 'Mutluca', 'Havşanlı', 'women', 'men', 'Şanlıurfa']"
Marjada Faith Tucker,@marjadafaith,2021-08-06T23:01:22.000Z,"Hands down one of the BEST commitments I’ve made to date  

#primarycare #msmade #rural",,,,3,"['primarycare', 'msmade', 'rural']"
RHIhub,@ruralhealthinfo,2021-08-05T18:19:47.000Z,"Delta-Variant Surge Raises #Rural Cases Five-Fold Since Mid-June, via 
@dailyyonder","Delta-Variant Surge Raises Rural Cases Five-Fold Since Mid-June - The Daily Yonder
See a full-page version of the map The delta variant of Covid-19 surged across the southern Midwest and South for the fifth consecutive week last week,
dailyyonder.com",,2,2,['Rural']
Community Links,@nrvcl,2021-08-10T16:20:06.000Z,"Crossfield Intake Services will be available at the Crossfield Municipal Library the second Wednesday of each month from 10:00am-1:00pm. Intake services can provide information and referrals to help you get connected to agency and community supports. 
#Intake #Rural",,,,,"['Intake', 'Rural']"
Dr. Kathrina O'Connell,@OConnellKatieM,2021-08-05T18:17:53.000Z,"Author, Peter Fane 
@TheSilverRealm
 inspired our #writers and #futureauthors at the #LiteracyAcademy today. Ending the week by #MotivatingReaders and building #confidence. #rural #SummerReading #SummerLearning",,,,3,"['writers', 'futureauthors', 'LiteracyAcademy', 'MotivatingReaders', 'confidence', 'rural', 'SummerReading', 'SummerLearning']"
"Freeman House, 629 & 641 King",@fsawns,2021-08-06T15:47:53.000Z,We need community-based investment in our #rural neighbourhoods; support for local non-profit housing; community-based #wealthcreation; not the same government/private developer for-profit #wealthextraction that got us into this mess in the first place #NSelection #NSpoli,,,3,2,"['rural', 'wealthcreation', 'wealthextraction', 'NSelection', 'NSpoli']"
David H,@snapperdavid46,2021-08-06T09:55:27.000Z,"Rural Devon - field after harvesting with the former Union Inn now shrouded in plastic being converted to a house.

#DEVON #Devon #rural #nature",,,,,"['DEVON', 'Devon', 'rural', 'nature']"
Platform Housing Group,@PlatformHousing,2021-08-11T09:09:29.000Z,"Very proud to give people the opportunity to continue to live locally in the home of the famous Bakewell Tart! #BakewellTartDay
Even though the original is a pudding, not a tart!
#affordablehousing is keeping generations in a town that is in high-demand as a #rural location",,,1,9,"['BakewellTartDay', 'affordablehousing', 'rural']"
Rural Medical Education Collaborative,@ruralhealthcme,2021-08-12T18:38:06.000Z,"Can mobile health services help detect #breastcancer earlier in #rural communities? Check out one such effort in South Carolina that aims to do so by offering free mammography, breast, and cervical cancer screenings.","SC Office of Rural Health
@scruralhealth
 · Jul 27
Bringing mammography services to the communities where women live and work is the best way to close the gaps in breast cancer screening and early detection. Read more on our blog.
https://scorh.net/2021/07/14/mobile-mammography-building-a-bridge-in-rural-communities/…",,3,4,"['breastcancer', 'rural']"
Bayer U.S. | Crop Science,@Bayer4CropsUS,2021-08-10T16:15:01.000Z,"While farmers play a significant role in our food systems and feeding a growing population, rural areas can face food insecurity.

Learn how the Bayer Fund supports #rural communities through food banks, shelters, backpack lunches & more: http://spr.ly/6014y9eD4 

#HungerForNone",,,3,3,"['rural', 'HungerForNone']"
EFFECT,@effectH2020,2021-08-05T12:31:38.000Z,"Habitat and host specificity of epiphytic lichens in a #rural landscape: #CulturalHeritage habitats as refugia.

Read the technical insight: https://researchgate.net/publication/339658013_Habitat_and_host_specificity_of_epiphytic_lichens_in_a_rural_landscape_cultural_heritage_habitats_as_refugia…",IFRO - Department of Food and Resource Economics and 9 others,,1,7,"['rural', 'CulturalHeritage']"
Berrys Rural Business,@BerrysRural,2021-08-05T13:17:39.000Z,"It will be great to be back at Blakesley Show on 7th August.

Visit our stand and join us for drinks and nibbles.

#Berrys #Rural #Property #BlakesleyShow #Kettering #Towcester #Oxford #GreatToBeBack #ComeAndJoinUs",,,,2,"['Berrys', 'Rural', 'Property', 'BlakesleyShow', 'Kettering', 'Towcester', 'Oxford', 'GreatToBeBack', 'ComeAndJoinUs']"
Ayan Chakravarty,@ChakravartyAyan,2021-08-05T14:00:33.000Z,"A hugely enlightening session on Universal #Health Access in #Rural India with illustrious panel at the #IndiaRuralColloquy
@TRIFoundation
 @neerajPATH
 @SPreraks
 @vanyayayayaya
 @Gupta_Shivanii
 @GaonConnection
 @heeralalias
 @ManojShukul
 @MedhaGandhi",,,1,,"['Health', 'Rural', 'IndiaRuralColloquy']"
Dr. Melissa Sadorf,@dr_sadorf,2021-08-12T00:46:00.000Z,A6: In my #rural community I would love to see a robust mentoring program based on student interest and community assets! #FellowsAtED,,2,1,10,"['rural', 'FellowsAtED']"
"District Collector, Trichy - Official",@Collector_Try,2021-08-08T17:24:17.000Z,"#Tiruchirappalli #VaccinationAlert

#Tiruchirappalli #Rural Areas- Vaccination Camp details. 

Date : 09.08.2021

#LetsVaccinateTrichy #Trichy",,2,7,20,"['Tiruchirappalli', 'VaccinationAlert', 'Tiruchirappalli', 'Rural', 'LetsVaccinateTrichy', 'Trichy']"
Community HealthCare System,@chcsks,2021-08-11T14:59:35.000Z,"We are honored to serve NE Kansas. Thanks for sharing the piece, and thanks to Ron Wilson for featuring us! #rural #ruralhealthcare","Rural Development Kansas
@RurDev_Kansas
 · Aug 11
Kudos to Community Healthcare Systems of NE #Kansas, @chcsks. A great article from @KStateRE on their success in #rural #healthcare.
https://ksre.k-state.edu/news/stories/2021/08/kansas-profile-onaga-community-hospital.html…",,,4,"['rural', 'ruralhealthcare']"
Center for Optimizing Rural Health,@RuralHealthTAMU,2021-08-10T19:15:02.000Z,"Vaccination rates are on the rise with 19 states seeing gains in the pace of #rural vaccinations. Check out 
@dailyyonder
’s interactive map to see how your county is stepping up to get #vaccinated.","Pace of Rural Vaccinations Increases in 19 States - The Daily Yonder
See a full-page version of the map. Nineteen states – including several with rising rates of new Covid-19 infections – saw gains in the pace of rural
dailyyonder.com",,3,9,"['rural', 'vaccinated']"
Tanya Hangos,@PlanteTanya,2021-08-08T00:35:59.000Z,Excited for the Washington County Fair! I’ll be stopping by dressed in Magenta. Looking forward to having some fun while supporting my HTE team and our rural towns! #smra #NewEngland #fair #5g #rural #ri,T-Mobile Truck Southeastern Massachusetts and Ron Smith,,3,13,"['smra', 'NewEngland', 'fair', '5g', 'rural', 'ri']"
"District Collector, Trichy - Official",@Collector_Try,2021-08-06T17:04:42.000Z,"#Tiruchirappalli #VaccinationAlert

#Tiruchirappalli #Rural Areas and #TiruchirappalliCorporation - Vaccination Camp details. 

Date : 07.08.2021

#LetsVaccinateTrichy #Trichy",,,10,32,"['Tiruchirappalli', 'VaccinationAlert', 'Tiruchirappalli', 'Rural', 'TiruchirappalliCorporation', 'LetsVaccinateTrichy', 'Trichy']"
Panagiotis Tsakos,@pt_photography,2021-08-06T21:00:43.000Z,"Wandering

#interior #interiors #inner #in #design #designer #interiordesigner #decor #decoration #decorator #structure #theme #concept #architect #architecture #architecturephotography #interiorphotography #urban #rural #house #home #cottage #space #peace #calm #condo #style",,,,,"['interior', 'interiors', 'inner', 'in', 'design', 'designer', 'interiordesigner', 'decor', 'decoration', 'decorator', 'structure', 'theme', 'concept', 'architect', 'architecture', 'architecturephotography', 'interiorphotography', 'urban', 'rural', 'house', 'home', 'cottage', 'space', 'peace', 'calm', 'condo', 'style']"
SBA,@SBAgov,2021-08-12T19:38:31.000Z,"In two weeks: SBA and 
@USDA
 are teaming up for a webinar about small businesses in #rural communities! Learn about resources to help you launch or expand a business, get counseling, access capital, recover from disasters and more. 

 Register here: https://rural.eventbrite.com","SBA celebrates rural entrepreneurship
eventbrite.com",3,15,10,['rural']
The Suffolk Beekeeper,@BurroughesHoney,2021-08-12T08:05:28.000Z,"The last of the forage being cut for this year. Another wonderful farm smell of newly cut hay - bliss! 
@FarmingUK
 @engcountrylife
 #farming #rural 
@dairy_farmers
 ",,,1,3,"['farming', 'rural']"
Purdue Center for Regional Development,@pcrd,2021-08-12T17:52:32.000Z,"Honored to have introduced some of our #ACC 
@LeadForAmerica_
 fellows to the #Indiana #rural caucus",,,1,1,"['ACC', 'Indiana', 'rural']"
Senator Rob Black,@SenatorRobBlack,2021-08-12T14:30:05.000Z,"On this International Youth Day, I'd also like to highlight just some of the many organizations that are doing great work with youth in #CdnAg and #rural communities. On behalf of many, thanks for all that you do! 
@4HCanada
 @4HOntario
 @JuniorFarmers
 @BGCCAN
 @AITCCanada
 @AgScapeON",,,9,18,"['CdnAg', 'rural']"
Center for Optimizing Rural Health,@RuralHealthTAMU,2021-08-09T15:50:03.000Z,"#Rural communities have historically been left out of medical research because of lack of access, but not anymore. 
@uabSOPH
 recently launched the RURAL study, aimed at bringing heart and lung research on the road.","UAB uses mobile clinic to examine disease risk of rural Southerners
The RURAL Heart and Lung Study clinic will bring to rural communities technology that provides access to diagnostic tests that are not routinely done in rural settings. UAB researchers will examine...
uab.edu",,1,2,['Rural']
Colin Griffiths,@RichGiftoflins,2021-08-06T08:59:57.000Z,"Bottom Of The Garden
.
#leicestershire #documentingbritain #rural #hathern #photooftheday",,,,2,"['leicestershire', 'documentingbritain', 'rural', 'hathern', 'photooftheday']"
