username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TBB Sosyal Tesisleri,@tbbsosyaltesis,2021-08-08T14:41:40.000Z,"Sağlık varsa mutluluk da vardır.

Faydalı bilgiler köşemizde bugün ""Enginar"" var.

#sağlıklıyaşam",,,,,['sağlıklıyaşam']
Dr.Ersin Arslan EAH Gaziantep,@ErsinEah,2021-08-13T06:07:04.000Z,"Aşırı sıcaklarda mecbur kalmadıkça dışarı çıkmayın.
Aşırı Sıcaklardan En Çok Etkilenen Kişiler
- Kronik hastalığı olanlar
- 65 ve üstü yaştakiler
- Dört yaşından küçük çocuklar
- Obeziteden etkilenenler
- Gebeler
#Ağustos #sağlık #saglikliyasam",,,,6,"['Ağustos', 'sağlık', 'saglikliyasam']"
Sevde Sena,@ssylmz28,2021-08-10T20:53:12.000Z,Adım adım #sağlıklıyaşam,"Prof Dr Güner Sönmez
@DrGunerSonmez
 · Dec 17, 2020
Kahveyi severek içiyoruz; faydalarını bilseydiniz daha çok severdiniz. 

#Kahve ; Enerjinizi arttırır, mutluluk verir, şeker hastalığından korur, zayıflatır, Alzheimer ve demans riskini azaltır.

Karaciğerinizi korur. Hatta kalın bağırsak ve karaciğer kanseri riskini azaltır.
Show this thread",,,4,['sağlıklıyaşam']
✮llıı 𝓚𝓪𝓿𝓲𝓷 𝓲𝓷𝓬𝓲 𝓖𝓮𝓬𝓴𝓲𝓵 ııll✮,@inci_kitap63,2021-08-07T10:23:20.000Z,"#siberianwellness
#sağlıklıyaşam
#Kavinincigeçkil

 Detaylı bilgi için #dm ulaşabilirsiniz.",,,14,274,"['siberianwellness', 'sağlıklıyaşam', 'Kavinincigeçkil', 'dm']"
Lokman Ecza Deposu,@LokmanEcza,2021-08-06T06:03:22.000Z,"#GününÖnerisi 

Bolca sıvı kaybettiğimiz bu günlerde sağlıklı sıvı miktarını yakalamak için günde en az 8 bardak su tüketmeliyiz.  
.
.
#LokmanEczaDeposu #LokmanEcza #TamZamanında #Eczane #Eczacı #eczacılık #eczacım #Antalya #Türkiye #Spor #SağlıklıYaşam #su #water",,,1,5,"['GününÖnerisi', 'LokmanEczaDeposu', 'LokmanEcza', 'TamZamanında', 'Eczane', 'Eczacı', 'eczacılık', 'eczacım', 'Antalya', 'Türkiye', 'Spor', 'SağlıklıYaşam', 'su', 'water']"
Mora Türkiye,@MoraTurkiye,2021-08-08T18:41:57.000Z,"Sağlıktan büyük zenginlik yoktur.
- Ralph Waldo Emerson

#sağlıklıyaşam",,,1,1,['sağlıklıyaşam']
Beypazarı Doğal Maden Suyu,@bypzrimadensuyu,2021-08-11T06:10:24.000Z,"Türkiye’nin lider maden suyu markası olarak, tam 64 yıldır doğanın mucizesi maden suyumuzu aynı kaynaktan, değişmeyen tadıyla sizlerle buluşturmanın mutluluğunu yaşıyoruz

#beypazarımadensuyu #madensuyubeypazarıdır #madensuyu #mineral #sağlıklıbeslenme #sağlıklıyaşam #beslenme",,,,11,"['beypazarımadensuyu', 'madensuyubeypazarıdır', 'madensuyu', 'mineral', 'sağlıklıbeslenme', 'sağlıklıyaşam', 'beslenme']"
Gezer,@Gezer_Ayakkabi,2021-08-07T18:22:34.000Z,"İnsanın bütün ağırlığının baskısına gün boyu maruz kalan ve dış etkenlerle fazlaca etkileşime giren ayakların sağlığı ve bakımı insan sağlığı için büyük önem taşımaktadır.

#AyakBakımı #SağlıklıAyaklar #gezer #Sağlık #Terlik #Ayakkabı  #saglikliyasam  #GezersenBilirsin",,,2,4,"['AyakBakımı', 'SağlıklıAyaklar', 'gezer', 'Sağlık', 'Terlik', 'Ayakkabı', 'saglikliyasam', 'GezersenBilirsin']"
NBL Türkiye,@nblturkiye,2021-08-11T10:22:07.000Z,Günlük içilmesi gereken su miktarı kişiden kişiye değişse de uzmanlar günde ortalama 8-10 bardak su içilmesini tavsiye ediyor. #Tavsiye #SağlıklıYaşam,,,,,"['Tavsiye', 'SağlıklıYaşam']"
Diyetisyen Günhan Yuran,@GunhanYuran,2021-08-05T16:22:58.000Z,#afyon #afyondiyetisyen #diyetisyenafyon #diyet #diyetisyen #onlinediyet #weightloss #health #sağlıklıbeslenme #sağlıklıyaşam #andulasyon #afyonandulasyon #diyetisyengünhanyuran #afyondiyet #diyetafyon #nydietwellness,,,2,4,"['afyon', 'afyondiyetisyen', 'diyetisyenafyon', 'diyet', 'diyetisyen', 'onlinediyet', 'weightloss', 'health', 'sağlıklıbeslenme', 'sağlıklıyaşam', 'andulasyon', 'afyonandulasyon', 'diyetisyengünhanyuran', 'afyondiyet', 'diyetafyon', 'nydietwellness']"
