username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
RET Germany e.V.,@RETGermany,2021-08-06T08:00:54.000Z,"To leave #NoOneBehind, RET targeted #rural districts and villages around Şanlıurfa with #SGBV training, namely #Suruç District #Sağlık, #Mutluca, and #Havşanlı. To date, RET has reached 350 #women and #men in #Şanlıurfa and surrounding. 
@BMZ_Bund
 @EngGlobal",,,2,2,"['NoOneBehind', 'rural', 'SGBV', 'Suruç', 'Sağlık', 'Mutluca', 'Havşanlı', 'women', 'men', 'Şanlıurfa']"
Yıldız Özkan Terziog,@YTerziog,2021-08-11T10:14:47.000Z,"If there is really no expectation, nothing that emerges will disturb the inner balance and disappoint.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogi']"
Yıldız Özkan Terziog,@YTerziog,2021-08-10T06:33:31.000Z,"To achieve the power of love, you must learn to give without receiving.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogi']"
Yıldız Özkan Terziog,@YTerziog,2021-08-12T07:51:15.000Z,"Awareness is the beginning of the solution.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogaismagic  #yogaposes #healthymind",,,1,3,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogaismagic', 'yogaposes', 'healthymind']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
Biopark Medical,@BioparkMedical,2021-08-10T12:09:07.000Z,"RE-POST from 
@dr
.joia_kyoto
..

#bioparkmedical #biopark #mpgun  #mesotherapy #mesotherapygun #health  #medicalaesthetics #mesotherapy #mesotherapygun #aesthetic #beauty #estetik #mezoterapi #mesopengun #güzellik #sağlık",,,,2,"['bioparkmedical', 'biopark', 'mpgun', 'mesotherapy', 'mesotherapygun', 'health', 'medicalaesthetics', 'mesotherapy', 'mesotherapygun', 'aesthetic', 'beauty', 'estetik', 'mezoterapi', 'mesopengun', 'güzellik', 'sağlık']"
Seval,@GazeteciSeval,2021-08-09T09:44:37.000Z,"Grip mi Covid-19 mu?

#Kahramanmaraş #habermerkezi46 #haber #sağlık #covid19 #grip #koronavirüs #ağustos #pazartesi","Grip mi Covid-19 mu?
Gribal enfeksiyon ile Covid-19 semptomlarının benzerlik gösterdiğini belirten uzmanlar, gribal enfeksiyon belirtileri halinde Covid-19 olma riskinin akılda tutulması gerektiğini kaydederek izole...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'sağlık', 'covid19', 'grip', 'koronavirüs', 'ağustos', 'pazartesi']"
personelsaglikbilgilendirme,@personelsaglik_,2021-08-10T05:55:24.000Z,#Sağlık Bakanlığının yeni sağlık personeli alımı yapması durumunda yıllık izin sorunun çözülebileceğini düşünüyoruz...,,,4,8,['Sağlık']
Egebil Okulları Seyir Kampüsü,@egebilseyir,2021-08-06T13:38:48.000Z,"Glass Slide, Mini Basket  ve bir çok farklı aktivite  ile öğrencilerimiz ders aralarında keyifli dakikalar geçiriyorlar.

#egebilokulları #pendik #spor #sağlık",,,2,6,"['egebilokulları', 'pendik', 'spor', 'sağlık']"
Psikiyatri Hemşireleri Derneği,@PHD_34,2021-08-13T14:10:37.000Z,"Kongremize http://pncongress2021.org adresinden kayıt olabilirsiniz 

#kongre #bilim #sağlık",,,1,1,"['kongre', 'bilim', 'sağlık']"
