username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Nermin,@InspiringPeopl6,2021-08-10T08:54:50.000Z,"#HappyTuesday #Salı 

Sometimes it is not easy to lose courage..

Have a productive successful day 

pinterest beaches",,,,5,"['HappyTuesday', 'Salı']"
Zeynep,@Zeynep60986484,2021-08-10T10:05:48.000Z,K-pop Giresun #salı,,1,,10,['salı']
Brcmzcn,@brcmzcn,2021-08-10T08:04:14.000Z,Work !  #salı,,,,6,['salı']
NurA,@NurBalto_AB,2021-08-10T19:32:59.000Z,"Surf and turf ;)) 

#SALI  #darlingim #erkeklerim",,,,1,"['SALI', 'darlingim', 'erkeklerim']"
APART Assam,@apartassam,2021-08-05T13:49:35.000Z,"Awareness camp of IFFCO liquid urea (nano) application at SDAO office, Rangia.
Fertilizers were distributed among ICMD sali paddy demo farmers under APART/2021-22 at Garaka village.

#Awarenesscamp #IFFCO #liquid #urea #icmd #sali #paddy #farmers #ATMA #APARTAssam",,,1,2,"['Awarenesscamp', 'IFFCO', 'liquid', 'urea', 'icmd', 'sali', 'paddy', 'farmers', 'ATMA', 'APARTAssam']"
NihaN,@NihaN3589,2021-08-10T12:21:16.000Z,"#SALI 
#thursdayvibes 
#ThursdayThoughts 
#ThursdayMotivation 
#TazeFasulye 
#karpuz
LUCY ",,4,2,68,"['SALI', 'thursdayvibes', 'ThursdayThoughts', 'ThursdayMotivation', 'TazeFasulye', 'karpuz']"
Sev Kudu,@sev_kudu,2021-08-10T05:22:48.000Z,"If you focus on the hurt, you will continue to suffer. If you focus on the lesson, you will continue to grow 

#tuesdayvibe #tuesdaymotivations #salı",,,1,4,"['tuesdayvibe', 'tuesdaymotivations', 'salı']"
Boy,@BoyGrsel,2021-08-10T05:13:24.000Z,"sport is over,#salı",,,,5,['salı']
CHANAN Designs,@CHANANdesigns,2021-08-10T08:33:32.000Z,"Custom designs decorative fabrics
Export to all over the world 

#homeworld #chanan #chanandesigns #exclusive #finefabrics #finecurtains #modernhousestyle #modernevler #modernhomes #lifestyle #stilevim #farklı #keşfet #tuesday #salı",,,,,"['homeworld', 'chanan', 'chanandesigns', 'exclusive', 'finefabrics', 'finecurtains', 'modernhousestyle', 'modernevler', 'modernhomes', 'lifestyle', 'stilevim', 'farklı', 'keşfet', 'tuesday', 'salı']"
Norveçli fukara,@ozlem_ozi01,2021-08-10T06:55:02.000Z,"Sand Dunes in Chile 
#salı",,,,4,['salı']
