username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
FİBOO #HARMONİKSİSTEM,@fiboo141425,2021-08-06T12:41:36.000Z,"#SANKO SHOWW TIME 
@EFELERNEFESi3
 @ekin_egeli","FİBOO #HARMONİKSİSTEM
@fiboo141425
 · Aug 3
#SANKO İZLİYELİM",2,,19,['SANKO']
FİBOO #HARMONİKSİSTEM,@fiboo141425,2021-08-10T07:03:20.000Z,"#SANKO Show 2. Tavan 
@EFELERNEFESi3
 @ekin_egeli","FİBOO #HARMONİKSİSTEM
@fiboo141425
 · Aug 3
#SANKO İZLİYELİM",,1,22,['SANKO']
formasyontakipcisi,@formasyontakip1,2021-08-09T07:20:43.000Z,Pardon #sanko %8 mis,,,,1,['sanko']
Sena Ergül,@gulintvari,2021-08-10T07:29:07.000Z,Yes be yes be yes be #sanko,,,,,['sanko']
Anka_analiz,@anka_analiz,2021-08-06T19:36:42.000Z,"Sorulan Hisse : #sanko

Rsi ve macd alda. Destek-direnç bilgileri ve formasyon hedefi grafiktedir. 

Yatırım TavsiyesiDeğildir",,2,9,51,['sanko']
Erdal Analiz Yeri,@ErdalAnaliz,2021-08-10T17:55:00.000Z,#sanko destek üstü yükseliş devamı olur ytd,,2,1,22,['sanko']
Minik Trader,@mythoftrade,2021-08-08T18:07:37.000Z,#sanko muazzam bir hacimle kısada düşeni kırmış ,,3,19,155,['sanko']
Minik Trader,@mythoftrade,2021-08-07T14:25:13.000Z,#sanko kısada hacimli kırılım gelmiş,,3,10,90,['sanko']
Melike,@melovedero,2021-08-08T15:34:55.000Z,#sanko Yeni Hafta 8-düşen kırılım hem de hacimli..,,11,15,155,['sanko']
muallim3344,@muallim3344,2021-08-08T21:47:17.000Z,#SANKO KESİNLİKLE YATIRIM TAVSİYESİ DEĞİLDİR...,,,4,7,['SANKO']
fiboborsa,@fiboborsa,2021-08-08T20:00:39.000Z,"#sanko 

9.79 destek olarak takip edilir",,6,15,223,['sanko']
Akan,@akantrader,2021-08-06T17:05:10.000Z,"#SANKO 2021/06 Aylık
Yıllık  Net Dönem Kârı(zarar) : 50% Artmış
Yıllık  Satışlar : 99% Artmış
Faaliyet Kârı (zarar) : 78% Artmış
FAVÖK : 8% Artmış",,,3,12,['SANKO']
TraderBro,@TraderBroo,2021-08-10T17:38:17.000Z,"Haftalık Takip Listemizdeki #SANKO 
Bugün İkinci Tavanını Yaptı ( 12.48 ) Görerek Ama Günü ( 10.77 ) -5 ‘le Kapattı …","TraderBro
@TraderBroo
 · Aug 8
Haftalık Takip Listemiz=09.08.2021=
#NETAS =20.44
#ALCTL =24.12
#BRYAT =315.20
#GENTS=3.24
#MNDRS=2.21
#ARDYZ =55.20
#SANKO =10.32
#OSTIM  =2.36
#RYSAS  =4.42 
#AYEN    =4.85 
#AKENR =1.70
#ALGYO =21.24
#TSPOR =3.41
#ODAS   =1.37 
Endexin Durumuna Dikkat Edelim…",2,1,16,['SANKO']
Teknik Çizim,@teknik_cizim,2021-08-08T23:30:36.000Z,"#sanko   12,66 gider mi??",,2,3,8,['sanko']
BORSA KAPTANI,@KaptanBorsa26,2021-08-08T21:09:04.000Z,"#sanko 

Ne oldu sosyal medya Sanko olmuş

Biz nerden aldık  

Söz dinleyenler benimle olanlar 

Ses verin ","BORSA KAPTANI
@KaptanBorsa26
 · Aug 6
Sanko alanlar keyf yerinde mi 

Ses verin  twitter.com/YusufKARADAVU1…",7,4,65,['sanko']
Mehmet37,@37_mehmet__,2021-08-06T23:06:40.000Z,#sanko yükselen boğa trendinin fitili ateşlendi gibi  y.t.d.,,,6,15,['sanko']
Msandikci,@Msandikci1,2021-08-06T21:45:13.000Z,Gelen bilanço nun guzelliği dikkatleri üzerine çekiyor sanko candir gerisi heyecan  y.t.d #sanko,,,3,12,['sanko']
Haftalık TRADER,@HaftalT,2021-08-09T19:34:05.000Z,"#MSGYO 

Perşembe günü hisse senedi tavana gidiyor. 
#meksa #alternatif #sanko ve #global zararına işlem yaparak 8/11 kademe zararına işlem yapıp senedi Blok satışlarla tavandan düşürüp bununla gurur duyuyor. Gerekli yasal işlem Bugün itibari ile başlamıştır. Oynat bakalım.",,3,90,133,"['MSGYO', 'meksa', 'alternatif', 'sanko', 'global']"
Anka_analiz,@anka_analiz,2021-08-06T11:18:44.000Z,"Sorulan Hisse : #sanko

Rsi ve macd alda. Destek-direnç  ve formasyon hedefi grafiktedir. 

Yatırım TavsiyesiDeğildir",,1,2,20,['sanko']
KeLLi_FeLLy,@FellyKelli,2021-08-07T10:39:32.000Z,#sanko gelsin bakalım ytd,"KeLLi_FeLLy
@FellyKelli
 · Aug 7
Haftalık Tarama Listem show başlasın 

#sanko
#gedza
#tire ",,2,4,['sanko']
TELAT BEK,@TELATBEK,2021-08-09T13:34:21.000Z,#sanko. An itibari ile derinlik,,,2,5,['sanko']
fiboborsa,@fiboborsa,2021-08-08T20:03:03.000Z,"#sanko         Haftalık 

Haftalık grafik  de mavi ortalama ana destektir.",,2,2,94,['sanko']
Mehmet Aksu,@mehmet1aksu,2021-08-05T10:02:59.000Z,"İmamoğlu Kodluyor” projemizin finalini #Sanko Holding tarafından tasarlanan Sınıfın açılışı ile yaptık. 35 okulun tamamında birer sınıf oldu. Emeği geçen başta Sayın Valimiz Süleyman Elban ile hayırseverlerimiz olmak üzere herkese şükranlarımı sunarım.
@TCAdanaValiligi
 @AdanaMem",,1,2,28,['Sanko']
cevdet,@cevdet32299145,2021-08-09T07:14:31.000Z,#sanko,"cevdet
@cevdet32299145
 · Aug 6
#sanko ortalamaların üzerinde.
stop:9,50",1,2,18,['sanko']
Alper TAHTASIZ,@AlperTahtasiz,2021-08-06T11:04:47.000Z,#sanko anlık akd alan,,,,1,['sanko']
Alper TAHTASIZ,@AlperTahtasiz,2021-08-06T11:04:35.000Z,#sanko anlık derinlik,,,,,['sanko']
