username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Prof.Dr.Metin Bayram,@DrMetinBayram,2019-04-07T07:29:20.000Z,SANKO Üniversitesi GEzginler Kulübü öğrencilerimizle MArdin -Mİdyat -Hasan Keyf gezisinden #SANKOÜniversitesi #gezginlerkulübü,,,3,20,"['SANKOÜniversitesi', 'gezginlerkulübü']"
La Noyée,@demettsty,2020-08-10T20:45:21.000Z,"Ezgime trilyon kez okulu özlediğimi söylemişimdir. #sankoüniversitesi #ezgisalman 
Ezgi:",,1,1,12,"['sankoüniversitesi', 'ezgisalman']"
Özel Sanko Okulları,@SankoOkul,2020-06-03T06:39:16.000Z,"Lise Öğrencilerimiz Üniversitemiz ile Buluşuyor
#sankookulları #sankoüniversitesi",,,2,10,"['sankookulları', 'sankoüniversitesi']"
Sani Konukoğlu Hastanesi,@sankohastanesi,2020-11-22T10:34:23.000Z,"22 Kasım Dünya Diş Hekimliği Günü
Tüm diş hekimlerimizin “Dünya Diş Hekimliği Günü” kutlu olsun.
#sankohastanesi #sankoüniversitesi #sanko #dişhekimliği #dünyadişhekimliğigünü #hekim",,,3,4,"['sankohastanesi', 'sankoüniversitesi', 'sanko', 'dişhekimliği', 'dünyadişhekimliğigünü', 'hekim']"
sankouniversitesi,@sankouniversite,2021-08-12T07:08:57.000Z,Sağlık Bilimleri Fakültesi Beslenme ve Diyetetik Bölümü Dr. Öğr. Üyesi Tuba USTAOĞLU Beslenme ve Diyetetik Bölümümüz hakkında bilgi vermek için 12 Ağustos 2021 saat 14:00'de sizlerle buluşuyor. #sankoüniversitesi #sağlıkbilimlerifakültesi #beslenmevediyetetikbölümü #adayöğrenci,,,5,4,"['sankoüniversitesi', 'sağlıkbilimlerifakültesi', 'beslenmevediyetetikbölümü', 'adayöğrenci']"
sankouniversitesi,@sankouniversite,2021-08-11T08:35:36.000Z,"2021-2022 Eğitim-Öğretim yılı Güz döneminde Üniversitemizin aşağıda belirtilen programlarına merkezi yerleştirme puanına ve genel not ortalamasına göre yatay geçişle öğrenci alınacaktır.

Başvuru Tarihleri: 02.08.2021-13.08.2021

#sankoüniversitesi #sanko #eğitim #yataygeçiş",,,2,3,"['sankoüniversitesi', 'sanko', 'eğitim', 'yataygeçiş']"
Sani Konukoğlu Hastanesi,@sankohastanesi,2019-10-09T17:47:26.000Z,"Replying to 
@sankohastanesi","yönelik aldığı kararın kamuoyu ile paylaşılmasını oybirliği ile kararlaştırdığı bildirildi.
Senato kararında şu görüşlere yer verildi:
“Ülkemizin, aziz milletimizin ve Suriye Halkının güvenliği, bölgemizde barış ve huzurun temini için Türk Silahlı Kuvvetlerince başlatılan",1,1,2,[]
Sani Konukoğlu Hastanesi,@sankohastanesi,2019-10-09T17:47:27.000Z,‘Barış Pınarı Harekâtını’ SANKO Üniversitesi Senatosu olarak destekliyoruz. Allah Mehmetçiklerimizi korusun. Destek ve Dualarımız Kahraman Türk Ordumuzla birliktedir. #barışpınarıharekatı #sankoüniversitesi,,,2,4,"['barışpınarıharekatı', 'sankoüniversitesi']"
SANKO Ünv Sani Konukoğlu Hst. Uyg. ve Arş. Merkezi,,2020-11-22T10:34:32.000Z,"22 Kasım Dünya Diş Hekimliği Günü
Tüm diş hekimlerimizin “Dünya Diş Hekimliği Günü” kutlu olsun.
#sankohastanesi #sankoüniversitesi #sanko #dişhekimliği #dünyadişhekimliğigünü #hekim",,,1,2,"['sankohastanesi', 'sankoüniversitesi', 'sanko', 'dişhekimliği', 'dünyadişhekimliğigünü', 'hekim']"
sankouniversitesi,@sankouniversite,2021-08-06T07:28:07.000Z,"2021-2022 Eğitim-Öğretim yılı Güz döneminde Üniversitemizin aşağıda belirtilen programlarına merkezi yerleştirme puanına ve genel not ortalamasına göre yatay geçişle öğrenci alınacaktır.

Başvuru Tarihleri: 02.08.2021-13.08.2021

#sankoüniversitesi #eğitim #sağlık #yataygeçiş",,,4,12,"['sankoüniversitesi', 'eğitim', 'sağlık', 'yataygeçiş']"
Gaziantep Pusula,@Gazianteppusula,2020-12-19T12:08:25.000Z,"Sanko Üniversitesi Hastanesi'nden açıklama...
 http://gazianteppusula.com/haber/son-dakika-sanko-universitesi-hastanesinden-aciklama-haberi-90385.html…
 #sankoüniversitesi #hastanesi #açıklama",,,1,3,"['sankoüniversitesi', 'hastanesi', 'açıklama']"
Şehitkamil Sanat Galerisi,@Ssanatgalerisi,2020-02-25T07:02:34.000Z,"Bahar Dönemi Kurs Kayıtlarımız Başlamıştır 

Kurslarımız ücretsizdir 

#gaziantep #sehitkamilbelediyesi
#gaziantepüniversitesi #sankoüniversitesi #hasankalyoncuüniversitesi #bağlama #gitar #piano #keman #tambur",,,,,"['gaziantep', 'sehitkamilbelediyesi', 'gaziantepüniversitesi', 'sankoüniversitesi', 'hasankalyoncuüniversitesi', 'bağlama', 'gitar', 'piano', 'keman', 'tambur']"
