username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Tagify.io,@tagifyio,2018-07-12T11:13:32.000Z,Related Instagram tags for #Haircare: #makyaj #saç #kerastase #mehmettatlıbahçeşehir #bahçeşehirkuaför #saçbakım #sarısaç #sarışın #mehmetta,,,,,"['Haircare', 'makyaj', 'saç', 'kerastase', 'mehmettatlıbahçeşehir', 'bahçeşehirkuaför', 'saçbakım', 'sarısaç', 'sarışın', 'mehmetta']"
Golden Rose Kayseri ( IPEKSARAY AVM),@GoldenR_Kayseri,2019-06-19T18:55:05.000Z,"Reposted from diamondcareblog  -  GoldenRose Velvet Matte - 01
.
#blog #blogger #bloggerlartakipleşiyor #türkblogger #makyaj #makeup #makeupblogger #saç #hair #saçbakım #haircare #bloggers #bloggerstyle… https://instagram.com/p/By5vMV1ACkq/?igshid=11mdm4130vkws…",,,,1,"['blog', 'blogger', 'bloggerlartakipleşiyor', 'türkblogger', 'makyaj', 'makeup', 'makeupblogger', 'saç', 'hair', 'saçbakım', 'haircare', 'bloggers', 'bloggerstyle']"
KAZU ドイツの貴族,@kazuomatsunaga,2019-02-06T23:52:48.000Z,"Marvelous! That's the great job
#Repost 
@dugunsayfasicom
•  •  •  •  •
#saç #sac #sackesimi #saçkesimi #sacbakım #saçbakımıı #saçörgüsü #sacmodelleri
#gelinsaci #gelinbasi #gelinsaçı… https://instagram.com/p/BtjziehHaV5/?utm_source=ig_twitter_share&igshid=1s9bgxg73eoqg…",,,,,"['Repost', 'saç', 'sac', 'sackesimi', 'saçkesimi', 'sacbakım', 'saçbakımıı', 'saçörgüsü', 'sacmodelleri', 'gelinsaci', 'gelinbasi', 'gelinsaçı']"
Şule Kutlu,@sule_kutlu,2020-11-14T07:42:35.000Z,"Yeni bebeklerim geldi 
#saçbakım 
#kaşkirpikbakım ",,,,6,"['saçbakım', 'kaşkirpikbakım']"
İncirZeytinDiyarıAYDIN,@incir_zeytn,2019-07-13T17:42:41.000Z,"İşte size üçlü #SaçBakım seti
Hiçbirinde #Paraben yoktur!",,,9,24,"['SaçBakım', 'Paraben']"
ERSAĞ KOCAELİ TEMİZLİK KOZMETİK VE GIDA ÜRÜNLERİ,@ERSAGKOCAELI,2021-06-07T19:19:58.000Z,"#troid #haşimato #çörekotu #hindistanceviziyağı #bağırsak #kilokontrolü #parazit #saçbakım #bağırsakdetoks #mideülseri #zayıflamakistiyorum #Candidabakterisi #Betatox
#bağırsakduvarlarındayağyakan #Leptinhormonu",,,,3,"['troid', 'haşimato', 'çörekotu', 'hindistanceviziyağı', 'bağırsak', 'kilokontrolü', 'parazit', 'saçbakım', 'bağırsakdetoks', 'mideülseri', 'zayıflamakistiyorum', 'Candidabakterisi', 'Betatox', 'bağırsakduvarlarındayağyakan', 'Leptinhormonu']"
ViaVeta Türkiye,@viavetatr,2021-02-02T14:50:15.000Z,"Türkiye de Kolajen, Biotin Ve Çinko kullanan ilk ve tek  fırmayız.

#Viaveta #ViavetaTürkiye #Sağlık #Kozmetik #ÇevredostuViaveta #Trendyol #Hepsiburada #N11 #Gittigidiyor #Saçbakım #Kolojen #Biotinc #Şampuan #Biotin #çinko #saçdökülmesinekarşı #Saçkremi #Keratin",,,,3,"['Viaveta', 'ViavetaTürkiye', 'Sağlık', 'Kozmetik', 'ÇevredostuViaveta', 'Trendyol', 'Hepsiburada', 'N11', 'Gittigidiyor', 'Saçbakım', 'Kolojen', 'Biotinc', 'Şampuan', 'Biotin', 'çinko', 'saçdökülmesinekarşı', 'Saçkremi', 'Keratin']"
SEREN KOZMETİK,@SerenKozmetik,2021-01-05T10:25:46.000Z,#saçkremi #kozmetik #kuaför #saçbakım #İstanbul #türkiye #keratin #protein #saçserum #maske #peeling #KabulEtmiyoruzVazgecmiyoruz,,,,1,"['saçkremi', 'kozmetik', 'kuaför', 'saçbakım', 'İstanbul', 'türkiye', 'keratin', 'protein', 'saçserum', 'maske', 'peeling', 'KabulEtmiyoruzVazgecmiyoruz']"
Iva Natura,@ivanatura,2020-08-03T09:09:37.000Z,"Bütün mesele, saç tipine uygun bitkisel yağları bulmak ve düzenli olarak uygulamak...
•
•
#saçbakım #dökülensaçlar #kepek #kepeklisaçlar #bakımönerileri #bitkiselyağlar",,,,4,"['saçbakım', 'dökülensaçlar', 'kepek', 'kepeklisaçlar', 'bakımönerileri', 'bitkiselyağlar']"
ViaVeta Türkiye,@viavetatr,2021-01-22T16:14:28.000Z,"BiotinC Şampuan ile Türkiyede bir İlki yaşayın ; Biotin + Çinko + KOLAJEN
Saç sağlığınız önemsiyoruz. 
#Viaveta #ViavetaTürkiye #Sağlık #Kozmetik #ÇevredostuViaveta #Trendyol #Hepsiburada #N11 #Gittigidiyor #Saçbakım #Kolojen #Biotinc #Şampuan #Biotin",,,,4,"['Viaveta', 'ViavetaTürkiye', 'Sağlık', 'Kozmetik', 'ÇevredostuViaveta', 'Trendyol', 'Hepsiburada', 'N11', 'Gittigidiyor', 'Saçbakım', 'Kolojen', 'Biotinc', 'Şampuan', 'Biotin']"
VIACARE,@viacaretr,2020-06-07T05:38:16.000Z,"Viacare® Sebum Balancing Cream / Sebum Dengeleyici Krem
Cildiniz ışıldayacak.
Evlerinize güzellik getiriyoruz. ÇOK YAKINDA!

#viacare #cilt #ciltbakım #saç #saçbakım #şampuan #shampoo #skin #skincare #güzellik #beauty #woman #kadın #evdekal #evdekaltürkiye #hayatevesığar",,,1,4,"['viacare', 'cilt', 'ciltbakım', 'saç', 'saçbakım', 'şampuan', 'shampoo', 'skin', 'skincare', 'güzellik', 'beauty', 'woman', 'kadın', 'evdekal', 'evdekaltürkiye', 'hayatevesığar']"
Nil,@ModaDusleri,2020-09-14T12:08:04.000Z,#saçdetoksu #saçbakım #güzellik,,,,1,"['saçdetoksu', 'saçbakım', 'güzellik']"
@GSB_SanliurfaViransehirGM,@GSB_SanliurfaViransehirGM,2019-03-06T14:36:06.000Z,"Viranşehir Gençlik Merkezimizde saç bakım kursumuz hız kesmeden devam etmektedir.
#Merkezimheryerde 
#Saçbakım
#OnparmağındaOnmarifet",Dr. Mehmet Kasapoğlu and 9 others,,4,11,"['Merkezimheryerde', 'Saçbakım', 'OnparmağındaOnmarifet']"
SUNA DUMANKAYA,@SUNADUMANKAYASD,2019-12-18T07:51:40.000Z,Mutlaka hazırlayıp kullanın bu saç toniğini. Saçlarınıza çok iyi gelecek. http://sunadumankaya.com.tr #sacbakim #evdekendinyap #guzelliksirri #sunadumankaya #dogalolarakguzelsiniz,,,1,9,"['sacbakim', 'evdekendinyap', 'guzelliksirri', 'sunadumankaya', 'dogalolarakguzelsiniz']"
TEPE NAUTILUS,@TEPENAUTILUS34,2018-10-07T07:59:59.000Z,"Doğallığın enerjisini saçlarınızda hissedin! Doğal içeriklerle zenginleştirilmiş formülü ile Inecto’nun yeni Argan Serisi Gratis’te sizi bekliyor. 
#gratis #saçbakım #şampuan #argan #doğal #tepenautilus",,,,,"['gratis', 'saçbakım', 'şampuan', 'argan', 'doğal', 'tepenautilus']"
