username,twhandle,postdate,content,responding,reply,retweet,like
RET Germany e.V.,@RETGermany,2021-08-06T08:00:54.000Z,"To leave #NoOneBehind, RET targeted #rural districts and villages around Şanlıurfa with #SGBV training, namely #Suruç District #Sağlık, #Mutluca, and #Havşanlı. To date, RET has reached 350 #women and #men in #Şanlıurfa and surrounding. 
@BMZ_Bund
 @EngGlobal",,,2,2,"['NoOneBehind', 'rural', 'SGBV', 'Suruç', 'Sağlık', 'Mutluca', 'Havşanlı', 'women', 'men', 'Şanlıurfa']"
Yıldız Özkan Terziog,@YTerziog,2021-08-10T06:33:31.000Z,"To achieve the power of love, you must learn to give without receiving.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogi']"
Yıldız Özkan Terziog,@YTerziog,2021-08-11T10:14:47.000Z,"If there is really no expectation, nothing that emerges will disturb the inner balance and disappoint.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogi",,,1,,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogi']"
Biopark Medical,@BioparkMedical,2021-08-10T12:09:07.000Z,"RE-POST from 
@dr
.joia_kyoto
..

#bioparkmedical #biopark #mpgun  #mesotherapy #mesotherapygun #health  #medicalaesthetics #mesotherapy #mesotherapygun #aesthetic #beauty #estetik #mezoterapi #mesopengun #güzellik #sağlık",,,,2,"['bioparkmedical', 'biopark', 'mpgun', 'mesotherapy', 'mesotherapygun', 'health', 'medicalaesthetics', 'mesotherapy', 'mesotherapygun', 'aesthetic', 'beauty', 'estetik', 'mezoterapi', 'mesopengun', 'güzellik', 'sağlık']"
Seguro Sigorta,@segurosigorta,2021-08-05T07:08:20.000Z,"Tamamlayıcı Sağlık Sigortasıyla yılda 10 kez anlaşmalı özel hastanelerde ücretsiz muayene olabilir ve tüm tahlillerinizi hiçbir ücret ödemeden yaptırabilirsiniz.  Siz de sigortanızı bugünden başlatın sağlık masraflarınızı düşünmeyin!
#sigorta #sağlık",,,,2,"['sigorta', 'sağlık']"
Gölbaşı Belediyesi,@GolbasBld,2021-08-10T13:48:05.000Z,"Evde bakım hizmetimiz devam ediyor.  
Hastaneye gidemeyecek durumda olan ya da bakıma muhtaç vatandaşlarımız evde bakım hizmetimizden faydalanmak için görselde bulunan iletişim numaralarımızı arayabilirler. 

#evdebakım #gölbaşıbelediyesi #sağlık",,,5,12,"['evdebakım', 'gölbaşıbelediyesi', 'sağlık']"
Aksaray Eğitim ve Araştırma Hastanesi,@Aksarayeah,2021-08-09T20:40:26.000Z,#sağlık @ Aksaray Eğitim Ve Araştırma Hastanesi https://instagram.com/p/CSXg4Kws_ll/?utm_medium=twitter…,,,,1,['sağlık']
İzladaş,@izladaslab,2021-08-10T11:19:00.000Z,"Ham pamuk çeşitli işlemlerden geçtikten sonra, kozmetik ve sağlık sektöründe kullanılmak üzere uygun hale getirilir.

#ITB #Izladas #Pamuk #Cotton #Kozmetik #Sağlık",,,,3,"['ITB', 'Izladas', 'Pamuk', 'Cotton', 'Kozmetik', 'Sağlık']"
Damla Sivas,@damlaasivas,2021-08-07T15:23:38.000Z,"++Etkinlik boyunca attığımız adımlar fidanlara dönüştü. Hem kendi sağlığımız hem de dünyamız için attığımız adımlar adına çok mutluyuz. 

#damlasivas
#temiznefesgünü
#yürüyüş
#sağlık
@DamlaVolunteers","1:11
41 views",,1,13,"['damlasivas', 'temiznefesgünü', 'yürüyüş', 'sağlık']"
derinhisse,@derinhisse,2021-08-08T18:35:13.000Z,Önümüzdeki beş yıl öne çıkacak sektörler ve alt sektörler. #yazılım #teknoloji #tarım #gıda #sağlık #ilaç #5g #eticaret #elektrikliaraçlar #madencilik #turizm #ambalaj #enerji #dijitalbankacılık #borsa #hisse,,140,395,2K,"['yazılım', 'teknoloji', 'tarım', 'gıda', 'sağlık', 'ilaç', '5g', 'eticaret', 'elektrikliaraçlar', 'madencilik', 'turizm', 'ambalaj', 'enerji', 'dijitalbankacılık', 'borsa', 'hisse']"
Ulusal Kanal,@ulusalkanal,2021-08-10T14:36:40.000Z,"Yüz yüze eğitime geçebilecek miyiz? 

• İç Hastalıkları Uzmanı Prof. Dr. Osman Erk değerlendirdi 

#eğitim #sağlık #vaka 

https://youtu.be/AMfIa6n659k",,,2,2,"['eğitim', 'sağlık', 'vaka']"
Mustafa Başoğlu,@mustafabsgl,2021-08-05T19:13:36.000Z,"Muhabbet etmeyi çok sevdiğin biriyle artık iki kelime bile etmemek de #kovid19 ve yüzündeki #maske dir
#mustafabaşoğlu #sağlık
#Hayırlıcumalar #özlüsözler
#perşembe",,,,17,"['kovid19', 'maske', 'mustafabaşoğlu', 'sağlık', 'Hayırlıcumalar', 'özlüsözler', 'perşembe']"
Bilinen Haberci,@BilinenHaberci,2021-08-05T12:11:19.000Z,"#SağlıkBakanı Koca: Yangından etkilenen bölgelerde, vatandaşlarımıza #ilkyardım kitlerini veriyor, genel #sağlık durumlarını kontrol ediyoruz.",,,,,"['SağlıkBakanı', 'ilkyardım', 'sağlık']"
Türk Karaciğer Araştırmaları Derneği,@tkadorg,2021-08-06T13:57:01.000Z,"Dünyada yaklaşık 354 milyon insan hepatit virüsler ile enfekte.

#HBV #karaciğer #ilginçbilgi #sağlık #enfeksiyon #antijen",,,,2,"['HBV', 'karaciğer', 'ilginçbilgi', 'sağlık', 'enfeksiyon', 'antijen']"
