username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
"Sercan Aksoy, MD",@aksoysercan,2021-08-11T19:26:58.000Z, #aşı #vaccination #sağlıkbakanlığı,,,7,20,"['aşı', 'vaccination', 'sağlıkbakanlığı']"
𝐸𝓈𝓂𝒶 𝒦𝒶𝓇𝒶𝑔𝑒𝒹𝒾𝓀,@krgdkesmaa,2021-08-13T11:56:50.000Z,Canım kuzenimi her gün arıyorlar benim için günde 4 kere sağ olsunlarr #sağlıkbakanlığı,,,,2,['sağlıkbakanlığı']
Alper Tekin Öncel ( apolitik ),@oncel_alper,2021-08-09T22:30:39.000Z,#saglıkbakanlıgı,,,1,2,['saglıkbakanlıgı']
Fatma Şekerler,@Fatmaekerler2,2021-08-10T18:17:38.000Z,Öğrencilere destek vermeniz çok güzel.Sağlık bakanlığı onaylı tescilli diplomamızı geri istiyoruz. Verilen hak geri alınmaz. #saglikbakanlıgi #LeventSAHIN_IU #drfahrettinkoca,,,4,10,"['saglikbakanlıgi', 'LeventSAHIN_IU', 'drfahrettinkoca']"
Fatoş,@fatmayilturk,2021-08-13T10:00:47.000Z,"@atabey_esref
 hocam mart 2017 yılında uyarmış.  4 yıl geçmesine rağmen hiç yol almamış olmamız üzücü. Kentsel dönüşüm çocukların ve gençlerin geleceğini çalmaya devam ediyor. Covidden kurtuluruz asbestten etkilerinden kurtulamayız.#asbest #asbestos  #sağlıkbakanlığı","Kenan YILDIZ
@KenanYildiz_isg
 · 5h
Asbestle ilgili @atabey_esref hocamızın kentsel dönüşümde asbeste dikkat çektiği uyarısı @odmanasli @gztcmertinan @ozer_akdemir @caferfdn @FSRC09 @nimetkc @ramisrasi @fatmayilturk @ibasecretariat https://evrensel.net/haber/311513/kentsel-donusumde-goz-ardi-edilen-tehlike-asbest…",,1,2,"['asbest', 'asbestos', 'sağlıkbakanlığı']"
Kutlu Kaan ÖZAYTAÇ,@KKaanOZAYTAC,2021-08-10T21:27:32.000Z,Aile Hekimleriniz ve Hemşireleriniz 16 Ağustos tarihinde iş bırakma eylemi yapacaklar. Haksızlıklar devam ederse eylemler devam edecek. Halkımıza duyurulur.  #sağlıkbakanlığı  Sistemi çökertmeyin. Bizi duyun. Acil çözüm istiyoruz. Dünyadaki en uzun eylemleri yaptık. Yine yaparız.,,,6,11,['sağlıkbakanlığı']
YeşilYıldız,@YesilYildizDer,2021-08-06T17:34:23.000Z,"Bu işin ihmali olmaz, ertelenmesi kabul edilemez.. Diyarbakır! lütfen "" *AŞI* "" olalım

#BenAşıOldum
#diyarbakirilsaglikmudurlugu #sağlıkbakanlığı #valilik #iletisim #covid #turkiye #avrupabirligibaskanligi #CihanTEKİN #munirkaraloglu ,#FahrettinKoca #diyabakır #tbt #tbt #aşı",YeşilYıldız and 7 others,,2,4,"['BenAşıOldum', 'diyarbakirilsaglikmudurlugu', 'sağlıkbakanlığı', 'valilik', 'iletisim', 'covid', 'turkiye', 'avrupabirligibaskanligi', 'CihanTEKİN', 'munirkaraloglu', 'FahrettinKoca', 'diyabakır', 'tbt', 'tbt', 'aşı']"
Elfida,@Elfida36622329,2021-08-08T18:15:37.000Z,#sağlıkbakanlığı Tescilli Diplomamı geriver.Sayın hocam siz bütün çocuk gelişimcileri kapsıyor ditorsunuz ama onlar öyle demiyor,,,3,4,['sağlıkbakanlığı']
İzmir İl Sağlık Müdürlüğü,@izmirsm,2021-08-06T09:39:16.000Z,"Mavi İzmir’de 5 milyonuncu doz aşıya ulaşıldı. 
Tedbirleri elden bırakmayalım.
Aşımızı yaptıralım. #izmirsağlıkmüdürlüğü #aşıuygulamaları #covid19aşısı #pandemi #drfahrettinkoca #sağlıkbakanlığı #izmir",,,4,14,"['izmirsağlıkmüdürlüğü', 'aşıuygulamaları', 'covid19aşısı', 'pandemi', 'drfahrettinkoca', 'sağlıkbakanlığı', 'izmir']"
ayşenur,@aysenur_451,2021-08-11T13:42:25.000Z,Rekor 210 biontech aşı sonrasında biz:)#fahrettinkoca #Biontech #sağlıkbakanlığı,,,,15,"['fahrettinkoca', 'Biontech', 'sağlıkbakanlığı']"
