username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
tokathaberextra,@tokathaberextra,2021-08-06T08:05:51.000Z,"Sağlık Bakana Fahrettin Koca Covid-19 salgınına karşı şu ana kadar 75 milyon doz aşı yapıldığını belirtti. 

#korona #koronaaşısı #sağlıkbakanı #doz #aşı #haberextra",,2,,1,"['korona', 'koronaaşısı', 'sağlıkbakanı', 'doz', 'aşı', 'haberextra']"
Hami Koc,@hamikoc_,2021-08-11T17:26:25.000Z,"Sağlık Bakanımız Dr. Fahrettin Koca bugün net bir şekilde bütün okulların tam vaktinde açılacağını vurguladı. Yüz yüze eğitimden vazgeçilmeyeceğinin altını çizen bakanımızın bu ifadesi eğitimimiz için kıymetli bir söylemdir.

#sağlıkbakanı #fahrettinkoca",,2,16,54,"['sağlıkbakanı', 'fahrettinkoca']"
Bilinen Haberci,@BilinenHaberci,2021-08-05T12:11:19.000Z,"#SağlıkBakanı Koca: Yangından etkilenen bölgelerde, vatandaşlarımıza #ilkyardım kitlerini veriyor, genel #sağlık durumlarını kontrol ediyoruz.",,,,,"['SağlıkBakanı', 'ilkyardım', 'sağlık']"
Mert Happy,@mert_happy,2021-08-05T12:15:02.000Z,"Kanserde erken teşhis hayat kurtarır diye milyonlar harcayıp reklam yapan 
@saglikbakanligi
 patoloji sonucunu 45 ila 60 gün içinde anca verebiliyor ve bununlada övünebiliyor. 
@drfahrettinkoca
 #SağlıkBakanı",,,,1,['SağlıkBakanı']
Nihat,@Nihat250825,2021-08-11T17:58:27.000Z,#sağlıkbakanı istifa,,1,,1,['sağlıkbakanı']
objektif press,@objektif_press,2021-08-06T09:52:30.000Z,"Bakan Koca: Doz aşı miktarını açıkladı
http://objektifpress.com/bakan-koca-doz-asi-miktarini-acikladi-2-75611.html…

#objektifpress #ankara #sağlıkbakanı #fahrettinkoca #Covid_19 #aşı 
@drfahrettinkoca",,,,,"['objektifpress', 'ankara', 'sağlıkbakanı', 'fahrettinkoca', 'Covid_19', 'aşı']"
Atlantic Haber,@AtlanticHaber,2021-08-13T12:24:10.000Z,"#SağlıkBakanı #FahrettinKoca, 18 yaş ve üstü nüfusta en az bir doz #Kovid-19 aşısı yaptıranların oranının yüzde 70'i geçtiğini açıkladı.",,,,1,"['SağlıkBakanı', 'FahrettinKoca', 'Kovid']"
Para Mıknatısı,@benmucizeyimmmm,2021-08-11T19:21:37.000Z,"Açmayın okulları.sınav barajı her yıl düşürülüyor.
14 soru yapan üniversiteye giriyor
14 soruyuda parmak hesabıyla haydi haydi yaparlar zaten
#Koca
#KocaDamarımızaBastın
#11AgustosTıpDarbesi
#Saglıkbakanı",,,1,1,"['Koca', 'KocaDamarımızaBastın', '11AgustosTıpDarbesi', 'Saglıkbakanı']"
,@55Kbdy,2021-08-12T06:50:15.000Z,Bu kanunlara aykırı gencecik insanlari asiya zorlamadir #sağlıkbakanı istifa,,,,1,['sağlıkbakanı']
Hatice,@hatice_00_,2021-08-11T17:30:10.000Z,Artık dayanamıyorum okula gitmiyorum üniversiteniz batsın turistler rahat rahat gezsin mitingler yapılsın maçlara gidilsin sonra Türk halkına zorunluluk gelsin #sağlıkbakanı Fahrettin Koca,,,,4,['sağlıkbakanı']
