username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Fenerbahçe Üniversitesi,@fbuniversitesi,2021-08-10T10:51:04.000Z,"Sağlık Bilimleri Fakültesi; bireyin, ailenin ve toplumun sağlığının korunmasını, geliştirilmesini hedef alan, yenilik ve değişimlere duyarlı, etik ilkeler ve standartlar düzeyinde hizmet veren sağlık profesyonelleri yetiştirmeyi amaçlamaktadır. 
#FBÜ #SağlıkBilimleriFakültesi",,,6,90,"['FBÜ', 'SağlıkBilimleriFakültesi']"
Ramazan Solmaz,@rsolmaz01,2021-08-12T17:27:34.000Z,"#TercihimBingölÜniversitesi
#GelişimdeLiderÜniversite
#yks2021
#SağlıkBilimleriFakültesi
#BingölÜniversitesi
#Bingöl",,,4,28,"['TercihimBingölÜniversitesi', 'GelişimdeLiderÜniversite', 'yks2021', 'SağlıkBilimleriFakültesi', 'BingölÜniversitesi', 'Bingöl']"
sankouniversitesi,@sankouniversite,2021-08-12T07:08:57.000Z,Sağlık Bilimleri Fakültesi Beslenme ve Diyetetik Bölümü Dr. Öğr. Üyesi Tuba USTAOĞLU Beslenme ve Diyetetik Bölümümüz hakkında bilgi vermek için 12 Ağustos 2021 saat 14:00'de sizlerle buluşuyor. #sankoüniversitesi #sağlıkbilimlerifakültesi #beslenmevediyetetikbölümü #adayöğrenci,,,5,4,"['sankoüniversitesi', 'sağlıkbilimlerifakültesi', 'beslenmevediyetetikbölümü', 'adayöğrenci']"
Gazi Üniversitesi,@Gazi_Universite,2021-08-10T08:26:10.000Z,"Gazi Üniversitesi Sağlık Bilimleri Fakültesi Tanıtım Videosu

https://youtu.be/lEbm-ptE8-s

#SağlıkBilimleriFakültesi
#GaziÜniversitesi
#GaziÜniversitesi95Yaşında
#GaziliOlmakAyrıcalıktır","Gazi Üniversitesi Sağlık Bilimleri Fakültesi Tanıtım Videosu
Gazi Üniversitesi Kariyer Planlama Uygulama ve Araştırma MerkeziKariyer Günleri – Bölüm Program Tanıtım ProgramıSağlık Bilimleri Fakültesi Tanıtımı• Beslenme...
youtube.com",,2,5,"['SağlıkBilimleriFakültesi', 'GaziÜniversitesi', 'GaziÜniversitesi95Yaşında', 'GaziliOlmakAyrıcalıktır']"
İstanbul Medeniyet Üniversitesi,@istmedeniyet,2021-08-11T20:05:39.000Z,"İstanbul Medeniyet Üniversitesi Sağlık Bilimleri Fakültesi-Tercih Kılavuzu 2021

#SağlıkBilimleriFakültesi'nde yer alan Bölümler:

- #BeslenmeveDiyetetik Bölümü

- #Hemşirelik Bölümü

- #Odyoloji Bölümü

- #SağlıkYönetimi Bölümü

- #SosyalHizmet Bölümü

https://bit.ly/3jFf4So",,,1,6,"['SağlıkBilimleriFakültesi', 'BeslenmeveDiyetetik', 'Hemşirelik', 'Odyoloji', 'SağlıkYönetimi', 'SosyalHizmet']"
sankouniversitesi,@sankouniversite,2021-08-07T05:02:01.000Z,"Sağlık Bilimleri Fakültesi Beslenme ve Diyetetik Bölüm Başkanı Prof. Dr. Efsun KARABUDAK aday öğrencilere Beslenme ve Diyetetik Bölümünü anlatıyor.
https://youtu.be/HkmAb_uaB8I
#sankoüniversitesi  #sağlıkbilimlerifakültesi #beslenmevediyetetikbölümü #adayöğrenci #tanıtımgünleri","Prof. Dr. Efsun KARABUDAK - Sağlık Bilimleri Fakültesi Beslenme ve...
Sağlık Bilimleri Fakültesi Beslenme ve Diyetetik Bölüm Başkanı Prof. Dr. Efsun KARABUDAK aday öğrencilere Beslenme ve Diyetetik Bölümünü anlatıyor.#sankoüniv...
youtube.com",,2,6,"['sankoüniversitesi', 'sağlıkbilimlerifakültesi', 'beslenmevediyetetikbölümü', 'adayöğrenci', 'tanıtımgünleri']"
Hitit Üniversitesi Sağlık Bilimleri Fakültesi,@HititSagbf,2021-08-09T12:26:40.000Z,"Dr. Öğr. Üyesi Muhammet Çankaya bu yıl ilk mezunlarını vereceğimiz fakültenin Sağlık Yönetimi Bölümü hakkında bilgi verdi.

#saglik #sağlıkyönetimi #hitit #hititüniversitesi #sağlıkbilimlerifakültesi",,,1,3,"['saglik', 'sağlıkyönetimi', 'hitit', 'hititüniversitesi', 'sağlıkbilimlerifakültesi']"
Hitit Üniversitesi Sağlık Bilimleri Fakültesi,@HititSagbf,2021-08-05T14:16:27.000Z,Tercih döneminde bilgi almak isteyen ve fakültemizi ziyaret etmek isteyen tüm öğrencilerimizi danışma masamıza bekliyoruz. Geleceğin sağlık profesyonellerine destek için bizler buradayız. #hitit #hititüniversitesi #sağlık #sağlıkbilimlerifakültesi #tercih21 #yks21 #yks #tercih,,1,,1,"['hitit', 'hititüniversitesi', 'sağlık', 'sağlıkbilimlerifakültesi', 'tercih21', 'yks21', 'yks', 'tercih']"
Hitit Üniversitesi Sağlık Bilimleri Fakültesi,@HititSagbf,2021-08-12T19:09:08.000Z,Hemşirelik Bölümü 2. sınıf öğrencimiz Muhammed Sefa Şanal’dan tercih dönemindeki öğrencilere mesaj! #hitit #hititüniversitesi #sağlık #sağlıkbilimlerifakültesi #hemşirelik #hemşire #tercihdönemi #tercih2021 #tercih21 #yks2021 #yks21,,,1,1,"['hitit', 'hititüniversitesi', 'sağlık', 'sağlıkbilimlerifakültesi', 'hemşirelik', 'hemşire', 'tercihdönemi', 'tercih2021', 'tercih21', 'yks2021', 'yks21']"
Hitit Üniversitesi Sağlık Bilimleri Fakültesi,@HititSagbf,2021-08-11T13:48:44.000Z,"Hemşirelik Bölümü mezunu öğrencimiz Esmanur Çınar’dan tercih sürecindeki öğrencilere mesaj..

#hitit #hititüniversitesi #hemşirelik #hemşire #sağlık #sağlıkbilimlerifakültesi #hititkurumsal #yks21 #tercih21","0:24
40 views",,1,1,"['hitit', 'hititüniversitesi', 'hemşirelik', 'hemşire', 'sağlık', 'sağlıkbilimlerifakültesi', 'hititkurumsal', 'yks21', 'tercih21']"
sankouniversitesi,@sankouniversite,2021-08-09T07:06:33.000Z,"Rektörümüz Prof. Dr. Güner DAĞLI aday öğrencilere üniversitemizi anlatıyor.
https://youtu.be/IcA_KQl_pEo
#sankouniversitesi #sanko #üniversite #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu #adayöğrenci","Prof. Dr. Güner DAĞLI - SANKO Üniversitesi Rektörü
Rektörümüz Prof. Dr. Güner DAĞLI aday öğrencilere üniversitemizi anlatıyor.Akademik birimlerimizle ilgili detaylı bilgi almak için 0342 211 65 00 numaralı ...
youtube.com",,3,8,"['sankouniversitesi', 'sanko', 'üniversite', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu', 'adayöğrenci']"
sankouniversitesi,@sankouniversite,2021-08-08T12:25:29.000Z,"Hemşirelik Bölümü mezunumuz Öznur DİNÇER aday öğrencilere üniversitemizi anlatıyor.
https://youtu.be/II_7du2Tht0
#sankoüniversitesi #sankoüniversite #sanko #üniversite #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #hemşirelikbölümü","Öznur DİNÇER - Hemşirelik Bölümü
Hemşirelik Bölümü mezunumuz Öznur DİNÇER aday öğrencilere üniversitemizi anlatıyor.#sankoüniversitesi #sankoüniversite #sanko #üniversite #eğitim #sağlık ...
youtube.com",,1,1,"['sankoüniversitesi', 'sankoüniversite', 'sanko', 'üniversite', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'hemşirelikbölümü']"
Hitit Üniversitesi Sağlık Bilimleri Fakültesi,@HititSagbf,2021-08-07T17:17:42.000Z,"Doç. Dr. Emrah BİLGENER bu yıl ilk mezunlarını vereceğimiz fakültemiz Sağlık Yönetimi bölümü hakkında bilgi verdi. 
#sağlık #sağlıkyönetimi #yönetici #hitit #hititüniversitesi #sağlıkbilimlerifakültesi #tercih #tercih2021",,,,3,"['sağlık', 'sağlıkyönetimi', 'yönetici', 'hitit', 'hititüniversitesi', 'sağlıkbilimlerifakültesi', 'tercih', 'tercih2021']"
Hitit Üniversitesi Sağlık Bilimleri Fakültesi,@HititSagbf,2021-08-06T08:53:16.000Z,"Fakülte etkinliklerimizden;
• Okul ve Halk Eğitim Merkezlerinde Halk Sağlığı Etkinliklerimi
• Yüksek Lisans Mezunlarımız Halk Sağlığı Kongrelerinde Buluşma
#hitit #hititüniversitesi #çorum #halksağlığı #halkeğitim #kongre #sağlıkbilimlerifakültesi",,,1,3,"['hitit', 'hititüniversitesi', 'çorum', 'halksağlığı', 'halkeğitim', 'kongre', 'sağlıkbilimlerifakültesi']"
Hitit Üniversitesi Sağlık Bilimleri Fakültesi,@HititSagbf,2021-08-06T11:50:06.000Z,Doç. Dr. Nuriye Büyükkayacı Duman fakültemiz hemşirelik bölümü hakkında bilgi verdi. #hitit #hititüniversitesi #sağlık #sağlıkbilimlerifakültesi #hemşire #hemşirelik #çorum #yks2021 #yks21 #tercih2021 #tercih21,,,,2,"['hitit', 'hititüniversitesi', 'sağlık', 'sağlıkbilimlerifakültesi', 'hemşire', 'hemşirelik', 'çorum', 'yks2021', 'yks21', 'tercih2021', 'tercih21']"
