username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Sevil Taner,@SevilTaner12,2016-04-20T10:13:14.000Z,#saglikliayaklar #ispanyolcocukayakkabisi #benimrahatpabloskyim yesimsalkimofficial… https://instagram.com/p/BEaxVxSyc0R/,,,,,"['saglikliayaklar', 'ispanyolcocukayakkabisi', 'benimrahatpabloskyim']"
Jineste Sakarya,@jinesteklinik,2017-03-03T09:48:57.000Z,Sağlıklı ayaklar için Jineste'ye bekleriz #saglikliayaklar#ayakbakımı#medikalayakbakımı#jineste,"0:36
21 views",,,1,"['saglikliayaklar', 'ayakbakımı', 'medikalayakbakımı', 'jineste']"
EstetikAyakCerrahisi,@Estetik_Ayak,2016-07-12T10:03:30.000Z,"#diyorumki DAHA GÜZEL AYAKLAR İÇİN DOĞAL PEELİNG ZAMANI! 
#estetikayakcerrahisi #sağlıklıayaklar #ayaksağlığı",,,9,4,"['diyorumki', 'estetikayakcerrahisi', 'sağlıklıayaklar', 'ayaksağlığı']"
FootBalance Türkiye,@FootBalanceTR,2017-09-09T10:22:47.000Z,"Sağlıklı vücut işlevleri için ayakkabılarını kişiselleştir !
#FootBalanceTR #ortopediktabanlık #kişiyeözeltabanlık #saglikliayaklar",,,,,"['FootBalanceTR', 'ortopediktabanlık', 'kişiyeözeltabanlık', 'saglikliayaklar']"
podikalayaksagligi,@podikal,2014-03-03T11:07:46.000Z,"Ucretsiz muayene ile 
@FsmBulvari
 nda #Podikal ailesi olarak hizmetinizdeyiz. #saglikliayaklar #medikalelayakbakimi",,,1,1,"['Podikal', 'saglikliayaklar', 'medikalelayakbakimi']"
Minipicco Ayakkabı,@minipiccoshoes,2017-08-30T07:54:26.000Z,"http://minipicco.com.tr
#minipicco #mutluçocuk #sağlıklıayaklar #çocuk #tarz #moda #child #shoes #mutluyumçünkü #healthyfeet #cocukdunyasi",,,,,"['minipicco', 'mutluçocuk', 'sağlıklıayaklar', 'çocuk', 'tarz', 'moda', 'child', 'shoes', 'mutluyumçünkü', 'healthyfeet', 'cocukdunyasi']"
Julya Estetik,@JadoreBeauty2,2015-02-17T07:30:10.000Z,#günaydın #jadoreestetik #epilasyon #ciltbakımı #AYAKSAĞLIĞI #healthyfeet #sağlıklıayaklar #new #yenilenen... http://fb.me/1KJa5A51l,,,,,"['günaydın', 'jadoreestetik', 'epilasyon', 'ciltbakımı', 'AYAKSAĞLIĞI', 'healthyfeet', 'sağlıklıayaklar', 'new', 'yenilenen']"
Bostancı Ayak Sağlığı,@DeryaDiril1,2020-02-05T15:44:25.000Z,"Mantarlı tırnaklar gitsin bakalımmm  
#mantarlıtırnakbakimi #tırnakmantarı #medikalbakim #medikalelayakbakımı #saglikliayaklar #sağlıklıeller #medikalpedikur #ayaksagligi # @ Bostancı El ve Ayak Bakım Merkezi https://instagram.com/p/B8MM_9XguX6/?igshid=1hfbtb2bkars2…",,,,,"['mantarlıtırnakbakimi', 'tırnakmantarı', 'medikalbakim', 'medikalelayakbakımı', 'saglikliayaklar', 'sağlıklıeller', 'medikalpedikur', 'ayaksagligi']"
nev center,@AleynagnsGunes,2016-12-09T19:15:08.000Z,#nevcenterakademi #microblading #kaştasarım #kaşdizayn #gehwol #sağlıklıayaklar… https://instagram.com/p/BNzskr3AIf9/,,,,,"['nevcenterakademi', 'microblading', 'kaştasarım', 'kaşdizayn', 'gehwol', 'sağlıklıayaklar']"
nev center,@AleynagnsGunes,2016-12-11T11:09:39.000Z,#kandil #saçtasarım #kaşdizayn #sağlıklıayaklar #gehwol #kaşdizayn #tırnakteliuygulamasıizmit @… https://instagram.com/p/BN3-mqtA-jm/,,,,,"['kandil', 'saçtasarım', 'kaşdizayn', 'sağlıklıayaklar', 'gehwol', 'kaşdizayn', 'tırnakteliuygulamasıizmit']"
