username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
EDA NUR,@end08_,2020-12-18T08:04:50.000Z,#SağlıkYönetimi  #18Aralıksağlıkyöneticilerigünü,,,6,164,"['SağlıkYönetimi', '18Aralıksağlıkyöneticilerigünü']"
Levent Akay,@akaylev,2020-12-18T05:54:48.000Z,Sağlık sistemimize profesyonel olarak katkı sunan tüm meslektaşlarımızın bu güzel günü kutlu olsun. #18araliksaglikyoneticilerigunu #sağlıkyönetimi #saglikkurumlariisletmeciligi,,1,7,38,"['18araliksaglikyoneticilerigunu', 'sağlıkyönetimi', 'saglikkurumlariisletmeciligi']"
Bahar,@lotus_yolo,2020-12-18T00:03:29.000Z,"Hakkımız olan kadroları almak istiyoruz. Bu zulme bir dur deyin artık.Lise mezunları hastanelerde bizim calisacagimiz departmanlarda çalışırken biz fakülte mezunları mağduruz.Daha nitelikli olmak geri plana atılmayı mı gerektiriyor? 
@drfahrettinkoca
#Sağlıkyönetimi",,,17,37,['Sağlıkyönetimi']
İMÜ SAĞLIK YÖNETİMİ TOPLULUĞU,@Imusyt,2020-12-18T08:44:09.000Z,"Sağlık Yöneticileri Günümüz Kutlu Olsun.
#18Aralık #sağlıkyöneticilerigünü #sağlıkyönetimi",,,13,37,"['18Aralık', 'sağlıkyöneticilerigünü', 'sağlıkyönetimi']"
Lütfiye,@2761sy,2020-04-06T20:01:44.000Z,"Bizde  bir gün böyle paylaşabilir miyiz acaba sadece hakkımız olanı istiyoruz mücadelemiz devam edecek. Atanan arkadaşi da tebrik ederim. 
@drfahrettinkoca
 #Sağlıkyönetimi 
@suayipbirinci
 @endamaksu
 @Aras_Ali_
 @dralpmese
 @necdetunuvar
 @sbostan29
 @halileldemir
 @drtopaloglu",,1,4,19,['Sağlıkyönetimi']
Sağlık Yönetimi,@SY_Etkinlik,2020-10-31T15:39:39.000Z,"İnancınızı ve umudunuzu diri tutun canımlar, mücadeleye devam 
@drfahrettinkoca
 
@endamaksu
@sagliikyonetimi
 
@YonetimiK
 
@suayipbirinci
 
#sağlıkyönetiminekadro
#sağlıkyönetimineatama
#sağlıkyönetimi
#SağlıkYönetimiKadro
#SağlıkYönetimiAtama",,2,21,63,"['sağlıkyönetiminekadro', 'sağlıkyönetimineatama', 'sağlıkyönetimi', 'SağlıkYönetimiKadro', 'SağlıkYönetimiAtama']"
sefadiyebiri,@yldz_ssefa,2020-09-20T15:05:15.000Z,"#SağlıkYönetimi sizden önce de atanamayan, hakları verilmeyen bir bölümdü siz varken de atanamayan, hakları verilmeyen bir bölüm 
@drfahrettinkoca
Artık sesimizi duyun hakkımız olanı verin 
@drfahrettinkoca
#SnKocaSağlıkYönetimineAtama 
@RTErdogan
 @suayipbirinci
 @saglikbakanligi",,,6,154,"['SağlıkYönetimi', 'SnKocaSağlıkYönetimineAtama']"
Tolstoy’un Bisikleti,@chionophile_3,2020-04-10T09:29:15.000Z,"Sonunda birileri sesimizi duydu.
#sağlıkyönetimi
#çalışanınhakkı
#cuma",,,6,16,"['sağlıkyönetimi', 'çalışanınhakkı', 'cuma']"
Nurullah Tanyıldız,@TanyNurullah,2020-07-19T15:43:17.000Z,"Tüm sağlıkçı arkadaşlara sesleniyoruz 
#SAĞLIKYÖNETİMİ bölümü için de ses getirin.. Kadro istiyoruz..",,,8,37,['SAĞLIKYÖNETİMİ']
Sbrclkr,@sbrclkr,2020-12-18T18:55:23.000Z,"Replying to 
@drfahrettinkoca",SağlıkYönetimi ElliYediYaşında . sağlık yönetimi atama bekliyor #saglikidarecileriguenue #SağlıkYoenetimi,,9,16,[]
