username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
derman.bakim,@BakimDerman,2021-08-05T08:18:25.000Z,#acildestek #acil #Hasta #atama #sağlıkcı #SağlıkcıAtama,,,,,"['acildestek', 'acil', 'Hasta', 'atama', 'sağlıkcı', 'SağlıkcıAtama']"
Beyza,@HemsireBeyz,2021-08-12T12:21:26.000Z,"Pandemi de en çok çalışan biz.. En çok yorulan, yıpranan biz..Ama Zam'a gelince en az alan yine biz!..Bir #Sağlıkçı olarak hakkımı helal etmiyorum.Zamcık değil hak ettiğimizi istiyoruz. #MemurTeklifiKabulEtmiyor",,,5,10,"['Sağlıkçı', 'MemurTeklifiKabulEtmiyor']"
Mizgin Esmer,@MizginEsmer6,2021-08-10T08:24:36.000Z,"#SnKocaAtamaMüjdesi 
@drfahrettinkoca
 @RTErdogan
  binlerce #saglikci atama bekliyor .",,,2,1,"['SnKocaAtamaMüjdesi', 'saglikci']"
fᎬᏒhᎪᏆ ᎪᏦᎶüᏁ,@akgnfrht,2021-08-06T09:47:33.000Z,"Replying to 
@akgnfrht",İradesi yüksek kişileri bile usandıran bıktıran bir sistem var. Bizde o yaşlarda bunları kesinlikle düşünecek olgunlukta değildik veya düzgün yönlendirilmedik. Tek gaye atanmaktı o dönemler.. Bir ağabeyiniz veya kardeşiniz olarak söylemek istedim..Tabi karar sizin gönlünüzdeki,1,,,[]
fᎬᏒhᎪᏆ ᎪᏦᎶüᏁ,@akgnfrht,2021-08-06T09:49:57.000Z,"olur umarım  
#hemsirelik
#saglik 
#hemşire 
#sağlıkçı 
#yks2021 
#tercih2021 
#ykstercih 
#tercihönerisi",,,,,"['hemsirelik', 'saglik', 'hemşire', 'sağlıkçı', 'yks2021', 'tercih2021', 'ykstercih', 'tercihönerisi']"
Pelin Gürel,@dkpelini,2021-08-11T05:01:05.000Z,Canımızın hiçbir  kıymeti  yok #SağlıktaTeroerBitmiyor   #SağlıktaSiddeteCezaNerede #saglikciyasiddet #saglikci #aşı,,,,4,"['SağlıktaTeroerBitmiyor', 'SağlıktaSiddeteCezaNerede', 'saglikciyasiddet', 'saglikci', 'aşı']"
Harun Oyar,@harun_oyar,2021-08-08T17:31:45.000Z,"Kimimize Tavandan kimimize tabandan,lokal pansumanlarla bu #ücret adaletlisizliğini çözemezsiniz. #Sağlıkta #ReformŞart #Performans , #EkÖdeme değil,insanca yaşamımıza yetecek #maaş düzenlemesi istiyoruz !!  
@drfahrettinkoca
  @hepsen_2020
  @TYBHD
 #sağlıkçı #genelge  #TBMM","HEP-SEN
@hepsen_2020
 · Aug 8
1-Sağlık hizmetleri 39 ayrı unvandaki Sağlık Profesyonellerince müşterek olarak verilen hizmetlerdir. Çalışma koşulları bakımından dünya ortalamasının çok gerisinde fakat dünya ortalamasının çok üzerinde performansla salgına karşı toplum sağlığı savunulmaktadır.
#EkÖdemeSistemi
Show this thread",,3,5,"['ücret', 'Sağlıkta', 'ReformŞart', 'Performans', 'EkÖdeme', 'maaş', 'sağlıkçı', 'genelge', 'TBMM']"
Fenerbahçe'li Eyşan ¹⁹⁰⁷,@Hilalsio,2021-08-09T10:18:43.000Z,"Bu eldiveni Ambulansta enjeksiyon için takmalıydım ama temizlik için takıyorum. Aylardır atama yapmadığınızın ve bu yüzden ben olmasam da meslektaşlarımın özellerde süründüğünün farkında mısınız? 
@saglikbakanligi
 #saglik #sağlıkçı #paramedik #atama #hemsire",,,,3,"['saglik', 'sağlıkçı', 'paramedik', 'atama', 'hemsire']"
çakma memur,@srmkaya,2021-08-06T21:04:30.000Z,"Covid çıkar sağlıkçıyı alkışla yangın çıkar ormancıyı itfaiye yi alkışla
Kardeşim bu mesleklerin ne kadar zor olduğu ortada zaten bu insanların kıymeti bilinmesi için illa Bi felaket mi gelmeli başımıza
#ormanişçileri #itfaiye #sağlıkçı",,,,3,"['ormanişçileri', 'itfaiye', 'sağlıkçı']"
Salim Kar,@salimkarrr,2021-08-10T09:51:35.000Z,"https://saglikpersonelihaber.net/gundem/saglik-teskilati-makamlari-yetkili-sendikanin-ciftligi-haline-h14495.html…
#afganlariistemiyoruz 
#EREGL 
#COVID19 
#SığınmacılarSınırDısıEdilecek 
#sağlıkçı
#hemşire
#adalet
#liyakat
#eksisözlükkapatılsın
#afganlariistemiyoruz","Sağlık Teşkilatı Makamları Yetkili Sendikanın Çiftliği Haline Geldi
""Sağlık teşkilatlarında makamların yetkili sendika üyelerinin çiftliği haline geldiğini belirten"" Anadolu Sağlık Sen Genel Başkanı Necip TAŞKIN, liyakat istediklerini söyledi.
saglikpersonelihaber.net",,2,3,"['afganlariistemiyoruz', 'EREGL', 'COVID19', 'SığınmacılarSınırDısıEdilecek', 'sağlıkçı', 'hemşire', 'adalet', 'liyakat', 'eksisözlükkapatılsın', 'afganlariistemiyoruz']"
