username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Hümeyra Aygün,@humeyraaygun,2021-08-09T11:30:25.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
 @yekta_sarac
 
Anlayana yeter.. 
BİTTİK biz sayenizde..!",,,3,7,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
Hümeyra Aygün,@humeyraaygun,2021-08-09T13:29:30.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
#sağlık
@ozlenenozkn
 @ycete
 @drfahrettinkoca
 
...
İzinler iptal, zam yok, sözleşme yok. maaşlar ödenmiyor..
Hakkımızı istiyoruz,
Duyun sesimizi..!",,,1,5,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi', 'sağlık']"
Hümeyra Aygün,@humeyraaygun,2021-08-09T12:26:22.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
@akdemircigdem
.
Sadaka değil hakkımızdır isteğimiz.
Gece gündüz çalışıp hak ettiğimiz..!",,,1,6,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
Hümeyra Aygün,@humeyraaygun,2021-08-09T11:13:34.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
 @yekta_sarac
Kimden yardım isteyelim biz ...?",,,2,4,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
TC.DEMET AKIN KALKAN,@DEMET72064887,2021-08-12T14:29:34.000Z,#Sağlıkçılartükendi,,,,,['Sağlıkçılartükendi']
Hümeyra Aygün,@humeyraaygun,2021-08-09T12:34:45.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
Sadece ormanlarda değil yangın,
Yangın bizim evlerde de var. 
Tencereler yandı bitti kül oldu, anlayana..",,,1,4,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
HEMŞİRE,@H_E_M_S_i_R_E,2021-08-11T16:29:26.000Z,Bursa Uludağ üniversitesinde hakkını arayan hemşirelere yapılanlar resmen sağlıkçıları ayağa kaldırdı #SağlıktaTeroerBitmiyor #sağlıkcılartuekendi #fahrettinkoca #ahmetsaimklavuz #bursa #uludağüniversitesi #hemşire #thd #hemşir,"bilalAtik
@bilalefe09
 · Aug 11
Bursa Uludağ Üniversitesi Hastanesi'nde Sağlık Çalışanlarına, Türk Sağlık Sen üyelerine Vicdansız Kıyım!
https://haberdebursatv.com/saglik-calisanlarina-vicdansiz-kiyim-turk-saglik-sendikasi-uyeleri-suruldu/…",,2,2,"['SağlıktaTeroerBitmiyor', 'sağlıkcılartuekendi', 'fahrettinkoca', 'ahmetsaimklavuz', 'bursa', 'uludağüniversitesi', 'hemşire', 'thd', 'hemşir']"
Hümeyra Aygün,@humeyraaygun,2021-08-09T11:54:01.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
.
Sevdiğim işimden soğudum nerdeyse..
Boşa çalışmak kolay değil tabi ki çeken bilir..",,,6,10,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
Hümeyra Aygün,@humeyraaygun,2021-08-09T11:22:17.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
 @yekta_sarac
Sağlık çalışanları arasında ücret eşitliği istiyoruz..
Bu bizim hakkımız..
Dilenci değiliz, sadaka istemiyoruz..",,,8,10,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
Hümeyra Aygün,@humeyraaygun,2021-08-09T13:44:45.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
 
Bizlerin maaşı neden ödenmiyor. 
Bizler de sağlıkçıyız.
iş var, izin yok, zam yok..
Maaşlar ödenmiyor.. Neden neden neden?",,,3,2,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
HEMŞİRE,@H_E_M_S_i_R_E,2021-08-11T15:56:39.000Z,#AhmetSaimKılavuz umarım bu haberleri okuyordur..#SağlıktaTeroerBitmiyor #sağlıkcılartuekendi #sağlıkbakanlığı #fahrettinkoca,"bilalAtik
@bilalefe09
 · Aug 11
Bursa Uludağ Üniversitesi Hastanesi'nde Sağlık Çalışanlarına, Türk Sağlık Sen üyelerine Vicdansız Kıyım!
https://haberdebursatv.com/saglik-calisanlarina-vicdansiz-kiyim-turk-saglik-sendikasi-uyeleri-suruldu/…",,,1,"['AhmetSaimKılavuz', 'SağlıktaTeroerBitmiyor', 'sağlıkcılartuekendi', 'sağlıkbakanlığı', 'fahrettinkoca']"
Hümeyra Aygün,@humeyraaygun,2021-08-09T12:31:42.000Z,"#AütfSözleşmeMaaşYok
@drfahrettinkoca
#Sağlıkçılartükendi
@ozlenenozkn
 @ycete
 @drfahrettinkoca
Geleceğe dair umutlarımızı kırdınız..
Biz neden maaş alamadık neden umursanmıyoruz,
bizim de çocuklarımız var..",,,1,4,"['AütfSözleşmeMaaşYok', 'Sağlıkçılartükendi']"
