username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
ATATÜRKÇÜ BABAANNE,@OKAN_AS_EFE,2019-05-24T08:59:48.000Z,Chp Bayraklı Belediye Başkanı     #Serdarsandal  Güzel Kare Değilmi :),,,5,20,['Serdarsandal']
Ayşe Kılıç,@ayseersankilic,2021-06-22T21:19:48.000Z,"Günaymıyor #Bayraklı ailenizde ,
Sevdiklerimizle keyifli anılar biriktirdiğimiz mutluluk aylardır olmuyor Maske,mesafe ve hijyen kurallarına mutlaka uysakta DEPREMZEDEYİZ PSİKOLOJİMİZ EKONOMİMİZ DİP YAPTI BİZ SİZİ SEÇTİK ŞİMDİ DEĞİLSE NE ZAMAN yanımızda olacaksınız 
#SerdarSandal",,,30,37,"['Bayraklı', 'SerdarSandal']"
ali kasikci,@alikasikci6,2019-02-25T14:33:48.000Z,GÜMÜŞPALA SEÇİM BÜROSU #serdarsandal #aşklaizmir #martınsonubahar #pazartesi #tunçsoyer MÜCEDELEYE DEVAM #chpilizmir,,,,2,"['serdarsandal', 'aşklaizmir', 'martınsonubahar', 'pazartesi', 'tunçsoyer', 'chpilizmir']"
Ǝnyalios 1881 - ∞,@oneinizmir,2020-11-13T10:51:55.000Z,"Haydi İzmir...
Havalar soğumaya başladı ve her gün oralardan geçerken çadırdaki insanların o halini görmek üzüntü veriyor. #izmirdepremi #Bayraklı #serdarsandal #izmir #izmirdepreminde #umudumuzvar",,,,2,"['izmirdepremi', 'Bayraklı', 'serdarsandal', 'izmir', 'izmirdepreminde', 'umudumuzvar']"
Bayraklı Belediyesi,@bayraklibld,2021-08-06T17:55:17.000Z,"Bayraklı Belediyesi Meclis Toplantısı Ağustos ayı 2. oturumunu gerçekleştirdik.
@SerdarSandal
 
.
.
.
#SerdarSandal #meclis #toplantı #bayraklı #belediye #izmir",,,,2,"['SerdarSandal', 'meclis', 'toplantı', 'bayraklı', 'belediye', 'izmir']"
FARUKY.,@farukyanik35,2021-03-20T17:25:08.000Z,"#sorunvar #cozumyok 
#sorunucoz
#sonraoyiste
#Bayraklı dan.. 
#serdarsandal
#GeleceğimiziKarartmaAydınlatTeiaş
#YaşamaYakınTrafoyaUzak",,,9,7,"['sorunvar', 'cozumyok', 'sorunucoz', 'sonraoyiste', 'Bayraklı', 'serdarsandal', 'GeleceğimiziKarartmaAydınlatTeiaş', 'YaşamaYakınTrafoyaUzak']"
Kani BEKO,@kanibekochp,2019-03-05T10:13:56.000Z,"Bayraklı Manavkuyu merkez seçim ofisimizde örgütümüzle beraberiz.

#ŞimdiBayraklıZamanı
#Aşklaİzmir
#CHP #CHPİZMİR #CHPBAYRAKLI #SERDARSANDAL #MARTINSONUBAHAR",,1,1,3,"['ŞimdiBayraklıZamanı', 'Aşklaİzmir', 'CHP', 'CHPİZMİR', 'CHPBAYRAKLI', 'SERDARSANDAL', 'MARTINSONUBAHAR']"
birkan garb @birkangarb,birkan garb @birkangarb,2020-08-29T20:54:07.000Z,"#bayraklıbelediyesi 
#chp #serdarsandal 
#yaşamustafakemalpaşayaşa 
#30AğustosZaferBayramıKUTLUOLSUN","Serdar Sandal
@SerdarSandal
 · Aug 29, 2020
Bazı zaferler sonsuza dek kutlanır…

26 Ağustos'ta başlayıp #30Ağustos 1922'de zaferle sonuçlanan bu kutlu yürüyüşün kahramanlarını başta Ebedi Başkomutan Gazi Mustafa Kemal Atatürk olmak üzere onun silah arkadaşlarını ve kahraman Mehmetçiklerimizi rahmetle ve minnetle anıyorum.",,,1,"['bayraklıbelediyesi', 'chp', 'serdarsandal', 'yaşamustafakemalpaşayaşa', '30AğustosZaferBayramıKUTLUOLSUN']"
FARUKY.,@farukyanik35,2021-03-20T17:27:07.000Z,"Bize huzur mu vermek istiyorsun
Park ver  yaşam alanı ver 

#sonraoyiste
#Bayraklı dan.. 
#serdarsandal  #izmirbuyuksehirbelediyesi 
#GeleceğimiziKarartmaAydınlatTeiaş
#YaşamaYakınTrafoyaUzak",,,15,10,"['sonraoyiste', 'Bayraklı', 'serdarsandal', 'izmirbuyuksehirbelediyesi', 'GeleceğimiziKarartmaAydınlatTeiaş', 'YaşamaYakınTrafoyaUzak']"
Ayşe Kartal,@AyeKart18333126,2021-05-21T19:57:52.000Z,"#izdeda izmir depremzeler #Serdarsandal gibi #Haydarozkan gibi iki yüreği güzel BASKANLARIMIZDAN Tam destek aldı almaya devam edeceğimizden hiç şüphemiz yok teşekkürleer 
@SerdarSandal
 @bayraklibld",,,18,26,"['izdeda', 'Serdarsandal', 'Haydarozkan']"
İzmirli 3535,@t_turkiyem,2021-07-18T05:38:07.000Z,"Vefat eden yakınlarımızın kabirlerini bayram öncesinde ziyaret etmek ve kurban kesim yerine daha kolay ulaşım sağlamak isteyen vatandaşlarımız için Belediyemiz tarafından ücretsiz servis hizmeti verilecektir.
Serdar Sandal
#SerdarSandal #bayram #arefe #kurban #servis #Bayraklı",,,2,5,"['SerdarSandal', 'bayram', 'arefe', 'kurban', 'servis', 'Bayraklı']"
Drakula,@drakula10000,2021-03-20T17:05:11.000Z,#YasamaYakınTrafoyaUzak Bayraklı'da mahalle arasında dev elektrik trafosu hayır #serdarsandal,,,16,14,"['YasamaYakınTrafoyaUzak', 'serdarsandal']"
