username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Burçin Akhan,@burcinakhan,2021-08-13T07:32:17.000Z,#sevgi @ Zoom-Online https://instagram.com/p/CSgZ2-JoTUP/?utm_medium=twitter…,,,,,['sevgi']
Kalptuğ,@AlptugDag,2021-08-10T22:19:12.000Z,"The Chiling Hearts
#art #artist #illustration #illustrator #illustrasyon #design #designer #tasarım #tasarımcı #candle #mum #drawing #heart #kalp #kan #blood #bloody #love #aşk #sevmek #hurt #lovehurts #lovehurt #çizim #lonely #loneliness #karanlık #dark #sevgi",,,,2,"['art', 'artist', 'illustration', 'illustrator', 'illustrasyon', 'design', 'designer', 'tasarım', 'tasarımcı', 'candle', 'mum', 'drawing', 'heart', 'kalp', 'kan', 'blood', 'bloody', 'love', 'aşk', 'sevmek', 'hurt', 'lovehurts', 'lovehurt', 'çizim', 'lonely', 'loneliness', 'karanlık', 'dark', 'sevgi']"
@ahdavud,@ahdavud,2021-08-10T07:53:27.000Z,"#Sevgi 
ve 
#inanmak 
#tümüylefarklışeydir.
#Çoksevdiğinbirine
#hakkıyla
#inanmayabilirsin.
#Sevgiruhtangelir 
#inançakıldan.  A H",,,,1,"['Sevgi', 'inanmak', 'tümüylefarklışeydir', 'Çoksevdiğinbirine', 'hakkıyla', 'inanmayabilirsin', 'Sevgiruhtangelir', 'inançakıldan']"
★ 𝐁𝐥𝐚𝐧𝐜𝐚 𝐒𝐚𝐥𝐚𝐳𝐚𝐫 ★,@blancadsalazar,2021-08-07T17:50:18.000Z,"Good afternoon, I hope you have wonderful Saturday. 
•
•
#Kızım #TodoPorMiHija #ÖyküGöktürk #DemirGöktürk #CandanHoşgörGöktürk #Uğur #Sevgi #BerenGökyıldız #BurgaGulsöy #LeylalydiaTuğutlu",,,,3,"['Kızım', 'TodoPorMiHija', 'ÖyküGöktürk', 'DemirGöktürk', 'CandanHoşgörGöktürk', 'Uğur', 'Sevgi', 'BerenGökyıldız', 'BurgaGulsöy', 'LeylalydiaTuğutlu']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
MİNİKLERİN RÜYASI,@sarnak46,2021-08-12T18:11:16.000Z,"Yine bir gül kuvars ametist uyumu 

Bu ikili çok beğeniliyor.

#mutluluk
#sevgi
#stres
#sindirimsistemi 
#agri

Hediye olarak sipariş edilen bilekligimiz yola çıktı 
Güzel günlerde sağlıkla kullanilsin inşallah ",,1,24,20,"['mutluluk', 'sevgi', 'stres', 'sindirimsistemi', 'agri']"
𝓨𝓪𝓼𝓮𝓶𝓲𝓷,@yaseminn1919,2021-08-12T14:00:23.000Z,"Uzadıkça uzadı acının çetelesi...Bir çığlık yorgunudur şimdi zaman ve mekan.Her gün yeni bir hüznü takıp koluna,bütün saatleri acıya kuruyor sanki. #Sevgi içinizden hiç eksik olmasın.

Herşey gönlünüzce olsun 
#iyiakşamlar ",,,2,13,"['Sevgi', 'iyiakşamlar']"
Selpii,@gamseliiii,2021-08-05T15:52:27.000Z,"yaaa
#sevgi",,,,4,['sevgi']
Bir Prensesin Anneannesi Zarifşeyler,@duruduru721,2021-08-12T19:37:56.000Z,"“Bilgeye sormuşlar: 
en etkili ilaç nedir diye? 
O da “ilgi ve sevgidir” demiş.
Ya işe yaramazsa? diye sormuşlar:
 “O zaman dozunu artırın” demiş.”

#GeceyeNotum
#sevgi",,17,10,267,"['GeceyeNotum', 'sevgi']"
Bir Prensesin Anneannesi Zarifşeyler,@duruduru721,2021-08-09T04:58:52.000Z,"Birlikte değilsek hayatın ne önemi olabilir ki...

GÜNAYDINNN 

SEVGİYLE  

#pazartesi #sevgi #hayat #sevince #güzel",,32,14,258,"['pazartesi', 'sevgi', 'hayat', 'sevince', 'güzel']"
Bir Prensesin Anneannesi Zarifşeyler,@duruduru721,2021-08-13T05:59:22.000Z,"Teldeki güvercin, 
yalıdaki çapkın
Kaldırımda baygın, sana da günaydın
Şarkıdaki serçe, 
camdaki teyze
Uykusuz aşık, sana da günaydın

GÜNAYDINNN 

SEVGİYLE 

#günaydın #cuma #sevgi #hayat #sevince #güzel",,32,7,206,"['günaydın', 'cuma', 'sevgi', 'hayat', 'sevince', 'güzel']"
Arzu ALPAN,@AlpanArzu,2021-08-06T08:58:29.000Z,"Kötü günlerde geçiyoruz, Allah herkesin yar ve yardımcısı olsun.
#cuma #umut #sevgi",,3,1,59,"['cuma', 'umut', 'sevgi']"
Gülay Pınarbaşı #Allahiçinvarım,@gulay_pinarbasi,2021-08-13T00:14:01.000Z,"Rablerinden kendilerine yeni bir hatırlatma gelmeyiversin, bunu mutlaka oyun konusu yaparak dinliyorlar. (Enbiya Suresi 2. ayet) #CumamızMubarekOlsun #cuma #sevgi #Allah",,,1,9,"['CumamızMubarekOlsun', 'cuma', 'sevgi', 'Allah']"
