username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
FIDA-Kenya,@fidakenya,2021-08-13T11:10:38.000Z,"''#SGBV is not just a word - It is something so serious that can have a very big impact in your life. An impact that might be very difficult to overcome in your lifetime,'' ~
@LilianeJumba
 speaking during our monthly Stress Management Therapy session for survivors in Kisumu.",Liliane Jumba and 9 others,,1,3,['SGBV']
KISUMU SGBV ALLIANCE,@KisumuSgbv,2021-08-05T09:42:29.000Z,"The Alliance came up with a joint statement to the speaker of the National Senate of Kenya in relation to the #SGBV challenges experienced in Kisumu County that needs to be prioritized 
@equalitynow
 @Kmet_Kenya
 @stada_ke
 @inukasuccess
 @HHeartsmile
 @DialoguesKenya
 @GenderEquityNYC",NCPD and 9 others,,9,18,['SGBV']
UNFPA Liberia,@UNFPALiberia,2021-08-06T11:40:03.000Z,"Chiefs and Elders honor outgoing UNFPA Representative @bannetndyanabangi for his contribution to ending #SGBV & early marriage; reduction of teenage pregnancy in Liberia. 
“Our hearts, minds & souls are forever with you” says Chief Swen Wleh, as he confers the Chieftaincy Title.",Niels Scott and 6 others,1,3,10,['SGBV']
MONUSCO POLICE,@MonuscoPolice,2021-08-07T21:29:30.000Z,"On Friday, August 6, 2021, the RFUM 
@UNPOL
 @MONUSCO
  of the #BUNIA sector proceeded to #donate #Food  for #women  in the PSI camp for the displaced. It was also an opportunity for the RFUM to animate sensitization sessions on #SGBV and respect of the #COVID19 barriers.",,1,9,12,"['BUNIA', 'donate', 'Food', 'women', 'SGBV', 'COVID19']"
The Link Empowerment Initiative Githurai,@TheLinkGithurai,2021-08-12T08:16:11.000Z,"""Apart from the community dialogue at the Githurai Social Hall, we're also delivering #SRHR services like Family planning,HIV/STI testing & counseling, Anti #SGBV advocacy, Breast & Cervical cancer screening & Antinatal services at the Resource Center."" 
@ZachariahKahwai
 #IYD2021",Ministry of Health and 8 others,,5,10,"['SRHR', 'SGBV', 'IYD2021']"
KISUMU SGBV ALLIANCE,@KisumuSgbv,2021-08-09T09:41:57.000Z,"What is the role of the County? There should be a meaningful Multi-sectoral Approach at the community level including a one stop family provision at the family unit in #SGBV issues in the #KisumuSRHstrategyreview document #SRHUHC 
@SrhrUhc
 @KisumuCountyKE
 @KisumuOf",Kisumu County Department of Health & Sanitation and 8 others,,2,16,"['SGBV', 'KisumuSRHstrategyreview', 'SRHUHC']"
The Link Empowerment Initiative Githurai,@TheLinkGithurai,2021-08-11T11:26:53.000Z,"Happening Now: FREE Family planning, HIV/STI testing & counseling, Anti #SGBV advocacy & referrals, Breast & Cervical cancer screening, Sanitary pads & condoms distribution, and Antinatal Care services as we mark #IYD2021 in Githurai.",Ministry of Health and 9 others,,4,10,"['SGBV', 'IYD2021']"
Wayamo Foundation,@WayamoFound,2021-08-12T14:59:04.000Z,"@WayamoFound
 workshop in #Nigeria with military investigators and prosecutors: Sofia Candeias joined participants to talk about the investigation and prosecution of conflict-related sexual violence crimes #SGBV 
@endrapeinwar",,,1,2,"['Nigeria', 'SGBV']"
Bhekisisa,@Bhekisisa_MG,2021-08-09T21:00:00.000Z,"SA has allocated R15-million until 2023 to tackle #SGBV & #femicide – a problem that costs the country about R30-billion a year. 
@vandykjoan
 reports. #WomensDay2021 https://bit.ly/3vqAwPv",,,9,11,"['SGBV', 'femicide', 'WomensDay2021']"
The Link Empowerment Initiative Githurai,@TheLinkGithurai,2021-08-11T09:00:55.000Z,"2/2 FREE services today Include Family planning, HIV/STI testing & counseling, Anti #SGBV advocacy & referrals, Breast & Cervical cancer screening, Sanitary pads & condoms distribution, and Antinatal Care services. #IYD2021",Ministry of Health and 7 others,,2,5,"['SGBV', 'IYD2021']"
