username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
𝓐𝓩𝓐𝓓,@azad_krnlk,2021-08-06T10:19:25.000Z,#sigara #yaktıran #anılar,"0:13
10 views",,,4,"['sigara', 'yaktıran', 'anılar']"
BAM,@mucadele_bam,2021-08-05T13:48:59.000Z,"Tütün ürünü kullanımının sebep olduğu sağlık, ekonomik, sosyal ve çevresel riskler göz önüne alarak bu bağımlılıktan kurtulmak ve sağlığı için bu olumlu değişimi başlatmak isteyenler,ALO 171 Sigara Bırakma Danışma Hattı'ndan destek alabilirler.#alo171 #sigara #nargile #tütün",,,,2,"['alo171', 'sigara', 'nargile', 'tütün']"
BAM,@mucadele_bam,2021-08-13T07:45:21.000Z,"Çevre kirliliğinin en büyük nedenlerinden biri de sigara izmaritidir. Bu izmaritler toksik çöp olarak çevre kirliliği, sağlık ve ekonomik kayıplara yol açmakla birlikte bitkiler, hayvanlar ve hatta yer altı suları için de tehdit oluşturmaktadır.#çevre #cuma #izmarit #sigara",,,1,4,"['çevre', 'cuma', 'izmarit', 'sigara']"
BAM,@mucadele_bam,2021-08-05T10:40:11.000Z,"Tütün kullanımı, Covid-19 ile mücadele ettiğimiz bu dönemde her zamankinden çok daha fazla tehlike içermekte ve tütün ürünü kullanımını bırakmak da her zamankinden çok daha fazla önem taşımaktadır. #Persembe #Covid_19 #coronavirus #sağlık #sigara #tütün #nargile #alkol #alo191",,,,2,"['Persembe', 'Covid_19', 'coronavirus', 'sağlık', 'sigara', 'tütün', 'nargile', 'alkol', 'alo191']"
MS Güncel,@MSguncel,2021-08-09T17:10:20.000Z,"MS ve Sigara Kullanımı - Güle güle sigara! (1/2)

Hazırlayan : Hemşire Özge Bekir 
Sancaktepe MS Birimi
@sekobarbital
#mshastalığı #msplatformu #msderneği #msdayanışma #msfarkındalık #msguncel #multiplskleroz #sağlık #sigara #ms #quitsmoking #stopsmoking  #MultipleSclerosis",,,2,5,"['mshastalığı', 'msplatformu', 'msderneği', 'msdayanışma', 'msfarkındalık', 'msguncel', 'multiplskleroz', 'sağlık', 'sigara', 'ms', 'quitsmoking', 'stopsmoking', 'MultipleSclerosis']"
rafi üstündağ,@RafiUstundag,2021-08-13T10:38:22.000Z,#Sigara,,,,1,['Sigara']
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-06T07:28:14.000Z," Bilgi ve Sipariş İçin - 0542 542 7484  Numaralı Telefonlardan Ulaşabilirsiniz.

#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarmatütün #toptantutunsatis #tütün #antalyatütün #izmirt",,,,,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarmatütün', 'toptantutunsatis', 'tütün', 'antalyatütün', 'izmirt']"
BAM,@mucadele_bam,2021-08-09T09:14:33.000Z,"Sigara içmeyenlerin korunması için dünya genelinde önlemlerin artırılmasına, sigaranın bırakılmasına destek olalım! #pazartesi #sigara #tütün #nargile #alkol #COVID19 #sağlık #yeşilay #başarabilisin #alo171 #alo191 #sağlıklıhayat #esigara",,,,,"['pazartesi', 'sigara', 'tütün', 'nargile', 'alkol', 'COVID19', 'sağlık', 'yeşilay', 'başarabilisin', 'alo171', 'alo191', 'sağlıklıhayat', 'esigara']"
EL-CEZERİ MEDYA,@erdmcizrelioglu,2021-08-10T08:48:18.000Z,Günün Fıkrası! #Sigara  ,,2,3,16,['Sigara']
Palyaco,@palyocolar,2021-08-06T02:41:43.000Z,"Bir cigara yakardım, parmaklarımın arasını yakardım...

#sigara",,,,,['sigara']
BAM,@mucadele_bam,2021-08-11T06:46:27.000Z,"Sigara dumanına maruz kalma olarak tanımlanan pasif maruziyet, kişi sigara içmese bile sigara dumanınından yoğun olarak etkilenmesi olarak tanımlanmaktadır. #çarşamba #coronavirus #Covid_19 #sağlık #yeşilay #sağlıkbakanlığı #tütün #nargile #sigara #esigara #alkol #çevre #alo171",,,,1,"['çarşamba', 'coronavirus', 'Covid_19', 'sağlık', 'yeşilay', 'sağlıkbakanlığı', 'tütün', 'nargile', 'sigara', 'esigara', 'alkol', 'çevre', 'alo171']"
Rıfat Özkan,@rifatorg,2021-08-05T15:20:11.000Z,"Rod Serling, Alacakaranlık Kuşağı'nı anlatırken bir sigara içiyor, c. 1964 [638x800] - #638x800 #Alacakaranlık #anlatırken #bir #içiyor #Kuşağını #Rod #Serling #sigara",,,,,"['638x800', 'Alacakaranlık', 'anlatırken', 'bir', 'içiyor', 'Kuşağını', 'Rod', 'Serling', 'sigara']"
Orhan Sehmeç,@OrhanSehme1,2021-08-09T05:50:32.000Z,"Kendinizi benim yerime koyun da empati sigara yaksın. 

#sigara",,,,5,['sigara']
BAM,@mucadele_bam,2021-08-12T14:21:24.000Z,"Yapılan bir araştırmaya göre, tek bir sigara izmaritinin içinden sızan maddelerin bir litrelik su içerisinde yaşayan bir balığın ölümüne yol açtığı tespit edilmiştir. #perşembe #COVID19 #sigara #nargile #tütün #alkol #çevre #doğa #izmarit #yeşilay #sağlıkbakanlığı #sağlık",,,1,6,"['perşembe', 'COVID19', 'sigara', 'nargile', 'tütün', 'alkol', 'çevre', 'doğa', 'izmarit', 'yeşilay', 'sağlıkbakanlığı', 'sağlık']"
BAM,@mucadele_bam,2021-08-11T08:18:30.000Z,Sigara bırakma konusunda 7 gün 24 saat esasına göre hizmet veren Alo 171 Sigara Bırakma Danışma Hattı’nı arayarak destek alabilirsiniz. #çarşamba #alo171 #sağlık #sağlıkbakanlığı #COVID19 #sigara #tütün #nargile #alkol #çevre #başarı #bırakabilirsin #alo191 #madde,,,,1,"['çarşamba', 'alo171', 'sağlık', 'sağlıkbakanlığı', 'COVID19', 'sigara', 'tütün', 'nargile', 'alkol', 'çevre', 'başarı', 'bırakabilirsin', 'alo191', 'madde']"
Yavuz ALNIAK,@YavuzALNIAK,2021-08-05T21:14:01.000Z,"Bodrum'da çıkan ilk yangına, 3 kişinin arabanın camından sigara izmariti atarak neden olduğu MOBESE kameralarından saptandı. 3 kişi tutuklanarak ceza evine gönderildi

#bodrum #yangın #sigara #izmarit #türkiyeyanıyor",,,,,"['bodrum', 'yangın', 'sigara', 'izmarit', 'türkiyeyanıyor']"
medineli,@MEDINELI38,2021-08-10T05:24:38.000Z,"VERENİN NİYETİ ÇOK ÖNEMLİ...
#mahmudsamiramazanoglu #musatopbaş 
@abdullahsert48
 #niyet #sigara #mymecra",,,2,6,"['mahmudsamiramazanoglu', 'musatopbaş', 'niyet', 'sigara', 'mymecra']"
Serhat Fırat Başçı,@01serhad,2021-08-06T22:44:36.000Z,Nerden nereye #sigara #alkol #TayyipErdoğanİstifa #TamamUlanTamam  #KimVurduyaGidenler  #Hanımefendi  #TekeTekYalanYangınGercek #TermikSantrali,,,,1,"['sigara', 'alkol', 'TayyipErdoğanİstifa', 'TamamUlanTamam', 'KimVurduyaGidenler', 'Hanımefendi', 'TekeTekYalanYangınGercek', 'TermikSantrali']"
Adıyaman Tütünü Çelikhan Tütünü,@Adiyaman_Tutunu,2021-08-06T13:08:52.000Z," Bilgi ve Sipariş İçin -  0(532) 335 68 02  Numaralı Telefonlardan Ulaşabilirsiniz.
#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarmatütün #toptantutunsatis #tütün #antalyatütün",,,,2,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarmatütün', 'toptantutunsatis', 'tütün', 'antalyatütün']"
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-07T19:06:56.000Z,"Adıyaman Tütünü toptan ve perakende satışı 2005 tekel tütünü instark tütünü  0542 542 7484  Numaralı Telefonlardan Ulaşabilirsiniz.
#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarma",,,,1,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarma']"
BAM,@mucadele_bam,2021-08-10T13:03:37.000Z,Sigarayı bırakarak oluşabilecek tehlikelerin önüne geçebilir ve çevreye verdiği zararları engelleyebilirsiniz. #sigara #tütün #nargile #esigara #alkol #çevre #izmarit #salı #yeşilay #sğlık #sağlıkbakanlığı #COVID #Covid_19 #bırakabilirsin #başarabilirisin,,,,,"['sigara', 'tütün', 'nargile', 'esigara', 'alkol', 'çevre', 'izmarit', 'salı', 'yeşilay', 'sğlık', 'sağlıkbakanlığı', 'COVID', 'Covid_19', 'bırakabilirsin', 'başarabilirisin']"
