username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
PriveSigorta,@PriveSigorta,2021-07-29T10:50:38.000Z,"You are in good hands with Prive Sigorta.

Prive Sigorta ile emin ellerdesiniz.

#PriveInsurance #ExperiencetheDifference #insurance #lifeinsurance #healthinsurance #business #investment #finance #incomeprotection #insurancecompany #sigorta",,,2,2,"['PriveInsurance', 'ExperiencetheDifference', 'insurance', 'lifeinsurance', 'healthinsurance', 'business', 'investment', 'finance', 'incomeprotection', 'insurancecompany', 'sigorta']"
İLKER ÇETİN,@analystilker,2021-07-16T08:13:38.000Z,"#USOIL BUY
TP: 71,45

 #YTD

#FX #bist #defi #dolar #yatırım #btt #btc #bnb #altın #petrol #sigorta #analiz #ekonomi #mahfieğilmez #amazon #covid19",,,1,3,"['USOIL', 'YTD', 'FX', 'bist', 'defi', 'dolar', 'yatırım', 'btt', 'btc', 'bnb', 'altın', 'petrol', 'sigorta', 'analiz', 'ekonomi', 'mahfieğilmez', 'amazon', 'covid19']"
ThreatMonIT,@ThreatMonIT,2021-06-23T11:52:17.000Z,ThreatMonIT has detected that a threat actor claims to sell data of over 3200 Turkish insurance companies.,,1,,,[]
ThreatMonIT,@ThreatMonIT,2021-06-23T11:52:17.000Z,"According to the threat actor, information includes city, district, mobile phone, business phone,  location information and 3200-odd insurers have websites, facebook, twitter, instagram, linkedin urls.

#Hacking  #CyberSecNews  #CTI #CyberThreat #CyberThreatIntelligencel #Sigorta",,,,1,"['Hacking', 'CyberSecNews', 'CTI', 'CyberThreat', 'CyberThreatIntelligencel', 'Sigorta']"
DOMAİN KÖŞKÜ,@domainkosku,2021-05-13T16:32:46.000Z,http://MilliSigorta.com for sale #domain #insurance #sigorta,,,,,"['domain', 'insurance', 'sigorta']"
Muzaffer,@MuzafferGuer,2021-08-04T10:59:07.000Z,Unser Quiz Tag! Tweet uns deine Antwort. #quiz #schöneberg #berlin #versicherung #muso #karzlerstrasse #yorckstrasse #tempelhof #sigorta #pallast,,,,,"['quiz', 'schöneberg', 'berlin', 'versicherung', 'muso', 'karzlerstrasse', 'yorckstrasse', 'tempelhof', 'sigorta', 'pallast']"
2B Yayınları,@2byayinlari,2021-06-03T11:03:26.000Z,"Güncel Konulara Fıkhî Cevaplar - 2 - M.Raşid DÜNDAR
@XalidSadini
 
.
.
.
#Allah
#Kelam
#İman
#feqex
#2byayınları
#İslam
#Din
#sorucevap
#fıkıh
#Sevgi
#raşiddündar
#medrese
#caizmi
#Bitcoin
#Ethereum
#Litecoin
#Ripple
#Sigorta
#kredi
#Bireyselemeklilik
#kriptopara
#kriptopara",,,1,4,"['Allah', 'Kelam', 'İman', 'feqex', '2byayınları', 'İslam', 'Din', 'sorucevap', 'fıkıh', 'Sevgi', 'raşiddündar', 'medrese', 'caizmi', 'Bitcoin', 'Ethereum', 'Litecoin', 'Ripple', 'Sigorta', 'kredi', 'Bireyselemeklilik', 'kriptopara', 'kriptopara']"
Identify Türkiye,@Identify24TR,2021-05-04T12:20:01.000Z,"Sigorta sektörü KYC'ye hazırlanıyor! Peki Acentelerinizi nasıl entegre edeceğinizi biliyor musunuz? En önemlisi Identify Türkiye'nin Acente Yönetim Platformunu geliştirdiğini duymuş muydunuz?

Çok yakında..

#sigorta #kyc #digitalonboarding #dijitalleşme #uzaktanmüşteriedinimi",,,1,3,"['sigorta', 'kyc', 'digitalonboarding', 'dijitalleşme', 'uzaktanmüşteriedinimi']"
Ahmet YAŞAR,@AhYaSaR,2021-08-01T09:41:39.000Z,"Sportsboat Türkiye 2021Trofesi 4. Ayak Yarışı HSSK - Quick Sigorta Kupası start alıyor ! 
Ağustos ayında yapılacak olan Türkiye ve Avrupa Şampiyonası öncesi son trofe yarışında 30'dan fazla sportsboat teknesi yer alacak. #heybeliadasusporlarikulubu #sigorta #sportsboat #quick",,,2,14,"['heybeliadasusporlarikulubu', 'sigorta', 'sportsboat', 'quick']"
idil taraklı,@idil_tarakli,2021-01-18T09:37:03.000Z,"“ Oyak Çimento’nun kârlılığı artmaya devam edecektir ”

Yunus KAYA / Alnus Yatırım Araştırma Müdürü

#oyak #çimento #turkcell #türkiye #sigorta 
@analist1",,,5,30,"['oyak', 'çimento', 'turkcell', 'türkiye', 'sigorta']"
