username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
AllQuakes - EMSC,@EMSC,2021-08-06T15:06:04.000Z,#Earthquake (#deprem) M3.2 strikes 6 km SE of #Siirt (#Turkey) 10 min ago. More info: https://emsc-csem.org/Earthquake/earthquake.php?id=1019841…,,,3,4,"['Earthquake', 'deprem', 'Siirt', 'Turkey']"
Earthquake Updates Worldwide,@InfoEarthquakes,2021-08-06T15:08:59.000Z,"An #earthquake (#deprem) happened in #Siirt, #Turkey 12mins ago at 2:55PM on 06/08/2021 UTC. The earthquake had a magnitude of M3.2 and it was 18km (11.1 miles) deep in the ground. Stay safe! #sismo #quake 

Site Used: https://cutt.ly/cQQHoyU
Pictures are from EMSC.",,,,2,"['earthquake', 'deprem', 'Siirt', 'Turkey', 'sismo', 'quake']"
Esengül,@Esengl68600688,2021-08-05T21:51:53.000Z,êſčòrțſ    Every accomplishment starts with the decision to try. #siirt #kurtalan,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['siirt', 'kurtalan']"
Ayşe Erdoğan,@AyeErdo78846155,2021-08-10T22:01:08.000Z,"êſčòrțſ    Men never remember, but women never forget. #siirt #kurtalan","EDA
@RahimekzKoyuncu
 · Aug 10",,2,2,"['siirt', 'kurtalan']"
Ceyda,@Ceydds22,2021-08-05T11:20:47.000Z,Canım Siirt’imin yine gözü yükseklerde maşallahhhh #siirt,,8,7,198,['siirt']
mühendisyen,@muhendisyenn,2021-08-05T09:16:46.000Z,"Siirt'in Pervari ilçesine bağlı Palamutlu köyü kırsalında çıkan orman yangın, Tillo ilçesine bağlı Akyayla köyü Kargacık Mezrasına doğru yayılma gösteriyor.

#Siirt 
Kaynak : İHA",,9,169,566,['Siirt']
Yakup BAYIR,@yakupbayir56,2021-08-05T12:33:00.000Z,"24-30 Temmuz 2021 tarihleri arasında 100 bin nüfusa karşılık gelen haftalık vaka sayımız

 1139.94

Son haftada vaka sayıları en çok artan 1.sıradayız 
Durumu tersine çevirmenin tek yolu bir an önce aşımızı olmak ve temizlik kurallarına uymaktır.

#haydisiirtaşıya 
#siirt",Av.Ekrem OLĞAÇ and 9 others,,14,235,"['haydisiirtaşıya', 'siirt']"
Mrv,@Mrvaydnn2,2021-08-05T17:17:07.000Z,#siirtyaniyor #siirt,,,,14,"['siirtyaniyor', 'siirt']"
ZEYNEP İLGİN,@zeynep_ilgin56,2021-08-11T16:05:14.000Z,"''Hayallerinizi küçümseyenlerden uzak durun..!
Ruhu küçük insanlar başkalarını da daraltmak, azaltmak ister.''
#siirt #eruh",,,,23,"['siirt', 'eruh']"
ZEYNEP İLGİN,@zeynep_ilgin56,2021-08-09T08:07:32.000Z,An itibari ile memleketteyiz #siirt #siirtmerkez,,,,21,"['siirt', 'siirtmerkez']"
İbrahim Çakır,@ckribrahim56,2021-08-06T14:59:57.000Z,Sallandık ufak bir deprem oldu. #Siirt Rabbim kötüsünden korusun,,,,4,['Siirt']
Siirt Belediyesi #Maske #Mesafe #Temizlik,@SiirtBel,2021-08-12T07:37:29.000Z,"Huzur şehri #Siirt için sahadayız..

Barış ve Kooperatif Mahalleleri arasında 2300 metre uzunluğundaki atık su ve kanalizasyon inşaat çalışmaları  devam ediyor. 

Fiziki gerçekleştirme oranı %70'e varan proje ile kentin 10 yıllık alt yapı sorunu çözüme kavuşuyor.

#SİSKİ",,,1,8,"['Siirt', 'SİSKİ']"
Sefa Türksoy,@SefaTurksoy,2021-08-06T05:47:40.000Z,#Siirt Çevre Yolu,,,,3,['Siirt']
SİİRT24 Haber,@Siirt24haber,2021-08-05T12:42:49.000Z,"SİİRT ALARM VERİYOR
SİİRT VAKA SAYILARINDA LİDERLİĞİ BIRAKMIYOR: Siirt Vaka Oranı % 1139,94

Sağlık Bakanı Koca:
Son bir haftada vaka sayısı en çok artan illerimiz; Siirt, Diyarbakır, Bingöl, Batman ve Bitlis.  #siirt",,1,,2,['siirt']
Best of Bilal,@bilalvevoo,2021-08-05T12:26:55.000Z,#Siirt: Hedef 2023,,3,12,523,['Siirt']
tk,@kayratuba34,2021-08-05T13:11:14.000Z,Günde en az 10 sela dinliyoruz... Ve halende kimse vahametin farkında değil maalesef #siirt kendine gel.,,,1,9,['siirt']
Siirt Gönül Elçileri,@Siirtgnlelciler,2021-08-10T18:18:10.000Z,"Teşekkürler #Siirt

#BirlikteBaşaracağız",,,1,3,"['Siirt', 'BirlikteBaşaracağız']"
Nazlı Aslan,@nzlaslnn_,2021-08-05T12:36:03.000Z,"Geçen sene vakalar şimdikinin yarısı olmasına rağmen kısıtlamalar vardı ve çok sıkıydı.Düğün salonları,kafeler,sinemalar kapalıydı.Okul hariç her yer açık.Gereksiz yerler yüzünden gerekli yerlerin kapalı kalması ne kadar mantıklı anlam veremiyorum. #siirt",,,,11,['siirt']
𝘔𝘪𝘳𝘻𝘢 𝘒𝘈𝘠Ğ𝘈Ş,@MirzaKaygas,2021-08-10T21:21:02.000Z,"Rabb'im Bizleri Salih kullardan eylesin inşallah. Rabbim nimetin kıymetini bilen ve özellikle şükürünü eda eden kullarından eylesin inşallah. Amin. Selâm ve dua ile.
#Siirt #VeyselKarani #Cami #Türbe #Ziyaret #Dua",,,,4,"['Siirt', 'VeyselKarani', 'Cami', 'Türbe', 'Ziyaret', 'Dua']"
Siirt Belediyesi #Maske #Mesafe #Temizlik,@SiirtBel,2021-08-09T05:54:26.000Z,"Günaydın #Siirt 

Yeni haftanın sağlık, huzur ve bereketle geçmesi temennisiyle..

#Maske #Mesafe  #Temizlik Kuralarına uyalım.

Unutmayalım!

Virüse karşı en büyük gücümüz #Aşı ve tedbirdir.

Toplumsal bağışıklık için #Aşı olalım...",,,1,4,"['Siirt', 'Maske', 'Mesafe', 'Temizlik', 'Aşı', 'Aşı']"
A.Gaffar Esen,@esen_gaffar,2021-08-05T13:07:47.000Z,Sebebi herkesi düğünlere çağıranlardır. #siirt,,,,6,['siirt']
Leylaa GÜR,@leylifer3,2021-08-05T12:36:58.000Z,#Siirt neler oluyor güzelim ülkemde.. bir yandan yangın bir yandan salgın.. Rabbim sonumuzu hayreylesin,,,,5,['Siirt']
İhsan Kaçar,@ihsankacarr,2021-08-05T12:01:24.000Z,"Son bir haftada vaka sayısı en çok artan 5 il #Siirt, #Diyarbakır, #Bingöl, #Batman ve #Bitlis...",,,2,12,"['Siirt', 'Diyarbakır', 'Bingöl', 'Batman', 'Bitlis']"
Metin Karsak,@Mtnkrsk,2021-08-05T12:36:46.000Z,"Ülke genelinde yüzde olarak vaka oranı en düşük ilken, şuan diğer illere kıyasla çok büyük farkla en fazla olan il #Siirt
Bunun tek sebebi aşısızlık. Vatandaşımızı aşı olmaya ve korona virüs tedbirlerine uyum sağlamaya davet ediyorum..
Hep braber başarabilirz","Dr. Fahrettin Koca
@drfahrettinkoca
 · Aug 5
İllerimizde 100.000 nüfusa karşılık gelen bir haftalık toplam vaka sayısını gösteren insidans haritasının güncel halini ekte görebilirsiniz. Aşı olma oranı yüksek olan illerimiz vaka artışlarından çok daha az etkileniyor. Aşınızı zaman kaybetmeden olun.",,,13,['Siirt']
MUSTAFA TORaman,@toraman5614,2021-08-05T12:56:58.000Z,"Her hafta rekor siirt'ten geliyor. 
#siirt #COVID19",,,,7,"['siirt', 'COVID19']"
©CANER ARSLAN®,@ccnrnarslnn,2021-08-05T12:18:40.000Z,#siirt Asilanmada rekoru kırmış helal,,,,1,['siirt']
lügneş,@englEli1,2021-08-05T13:19:20.000Z,#siirt en kötü şeylerde hep birinciyiz..,,,,3,['siirt']
Rûdaw Türkçe,@RudawTurkce,2021-08-10T13:38:59.000Z,"#Siirt kent merkezinde aralarında husumet bulunan Alçı ve Adıyeke aileleri, kanaat önderlerinin girişimiyle barıştırıldı","Siirt'te husumetli iki aile kanaat önderlerinin girişimleriyle barıştı
Siirt kent merkezinde aralarında husumet bulunan Alçı ve Adıyeke aileleri, kanaat önderlerinin girişimiyle barıştırıldı
rudaw.net",1,,11,['Siirt']
Asuman,@Kacakcayonline,2021-08-05T12:29:08.000Z,"Şimdi de #siirt yanıyor. Lütfen büyümeden müdahale edilsin . Yardım etmek isteyen gönüllülere izin verilmediği söyleniyor. Sebebi ne kül olmasını mı bekliyoruz  ? 
#siirtyanıyor",,,5,29,"['siirt', 'siirtyanıyor']"
Cafer Yelsalı,@caferyelsali,2021-08-05T12:45:09.000Z,Şimdide #siirt yanıyor,"duvaR
@gazeteduvar
 · Aug 5
Siirt’in Pervari ve Tillo ilçelerinde orman yangını

https://gazeteduvar.com.tr/siirtin-pervari-ve-tillo-ilcelerinde-orman-yangini-haber-1530725…",,,2,['siirt']
mesut palan,@projectman56,2021-08-05T14:21:34.000Z,"Sen Siirtsin. Büyük düşün. İnsanlıkta, mertlikte,hastalıkta her konuda birincisin. Ortalık 56 olmuş. #siirt",,,,3,['siirt']
TVNET,@tvnet,2021-08-06T07:00:02.000Z,"AŞI TİMLERİ KÖY KÖY DOLAŞIYOR

#Siirt'te sağlık ekiplerinin geldiğini gören vatandaşlar kuyruk oluşturdu.",,,1,1,['Siirt']
Evdirehman Milazgirî,@Kurdekihestiyar,2021-08-05T17:18:33.000Z,"Değerli dostlar lütfen bir an önce aşı olun ve sevdiklerinizi aşı olmaya ikna edin. 
#Diyarbakır
#Batman
#Muş
#Van 
#Siirt
#Mardin
#Ağrı
#Kars
#Hakari
#Şırnak
#Iğdır
#Ardahan
#Şanlıurfa
#Gaziantep
#Elazığ
#Bingöl
#Dersim
#Malatya","Sıdkı Zilan
@sidkizilan
 · Aug 5
Diyarbekirliler bugün itibariyle aşıya koşarak bu durumu tersine çevirebilirler.

Eylül ayında hem okullar açılıyor, hem adlı tatil bitiyor, hem de köylerine, tatile gidenler dönüyor; tek çare aşı olmaktır. 

Aksi halde kıyamet kopmaz ama canımız yanar, bedeli de büyük olur. twitter.com/TigrisHaber/st…",,,2,"['Diyarbakır', 'Batman', 'Muş', 'Van', 'Siirt', 'Mardin', 'Ağrı', 'Kars', 'Hakari', 'Şırnak', 'Iğdır', 'Ardahan', 'Şanlıurfa', 'Gaziantep', 'Elazığ', 'Bingöl', 'Dersim', 'Malatya']"
Siirt Valiliği Aşı Olalım,@SiirtValiligi,2021-08-09T05:49:04.000Z,"Günaydın #Siirt 

Yeni haftanın sağlık, huzur ve bereketle geçmesi temennisiyle..

#Maske #Mesafe  #Temizlik Kuralarına uyalım.

Unutmayalım!

Virüse karşı en büyük gücümüz #Aşı ve tedbirdir.

Toplumsal bağışıklık için #Aşı olalım...",,,1,16,"['Siirt', 'Maske', 'Mesafe', 'Temizlik', 'Aşı', 'Aşı']"
