username,twhandle,postdate,content,responding,reply,retweet,like
arya_lipaa,@arya_lipa,2021-08-01T12:25:07.000Z,#SONDAKIKA POOL PLEASURE AT MY HOME,,,,4,['SONDAKIKA']
Fenerbahçe&Atatürk,@BalkesliMemo,2021-07-29T22:45:14.000Z,"Yeterrrr...!!!
#SonDakika
#AtesinCocukları",,1,2,27,"['SonDakika', 'AtesinCocukları']"
RedWhite.gr,@GrRedwhite,2021-08-01T07:38:06.000Z,"@henryconyekuru
 has arrived  in order to complete his transfer to Olympiacos!

Welcome, Henry! 

#Olympiacos #Olympiakos #ASMonaco #Galatasaray #Transfer #SonDakika #Mercato",,,,5,"['Olympiacos', 'Olympiakos', 'ASMonaco', 'Galatasaray', 'Transfer', 'SonDakika', 'Mercato']"
PigToken MusMeL,@PigtokenM,2021-08-01T15:44:13.000Z,"#Pigtoken #Pigswap #Pig  100x Ne ath soon #ElonMusk 
@elonmusk
 #BTC #eth #pigarmy #Shiba #akita #dogecoin #NFT #sondakika #Memes  #cryptocurrency #BNB #BSCNews ",,3,7,14,"['Pigtoken', 'Pigswap', 'Pig', 'ElonMusk', 'BTC', 'eth', 'pigarmy', 'Shiba', 'akita', 'dogecoin', 'NFT', 'sondakika', 'Memes', 'cryptocurrency', 'BNB', 'BSCNews']"
Steven Adam Martin,@earthhope2100,2021-07-30T10:31:45.000Z,"#SONDAKİKA
""Support from Ukraine to Turkey: Planes took off

 The fight against forest fires in many regions of Turkey continues.

 Two firefighting AN-32P firefighters belonging to the State Emergency Service, as stated by Ukrainian leader Vladimir Zelensky, flew to Turkey.""","Quote Tweet
Ajans Haber
@AjansHaberResmi
 · Jul 30
#SONDAKİKA 
Ukrayna'dan Türkiye'ye destek: Uçaklar yola çıktı

Türkiye'nin birçok bölgesinde çıkan orman yangınlarıyla mücadele sürüyor.

Ukrayna lideri Vladimir Zelensky'nin ifade ettiği Devlet Acil Servisi’ne ait iki yangın söndürme AN-32P itfaiye uçağı Türkiye’ye uçtu.",,,1,['SONDAKİKA']
TRT World,@trtworld,2021-07-31T12:00:00.000Z,Is the PKK terror group behind the forest fires in Turkey?,,67,138,221,[]
KabulLady,@KabulLady,2021-07-31T12:12:46.000Z,"#tSK and #IsIs behind the Fire  in #Turkey ,,,,,
#Istanbul #Tarabya #Adana #Turkeyisburning #TurkeyIsOnFire #SonDakika #Turkeyisbeingburned #pazar #Antalya #marmarisyangın #Akp #Mhp #fethiye #PKKyıkınamayanKılıcdaroğluİstifa #PKKYAKIYOR #PKKyaktıAKPizledi #Açil",,,,,"['tSK', 'IsIs', 'Turkey', 'Istanbul', 'Tarabya', 'Adana', 'Turkeyisburning', 'TurkeyIsOnFire', 'SonDakika', 'Turkeyisbeingburned', 'pazar', 'Antalya', 'marmarisyangın', 'Akp', 'Mhp', 'fethiye', 'PKKyıkınamayanKılıcdaroğluİstifa', 'PKKYAKIYOR', 'PKKyaktıAKPizledi', 'Açil']"
Medyanın Elli Tonu,@Medyanin50Tonu,2021-08-02T07:30:57.000Z,"#sondakika 
28 Temmuz'dan bu yana kayıp olan 26 yaşındaki Azra Gülendam Haytaoğlu'nun cansız bedeni bulundu.
Azra'nın cinayete kurban gittiği anlaşıldı.",,42,310,661,['sondakika']
Türkgün Gazetesi,@TurkgunGazetesi,2021-07-30T06:43:25.000Z,"#sondakika MHP Lideri Devlet Bahçeli, gazetemiz TÜRKGÜN'e özel değerlendirmelerde bulundu:

""Aklımda hep Türkiye var.""","MHP Lideri Devlet Bahçeli: Aklımda hep Türkiye var
Milliyetçi Hareket Partisi Genel Başkanı Devlet Bahçeli, Türkiye’nin gündemini gazetemiz TÜRKGÜN’e değerlendirdi.
turkgun.com",11,149,440,['sondakika']
Türkgün Gazetesi,@TurkgunGazetesi,2021-08-01T06:44:27.000Z,"#sondakika MHP Lideri Devlet Bahçeli TÜRKGÜN'e özel açıklamalarda bulundu: 

""Anayasa Mahkemesi hesabını veremez.""

https://turkgun.com/mhp-lideri-devlet-bahceli-anayasa-mahkemesi-hesabini-veremez-haber-157865…",,5,138,342,['sondakika']
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-31T11:37:35.000Z,"Bursa-Ankara karayolu Çitli mevkiinde çıkan yangın polislerimizin dikkati sayesinde büyümeden önlendi!
#SonDakika #PrayForTurkey",,,58,80,"['SonDakika', 'PrayForTurkey']"
arya_lipaa,@arya_lipa,2021-08-01T12:31:07.000Z,#SONDAKIKA POOL PLEASURE AT MY HOME,,,,2,['SONDAKIKA']
loveworld,@LoveWorld_Peopl,2021-07-28T13:08:36.000Z,"#BREAKING #TURKEY

 TURKEY: MASSIVE FIRE IN ANTALYA !

Forest #fire broke out at 4 different points in #Manavgat district, #Antalya City. Air & land interventions continue, flames spread to residential & agricultural areas.

#BreakingNews #Sondakika 
#Fire #Video -A Hbr",,18,188,166,"['BREAKING', 'TURKEY', 'fire', 'Manavgat', 'Antalya', 'BreakingNews', 'Sondakika', 'Fire', 'Video']"
TÜRK (𐱅𐰼𐰇𐰰) #PrayForTurkey,@mvzkemalistler,2021-08-02T15:56:00.000Z," #SonDakika
Demre'de yangın çıktı.","From 
Antalya Hakkinda",,2,4,['SonDakika']
Gündem Haber,@GundemHaber__tr,2021-08-01T20:00:58.000Z,#SonDakika Muğla Kavaklıdere'deki yangın kontrol altına alındı.,,,,5,['SonDakika']
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-07-31T14:48:56.000Z,"Bodrum Anlık görüntüler  
    Yangın şehir merkezine çok yakın..
#bodrumyangın  #SonDakika",,,43,14,"['bodrumyangın', 'SonDakika']"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T17:51:17.000Z,"ONIKI ADALAR (AKDENIZ)
Büyüklük: 4.1
Tarih:
 01.08.2021
Saat:
 20:44:25
Derinlik:
 6.6 km #deprem #AKDENIZ #SonDakika",,,2,3,"['deprem', 'AKDENIZ', 'SonDakika']"
Emre.,@emregram,2021-08-01T08:13:06.000Z,Akparti’nin yeni seçim aracı h.o #SonDakika #akpartea,,,,52,"['SonDakika', 'akpartea']"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T20:34:03.000Z,"AKDENIZ
Büyüklük: 3.6
Tarih:
 01.08.2021
Saat:
 23:29:01
Derinlik:
 9.2 km #deprem #SonDakika",,,,2,"['deprem', 'SonDakika']"
loveworld,@LoveWorld_Peopl,2021-07-28T13:05:41.000Z,"#BREAKING #TURKEY

 TURKEY: MASSIVE FIRE IN ANTALYA !

Forest #fire broke out at 4 different points in #Manavgat district, #Antalya City. Air & land interventions continue, flames spread to residential & agricultural areas.

#BreakingNews #Sondakika #Video
#Fire",,,,2,"['BREAKING', 'TURKEY', 'fire', 'Manavgat', 'Antalya', 'BreakingNews', 'Sondakika', 'Video', 'Fire']"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T16:09:59.000Z,"AKDENIZ
Büyüklük: 3.8
Tarih:
 01.08.2021
Saat:
 19:03:49
Derinlik:
 8.9 km #deprem #SonDakika",,,,2,"['deprem', 'SonDakika']"
TÜRK (𐱅𐰼𐰇𐰰) #PrayForTurkey,@mvzkemalistler,2021-08-01T17:44:03.000Z,"#SonDakika
ABD, İran'ı Umman körfezindeki saldırısı nedeniyle tehdit etti.",,1,1,5,['SonDakika']
Havadis,@havadisigundem,2021-07-29T14:27:25.000Z,Akdeniz ve çevresinde meydana gelen yangınları çıkaran bazı teröristler yakalandı. #sondakika,,,1,4,['sondakika']
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-07-31T13:56:12.000Z,"Azra Gülendam Haytaoglu  2 gündür kayıp en son lara tarafların da  görülmüş sonra haber alinamamis . Gören duyan olursa 05452535602.  05332616599 iletişime geçebilir. 
#SonDakika",,,37,9,['SonDakika']
Parasan Haber,@parasancom,2021-08-02T10:02:38.000Z, Enerji ve Tabii Kaynaklar Bakanlığı'ndan #sondakika #elektrikkesintisi açıklaması:  Elektrik kesintileri giderildi,,,1,3,"['sondakika', 'elektrikkesintisi']"
Konuş TV,@KonusTv,2021-08-02T16:19:21.000Z,"#Sondakika Aydın/Bozdoğan'da orman yangını başladığı belirtiliyor. 
#Aydınyanıyor #bozdoğanyanıyor #buldanyanıyor #ormanlarımızyanıyor","0:07
673 views",,9,8,"['Sondakika', 'Aydınyanıyor', 'bozdoğanyanıyor', 'buldanyanıyor', 'ormanlarımızyanıyor']"
F Zehra Demirel,@zekderler2,2021-07-31T22:38:25.000Z,#sakarya #SonDakika #kayıp #sakaryakayıp,,,2,1,"['sakarya', 'SonDakika', 'kayıp', 'sakaryakayıp']"
