username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Chaudhary Parvez,@ChaudharyParvez,2021-08-12T02:07:02.000Z,"#BREAKING - #Massive #flood strikes #Turkey's black sea region. Moment of the floodwater causing destruction captured.
#Selingkuh #Türkiye #Yağmurlar #sel #SONDAKIKA","0:16
1.1K views",1,7,7,"['BREAKING', 'Massive', 'flood', 'Turkey', 'Selingkuh', 'Türkiye', 'Yağmurlar', 'sel', 'SONDAKIKA']"
Chaudhary Parvez,@ChaudharyParvez,2021-08-12T02:39:30.000Z,"The height of the flood water at #Bozkurt in #Turquie reached the first floor of the apartments.
#Turkeyfloods #PrayForTurkey #BlackSea #Flood #TurkeyFloods #Selingkuh #Türkiye #Yağmurlar #sel #SONDAKIKA",,,7,5,"['Bozkurt', 'Turquie', 'Turkeyfloods', 'PrayForTurkey', 'BlackSea', 'Flood', 'TurkeyFloods', 'Selingkuh', 'Türkiye', 'Yağmurlar', 'sel', 'SONDAKIKA']"
FenerbahCHE,@chefenerbahce,2021-08-10T13:24:48.000Z," Caner Erkin Rize’de! 
#SONDAKİKA",,,,,['SONDAKİKA']
Serhat Fırat Başçı,@01serhad,2021-08-08T17:48:54.000Z,Classic kurd wedding #kürt #kurd #türkiye #düğün #dawet #wedding #kına #SONDAKİKA #OEmer #germany,,,,2,"['kürt', 'kurd', 'türkiye', 'düğün', 'dawet', 'wedding', 'kına', 'SONDAKİKA', 'OEmer', 'germany']"
Büyük Türk Haber Son dakika,@BuyukTurkHaber,2021-08-10T18:51:48.000Z,"UPDATE: The #Taliban has captured another city in #Afghanistan, taking the number of provincial capitals the group has seized since Friday to eight 
Taliban 8.Eyaleti Ele Geçirdi.
#news #sondakika",,,,,"['Taliban', 'Afghanistan', 'news', 'sondakika']"
Chaudhary Parvez,@ChaudharyParvez,2021-08-12T02:33:19.000Z,"#BREAKING Many people are missing after flooding #destroyed houses in Kastamonu and Bartin provinces of Turkey's Black Sea region  #Kastamonu #Sinop #BlackSea #Flood

#Kastamonu #TurkeyFloods #Sinop #BlackSea #Flood  #Selingkuh #Türkiye #Yağmurlar #sel #SONDAKIKA",,1,11,12,"['BREAKING', 'destroyed', 'Kastamonu', 'Sinop', 'BlackSea', 'Flood', 'Kastamonu', 'TurkeyFloods', 'Sinop', 'BlackSea', 'Flood', 'Selingkuh', 'Türkiye', 'Yağmurlar', 'sel', 'SONDAKIKA']"
Evrenin Kaşifi,@kasifievrenin,2021-08-08T16:39:23.000Z,"Senin favorin hangisi?  

: IG a_guy_named_eric

#planet #galaxy #galaxies #universe #telescope #cosmos #nebula #nightsky #blackhole #star #astrology #haber #sondakika #sondakikahaberleri #evren #bilim #uzay #karadelik #dünya #nature #milkywaychasers #astrophotography",,1,,3,"['planet', 'galaxy', 'galaxies', 'universe', 'telescope', 'cosmos', 'nebula', 'nightsky', 'blackhole', 'star', 'astrology', 'haber', 'sondakika', 'sondakikahaberleri', 'evren', 'bilim', 'uzay', 'karadelik', 'dünya', 'nature', 'milkywaychasers', 'astrophotography']"
KabulLady,@KabulLady,2021-08-07T13:35:11.000Z,"#WhiteHelmets Are #Terrorists #ISIS in #Idlib #Syria ..
#القصاص_من_قاتل_روان #دلال_عبدالعزيز #TheSuicideSquad  
#tsk_ve_isis_yaniyor 
#Gold #goldmedal #İstanbul #KabulLady #KabulRegimeCrimes #TalibanDestroyingAfghanistan #Messi #ChelseaFC #ispartayaniyor #SonDakika #Açil","Khaled Khattab
@whitehelmets90
 · Aug 7
Resting after fatigue and effort to put out one of the fires that broke out in the town of #Kawerko in the western countryside of #Idlib.
#WhiteHelmets",,,,"['WhiteHelmets', 'Terrorists', 'ISIS', 'Idlib', 'Syria', 'القصاص_من_قاتل_روان', 'دلال_عبدالعزيز', 'TheSuicideSquad', 'tsk_ve_isis_yaniyor', 'Gold', 'goldmedal', 'İstanbul', 'KabulLady', 'KabulRegimeCrimes', 'TalibanDestroyingAfghanistan', 'Messi', 'ChelseaFC', 'ispartayaniyor', 'SonDakika', 'Açil']"
BirGün Gazetesi,@BirGun_Gazetesi,2021-08-08T14:02:32.000Z,"#SonDakika
Diyanet açıkladı: Suudi Arabistan, Türkiye’den umre ziyaretçisi kabul etmeyecek","Diyanet açıkladı: Suudi Arabistan, Türkiye’den umre ziyaretçisi kabul etmeyecek
Diyanet İşleri Başkanlığı'nın açıklamasına göre, Suudi Arabistan, Türkiye'nin de aralarında olduğu 33 ülkeden umre için ziyaretçi kabul etmeyecek.
birgun.net",443,698,2.4K,['SonDakika']
ABC Gazetesi,@abcgazete,2021-08-10T12:27:50.000Z,"#sondakika YANGIN BÜYÜYOR 
Gümüşlük’te yangın şiddetleniyor Dereköy yönüne ilerliyor","Muğla Gümüşlük’ten alevler yükseliyor
abcgazetesi.com",26,534,718,['sondakika']
Tele1 TV,@tele1comtr,2021-08-13T11:01:13.000Z,"#SonDakika
Almanya, Türkiye'yi 'yüksek riskli ülke' ilan etti","Almanya, Türkiye'yi 'yüksek riskli ülke' ilan etti - Tele1
Almanya, Türkiye ile birlikte ABD ve İsrail’i yüksek risk alanı ilan etti. Söz konusu ülkelerden Almanya’ya girenler aşı olduklarını veya iyileştiklerini kanıtlamazlarsa 10 gün karantinaya girecek....
tele1.com.tr",1,18,33,['SonDakika']
