username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
arya_lipaa,@arya_lipa,2021-08-01T12:25:07.000Z,#SONDAKIKA POOL PLEASURE AT MY HOME,,,,4,"[""['SONDAKIKA']""]"
Fenerbahçe&Atatürk,@BalkesliMemo,2021-07-29T22:45:14.000Z,"Yeterrrr...!!!
#SonDakika
#AtesinCocukları",,1,2,27,"[""['SonDakika', 'AtesinCocukları']""]"
RedWhite.gr,@GrRedwhite,2021-08-01T07:38:06.000Z,"@henryconyekuru
 has arrived  in order to complete his transfer to Olympiacos!

Welcome, Henry! 

#Olympiacos #Olympiakos #ASMonaco #Galatasaray #Transfer #SonDakika #Mercato",,,,5,"[""['Olympiacos', 'Olympiakos', 'ASMonaco', 'Galatasaray', 'Transfer', 'SonDakika', 'Mercato']""]"
PigToken MusMeL,@PigtokenM,2021-08-01T15:44:13.000Z,"#Pigtoken #Pigswap #Pig  100x Ne ath soon #ElonMusk 
@elonmusk
 #BTC #eth #pigarmy #Shiba #akita #dogecoin #NFT #sondakika #Memes  #cryptocurrency #BNB #BSCNews ",,3,7,14,"[""['Pigtoken', 'Pigswap', 'Pig', 'ElonMusk', 'BTC', 'eth', 'pigarmy', 'Shiba', 'akita', 'dogecoin', 'NFT', 'sondakika', 'Memes', 'cryptocurrency', 'BNB', 'BSCNews']""]"
Steven Adam Martin,@earthhope2100,2021-07-30T10:31:45.000Z,"#SONDAKİKA
""Support from Ukraine to Turkey: Planes took off

 The fight against forest fires in many regions of Turkey continues.

 Two firefighting AN-32P firefighters belonging to the State Emergency Service, as stated by Ukrainian leader Vladimir Zelensky, flew to Turkey.""","Quote Tweet
Ajans Haber
@AjansHaberResmi
 · Jul 30
#SONDAKİKA 
Ukrayna'dan Türkiye'ye destek: Uçaklar yola çıktı

Türkiye'nin birçok bölgesinde çıkan orman yangınlarıyla mücadele sürüyor.

Ukrayna lideri Vladimir Zelensky'nin ifade ettiği Devlet Acil Servisi’ne ait iki yangın söndürme AN-32P itfaiye uçağı Türkiye’ye uçtu.",,,1,"[""['SONDAKİKA']""]"
Tevhid Gündemi,@tevhidgundemi,2021-07-29T22:51:10.000Z,"#SonDakika
İstanbul Başakşehir'de bir iş yerinde çıkan yangın ormanlık alana sıçradı.

-Bölgeye çok sayıda itfaiye ekipleri sevk edildi.
-Yangına müdahale devam ediliyor.",,1,71,145,"[""['SonDakika']""]"
Muhbir,@AjansMuhbir,2021-07-29T22:10:49.000Z,"#SonDakika  Dışişleri Bakanı Çavuşoğlu yangın bölgesinde vatandaşın tepkisiyle karşılaştı, yuhalandı.",,258,2.9K,14.4K,"[""['SonDakika']""]"
Medyanın Elli Tonu,@Medyanin50Tonu,2021-08-02T07:30:57.000Z,"#sondakika 
28 Temmuz'dan bu yana kayıp olan 26 yaşındaki Azra Gülendam Haytaoğlu'nun cansız bedeni bulundu.
Azra'nın cinayete kurban gittiği anlaşıldı.",,42,308,667,"[""['sondakika']""]"
Diriliş Postası,@dirilispostasi,2021-08-02T18:24:14.000Z,"#SonDakika! 

Tarım ve Orman Bakanı Pakdemirli: Muğla Seyidkemer yangınları kontrol altına alındı.",GIF,,8,23,"[""['SonDakika']""]"
Hergele Postası,@HergelePostasi,2021-08-02T17:38:58.000Z,"#SonDakika: Ankara'da, Nallıhan Kuş Cenneti yakınlarındaki ormanlık alanda yangın başladı.

#AnkaraYanıyor
#HelpTurkey",,8,240,263,"[""['SonDakika', 'AnkaraYanıyor', 'HelpTurkey']""]"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T16:14:18.000Z,"AKDENIZ
Büyüklük: 4.3
Tarih:
 01.08.2021
Saat:
 19:04:41
Derinlik:
 5.0 km #deprem #SonDakika",,,2,6,"[""['deprem', 'SonDakika']""]"
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-07-31T14:48:56.000Z,"Bodrum Anlık görüntüler  
    Yangın şehir merkezine çok yakın..
#bodrumyangın  #SonDakika",,,43,14,"[""['bodrumyangın', 'SonDakika']""]"
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-07-31T12:26:31.000Z,"Yine bir Yangın daha. 
Bodrum merkez bodrum kalesi yanıyor!.
#SonDakika 
#yangin 
#YANIYORUZ",,,38,14,"[""['SonDakika', 'yangin', 'YANIYORUZ']""]"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T17:51:17.000Z,"ONIKI ADALAR (AKDENIZ)
Büyüklük: 4.1
Tarih:
 01.08.2021
Saat:
 20:44:25
Derinlik:
 6.6 km #deprem #AKDENIZ #SonDakika",,,2,3,"[""['deprem', 'AKDENIZ', 'SonDakika']""]"
Emre.,@emregram,2021-08-01T08:13:06.000Z,Akparti’nin yeni seçim aracı h.o #SonDakika #akpartea,,,,52,"[""['SonDakika', 'akpartea']""]"
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-31T16:27:36.000Z,"OSMANİYE KADİRLİ YANGINI KONTROL ALTINA ALINDI.
#SonDakika #OrmanYangınları",,,5,11,"[""['SonDakika', 'OrmanYangınları']""]"
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-07-31T14:56:28.000Z,"Marmaris anlık görüntüler 
   Marmaris İçmelerde kontrol altına alınan yangın tekrar alevlenmiş durumda. Ve yerleşim yerlerine doğru ilerliyor....
#marmarisyanıyor #SonDakika",,,42,15,"[""['marmarisyanıyor', 'SonDakika']""]"
Konuş TV,@KonusTv,2021-08-02T16:19:21.000Z,"#Sondakika Aydın/Bozdoğan'da orman yangını başladığı belirtiliyor. 
#Aydınyanıyor #bozdoğanyanıyor #buldanyanıyor #ormanlarımızyanıyor",,,16,14,"[""['Sondakika', 'Aydınyanıyor', 'bozdoğanyanıyor', 'buldanyanıyor', 'ormanlarımızyanıyor']""]"
Politik Baykuş,@politikbaykus,2021-08-02T17:46:59.000Z,"##SonDakika: Yangın Ankara'ya sıçradı | Ankara'da  Nallıhan Kuş Cenneti yakınlarındaki ormanlık alanda yangın başladı.

#AnkaraYanıyor
#HelpTurkey 
#ispartayaniyor","0:14
11.5K views
From 
Hergele Postası",1,58,52,"[""['SonDakika', 'AnkaraYanıyor', 'HelpTurkey', 'ispartayaniyor']""]"
Parasan Haber,@parasancom,2021-08-02T10:02:38.000Z, Enerji ve Tabii Kaynaklar Bakanlığı'ndan #sondakika #elektrikkesintisi açıklaması:  Elektrik kesintileri giderildi,,,1,3,"[""['sondakika', 'elektrikkesintisi']""]"
DiploPol,@diplopol1,2021-07-31T21:21:31.000Z,"Bodrum Belediyesinin paylaşımı.
#SonDakika #BODRUMYANGIN",,,2,4,"[""['SonDakika', 'BODRUMYANGIN']""]"
peri kiz,@AnkitaS91605212,2021-07-28T13:43:44.000Z,"TURKEY: MASSIVE FIRE IN ANTALYA Police cars revolving light!

Forest #fire broke out at 4 different points in #Manavgat district, #Antalya City. Air & land interventions continue, flames spread to residential & agricultural areas.

#BreakingNews #Sondakika 
#Fire #Video -A Hbr",,,,,"[""['fire', 'Manavgat', 'Antalya', 'BreakingNews', 'Sondakika', 'Fire', 'Video']""]"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T16:09:59.000Z,"AKDENIZ
Büyüklük: 3.8
Tarih:
 01.08.2021
Saat:
 19:03:49
Derinlik:
 8.9 km #deprem #SonDakika",,,,2,"[""['deprem', 'SonDakika']""]"
F Zehra Demirel,@zekderler2,2021-07-31T22:38:25.000Z,#sakarya #SonDakika #kayıp #sakaryakayıp,,,2,1,"[""['sakarya', 'SonDakika', 'kayıp', 'sakaryakayıp']""]"
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-07-31T13:31:09.000Z,"Antalya Güzeloba'da da yangın çıktı!.
#SonDakika 
#yangınvar",,,46,24,"[""['SonDakika', 'yangınvar']""]"
Tepeören News,@NewsAkf,2021-07-28T22:35:06.000Z,"Meteoroloji verilerine göre Cumartesi’nden itibaren ülke genelinde sıcaklıklarda çok ciddi seviyede artış olacağı, İstanbul’da bile sıcaklığın 40 dereceye yaklaşacağı tahmin ediliyor. Yetkililer  alınan uyarılara ve tedbirlere uyulması gerektiğini söylüyor. #SonDakika #İstanbul",,,2,2,"[""['SonDakika', 'İstanbul']""]"
Son.dakika.haber7.24,@Haber7Son,2021-08-02T07:40:47.000Z,#SONDAKİKA,,,,1,"[""['SONDAKİKA']""]"
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-07-31T13:56:12.000Z,"Azra Gülendam Haytaoglu  2 gündür kayıp en son lara tarafların da  görülmüş sonra haber alinamamis . Gören duyan olursa 05452535602.  05332616599 iletişime geçebilir. 
#SonDakika",,,37,9,"[""['SonDakika']""]"
