username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
GRiT Sports Management,@GritManagement,2021-08-13T10:42:11.000Z,"OLLIE HULBERT 
.
.
@_olliehulbert has been at Bristol Rovers since U8s age group working his way right through the academy system. How good does the new kit look 
.
.
.
.
.
.
#olliehulbert 
#bristolrovers
#efl
#risingballers
#futurestars
#football
#footballagent
#spor…",,,,2,"['olliehulbert', 'bristolrovers', 'efl', 'risingballers', 'futurestars', 'football', 'footballagent', 'spor']"
Sneha Rochlani,@SnehaRRochlani,2021-08-09T07:21:22.000Z,"Keep your calm even if the world looks upside down. 
Thank you @vishakhadattaniyoga_aerial for this wonderful experience. 

#fitness #gym #workout #fitnessmotivation #fit #motivation #bodybuilding #training #love #health #lifestyle #instagood #fitfam #healthylifestyle #spor…",,,,,"['fitness', 'gym', 'workout', 'fitnessmotivation', 'fit', 'motivation', 'bodybuilding', 'training', 'love', 'health', 'lifestyle', 'instagood', 'fitfam', 'healthylifestyle', 'spor']"
1xbet giriş,@MegaParitr2,2021-08-12T06:58:03.000Z,"Good morning, Blues!  #1xbet #spor",,,,,"['1xbet', 'spor']"
MEGA SPOR,@megaspor27,2021-08-12T11:44:06.000Z,Stelios Kitsiou Gaziantep FK'da https://megahaber27.com/stelios-kitsiou-gaziantep-fkda/121183/?utm_source=twitter… #gaziantep #spor #megahaber,"Stelios Kitsiou Gaziantep FK'da
Geçtiğimiz sezonda Ankaragücü'nde forma giyen Yunan futbolcu Stelios Kitsiou, Gaziantep FK ile sözleşme imzaladı.
megahaber27.com",,1,3,"['gaziantep', 'spor', 'megahaber']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
1xbet Mobil,@parmabahistr,2021-08-11T22:03:50.000Z,"Super Chelsea  
Super Cup 

UP THE CHELS!  #1xbet #spor",,,,,"['1xbet', 'spor']"
1xbet giriş,@MegaParitr2,2021-08-11T20:37:14.000Z,"Our flying full-back 

#OnThisDay in 2020, 
@KWPeters
 made his move to the south coast permanent  #1xbet #spor","From 
Southampton FC",,,,"['OnThisDay', '1xbet', 'spor']"
1xbet Mobil,@parmabahistr,2021-08-13T07:11:17.000Z," @wilfriedzaha
 lets fly 

Can he be 
@CPFC
's star man under new manager Patrick Vieira?
#1xbet #spor
#GoalOfTheDay","0:26
59.5K views
From 
Premier League",,,,"['1xbet', 'spor', 'GoalOfTheDay']"
1xbet Mobil,@parmabahistr,2021-08-13T07:11:17.000Z," @wilfriedzaha
 lets fly 

Can he be 
@CPFC
's star man under new manager Patrick Vieira?
#1xbet #spor
#GoalOfTheDay","59.5K views
0:05 / 0:29
From 
Premier League",,,,"['1xbet', 'spor', 'GoalOfTheDay']"
1xbet Mobil,@parmabahistr,2021-08-10T19:53:24.000Z,"La Liga begins in  days.
#BarçaRealSociedad #1xbet #spor",Memphis Depay,,,,"['BarçaRealSociedad', '1xbet', 'spor']"
