username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TDMK,@tdmk_org_tr,2021-08-05T09:15:56.000Z,"#Sporcu Biyolojik Pasaportu, yasaklı maddelerin varlığını doğrudan tespit etmek yerine, dopingin vücuda etkilerini seçilmiş biyolojik parametrelerle izleyen ve zaman içerisinde ortaya çıkarılmasına yarayan bir araçtır.

#temizspor #spor #TDMK",,,1,4,"['Sporcu', 'temizspor', 'spor', 'TDMK']"
TDMK,@tdmk_org_tr,2021-08-12T09:03:55.000Z,"#Kafein, güncel olarak Dünya Dopingle Mücadele Ajansının (WADA) İzleme Programı kapsamında bulunmaktadır. Bu kapsamda değerlendirilen maddeler yasaklı olmamakla beraber, yasaklılık durumuna ilişkin olası bir güncelleme için araştırma süreci devam eden maddelerdir.
#spor #sporcu",,,,2,"['Kafein', 'spor', 'sporcu']"
TDMK,@tdmk_org_tr,2021-08-06T09:16:09.000Z,"Besin destek ürünlerini ve/ veya herhangi bir maddeyi alıp almamak sizin sorumluluğunuzdadır. 
Birçok besin destek ürünü yasaklanmış maddeler içerir. ",,1,,2,[]
TDMK,@tdmk_org_tr,2021-08-06T09:16:09.000Z,"Besin destek ürün sanayisi pek çok ülkede hükümet tarafından denetlenmediğinden, ürünün içeriğinden tam olarak emin olmanız çok önemlidir. 
Besin destek ürünü almanın alternatifi, beslenme programınızı ihtiyaçlarınıza uygun hale getirmektir. 

#spor #sporcu #besindestekürünleri",,,,2,"['spor', 'sporcu', 'besindestekürünleri']"
TDMK,@tdmk_org_tr,2021-08-06T13:26:52.000Z,"Sakarya TOHM sporcu ve #antrenör/sporcu destek personeline yönelik Dopingle Mücadeleye Genel Bir Bakış konusunda uzaktan eğitim düzenlendi.

#temizspor #spor #sporcu #eğitim #sakaryatohm",,1,,2,"['antrenör', 'temizspor', 'spor', 'sporcu', 'eğitim', 'sakaryatohm']"
Herbalife Spor ve Beslenme Koçu,@herbal_fit_ykt,2021-08-11T19:39:47.000Z,"""Hayat, insanın cesaretine göre büyür veya küçülür."" #herbalifetürkiye #fitnesstürkiye #sporcu #vücutgeliştirme #fitkadin #fitturkiye #herbalifekoçu #h24herbalife @ Macfit Ankamall https://instagram.com/p/CScjhTiKzfm/?utm_medium=twitter…",,,,1,"['herbalifetürkiye', 'fitnesstürkiye', 'sporcu', 'vücutgeliştirme', 'fitkadin', 'fitturkiye', 'herbalifekoçu', 'h24herbalife']"
Serdar Sandal,@SerdarSandal,2021-08-12T17:02:56.000Z,"Bayraklı’mızın amatör spor kulüpleri bizim için çok kıymetli! 

Bayraklı’mız adına daha iyi, daha güzel ne yapılması gerekiyorsa hep birlikte el ele vereceğiz.

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@bayraklibld
.
.
.
#spor #sporcu #sağlık #amatör #bayraklı #belediye",,1,2,7,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor', 'spor', 'sporcu', 'sağlık', 'amatör', 'bayraklı', 'belediye']"
TDMK,@tdmk_org_tr,2021-08-11T08:40:30.000Z,"Beta-2 agonistler (örneğin; Terbutalin, Procaterol, Vilanterol), tüm #sporlarda sürekli olarak yasaklanmıştır ve kullanımı Tedavi Amaçlı Kullanım İstisnası (TAKİ) izni gerektirir. 

#spor #sporcu #TDMK #temizspor",,1,,2,"['sporlarda', 'spor', 'sporcu', 'TDMK', 'temizspor']"
Bayraklı Belediyesi,@bayraklibld,2021-08-12T17:09:05.000Z,"#Belediye Başkanımız 
@SerdarSandal
 ’dan #Bayraklı ‘daki amatör spor kulüplerine 275 bin liralık destek!

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
.
.
.
#SerdarSandal #spor #sporcu #sağlık #amatör #belediye #izmir",,,,1,"['Belediye', 'Bayraklı', 'BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor', 'SerdarSandal', 'spor', 'sporcu', 'sağlık', 'amatör', 'belediye', 'izmir']"
Pusula Marmara,@pusulamarmara,2021-08-12T19:07:23.000Z,"https://pusulamarmara.com/tavsancil-salih-gun-stadi-sporcu-kamp-merkezinde-sona-dogru/…
#tavşancıl #dilovası #kampmerkezi #sporcu #salihgünstadı",,,,,"['tavşancıl', 'dilovası', 'kampmerkezi', 'sporcu', 'salihgünstadı']"
ecemacar,@ecemmacarr,2021-08-13T08:52:01.000Z,#sporcu beslenmesine alışamıyorum.,,,,2,['sporcu']
Narkoz Gazetesi,@NarkozGazetesi,2021-08-07T13:22:42.000Z,"Başkan Fadıloğlu: “Her Evde En Az Bir Sporcu Olsun” https://narkozhaber.com/baskan-fadiloglu-her-evde-en-az-bir-sporcu-olsun.html#.YQ6W-BzSJZA.twitter… 
@SehitkamilBel
 @rfadiloglu
 #Gaziantep #Şehitkamil #Başkan #Fadıloğlu #Sporcu #Sağlık","Başkan Fadıloğlu: “Her Evde En Az Bir Sporcu Olsun”
Başkan Fadıloğlu: “Her Evde En Az Bir Sporcu Olsun” İbrahimli Spor Merkezi’nde gerçekleştirilen yaz spor akademisi çalışmaları çocuk ve genç yaştaki öğrencilerden büyük ilgi görüyor. Tesiste gerçek...
narkozhaber.com",,,,"['Gaziantep', 'Şehitkamil', 'Başkan', 'Fadıloğlu', 'Sporcu', 'Sağlık']"
Narkoz Gazetesi,@NarkozGazetesi,2021-08-12T08:17:13.000Z,"Avrupa Sahnesinde Ay-Yıldızlı İki Sporcu Kulaç Atacak https://narkozhaber.com/avrupa-sahnesinde-ay-yildizli-iki-sporcu-kulac-atacak.html#.YRTm3Tal7CI.twitter… 
@SehitkamilBel
 @rfadiloglu
 #Şehitkamil #Sporcu #Ay #Yıldız #Kulaç #Avrupa #Sahne","Avrupa Sahnesinde Ay-Yıldızlı İki Sporcu Kulaç Atacak
Avrupa Sahnesinde Ay-Yıldızlı İki Sporcu Kulaç Atacak Şehitkamil Belediye Spor Kulübü sporcuları Beril Öztürk ve Yusuf Balaban, Milli Takım Seçme Müsabakaları sonucunda baraj derecelerini geçerek,...
narkozhaber.com",,,,"['Şehitkamil', 'Sporcu', 'Ay', 'Yıldız', 'Kulaç', 'Avrupa', 'Sahne']"
VOLKAN TAN DANIŞMAZ,@volkantan6116,2021-08-13T09:56:15.000Z,"HAYALLERİMİ YAŞIYORSUNUZ
#hakkari #bitlis #bingöl #dersim #amed
#sağlık #fitness #sağlıklıbeslenme
#sporcu #futbolcu #gezgin #turizm
#tiyatro #sinema #Hollywood
#volkantan #volkantandanışmaz
#yaşamkoçu #hayvansever #hayvan
#keşfet #süpriz #fantastic #egzotik
#benheryerdeyim",,,,,"['hakkari', 'bitlis', 'bingöl', 'dersim', 'amed', 'sağlık', 'fitness', 'sağlıklıbeslenme', 'sporcu', 'futbolcu', 'gezgin', 'turizm', 'tiyatro', 'sinema', 'Hollywood', 'volkantan', 'volkantandanışmaz', 'yaşamkoçu', 'hayvansever', 'hayvan', 'keşfet', 'süpriz', 'fantastic', 'egzotik', 'benheryerdeyim']"
Bölge Gündem Haber,@bolgegundem,2021-08-12T07:52:40.000Z,"Derya Ateşli kimdir, nereli, kaç yaşında? #12ağustos #perşembe #deryaateşli #milli #sporcu #atletizm https://bolgegundem.com/derya-atesli-kimdir-nereli-kac-yasinda-3014456h.htm… 
@bolgegundem
 aracılığıyla","Derya Ateşli kimdir, nereli, kaç yaşında?
Annesinin 'Koşma kızım kalbin durur ölürsün' sözlerine rağmen milli sporcu olan Derya Ateşli, şu sıralar Derya Ateşli kimdir, nereli, kaç yaşında? sorularıyla internette çokça aratılıyor. Biz de bu...
bolgegundem.com",,,,"['12ağustos', 'perşembe', 'deryaateşli', 'milli', 'sporcu', 'atletizm']"
Dürüst Haber,@DurustHaber_,2021-08-08T08:50:59.000Z,Sporcu fabrikası yaz spor etkinlikleri sürüyor #Talas #kayseri #spor #sporcu,"Sporcu fabrikası yaz spor etkinlikleri sürüyor
Talas Belediyesi’nin Talasgücü Belediyespor bünyesinde düzenlediği Sporcu Fabrikası yaz etkinlikleri devam ediyor. Futbol, basketbol, karate, taekwondo, masa tenisi ve güreş dallarında açılan kursl…
durusthaber.com",,,,"['Talas', 'kayseri', 'spor', 'sporcu']"
Dürüst Haber,@DurustHaber_,2021-08-09T09:19:06.000Z,"Kocasinan Belediyesi, Başarılı ve yetenekli nesiller yetiştiriyor #Kayseri #Kocasinan #Spor #Sporcu #Tokyo2020","Kocasinan Belediyesi, Başarılı ve yetenekli nesiller yatiştiriyor
Kocasinan Belediyesi’nin eğitimden spora, kültürden sanata açmış olduğu yaz kursları yoğun ilgi görüyor. Yaz kurslarıyla başarılı ve yetenekli nesillerin yetişmesine katkı sağladıklarını vurgulayan…
durusthaber.com",,,,"['Kayseri', 'Kocasinan', 'Spor', 'Sporcu', 'Tokyo2020']"
