username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
RET Germany e.V.,@RETGermany,2021-08-06T08:00:54.000Z,"To leave #NoOneBehind, RET targeted #rural districts and villages around Şanlıurfa with #SGBV training, namely #Suruç District #Sağlık, #Mutluca, and #Havşanlı. To date, RET has reached 350 #women and #men in #Şanlıurfa and surrounding. 
@BMZ_Bund
 @EngGlobal",,,2,2,"['NoOneBehind', 'rural', 'SGBV', 'Suruç', 'Sağlık', 'Mutluca', 'Havşanlı', 'women', 'men', 'Şanlıurfa']"
european pressphoto agency,@epaphotos,2021-07-20T18:31:09.000Z,"Turkish police and protestors clash during the sixth anniversary of the explosion in #Suruc in #Istanbul, #Turkey, 20 July 2021. 
 epa / Erdem Sahin

#epaphotos #visualizingtheworld",,,2,17,"['Suruc', 'Istanbul', 'Turkey', 'epaphotos', 'visualizingtheworld']"
#RiseUp4Rojava,@riseup4rojava2,2021-07-21T13:39:34.000Z,"The fascist police in Turkey attacked comrades in #Izmir, #Istanbul and #Ankara who had a memorial demonstration for those who died in Suruç 6 years ago.

#Erdogan and his henchmen do everything to silence those who fight for justice

#SmashTurkishFascism","Police in Ankara, Izmir and Istanbul attack events paying tribute to Suruç victims
Police in Ankara, Izmir and Istanbul attacked the events held to pay tribute to those killed in the ISIS attack carried out on 20 July 2015 in Suruç. Many people were taken into custody at the thre...
anfenglishmobile.com",1,15,24,"['Izmir', 'Istanbul', 'Ankara', 'Erdogan', 'SmashTurkishFascism']"
#RiseUp4Rojava,@riseup4rojava2,2021-07-22T07:45:35.000Z,"Justice for #Suruç 

Seen in #Berlin, #Germany

#UniteInResistance #SmashTurkishFascism",,,2,8,"['Suruç', 'Berlin', 'Germany', 'UniteInResistance', 'SmashTurkishFascism']"
FAO Türkiye,@faoturkiye,2021-04-20T16:01:24.000Z,"Today we visited #Suruç district in #Şanlıurfa to meet Naile, a Farmer Field School graduate under the 
@EU
 project who employed many #Turkish and #Syrian workers in her greenhouse.",,,4,19,"['Suruç', 'Şanlıurfa', 'Turkish', 'Syrian']"
Moving Europe,@MovingEurope,2021-07-21T09:41:30.000Z,"While people were having a memorial demonstration in #Istanbul/#Kadıköy for the 33 people who died 6 years ago in #Suruç during a bomb attack, the Turkish police attacked the demonstration and the press. Several people got injured. #Turkey #Suruc6Yil","Emre Orman
@eemreorman
 · Jul 20
İşte polisin basına, bize saldırdığı anlar.

Görüntü aldığım sırada bir tane çevik kuvvet polisi beni tomaya sıkıştırarak yumrukladı. AFP fotomuhabiri Yasin Akgül'ün bacakları mosmor. Fatoş Erdoğan'ın muhtemelen parmağı kırıldı.

#Suruç6Yıl
Show this thread",,6,7,"['Istanbul', 'Kadıköy', 'Suruç', 'Turkey', 'Suruc6Yil']"
AllQuakes - EMSC,@EMSC,2021-08-04T07:05:09.000Z,#Earthquake (#deprem) M3.1 strikes 5 km E of #Suruç (#Turkey) 9 min ago. More info: https://emsc-csem.org/Earthquake/earthquake.php?id=1018482…,,,,2,"['Earthquake', 'deprem', 'Suruç', 'Turkey']"
dokuz8NEWS,@dokuz8news,2021-07-20T17:46:45.000Z,"On the sixth anniversary of #Suruç Massacre a commemoration was held in Istanbul. Police heavily intervened with the commemoration and detained at least 25 people. 

#dokuz8/
@puleragema","From 
dokuz8HABER",1,2,6,"['Suruç', 'dokuz8']"
dokuz8NEWS,@dokuz8news,2021-07-20T17:46:46.000Z,"During the police intervention against #Suruç Massacre commemoration in Istanbul, multiple journalists were subjected to police violence, including our correspondent Fatoş Erdoğan. 

Wounded journalists are being taken to hospital.

#dokuz8/
@puleragema","0:56
2.8K views
From 
dokuz8HABER",,12,12,"['Suruç', 'dokuz8']"
SerdarDegirmencioglu,@DirenenSerdar,2021-07-19T07:36:16.000Z,"Every year, commemorating the young people who were killed in #Suruç in 2015 is reason for #PoliceBrutality. The attack was carried out by #ISIS (#DAESH) with full knowledge of the regime in #Turkey on 20 July 2015. 
#suruç6yıl","bianet English
@bianet_eng
 · Jul 19
Taken into custody during the Suruç Massacre commemoration in Adana, 19 people have been released from detention https://bit.ly/2UVKvzg",,,1,"['Suruç', 'PoliceBrutality', 'ISIS', 'DAESH', 'Turkey', 'suruç6yıl']"
Stockholm Center for Freedom,@StockholmCF,2021-07-25T21:59:01.000Z,#Turkish police beat and detain people commemorating victims of #Suruç massacre #HumanRights,"Turkish police beat and detain people commemorating victims of Suruç massacre - Stockholm Center...
Turkish police beat and detained a group of people in İstanbul’s Kadıkõy district on Tuesday during a commemoration of the 33 victims of an Islamic State in Iraq and Syria (ISIS) suicide attack that...
stockholmcf.org",,1,1,"['Turkish', 'Suruç', 'HumanRights']"
AllQuakes - EMSC,@EMSC,2021-08-02T12:39:55.000Z,#Earthquake (#deprem) M2.4 strikes 23 km SW of #Suruç (#Turkey) 31 min ago. More info: https://emsc-csem.org/Earthquake/earthquake.php?id=1016376…,,,,2,"['Earthquake', 'deprem', 'Suruç', 'Turkey']"
Barış Yarkadaş,@barisyarkadas,2021-07-20T05:45:12.000Z,#Suruç yüreğimizde  bir yaradır.,,16,162,2.6K,['Suruç']
SOL Parti,@solpartibilgi,2021-07-20T11:00:00.000Z,6 yıl önce çihatçı çeteler tarafından katledilen 33 düş yolcusunu sevgiyle anıyoruz. #Suruç unutulmayacak!,,4,143,726,['Suruç']
Arat Barış,@aratbaris_,2021-02-09T15:35:59.000Z,"İşin aslı...

Çiçek gibi insanları kırdınız!
Bahçeleriniz bahar görmesin 

#Suruç",,2,53,455,['Suruç']
ADR MEDYA,@ajansdreklam,2021-07-19T22:25:56.000Z,"‘’Çiçek gibi insanların canına kıydınız.
Bahçeniz bahar görmesin’’

#Suruç",,1,59,370,['Suruç']
ADR MEDYA,@ajansdreklam,2021-07-19T21:28:24.000Z,"Sorarlarsa;
”Düşlerinden vuruldular” dersiniz..

#Suruç",,,30,217,['Suruç']
Yıldız,@yildizli1ogrtmn,2021-06-14T09:00:04.000Z,"Bir köy kütüphanemizde  daha mutlu sona geldik. Emeği geçen herkesin yüreğine sağlık 
#Suruç",,6,4,195,['Suruç']
Hannahanna ★ ☭,@jadore_miracle,2021-07-20T04:54:00.000Z,"Ölülerimizi özledim
söylesem suç olur mu?
saysam birer birer, ansam
adlarını, yaşlarını, sonlarını...
başlangıçlar bulunur mu?

Şükrü Erbaş

#suruç",,2,7,131,['suruç']
