username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Mesut Özil,@MesutOzil1088,2021-08-09T19:46:17.000Z," | 
6 days to go ... #M10  #SüperLig ",,530,2.4K,63.4K,"['M10', 'SüperLig']"
Prosport Ltd.,@prosport_gr,2021-08-05T07:23:03.000Z,"We are happy to announce our renewal contract with Stelios Kitsiou of 
@Ankaragucu
 

#Prosport #Kitsiou #SueperLig",,,3,6,"['Prosport', 'Kitsiou', 'SueperLig']"
Prosport Ltd.,@prosport_gr,2021-08-12T11:29:52.000Z,"It’s a great pleasure to announce the transfer agreement of Stelios Kitsiou to 
@GaziantepFK
 from 
@Ankaragucu
. 

#Prosport #Kitsiou #TransferNews #SüperLig",,,3,5,"['Prosport', 'Kitsiou', 'TransferNews', 'SüperLig']"
Tibtop,@Tibtopofficiel,2021-08-12T10:30:49.000Z,"The #SüperLig is back !  
@Fenerbahce__FR
 

New season in Fenerbahçe but same Tibtop shin pads !  
@MesutOzil1088
 

http://mytibtop.com",Mesut Özil,,4,3,['SüperLig']
SporunDibi,@sporundibicom,2021-08-08T08:34:46.000Z," #Ghezzal ve #Rosier 

Via 
@sporundibicom
 By 
@leventumit_erol
 

#Beşiktaş #transfer #Süperlig","SporunDibi
@sporundibicom
 · Jul 19
 9 Nisan 2021

Levent Ümit Erol'un (@leventumit_erol), YouTube canlı yayınında Rosier ve Ghezzal hakkındaki konuşması..

 https://youtu.be/qlC480OsRGY",,,34,"['Ghezzal', 'Rosier', 'Beşiktaş', 'transfer', 'Süperlig']"
It's a Wag Wag World,@ItsAWagWagWorld,2021-08-10T21:11:11.000Z,#Besiktas new player #RachidGhezzal & wife #LydiaBerradia landing in Istanbul #Leicester #SüperLig,,,,1,"['Besiktas', 'RachidGhezzal', 'LydiaBerradia', 'Leicester', 'SüperLig']"
Bettogoal,@bettogoal,2021-08-12T10:48:10.000Z,"how excited are we for
#Premierleague #Ligue1 #Bundesliga #Laliga #Primeiraliga #süperlig #eredivisie  ??",GIF,,,,"['Premierleague', 'Ligue1', 'Bundesliga', 'Laliga', 'Primeiraliga', 'süperlig', 'eredivisie']"
Sh El Nawargy,@SNawargy,2021-08-10T05:28:11.000Z,"Replying to 
@MesutOzil1088","@MesutOzil1088
 Let’s go  #M10  #SüperLig ",,,3,[]
De Marke Sports #Probably,@demarkesports,2021-08-12T21:00:01.000Z," Hasret bitti, kavuşuyoruz! #SüperLig",,47,96,2.5K,['SüperLig']
Tamer Dağlı,@Tamer_Dagli,2021-08-06T19:02:19.000Z,"#AdanaDemirspor’umuz hazırlık maçında Beşiktaş’ı ağırlıyor, #MaviŞimşek’lere #SüperLig’de başarılar diliyorum.",,1,82,257,"['AdanaDemirspor', 'MaviŞimşek', 'SüperLig']"
Gençlik ve Spor Bakanlığı,@gencliksporbak,2021-08-13T11:03:31.000Z," Süper Lig nedir? 

#gsbsözlük #süperlig",,1,41,103,"['gsbsözlük', 'süperlig']"
𝓚𝓪𝓷𝓪𝓻𝔂𝓪,@1907Zelos,2021-08-10T16:10:29.000Z,"Sinirli, stresli ve kaoslu günlere az kaldı ama özledik #süperlig",,,4,104,['süperlig']
Sporsun,@Sporsun,2021-08-13T12:28:36.000Z,"  Hasret sona erdi, #SüperLig bugün başlıyor!",,,,5,['SüperLig']
Serdar Dursun,@dursunserdar,2021-08-09T20:42:20.000Z," @Fenerbahce
 
Hazırız geliyoruz 
#süperlig ",,100,287,16K,['süperlig']
beIN SPORTS Türkiye,@beINSPORTS_TR,2021-08-12T10:21:19.000Z, #SüperLig 2021/22 sezonu boyunca kullanılacak olan resmi maç topu tanıtıldı! #beINSPORTS,,12,4,137,"['SüperLig', 'beINSPORTS']"
beIN SPORTS Türkiye,@beINSPORTS_TR,2021-08-13T06:30:00.000Z," 90 günlük hasret sona erdi, futbolseverlerin aşkı #SüperLig geri döndü! #Seviyoruzİşte

 Süper Lig 2021-2022 sezonu bu akşam oynanacak Beşiktaş-Ç. Rizespor maçıyla başlıyor! #FutbolKalpSen

 1. haftanın yayın ekranı ",,3,5,99,"['SüperLig', 'Seviyoruzİşte', 'FutbolKalpSen']"
Sokrates Gol Haber ve Futbol,@sokratgolhaber,2021-08-12T09:31:18.000Z," Süper Lig'de 2021-22 sezonunun resmi topu tanıltıldı. 

#SüperLig #STSL #SporHaberleri",,,,21,"['SüperLig', 'STSL', 'SporHaberleri']"
beIN SPORTS Türkiye,@beINSPORTS_TR,2021-08-11T15:02:25.000Z," Galatasaray, Victor Nelsson'u beş yıllığına kadrosuna kattığını açıkladı! #beINSPORTS 

 Sizce Danimarkalı oyuncu, #SüperLig'de nasıl bir performans gösterecek?",,9,5,266,"['beINSPORTS', 'SüperLig']"
Taktik Kafası,@TaktikKafasi,2021-08-11T09:40:41.000Z,Fenerbahçe'nin harika hücum planlarından birisi. Hareketlilik futbolda en önemli şeylerden biridir. Hareketliyseniz rakibinizi şaşırtmanız çok kolaylaşır. Rakip defansın dengesi kolay kırılır. Oyuncuların merkeze ve birbirlerine yakınlığı da cabası. #Fenerbahçe #SüperLig,Fenerbahçe SK,,1,1,"['Fenerbahçe', 'SüperLig']"
Şervan Geter,@srvngeter,2021-08-13T08:21:56.000Z,"Efsane geri döndü 

Yeni sezon tüm takımlara hayırlı olsun inşallah 

#SüperLig",,,,2,['SüperLig']
DeLi DoLu FenerLi,@AydinCevher,2021-08-13T12:08:58.000Z,"#SüperLig'de 
90 günlük hasret sona eriyor. 
#SüperLig'in 2021-2022 sezonu, 
20.30 'da Vodafone Park'ta
Beşiktaş Çaykur Rizespor arasında oynanacak mücadele ile açılıyor
Hak Eden ipi Göğüslesin 

Başarılar #Fenerbahçe 
Başarılar #ÇaykurRizespor ",,,,11,"['SüperLig', 'SüperLig', 'Fenerbahçe', 'ÇaykurRizespor']"
