username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
GregorLaso,@GregorLaso,2019-11-15T09:57:46.000Z,At #Sihhat Primary Migrant Health Center in Istambul EU journalists(RNE)interviewing Syrian doctors,,,,1,['Sihhat']
U-PROJECT Field Hospital Projects,@uprojectfield,2021-01-08T05:30:25.000Z,"U-Project successfully delivered and installed EU Healthcare Vehicle and Kits Projects & Supply of Medical Devices for Refugees Under Temporary Protection.
#sihhat #projects #medical #health #european #union #mobileclinics 
@europeaid
 @UNDP
 @EUTenders
 @saglikbakanligi
 @ifrc
 @UN",,,,2,"['sihhat', 'projects', 'medical', 'health', 'european', 'union', 'mobileclinics']"
AB Türkiye Delegasyonu EU Delegation Turkey,,2020-10-23T08:19:46.000Z,"Official opening of the #SIHHAT project’s Community Mental Health Centre in Izmir took place today thanks to joint efforts by the European Union and the Ministry of Health. 
https://avrupa.info.tr/en/pr/eu-finances-community-mental-health-centers-support-ministry-health-response-syria-crisis-10452…
-
@saglikbakanligi",European External Action Service - EEAS  and 2 others,,2,6,['SIHHAT']
Mutayyab Baloch,@BalochMutayyab,2019-02-23T04:59:22.000Z,"To see #PTI flag in form of #Sihhat card,I feel regret now to criticize on #ShahbazSharif's N on my laptop.  My party has also done this .  It doesn't matter but why we criticize others if we,  ourselves do the same.. ",,,,2,"['PTI', 'Sihhat', 'ShahbazSharif']"
Mehmet Doboglu,@MehmetDoboglu,2020-04-30T21:47:55.000Z,"#hayırlıcumalar #hayırlıramazanlar 
#saglik #sıhhat #huzur #güzelgünler @ Giresun https://instagram.com/p/B_nuK0bj8Z2/?igshid=1s28kbp8aehx2…",,,,,"['hayırlıcumalar', 'hayırlıramazanlar', 'saglik', 'sıhhat', 'huzur', 'güzelgünler']"
Deniz Depboylu,@DenizDepboylu,2018-12-31T20:34:14.000Z,#türkiye #devletbahçeli #mhp #türkmenbeyi #doğum #günü #milliyetçi #hareket #partisi #türk #türkmilleti #vatan #millet #devlet #ülkücü #ülküocakları #davaadamı #yeniyıl #sağlık #sıhhat #ankara #osmaniye,,10,13,110,"['türkiye', 'devletbahçeli', 'mhp', 'türkmenbeyi', 'doğum', 'günü', 'milliyetçi', 'hareket', 'partisi', 'türk', 'türkmilleti', 'vatan', 'millet', 'devlet', 'ülkücü', 'ülküocakları', 'davaadamı', 'yeniyıl', 'sağlık', 'sıhhat', 'ankara', 'osmaniye']"
AB Türkiye Delegasyonu EU Delegation Turkey,,2020-10-23T13:47:01.000Z,"Avrupa Birliği ve Sağlık Bakanlığı’nın ortak çabalarıyla, #SIHHAT Projesi kapsamında kurulan İzmir Toplum Ruh Sağlığı Merkezi bugün, resmi olarak kapılarını açıyor. 
@saglikbakanligi
 @SihhatProject",European External Action Service - EEAS  and 3 others,1,4,15,['SIHHAT']
{[ TÜRKİYE ]},@th_yns,2020-11-19T16:37:21.000Z,"Dua!

Cenab-ı #Allah

Cümlemizin Aklına #İlim ve #Hikmet;

Fikrine, #Feraset ve #Basiret; Bedenine #Sıhhat ve #Afiyet İhsan Eylesin.

Amin.. Dualarda Buluşmak Dileğiyle #HayırlıCumalar",,4,39,341,"['Allah', 'İlim', 'Hikmet', 'Feraset', 'Basiret', 'Sıhhat', 'Afiyet', 'HayırlıCumalar']"
Prof. Dr. Şeref Ateş,@serefatess,2020-10-03T17:08:57.000Z,"Yine sağlıktan söz edelim, #sıhhat ve #afiyet dileyelim. 

Sadece kendimiz için değil çevremizdeki herkes için, gerekli tedbirlere uyarak sorumluluğumuzu yerine getirelim, salgınla ön saflarda mücadele edenlere destek olalım. 

Sıhhatimize şükür, hastalarımıza şifa dilekleriyle…",,2,28,149,"['sıhhat', 'afiyet']"
Risale-i Nur,@nurpaylasimlari,2021-02-17T22:18:29.000Z,#hayat #din #toplum #selamet #sıhhat #fikir #istikamet #kalp #mizan #sünnetiseniye #rehber #iltica #lemalar #bediüzzaman #saidnursi #risaleinur #islam #kuran #tefsir #iman #müslüman #kitap #twitter,,1,4,23,"['hayat', 'din', 'toplum', 'selamet', 'sıhhat', 'fikir', 'istikamet', 'kalp', 'mizan', 'sünnetiseniye', 'rehber', 'iltica', 'lemalar', 'bediüzzaman', 'saidnursi', 'risaleinur', 'islam', 'kuran', 'tefsir', 'iman', 'müslüman', 'kitap', 'twitter']"
