username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
BordoMaviAşK @trabzonspor,@trabzonspor,2021-01-31T18:07:48.000Z,Aferin #Takim,,1,,,['Takim']
𝐋𝐔𝐗𝐄 𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬 𝓒𝓾𝓶𝓱𝓾𝓻 𝓐𝔂𝓰𝓾𝓷,@luxebusinessgi1,2020-10-23T06:25:10.000Z,"New Collection

#Giresun  #erkek  #slimfit #takım #giyim",,,,1,"['Giresun', 'erkek', 'slimfit', 'takım', 'giyim']"
Mert Çelik A.Ş.,@mertcelikmetal,2020-09-28T07:01:23.000Z,"Replying to 
@mertcelikmetal","Success Requires Team Play.

Success requires team play. Being a successful supplier is possible by being prepared for all kinds of conditions, possibilities and changes in a long-term cooperation with your customers and having the flexibility to suit these variables.",1,1,1,[]
Mert Çelik A.Ş.,@mertcelikmetal,2020-09-28T07:01:23.000Z,"For this reason, Mert Celik  adapts to the internal dynamics of its customers and the global changes in the sector, and acts synchronously with them as if they are part of a team.

#teamplay #team #takimoyunu #takım #çeliksektörü #sektör #başarı #success #tedarikci #çelik",,,1,1,"['teamplay', 'team', 'takimoyunu', 'takım', 'çeliksektörü', 'sektör', 'başarı', 'success', 'tedarikci', 'çelik']"
Mert Çelik A.Ş.,@mertcelikmetal,2020-10-05T07:21:51.000Z,"Replying to 
@mertcelikmetal","our professional and technical staff, our high quality and cross-section diversity, our technological CNC precision cutting machines, our equipped and qualified flexible structure that can work with any system and all operational criteria. taking into account,",1,,,[]
Mert Çelik A.Ş.,@mertcelikmetal,2020-10-05T07:21:51.000Z,"to have a share in the moves that will make the work flow most efficient.

#teamplay #team #takimoyunu #takım #çeliksektörü #sektör #başarı #success #tedarikci #çelik #steel #qualitysteel #supplier #kemalpaşa #kemalpaşaorganizesanayibölgesi #organizesanayi",,,,,"['teamplay', 'team', 'takimoyunu', 'takım', 'çeliksektörü', 'sektör', 'başarı', 'success', 'tedarikci', 'çelik', 'steel', 'qualitysteel', 'supplier', 'kemalpaşa', 'kemalpaşaorganizesanayibölgesi', 'organizesanayi']"
Serhat Akin,@serhatakin81,2021-03-01T17:30:34.000Z,Kenetlendik bekliyoruz  #Fenerbahce #kadıköyboğası #şampiyon #takım #bizlerinandık,Nicolas Anelka and 4 others,28,33,1.9K,"['Fenerbahce', 'kadıköyboğası', 'şampiyon', 'takım', 'bizlerinandık']"
Ferhat,@Ferhattt_8,2021-05-08T21:24:02.000Z,#takım ,,,,6,['takım']
Dünya'nın Verisi,@DrDataStats,2021-07-26T19:33:01.000Z,"Türkiye'de hangi #takım kaç kez #şampiyon oldu?
Hangi yıl şampiyon oldu?
@GalatasaraySK
  22 kez
@Fenerbahce
  19 kez
@Besiktas
 16 kez
@Trabzonspor
 6 kez
@BursasporSk
  1 kez
@ibfk2014
 1 kez

Görsel: https://drdatastats.com/turkiye-super-ligi-sampiyonlari/…",,6,,18,"['takım', 'şampiyon']"
Fenerbasketworld,@Fener_basket_,2021-01-29T15:46:13.000Z,8/8 in sebebi fotoğraftaki detaylarda gizli.  #takım,,,1,3,['takım']
𝐈𝐍𝐒𝐓𝐀𝐕𝐈𝐕𝐎𝐑,@instavivor,2021-05-05T18:51:24.000Z,"Sevgili 
@DogusOfficial
 ‘dan BATUHAN’a destek geldi.. 

#survivor2021 #yeni #takımlar #takım #kırmızı #mavi",,3,25,173,"['survivor2021', 'yeni', 'takımlar', 'takım', 'kırmızı', 'mavi']"
Rıza Kocaoğlu,@RizaKocaoglu,2020-12-12T18:21:12.000Z,"Özgür Yankaya nedir ne değildir?
#Göztepe #takım",,48,13,474,"['Göztepe', 'takım']"
