username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Scientists for Future Turkey,@scientists_tr,2021-08-06T02:03:01.000Z,"İklim değişikliği, Türkiye'yi de içine alan geniş bir bölgede #tarım ürünleri hastalık riskini arttıracak. İklim değişikliği sadece #kuraklık ve mevsim değişkenlikleri ile değil, dolaylı birçok faktörle daha #gıda sistemi üzerinde baskı oluşturuyor.
https://nature.com/articles/s41558-021-01104-8#MOESM1…",,1,44,99,"['tarım', 'kuraklık', 'gıda', 'MOESM1']"
SNS,@SNSOrg,2021-08-06T13:48:50.000Z,"Büyük buluşmamız TeknoTarım'21 Manisa Uluslararası Tarım Fuarı 15. yılında geleneksel tarihinde! 4-7 Kasım tarihleri arasında Manisa Büyükşehir Belediyesi Fuar Merkezi''ndeyiz.
#tarım #hayvancılık #fuar #taarımfuarı #manisa
@manisabsb
@manisatso
@TarimManisa",,,3,4,"['tarım', 'hayvancılık', 'fuar', 'taarımfuarı', 'manisa']"
Pistacia Vera - Antep Fıstığı,@pistaciavera6,2021-08-06T04:29:00.000Z,"#antepfıstığı Fiyatları yeni mahsül yaş boz su altı 22 -23,5 tl kavlak 60-70 yeni boz iç 160-195 tl
kuru kırmızı 45-51,eski kavlak 53-60,boz iç 130-160,neverdi iç 115-125,tuzlu fıstık 58-80,kırmızı iç 110-115,sıra iç 95-105arasında seyretmekte #antep #urfa #çiftçi #tarım #baklava",,2,,20,"['antepfıstığı', 'antep', 'urfa', 'çiftçi', 'tarım', 'baklava']"
Sector Agriculture,@sectortr,2021-08-11T18:07:51.000Z,"Yönetim Kurulu Başkanımız Sn. Fuat Kunduracı, birazdan Kanal42 televizyonunda, tarımsal yatırım ve dikeyler hakkında değerlendireceği canlı yayında olacak. 

#sector #tarım #agriculture #çiftçi #canlıyayın",,,2,14,"['sector', 'tarım', 'agriculture', 'çiftçi', 'canlıyayın']"
İst. ihracatçı Bir.,@ihracatistanbul,2021-08-12T07:36:01.000Z,"Yaş Meyve ve Sebze sektörü, yılın ilk yedi ayında, bir önceki yılın aynı dönemine kıyasla ihracatını yüzde 20 oranında artırdı. Sektör, 1.638 milyar dolar tutarında ihracat yaptı.
@melisatmutlu
#meyve #sebze #meyveihracatı #sebzeihracatı #tarım #gıda #ihracat #istatistik",,,2,4,"['meyve', 'sebze', 'meyveihracatı', 'sebzeihracatı', 'tarım', 'gıda', 'ihracat', 'istatistik']"
Begüm Başmısırlı,@BegumBasmisirli,2021-08-05T11:51:00.000Z,"İster iş insanı olun  ister siyasi bir başkan ister STK  hiç fark etmez Kadın her yerde ev ekonomisini düşünür.
iş yerinde Kayseri'mizin meşhur yamula patlıcanını kurutmalık hazırlayıp güneşe serdik.
#çifçiler
#kayseriyamulapatlicani 
#tarim 
#kayseri",,1,,20,"['çifçiler', 'kayseriyamulapatlicani', 'tarim', 'kayseri']"
Elif Akçay,@akcayelif,2021-08-10T09:37:48.000Z,"Nemo's Garden:

#İtalya'nın Noli kıyılarında denizin dibine demirlenmiş altı hava dolu plastik kapsülden veya biyosferden oluşan dünyanın ilk su altı #tarım projesi. 

Bu çiftlikte bu sene meyve sebze üretimine tekrar başlandı (WEF).

 #endüstri4 #toplum5 #teknoloji",,,,3,"['İtalya', 'tarım', 'endüstri4', 'toplum5', 'teknoloji']"
ERZİNCAN Bahçe Kültürleri Araştırma Enstitüsü,@ErzincanBKAEM,2021-08-05T06:51:07.000Z,"Müdürlüğümüz tarafından hazırlanan “Erzincan Meyveciliğinde Yeni bir tehdit Akdeniz Meyvesineği ile Mücadele Eğitimi Projesi” çalışmaları kapsamında bastırılan AMS broşürleri üreticilere dağıtılmış ve kitle yakalama tuzakları bahçelere asılmıştır
#tarım
#tagem
#Meyvesineği",,,1,8,"['tarım', 'tagem', 'Meyvesineği']"
mehmet yazır,@mehmetyazir,2021-08-13T10:21:17.000Z,"#aile iş tecrübesi #ticaret ve iş hayatı yönetim tecrübesini birleştirdim:
2023 sonrası sulu tarım arazileri çok kıymetlenecek.
Bu yönde kaydadeğer yatırımlar yaptım.Borsa ve finans konusunda çok iyi tecrübe ettim. Kimseye bağlayıcıtavsiyede bulunamam.
#tarım arazisi sulu alınız.",,3,2,57,"['aile', 'ticaret', 'tarım']"
Güleçköy,@guleckoy,2021-08-08T05:06:12.000Z,Mezopotamya'nın yaşam kaynağı Dicle Nehri binlerce yıldır sayısız medeniyete can suyu olmuştur. Dicle Nehrinin kenarındaki Güleçköy Çifliğimizde Mezopotamya'nın verimli topraklarında ve Dicle Nehrinin suyu ile beslenen ürünlerimizi toplayıp KATKISIZ GIDA üretimi yapıyoruz. #tarım,,,1,4,['tarım']
