username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Songül_gündüz,@Songlgn97514491,2021-08-07T06:07:32.000Z,"İnsanın rüyasında görse hayra yormayacağı olaylar yaşıyor tüm dünya
Umutsuzluğa kapıldığım anda beni kendine çeken ezeli ve ebedi kitabı açıyorum ve diyorumki
Herşeyin engüzelini endoğrusunu
""O""bilir
Birtek insanın bile Onun bilgiğini bilmemesi bana sonsuz güven veriyor
#Tefekkür",,,2,65,['Tefekkür']
Songül_gündüz,@Songlgn97514491,2021-08-10T06:33:10.000Z,"Ruhsuz bir çağda yaşıyoruz. Kimse görmüyor, duymuyor, kimse şükretmiyor.
Şikayeti bırak, yavaşla, Allah'ın bizler için bahşettiği nimetler görülmeye değer..
Kalbiyle görenlerden olalım.. 
#Tefekkür",,,4,60,['Tefekkür']
ðυλqυ,@etnikparaf,2021-08-05T12:24:20.000Z,"""Acının disiplini olmayan eylem,
..tesbih taneleri gibi dört bir yana dağılır, 
ve gücünü kaybeder..""

#tefekkür",,,,94,['tefekkür']
Hira Gençliği,@hiragencligi,2021-08-06T20:58:09.000Z,"Tefekkürlü geceler diliyoruz..
#hiragencligi
#tefekkür",,,,6,"['hiragencligi', 'tefekkür']"
İzzettin Ateş,@atesgiller,2021-08-13T08:32:40.000Z,Evet göklerde ve yerde olan her şey şüphesiz Allah'a aittir. #hayırlıcumalar #sabır #tefekkür #tevazu #şükür Cumanız mübarek olsun.,,,,,"['hayırlıcumalar', 'sabır', 'tefekkür', 'tevazu', 'şükür']"
KTBKitap,@ktbkitap1,2021-08-07T09:36:07.000Z,"Özgür irademizle duygularımızla, kendimize özgü alışkanlıklarımızla ne kadar komplike, ne kadar eşsiz bir mekanizmayız.
Dr. Mehmet Yavuz
#Sağlık
#tefekkür
http://ktbkitap.com",Dr. Mehmet Yavuz,,,3,"['Sağlık', 'tefekkür']"
Risale Vecize,@vecize_risale,2021-08-13T07:34:37.000Z,"""Bir #hadîs-i kudsîde Cenab-ı Hak buyurmuş:
اَنَا عِنْدَ ظَنِّ عَبْد۪ى ب۪ى
Yani ""Kulum beni nasıl tanırsa, onunla öyle muamele ederim.""

#Sözler #vecize #tefekkür #din #diyanet #özlüsözler",,,,2,"['hadîs', 'Sözler', 'vecize', 'tefekkür', 'din', 'diyanet', 'özlüsözler']"
ndnkl10,@ndnkl10,2021-08-13T05:36:01.000Z,"""Hayatta aldığınız övgülere değil,girdiğiniz gönüllere bakın,çünkü sizi yansıtan ikincisidir.""

#HayırlıCumalar   
#hayat #tevazu #asalet #dua #tevekkül #tefekkür #maneviyat #insan #inanç",,,,1,"['HayırlıCumalar', 'hayat', 'tevazu', 'asalet', 'dua', 'tevekkül', 'tefekkür', 'maneviyat', 'insan', 'inanç']"
Ramazan,@rugucu34,2021-08-08T09:34:34.000Z,Dünyaya gelen insanın yolu kabir kapısından berzah salonuna doğru gidiyor.. #tefekkür,,,,,['tefekkür']
Halit Çil,@halitcil,2021-08-10T21:09:44.000Z,"Ölüm beyazlığı,
Yer gök yansımasında,
Ve verdiğin her nefeste...
.
#ölüm #beyazlık #yer #gök #yansıma #her #nefes #tefekkür #tezekkür #tedebbür #taakkul #teşekkür #allah https://instagram.com/p/CSaJBd_qXYT/?utm_medium=twitter…",,,,,"['ölüm', 'beyazlık', 'yer', 'gök', 'yansıma', 'her', 'nefes', 'tefekkür', 'tezekkür', 'tedebbür', 'taakkul', 'teşekkür', 'allah']"
Hatice Tosun,@haticetosun17,2021-08-10T12:39:30.000Z,"Bazı mekânlar vardır,size huzur verir.Oradan ayrılmak istemezsiniz dediğimiz bir yerdeyim..Zeyrek camii'sinden Muhteşem Süleymaniye'ti hayranlıkla seyretmek...
#zeyrekcamii
#süleymaniyecamii
#huzur
#tefekkür",,,,1,"['zeyrekcamii', 'süleymaniyecamii', 'huzur', 'tefekkür']"
Halit Çil,@halitcil,2021-08-13T11:48:03.000Z,#hayat #gri #sine #bağır #renk #cümbüş #gökyüzü #özgür #uçmak #kuşlar #gör #tefekkür #tezekkür #tedebbür #taakkul #teşekkür #allah https://instagram.com/p/CSg3GjzK6Fd/?utm_medium=twitter…,,,,,"['hayat', 'gri', 'sine', 'bağır', 'renk', 'cümbüş', 'gökyüzü', 'özgür', 'uçmak', 'kuşlar', 'gör', 'tefekkür', 'tezekkür', 'tedebbür', 'taakkul', 'teşekkür', 'allah']"
Aslı Günsayar,@a_gunsayar,2021-08-12T21:04:57.000Z,"Bakara Sûresi:74
""...taşlardan öyleleri vardır ki onlardan ırmaklar fışkırır, öyleleri vardır ki yarılır; ondan sular çıkar; öyleleri de vardır ki Allah korkusuyla yuvarlanır.""

TAŞLAR...
TAŞ!

#ayet #Kuran #düşünce #tefekkür #insan #taş #hayat",,,,1,"['ayet', 'Kuran', 'düşünce', 'tefekkür', 'insan', 'taş', 'hayat']"
Tevhid Güneşi,@FNeslimiz,2021-08-08T23:38:28.000Z,"Replying to 
@siradisifoto","SubhanAllah.. 
#Tefekkür 
#İman",,,,[]
Ramazan,@rugucu34,2021-08-10T08:38:04.000Z,"Her cansız, her bitki, her hayvan kendine verilen vazifeyi ifa ediyor. Başına akıl takılan insan isyan bayrağı çekiyor. 
Cennet adam istediği gibi Cehennem dahi adamlar istiyor..
#tefekkür",,,,1,['tefekkür']
Ramazan,@rugucu34,2021-08-07T13:26:47.000Z,"Cennet dinî bir hayatın neticesi, Cehennem ise dinsiz bir hayatın neticesidir.. 
Allah katında din ancak İslam'dır..
#tefekkür",,,,,['tefekkür']
Ramazan,@rugucu34,2021-08-10T09:59:50.000Z,Şeytan gibi bir adam bile melek maskesi takıyor. Demek o bile kendinden rahatsız.. #tefekkür,,,,1,['tefekkür']
Ramazan,@rugucu34,2021-08-08T22:41:32.000Z,Ey Allah'ın emir ve yasaklarına karşı lakayd yaşayan Müslüman! Ölümle birlikte uzun müddet sevdiklerinden ayrı kalmak istemiyorsan hayatını dinine göre tanzim et.. #tefekkür,,,,,['tefekkür']
Mehmet Kazar,@memetkazar,2021-08-06T18:21:56.000Z,"Yeni kitabımız.
#Bilim #Felsefe #Evren #Madde #Mana #Atomlar #Tefekkür #İman #Kitap #Kitapyurdu #kitapkurdu #kitapaşkı #kitapoku","Bir Damlada Âlemler
Bir Damlada Âlemler - BENGİSU YAYINLARI - Mehmet Kazar - Okuma yazma bilmeyen biri bu kitaba baksa ne görür? Harf yığını ve madde. Bu kişi hiç ok
kitapyurdu.com",,,1,"['Bilim', 'Felsefe', 'Evren', 'Madde', 'Mana', 'Atomlar', 'Tefekkür', 'İman', 'Kitap', 'Kitapyurdu', 'kitapkurdu', 'kitapaşkı', 'kitapoku']"
BURCU ADAL KÖSE,@ADALBURCU,2021-08-09T10:06:29.000Z,"Rad Suresi 28. AYET buyuruyor ki;
Kalpler Allah'ı zikrederek tatmin olur.
Allahın yarattığı herşeyden ibret almalı insan.
İbretlik bir hayat bu.
#ESMAÜLHÜSNALAR
#dua #huzur
manevidanışman
#maneviyat
#burcuadalköse
#inanç #kişiselgelişim #duâ #tefekkür 
#melekenerjisi #melekler",,,,,"['ESMAÜLHÜSNALAR', 'dua', 'huzur', 'maneviyat', 'burcuadalköse', 'inanç', 'kişiselgelişim', 'duâ', 'tefekkür', 'melekenerjisi', 'melekler']"
devriâlem,@devrilem2,2021-08-09T15:45:40.000Z,#hayatınanlamı #dijitaldünya #düşünce #akilvevahiy #kuran #islam #islamdini #felsefiksözler #istikamet #tefekkür #meaningoflife #humanityfirst #islamispeace #righteousness,,,,,"['hayatınanlamı', 'dijitaldünya', 'düşünce', 'akilvevahiy', 'kuran', 'islam', 'islamdini', 'felsefiksözler', 'istikamet', 'tefekkür', 'meaningoflife', 'humanityfirst', 'islamispeace', 'righteousness']"
Risale Vecize,@vecize_risale,2021-08-10T09:25:17.000Z,"""gayet rahîmane ve rezzakane hadsiz ve çeşit çeşit ve lezzetli ve tatlı rızıkları, hiçten ve kuru topraktan ve birbirinin misli ve farkları pek az ve kemik gibi köklerden, çekirdeklerden, su katrelerinden yetiştiriliyor.""
(Asa-yı Musa) 
#tefekkür #vecize #şuur #risale #hakikat",,,,1,"['tefekkür', 'vecize', 'şuur', 'risale', 'hakikat']"
Elif,@ElifCengizSanli,2021-08-09T03:05:05.000Z,#müslüman #yılbaşı #Hicri1443 #Yeniyıl #mubarekolsun #uyanış #hak #hakikat #islam #doğruyol #mümin #dua #ibadet #amel #şuur #şuurluiman #cihad #cihadet #öğren #öğret #yaşa #yaşat #namaz #oruç #şükür #tevekkül #tefekkür #nimet,,,,,"['müslüman', 'yılbaşı', 'Hicri1443', 'Yeniyıl', 'mubarekolsun', 'uyanış', 'hak', 'hakikat', 'islam', 'doğruyol', 'mümin', 'dua', 'ibadet', 'amel', 'şuur', 'şuurluiman', 'cihad', 'cihadet', 'öğren', 'öğret', 'yaşa', 'yaşat', 'namaz', 'oruç', 'şükür', 'tevekkül', 'tefekkür', 'nimet']"
Ramazan,@rugucu34,2021-08-08T22:53:28.000Z,Ey Allah'ın emir ve yasaklarına karşı lakayd yaşayan Müslüman! Ölümle birlikte uzun müddet sevdiklerinden ayrı kalmak istemiyorsan hayatını dinine göre tanzim et. #tefekkür,,,,,['tefekkür']
Ramazan,@rugucu34,2021-08-07T13:20:11.000Z,"Dini yoksa kişinin, denidir bütün işi.. 
Allah katında din ancak İslam'dır.. #tefekkür",,,,,['tefekkür']
Doğunun limanları,@DogununL,2021-08-09T09:24:05.000Z,"dua duanın sahibine inanmaktır...



#latif #insan #tefekkür #hikmet #değerli #dua #iman",,,,,"['latif', 'insan', 'tefekkür', 'hikmet', 'değerli', 'dua', 'iman']"
Mehmet Kazar,@memetkazar,2021-08-06T14:45:50.000Z,"2. Kitabımız çıktı çok şükür. Çıra Kitap Yayınevinde ön siparişe açıldı. Bir damlada âlemlere yolculuk yapmak isteyenler buyursun. Teşekkürler. #kitap #evren #felsefe #tefekkür #iman 

http://cirakitap.com","cirakitap.com
Bir Damlada Âlemler Okuma yazma bilmeyen biri bu kitaba baksa ne görür? Harf yığını ve madde. Bu kişi hiç okuma yazma öğrenmese yıllarca baksa yine de bu kitaba
cirakitap.com",,,1,"['kitap', 'evren', 'felsefe', 'tefekkür', 'iman']"
Ali Nural,@a_nural,2021-04-29T13:12:27.000Z,"Replying to 
@a_nural","Cumhurbaşkanı Erdoğan tarafından, Biden'ın skandal 'Soykırım' sözlerine karşı yapılan açıklama...!",1,,,[]
Ali Nural,@a_nural,2021-08-11T18:01:40.000Z,"#Tefekkür!
Stratejik ortağımız ABD! ve Avrupalı bazı dost ülkeler! 
Ülke aleyhine olan her olayı niçin destekliyorlar? 
Niçin teröristlere hamilik yapıyor ve iade etmiyorlar? #Batıbu #samimiyetarama #güvenme #bağımsızol",,1,,,"['Tefekkür', 'Batıbu', 'samimiyetarama', 'güvenme', 'bağımsızol']"
