username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Spring Professional,@SpringRecruitTR,2021-08-12T09:43:36.000Z,"#bookoftheweek

A World Without Email: Reimagining Work in an Age of Communication Overload

By Cal Newport

People are not designed to be in constant digital communication.
Is mail, the leading technology of its time, now becoming a mechanism that reduces efficiency?",,1,,,['bookoftheweek']
Spring Professional,@SpringRecruitTR,2021-08-12T09:43:37.000Z,"This book shows us that it’s time for clear and strong changes and walks us through how to do it.

#Springprofessional #springprofessionaltr #hr #career #management #it #digital #technology #calnewport #email #eposta #insankaynakları #bilişim #kariyer #teknoloji #dijital",,,,,"['Springprofessional', 'springprofessionaltr', 'hr', 'career', 'management', 'it', 'digital', 'technology', 'calnewport', 'email', 'eposta', 'insankaynakları', 'bilişim', 'kariyer', 'teknoloji', 'dijital']"
Türkçe,@turkce,2021-08-07T10:13:03.000Z,"İşte Riders Republic Beta tarihi: Ubisoft, Riders Republic Beta tarihlerini paylaştı. Riders Republic Beta; PlayStation 5, PlayStation 4, Xbox Series X "" S, Xbox One ve PC'de hem Ubisoft Connect'te hem de Epic Games Launcher'da… http://dlvr.it/S5CDFk #Türkçe #Teknoloji",,,,,"['Türkçe', 'Teknoloji']"
NedenleriÖğren,@nedenleriogren,2021-08-06T16:10:53.000Z,"Google, #fiziğe #meydan #okuyacak #buluşunu #duyurdu https://nedenleriogren.com/google-fizige-meydan-okuyacak-bulusunu-duyurdu/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #google #manset #teknoloji #verdi","Google, fiziğe meydan okuyacak buluşunu duyurdu
Okuma Süresi: 2 Dakika Google, Sycamore adını verdiği kuantum bilgisayarı ile önemli bir buluşa imza attığını duyurdu. İşte detaylar.. Google’ın kuantum hesaplama bölümündeki araştırmacılar “Zaman...
nedenleriogren.com",,,,"['fiziğe', 'meydan', 'okuyacak', 'buluşunu', 'duyurdu', 'google', 'manset', 'teknoloji', 'verdi']"
Teknodefteri.com,@TeknodefteriC,2021-08-09T05:48:22.000Z,"iPhone 13 Pro Max İnceleme
https://teknodefteri.com/mobil/iphone-13-pro-max-inceleme/…
#Apple #iPhone13 #iPhone13 #Teknoloji #teknodefteri #TEKNOFEST2021 #inceleme","iPhone 13 Pro Max İnceleme
iPhone 13 Pro Max İnceleme> 2021 yılı içerisinde iPhone ciddi bir başlangıç yapmıştı, çıkarttığı modeller ve özellikleri insanların çok ilgisini çekti. Özellikle de iPhone 13 serisi sınırları...
teknodefteri.com",,,1,"['Apple', 'iPhone13', 'iPhone13', 'Teknoloji', 'teknodefteri', 'TEKNOFEST2021', 'inceleme']"
Teknodefteri.com,@TeknodefteriC,2021-08-09T05:53:45.000Z,"Samsung Galaxy S21 5G İnceleme
https://teknodefteri.com/inceleme/samsung-galaxy-s21-5g-inceleme/…
#Samsung #samsunggalaxy #S21 #5G #Teknoloji #teknodefteri #inceleme #Apple #xiaomi #Huawei","Samsung Galaxy S21 5G İnceleme
Bu yazımızda sanki insanlık tarihini başından bu yana bizimle olan Samsung Galaxy S serisinin son çıkan modeli Samsung Galaxy S21 5G modelini inceleyeceğiz.
teknodefteri.com",,,1,"['Samsung', 'samsunggalaxy', 'S21', '5G', 'Teknoloji', 'teknodefteri', 'inceleme', 'Apple', 'xiaomi', 'Huawei']"
derinhisse,@derinhisse,2021-08-08T18:35:13.000Z,Önümüzdeki beş yıl öne çıkacak sektörler ve alt sektörler. #yazılım #teknoloji #tarım #gıda #sağlık #ilaç #5g #eticaret #elektrikliaraçlar #madencilik #turizm #ambalaj #enerji #dijitalbankacılık #borsa #hisse,,140,397,2.1K,"['yazılım', 'teknoloji', 'tarım', 'gıda', 'sağlık', 'ilaç', '5g', 'eticaret', 'elektrikliaraçlar', 'madencilik', 'turizm', 'ambalaj', 'enerji', 'dijitalbankacılık', 'borsa', 'hisse']"
Zeynep Aktaş,@zeynepxaktas,2021-08-12T03:41:19.000Z,"BIST Teknoloji şirketleri yılbaşından bu yana, son 10 yıl ve 20 yıl getirileri
#ALCTL #ARDYZ #ARENA #ARMDA #ASELS #DESPC
#DGATE #ESCOM #FONET #INDES #KAREL #KFEIN #KRONT #LINK #LOGO #NETAS #PAPIL #PKART #SMART #performans #finansalokuryazarlık #teknoloji",,,28,202,"['ALCTL', 'ARDYZ', 'ARENA', 'ARMDA', 'ASELS', 'DESPC', 'DGATE', 'ESCOM', 'FONET', 'INDES', 'KAREL', 'KFEIN', 'KRONT', 'LINK', 'LOGO', 'NETAS', 'PAPIL', 'PKART', 'SMART', 'performans', 'finansalokuryazarlık', 'teknoloji']"
Türkçe,@turkce,2021-08-05T10:10:08.000Z,"Bill Gates ABD basınına konuştu: Jeffey Epstein ile olan ilişkisini, boşanma sürecini ve Covid-19 hakkında yaptığı çalışmaları anlattı: Microsoft'un kurucusu Bill Gates, Melinda Gates ile olan boşanma süreci, kendisine yöneltilen taciz… http://dlvr.it/S54Zsj #Türkçe #Teknoloji",,,1,,"['Türkçe', 'Teknoloji']"
Çılgın Fizikçiler ve Bilim İnsanları #Bilim,@CilginFizikciBi,2021-08-07T06:06:20.000Z,"#Günaydın  

#bilim #fizik #teknoloji #karikatür",,,,3,"['Günaydın', 'bilim', 'fizik', 'teknoloji', 'karikatür']"
