username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
,@silailgim,2019-01-14T13:55:16.000Z,"@WorldCleanupDay
 @WorldCleanupDay
 
Let's change the World together.
 We must save the nature ""Because nature is our life"" #WorldCleanupDay #temizçevre #doğayıkoruyalım #dogayisevyesilikoru",,,3,6,"['WorldCleanupDay', 'temizçevre', 'doğayıkoruyalım', 'dogayisevyesilikoru']"
Suhaib Aamir,@suhaib_aamir,2018-10-15T08:01:29.000Z,"Let us educate our children to keep our neighborhood, cities, and country clean. #AkdenizÜniversitesi #Antalya #green #environment 
@Akdenizun
 @KoblerinPAK
 #CleanGreenPakistan #MinistryOfClimateChange #temizçevre 
@csbgovtr
 #çevre 
@murat_kurum
 #Pakistan #Turkey","0:28
145 views",1,4,5,"['AkdenizÜniversitesi', 'Antalya', 'green', 'environment', 'CleanGreenPakistan', 'MinistryOfClimateChange', 'temizçevre', 'çevre', 'Pakistan', 'Turkey']"
Çarşamba Belediyesi,@carsambabld,2021-03-09T15:42:58.000Z,"Temizlik İşleri Personelimizden size mesaj var. 

Yere atılan her çöp doğamıza zarar veriyor. 

Personelimiz bu duruma ""atma daa"" diyerek karşılık veriyor. 
#TemizÇevre","From 
Halit Doğan",2,7,57,['TemizÇevre']
ASELSAN,@aselsan,2020-06-05T05:53:40.000Z,Sağlıklı toplum için temiz çevre. Dünya Çevre Günü Kutlu Olsun. #TemizÇevre,,4,44,440,['TemizÇevre']
E R K A N,@officialerkank,2019-07-24T13:58:24.000Z,"Geriye bak,doğanı düşün,ileri bak olacakları düşün.

Çöpleri ayır,geri dönüşüme sende katıl.

Fav ve Rt Yap Sende Katkıda Bulun

#SıfırAtık
#TemizÇevre",,,,32,"['SıfırAtık', 'TemizÇevre']"
Halit Doğan,@halitdoganbskn,2021-03-09T14:35:42.000Z,"Doğaya attığın her çöp kendi geleceğine, kendi çocuğunun geleceğine ihanettir.

Hep beraber personellerimizin sesine kulak verelim.
Temiz bir yaşam için,
Çarşamba geleceğine sahip çıkıyor.

#TemizÇevre",,,43,510,['TemizÇevre']
ORMANIM,@OrmanGelecektir,2021-03-20T09:32:13.000Z,"Lütfen anılarınızla birlikte, çöplerinizi de yanınızda götürün.  #OrmanıSeviyorum #temizçevre #temizgelecek #Haftasonu",,1,9,50,"['OrmanıSeviyorum', 'temizçevre', 'temizgelecek', 'Haftasonu']"
NeyloOo,@neylinnnn,2021-07-19T08:49:17.000Z,Biz bu gün spor olarak Sahilde ki çöpleri topladık  İnş bize toplamak için olmasa da çöplerinizi atmayarak katılırsınız  #temizsahiller #temiz #temizcevre,,6,4,40,"['temizsahiller', 'temiz', 'temizcevre']"
Yalova Makine İhtisas OSB,@yalovaimesosb,2021-08-04T12:55:41.000Z,"Daha yaşanabilir güzel bir Yalova için YASKİ’nin #YalovadaIslakMendillerÇöpe kampanyasına desteklerinizi bekliyoruz.

#YalovaOSB #Yalova #TemizÇevre #YASKİ",,1,12,34,"['YalovadaIslakMendillerÇöpe', 'YalovaOSB', 'Yalova', 'TemizÇevre', 'YASKİ']"
Mehmet ÖZDAĞ,@mozdag55,2018-12-19T13:48:13.000Z,"Japon TBC TV Haber Yapımcısı Peter S Harrold 'a, Nükleer Karşıtı Platform önlüğü hediye ettim.

Bizler atom bombalarından, nükleer felaketlerden büyük acılar yaşamış Japonya halkının acılarını yüreğimizde hissettik.
#Nükleer
#NKP
#TemizÇevre
#Enerji",Sinop NKP and 2 others,2,7,27,"['Nükleer', 'NKP', 'TemizÇevre', 'Enerji']"
Lutfibanatilkokulu,@Lutfibanatilko1,2019-08-26T18:42:12.000Z,"Okulumuz 2019-2020 Eğitim öğretime hazırlıklar devam ediyor.
#sıfıratık
#temizcevre 
#bilinclicocuk 
@SULTANGELMEZ
 
@EmineErdogan
 
@memleventyazici
 
@BesiktasMEM
 
@tcbesiktas_",Sultan GELMEZ and 3 others,,5,30,"['sıfıratık', 'temizcevre', 'bilinclicocuk']"
Yaban Hayatını Koruma,@Yabanhayatkoru,2020-08-22T12:20:16.000Z,"#SeyirciKalma #MilliÇöpMeselesi #TemizÇevre #ÇöpünüÇöpeAt 
@SelcukRSirin
 @guvenislamoglu
 @BuketUzuner
 @copunesahipcik
 @0rtapia
 @slymn_esen
 @yabaninizinde",,,14,26,"['SeyirciKalma', 'MilliÇöpMeselesi', 'TemizÇevre', 'ÇöpünüÇöpeAt']"
Çorum Belediyesi,@crmbelediyesi,2020-09-26T17:37:46.000Z,"""En Temiz Şehir"" olmak işte böyle bir şey 

""Atmayın Heri ""

#AşklaÇalışıyoruz 
#TemizÇevre
#DoğayıKoru",,2,32,120,"['AşklaÇalışıyoruz', 'TemizÇevre', 'DoğayıKoru']"
NÖHÜ Sıfır Atık,@NOHUSifirAtik,2019-12-16T20:19:05.000Z,"Plastik atıklarımızı doğru şekilde atmadığımız zaman hem çevreye hem canlılara hemde geleceğe zarar verdiğini biliyor musunuz? #bilinçlenelim #bilinçlendirelim #sıfıratık #temizçevre 
@karmuhsin
 @sifiratikgov
 @NOHUniversitesi
 @cagdasgonen
 @eudeveci
 
 = 
@M01kara",,1,4,41,"['bilinçlenelim', 'bilinçlendirelim', 'sıfıratık', 'temizçevre']"
Mustafa AKTAŞ,@MustafaAktas00,2021-03-12T05:26:34.000Z,"Dönüşümde Üsküdar Modelini birlikte başardık. Doğa dostu personellerimizin çalışma azmi, sizlerin destek ve katkılarıyla çığ gibi
büyüdü.
***Bugün CUMA, Geri dönüşümlerinizi (kağıt, karton, plastik, metal) konteyner yanlarına bekliyoruz
#üsküdarbelediyesi 
#SıfırAtık 
#Temizçevre",,,5,28,"['üsküdarbelediyesi', 'SıfırAtık', 'Temizçevre']"
HIZIRBEYii,@HizirbeYii,2019-08-17T11:42:55.000Z,Sosyal medya akım’ı arayan insanlara bir öneri..! Neden olmasın! #yeniakım #sendeyapabilirsin #iştekıralakım #akım #insanlıkbudur #tbt #follow #yaptagörelim #çevreinsangörsün #temizçevre #sosyalakım #cumartesi #Hadisendegönder,"HIZIRBEYii
@HizirbeYii
 · Aug 17, 2019
Yeni akım başlatsak ve herkesi bu etkinlikte görsek :)) https://twitter.com/fatihreyhan53/status/1162689820986105857?s=21…",,17,24,"['yeniakım', 'sendeyapabilirsin', 'iştekıralakım', 'akım', 'insanlıkbudur', 'tbt', 'follow', 'yaptagörelim', 'çevreinsangörsün', 'temizçevre', 'sosyalakım', 'cumartesi', 'Hadisendegönder']"
Soma Belediyesi,@somabelediyesi1,2020-06-07T11:19:16.000Z,Temizlik İşleri ekiplerimiz ile birlikte parklarımızda yıkama ve temizleme çalışmalarına devam ediyoruz #somaiçin #temizçevre #gelecekgüzelgünler #kontrollusosyalhayat #hijyenedikkat #sosyalmesafeyiunutma,,,4,16,"['somaiçin', 'temizçevre', 'gelecekgüzelgünler', 'kontrollusosyalhayat', 'hijyenedikkat', 'sosyalmesafeyiunutma']"
