username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
BTA,@BTA_tennis,2021-08-06T06:10:21.000Z,"Morning practice session with our player Annalise from Great Britain  
Our inspiration for today  ‘I fear not the man who has kicked 1000 times. I fear the man who has kicked the same kick 1000 times’ B.Lee #Barcelona #tennis #academy #bta #tenis #training","0:54
86 views",,1,2,"['Barcelona', 'tennis', 'academy', 'bta', 'tenis', 'training']"
Antonio Estepa 1785,@Aestepasfc,2021-07-31T08:57:04.000Z,"Bronce !!!!!!! Pablo!!!!!!! 

#tenis 

#ElCorazónDeEspaña",,,1,2,"['tenis', 'ElCorazónDeEspaña']"
4Slam Tennis,@4slamtennis,2021-08-06T09:59:17.000Z,"“Victory is in having done your best. If you’ve done your best, you’ve won.”  - B. Bowerman
.
#tennis #tennisacademy #tennisspain #tenniseurope #instatennis #tenis #trainingtennis #tennisbarcelona #tennisplayer #большойтеннис #tennisindia #uktennis #tennisuk #britishtennis",ATP Tour and 3 others,,,2,"['tennis', 'tennisacademy', 'tennisspain', 'tenniseurope', 'instatennis', 'tenis', 'trainingtennis', 'tennisbarcelona', 'tennisplayer', 'большойтеннис', 'tennisindia', 'uktennis', 'tennisuk', 'britishtennis']"
Carlos Higuera,@chigueraunibol,2021-08-03T12:49:07.000Z,"Excellent Player, Step bye step he will reach the best 50 un the world. 
@MatchTenis
 @fedecoltenis
 #Tenis #TENISxESPN","Tennis TV
@TennisTV
 · Aug 2
Flattened for MAX velocity 

An absolute missile from Daniel Elahi Galán...

@CitiOpen",,,1,"['Tenis', 'TENISxESPN']"
APUESTA VERDE | FREE,@perudep,2021-07-30T18:05:42.000Z,"———————
▪︎ PETKOVIC HANDICAP +1.5
▪︎TORNEO: CHALL BELGRADE. 

#Tenis #challenge #WTA2021 #wtatour #Tennis",,,,,"['Tenis', 'challenge', 'WTA2021', 'wtatour', 'Tennis']"
Open ITF Rivas tenis en silla,@OpenRivasTSR,2021-08-02T14:34:17.000Z,"You can now sign in for the VI International Wheelchair #Tenis Open Fundación ONCE-Ciudad de Rivas!! 

All information in our website 

http://openciudadderivas.es
@Fundacion_ONCE
 @AytoRivas",Fundación Fundar Rivas and 9 others,,4,8,['Tenis']
kai // ily bug // in sad arc,@vvkarlnap,2021-08-11T00:42:07.000Z,praying karl notices all of my tweeting  #teamkarl #tenis,,,,3,"['teamkarl', 'tenis']"
António José Silva,@tozesilva,2021-07-31T12:37:06.000Z, Do you know what my favorite part of the game is? The opportunity to play. #tenis #tennis,,,,,"['tenis', 'tennis']"
BTA,@BTA_tennis,2021-08-02T06:43:31.000Z,"Training programmes for the youngest players  our head coach Luis Scarda working with the 6-year-old Sara 
#Barcelona #tennis #academy #bta #tenis",,,1,4,"['Barcelona', 'tennis', 'academy', 'bta', 'tenis']"
i'm the GUNNERS,@imtheGUNNERS2,2021-08-01T08:54:55.000Z,"I watch the women's tennis game and turn on the TV volume to the maximum! What a voice

#Olympics #Tenis",,,,,"['Olympics', 'Tenis']"
DREAM DAY,@cosmiicleo,2021-08-11T00:30:48.000Z,you said it not me #Tenis,,,,,['Tenis']
Ardhi wira,@Ardhiwira,2021-07-30T09:53:24.000Z,Djokovic down #Tokyo2020 #tenis,,,,,"['Tokyo2020', 'tenis']"
