username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Gaziantep Büyükşehir,@GaziantepBeld,2020-10-27T13:00:01.000Z,"Başkanımız 
@FatmaSahin
 Polyment Tenis Turnuvası Cumhuriyet Kupası ve 2020 Sezonu Gaziantep Defi Ligi’nin ödül töreninde dereceye giren sporcularımıza ödüllerini takdim etti.

Gençlerimizin başarılarının devamını diliyoruz.

#tenisturnuvası","2:16
2.6K views",27,393,698,['tenisturnuvası']
T.C. Tarsus Belediyesi,@tarsusbeltr,2020-10-29T16:00:19.000Z,"Cumhuriyet Bayramı etkinlikleri kapsamında düzenlediğimiz 29 Ekim Cumhuriyet Tenis Turnuvamız sonuçlandı. 

Ödül alan sporcular verdiği desteklerden dolayı başkanımıza teşekkürlerini ilettiler. 

Her daim sporun ve sporcunun yanındayız

#cumhuriyetkupası #tenisturnuvası",,,1,4,"['cumhuriyetkupası', 'tenisturnuvası']"
ALEM Dergisi,@AlemDergisi,2020-06-23T18:10:36.000Z,"Roland Garros’dan heyecanlandıran gelişme https://bit.ly/3erS7i1

#RolandGarros #TenisTurnuvası #Tenis #RafaelNadal",,,,,"['RolandGarros', 'TenisTurnuvası', 'Tenis', 'RafaelNadal']"
Avrupa Birliği Başkanlığı,@ABBaskanligi,2019-05-04T10:40:24.000Z,"9 Mayıs #AvrupaGünü #TenisTurnuvası tüm hızıyla devam ediyor. Kupalar sahiplerini bekliyor!  
@TTForgtr
 @ulusalajans
 @EUDelegationTur
 @e_turkak",,,5,28,"['AvrupaGünü', 'TenisTurnuvası']"
Fatma Şensoy İlkokulu,@Fatmasensoyio,2020-09-13T18:27:50.000Z,"http://fatmasensoyilkokulu.meb.k12.tr

Hafta sonu düzenlenen tenis turnuvasında grup ikincisi olan 3/F sınıfı öğrencimiz Cansu ARSLAN'ı tebrik ediyor, başarılarının devamını diliyoruz.



#tenisturnuvası
#uzaktaneğitimyakındanilgi",,1,1,23,"['tenisturnuvası', 'uzaktaneğitimyakındanilgi']"
DEMİRCİ BELEDİYESİ,@demirci_bld,2021-03-14T19:00:30.000Z,"Sporun ve Sporcunun Kenti #Demirci
#14MartTıpBayramı #TenisTurnuvası 
@kasapoglu
 @pekcan
 @SalihHizliTR
 @BaybaturMurat
 @uguraydemir45
 @skaplankivircik
 @ozkanmehmetali
 @ismailbilen45
 @akkal_tamer
 @ozturkyunus45
 @Selamiselcukou1",,,5,14,"['Demirci', '14MartTıpBayramı', 'TenisTurnuvası']"
Mersin Yenişehir Belediyesi,@yenisehir_bel,2021-07-30T10:51:35.000Z,"#Yenişehir Belediyesi #19Mayıs Atatürk’ü Anma Gençlik ve Spor Bayramı #TenisTurnuvası kupa törenine tüm sporseverler davetlidir.  

 31 Temmuz Cumartesi
 19.30
 Yenişehir Belediyesi Ata Tenis Tesisleri",,,2,11,"['Yenişehir', '19Mayıs', 'TenisTurnuvası']"
Sahra Haber | #evdekal #sondakika #gundem #haber,@habersahra,2021-05-23T13:25:04.000Z,"Gençlik ve #Spor Bakanı Kasapoğlu, #Şırnak'ta düzenlenen Cudi Cup #TenisTurnuvası'nı izledi: http://dlvr.it/S0FHZq",,,2,,"['Spor', 'Şırnak', 'TenisTurnuvası']"
Adana Etkinlik,@adana_etkinlik,2019-09-24T10:21:16.000Z,"#TENİSTURNUVASI 

#Adana Büyükşehir Belediyesi #Tenis Turnuvası 29 #Eylül - 29 #Ekim tarihleri arasında #Adana #Baro Tesisleri tenis kortlarında gerçekleşecektir. 
Son Katılım:28 #Eylül

TARİH: 29 #Eyül - 29 #Ekim
YER: #Adana #Baro Tesisleri #Tenis Kortları",T.C. Adana Büyükşehir Belediyesi and Zeydan Karalar,,1,,"['TENİSTURNUVASI', 'Adana', 'Tenis', 'Eylül', 'Ekim', 'Adana', 'Baro', 'Eylül', 'Eyül', 'Ekim', 'Adana', 'Baro', 'Tenis']"
Avcılar Belediyesi Gençlik ve Spor hizmetleri Müd.,@sporavcilar,2018-07-16T08:00:51.000Z,"Londra'da düzenlenen #Wimbledon18 #TenisTurnuvası'nda ""Çift Erkekler Gençler"" kategorisinde mücadele eden Türk Tenisçi #YankıErel ile Finlandiyalı partneri #OttoVirtanen Şampiyon olmuştur, Milli Raketçimizi Tebrik ederiz
#SporDostuBelediyecilik #avcilar #ATATÜRKStadı 
@avcilarbel",,,,5,"['Wimbledon18', 'TenisTurnuvası', 'YankıErel', 'OttoVirtanen', 'SporDostuBelediyecilik', 'avcilar', 'ATATÜRKStadı']"
SDÜ Spor Tesisleri,@sdusportesis,2018-08-03T13:51:10.000Z,#yazkupası #tenisturnuvası #sportesisleri #sdü #tennis,,,,1,"['yazkupası', 'tenisturnuvası', 'sportesisleri', 'sdü', 'tennis']"
BET-IBC Türkçe,@BetibcTurkce,2021-07-09T15:00:00.000Z,"#Wimbledon finalleri yakın, bakalım erkeklerde en çok şampiyonluğu kim almış burada

1. #RogerFederer 
2. #PeteSampras
3. #NovakDjokovic
4. #BjörnBorg
5. #BorisBecker

#tenis #tenisturnuvası #grandslam",,,,,"['Wimbledon', 'RogerFederer', 'PeteSampras', 'NovakDjokovic', 'BjörnBorg', 'BorisBecker', 'tenis', 'tenisturnuvası', 'grandslam']"
