username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
ITF,@ITFTennis,2021-08-06T08:07:47.000Z,"An honour 
@DjokerNole
 | #Tennis #Tokyo2020",,5,40,539,"['Tennis', 'Tokyo2020']"
Davis Cup,@DavisCup,2021-08-07T10:32:25.000Z,"""It was a true privilege to represent Serbia at the Olympics ""

: IG/djokernole

#Olympics | #Tennis",,,6,34,"['Olympics', 'Tennis']"
ITF,@ITFTennis,2021-08-09T11:16:42.000Z,"Your new World No.3.
@steftsitsipas
 

#Tennis",,3,42,262,['Tennis']
philomena plunkett,@soulcow,2021-08-06T19:06:15.000Z,Doubles on and off the court #tennis,,1,3,58,['tennis']
ITF,@ITFTennis,2021-08-07T11:02:57.000Z,"""The gold has landed in Germany ""

: IG/alexzverev123

#Olympics | #Tennis | #Tokyo2020",,1,18,207,"['Olympics', 'Tennis', 'Tokyo2020']"
Pitsa Theocharidou,@_Kalliopi_,2021-08-07T15:05:36.000Z,"If you don't practice, you don't deserve to win. #tennis",,,1,4,['tennis']
Billie Jean King Cup,@BJKCup,2021-08-07T09:38:01.000Z,"Teamwork 

#Olympics #Tennis",,,3,46,"['Olympics', 'Tennis']"
Barcelona Open Banc Sabadell,@bcnopenbs,2021-08-12T10:06:48.000Z," HAPPY BIRTHDAY TO THE ONE AND ONLY 
@steftsitsipas
 

 Cheers to you and to many more happy moments 

#Tennis #Tsitsipas",,6,76,577,"['Tennis', 'Tsitsipas']"
CT$,@CheatTheSpread,2021-08-07T04:31:04.000Z,"08/07 #atp early card
current risk = 2.5u

to be continued...
#gamblingtwitter #tennis #bettingtips",,1,2,28,"['atp', 'gamblingtwitter', 'tennis', 'bettingtips']"
Ashdown Park Hotel,@AshdownPark,2021-08-10T12:43:06.000Z,Our tennis courts are open all year round! Don't forget to enjoy a game when you stay with us #tennis #games #sport,,,,2,"['tennis', 'games', 'sport']"
J.D. Jr.,@Prelude2Life,2021-08-12T20:30:38.000Z,"Came out on top!
#USTA #TENNIS",,6,4,41,"['USTA', 'TENNIS']"
Billie Jean King Cup,@BJKCup,2021-08-06T11:16:00.000Z,"A record 5th Olympic games for 
@bambamsam30
 

#Olympics | #Tennis",,,3,46,"['Olympics', 'Tennis']"
eric amerine,@amerine1000,2021-08-11T01:44:42.000Z,A tennis version of “nice”. Peep the score . #Toronto #tennis,,,,1,"['Toronto', 'tennis']"
Billie Jean King Cup,@BJKCup,2021-08-08T10:19:49.000Z,"A powerful moment in this sport.

Flashback to when 
@naomiosaka
 lit the #Olympics flame at the Opening Ceremony.

#Tennis #Tokyo2020",,2,10,88,"['Olympics', 'Tennis', 'Tokyo2020']"
Kaitlyn Hewitt,@KSH_Sports,2021-08-07T16:07:39.000Z,Back to work #tennis,,,,1,['tennis']
Vivek Krishnan,@VAMOSVK,2021-08-07T09:09:57.000Z,"New weapon for the season ahead #Tennis #ATPTour 
@head_tennis",,,,2,"['Tennis', 'ATPTour']"
Sports Interiors,@SportsInteriors,2021-08-12T19:09:47.000Z,"The final matches of the 2021 
@ita_tennis
 National Summer Championships have been decided. On Tuesday morning, the remaining three national championship titles were given out and you can get all the details here: https://hubs.ly/H0VbD2y0

#collegetennis #ITA #tennis #finals",,,,6,"['collegetennis', 'ITA', 'tennis', 'finals']"
"NBA, UFC, Tennis & AFL",@BoldSportFan,2021-08-05T22:19:35.000Z,"Federer out of Cincinnati and Toronto
#Tennis",,,,,['Tennis']
CountryClubColumbus,@CCC1909,2021-08-12T16:12:39.000Z,CCC Tennis has their eyes on the prize  as they prepare for Evert Cup next weekend. #cccyasoon #Tennis,,,,1,"['cccyasoon', 'Tennis']"
Keystone Sports Construction,@Keystone_Sport,2021-08-09T14:20:28.000Z,"Construction underway at 
@NeumannUniv
's Tennis complex. The existing courts are getting a makeover and additional courts are on the way! #tennis",Keystone Sports Construction and Neumann University,,2,7,['tennis']
Billie Jean King Cup,@BJKCup,2021-08-09T08:01:51.000Z,"#Olympics memories with 
@TimeaOfficial
 and 
@mhingis
 

#Tennis",,,3,38,"['Olympics', 'Tennis']"
Owen Saunders,@CapperSaunders,2021-08-12T08:06:32.000Z,Another bad day. Can't catch a break at the moment. #TorontoOpen #Tennis,"Owen Saunders
@CapperSaunders
 · Aug 11
#TorontoOpen Day 3 Official Plays are now up and online at https://theplayer.com/sheet/owen-saunders-bets…. I have started tracking my bets third party in order for easy access to results as well as better accountability. Plenty to like tonight including a 3u play on a big underdog. #Tennis #Bettingtips
GIF",,,1,"['TorontoOpen', 'Tennis']"
Sabrina T,@eNectere,2021-08-07T23:04:18.000Z,"Come on Kei, fire up  #CitiOpen #Tennis #JPN",,,,2,"['CitiOpen', 'Tennis', 'JPN']"
LavanyaSingerDinesh,@VocalistLavanya,2021-08-07T19:27:47.000Z,"A Very Happy 40th Birthday to #Maestro #RogerFederer  
August 8, 2021 #GOAT #tennis #youRFan #peRFect",DinoraRF and 2 others,,9,129,"['Maestro', 'RogerFederer', 'GOAT', 'tennis', 'youRFan', 'peRFect']"
Roshini,@Roshkalyan,2021-08-08T05:22:22.000Z,Happy 40 Roger  Hope you always stay young and fit to keep playing tennis and entertaining us  #GOAT #RogerFederer #Tennis,,,,3,"['GOAT', 'RogerFederer', 'Tennis']"
David R. Pollard,@DavidPollardIRL,2021-08-12T18:46:26.000Z, beautiful evening for a game #tennis,,,,3,['tennis']
Ghost Mann (The Tennis Betting Dude),@GhostMannNC,2021-08-07T06:03:13.000Z,"CARD DROP

ATP- WASHINGTON

WTA- SAN JOSE

And Petkovic v Krunic 

will be added to the card later in the day

Terrible slate tomorrow but we will work w/ what we have 

Mix and Match, Tail and Fade as you please - LETS HAVE A DAY!

#lockin #wintheday #tennis",,15,15,88,"['lockin', 'wintheday', 'tennis']"
Nicki Sixteen♪,@FeistyNicki16,2021-08-13T15:45:26.000Z,"Whew Looking forward to these matches today! Lucky 13th!! Let’s Go! 
@wta
 #tennis #wta #OBN21",,,,,"['tennis', 'wta', 'OBN21']"
Owen Saunders,@CapperSaunders,2021-08-12T17:16:32.000Z,Great hold from Isner in another pressure situation. Serving brilliantly. #TorontoOpen #Tennis,,,,,"['TorontoOpen', 'Tennis']"
NDTV Sports,@Sports_NDTV,2021-08-13T03:02:39.000Z,"#USOpen will bar fans from attending this year's four-day qualifying tournament, The US Tennis Association announced on Thursday

#Tennis","US Open Bars Spectators At Qualifying Over Covid Concerns | Tennis News
US Open will bar fans from attending this year's four-day qualifying tournament, The US Tennis Association announced on Thursday.
sports.ndtv.com",,,2,"['USOpen', 'Tennis']"
Nikara6,@Nikara6Bets,2021-08-10T17:30:50.000Z,Fire #Tennis day  Mugu #nikara6gang,,,,2,"['Tennis', 'nikara6gang']"
Stark.,@st4rk1ndustries,2021-08-12T18:54:45.000Z,"Possibly my fav new court near home.

#London
#Tennis 
#TheShard",,,,1,"['London', 'Tennis', 'TheShard']"
Autologica Global,@AutologicaWorld,2021-08-06T11:44:21.000Z,"Montreal and Toronto share the task of hosting the best male and female #tennis players in the world, with the two tournaments playing at the same time during the same week. From August 6 to 15, 2021, the women will be in Montreal, while the men will play in Toronto. #NBO21",National Bank Open,1,,4,"['tennis', 'NBO21']"
CT$,@CheatTheSpread,2021-08-10T07:55:30.000Z," #nbo21 day 2 card
current risk = 9.5u

one of my fav slates in a while, let's get after it 
#gamblingtwitter #atp #tennis #bettingtips",,,1,44,"['nbo21', 'gamblingtwitter', 'atp', 'tennis', 'bettingtips']"
Laura Jonin,@laura_jonin,2021-08-12T17:15:03.000Z,"Playing with the shadow 
#jeudiphoto #tennis 
@eliasymer",,,1,4,"['jeudiphoto', 'tennis']"
RAJESH MEENA,@adian_Rajesh405,2021-08-08T04:31:43.000Z,"Wishing happy birthday to the greatest and my favourite #Tennis legend 
#RogerFederer 
Wish you will get more slams 
#HappyBirthdayRogerFederer",,,1,2,"['Tennis', 'RogerFederer', 'HappyBirthdayRogerFederer']"
Tennis Tracker,@TrackerTennis,2021-08-12T08:49:15.000Z,"""I love what I see from Sebastian Korda, he's the first American in a long time that has top 3 potential"" - Andy Roddick

https://sportskeeda.com/amp/tennis/i-love-what-i-see-from-him-he-s-the-first-american-in-a-long-time-that-has-top-3-potential-andy-roddick-on-sebastian-korda-s-rise?key2=290043&__twitter_impression=true…

#ATP #Tennis","""I love what I see from Sebastian Korda, he's the first American in a long time that has top 3...
sportskeeda.com",,1,10,"['ATP', 'Tennis']"
Maria Lacey,@Maria_Lacey1,2021-08-08T20:03:36.000Z,"After some really intense #tennis in wind, rain and sunshine all week in #Tramore myself and my partner, Mary emerged as ladies doubles winners, grade 2. A week in boot camp in the army would be easier. Concentration shattered. Off to bed to sleep properly tonight... ",,9,,35,"['tennis', 'Tramore']"
5 Sports Network,@5SportsNet,2021-08-12T17:24:28.000Z,"14-time major champion Pete Sampras turns 50 today.

7x Wimbledon
5x U.S. Open
2x Australian Open
64 Career titles

Have a great birthday 'Pistol Pete' 

#5SN | #Tennis | #PeteSampras",,,1,4,"['5SN', 'Tennis', 'PeteSampras']"
MichealZuma365,@MZuma365,2021-08-10T23:07:09.000Z,Look at the scenes in Toronto! #RogersCup #TorontoATP #Tennis #NBO21,ATP Tour and National Bank Open,,1,1,"['RogersCup', 'TorontoATP', 'Tennis', 'NBO21']"
CT$,@CheatTheSpread,2021-08-09T08:08:09.000Z," #nbo21 futures + day 1 card

diggin the serving matchups for day 1 
also included three earlies for day 2 

nothing too serious on the futures, just some value sprinkles
#gamblingtwitter #atp #tennis #bettingtips",,,1,40,"['nbo21', 'gamblingtwitter', 'atp', 'tennis', 'bettingtips']"
DFS Straight to the point,@dfs_to,2021-08-12T09:02:27.000Z,When I said  3 plays of the day the ones who actually liked got a whole line up  congrats  guys  #ChichiDFS #FanDuel #Tennis,,,,13,"['ChichiDFS', 'FanDuel', 'Tennis']"
