username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TEDU ELL,@teduell,2021-08-10T14:23:54.000Z,"Article of the month: ""How to Read More Books""  by Christian Jarrett
https://tinyurl.com/psycheguideread

#articleofthemonth #ingilizdiliveedebiyatı #englishlanguageandliterature #tanıtımgünleri #adayöğrenci #tercih2021 #üniversitetercihi #reading #okumakgüzeldir",,,1,2,"['articleofthemonth', 'ingilizdiliveedebiyatı', 'englishlanguageandliterature', 'tanıtımgünleri', 'adayöğrenci', 'tercih2021', 'üniversitetercihi', 'reading', 'okumakgüzeldir']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-02T07:01:17.000Z,"#yökdil #yds  #ales #ösym2021  #kpss2021
#yks2021 #ingilizce #üniversite #tercih2021 #akındil  #ydt #eyds #MEB #ösym 

likely?","prevalently
8.3%
properly
12.5%
probably
70.8%
pertinent
8.3%
48 votes
·
Final results",,1,,"['yökdil', 'yds', 'ales', 'ösym2021', 'kpss2021', 'yks2021', 'ingilizce', 'üniversite', 'tercih2021', 'akındil', 'ydt', 'eyds', 'MEB', 'ösym']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-02T06:58:21.000Z,"#yks2021 #ingilizce #üniversite #tercih2021 #akındil  #ydt #eyds #MEB #ösym 

a level or rank in an organization, a profession, or society?","tedious
5%
fractious
30%
echelon
40%
interim
25%
20 votes
·
Final results",,,2,"['yks2021', 'ingilizce', 'üniversite', 'tercih2021', 'akındil', 'ydt', 'eyds', 'MEB', 'ösym']"
Mihriban,@mihriibanercann,2021-08-06T14:27:33.000Z,Yks sınavından daha stresli bir dönem varsa o da tercih yapmakmış. #tercih2021,,1,7,96,['tercih2021']
talhakoyuncuoglu,@talhahuteala,2021-08-13T15:35:03.000Z,Tercih listem karışık kuruyemiş gibi inşallah kaju gelir #tercih2021,,,1,7,['tercih2021']
Esra,@Esrasrts34,2021-08-10T11:42:26.000Z,"tercih dönemin de kararsizliklarimla boğuşuyorumdur:
#tercih2021","caption this
@alintilayalim
 · Aug 10",,,9,['tercih2021']
İDV,@varolldicle,2021-08-10T12:03:36.000Z,Haritadan üni tercihi yapıyorum #tercih2021,,3,,9,['tercih2021']
Aşkın TÖREN,@AskinToren1,2021-08-05T14:38:40.000Z,"#TercihimAltınordu Çünkü 

Deniz  Orman  Fındık

#Tercih2021",,2,14,63,"['TercihimAltınordu', 'Tercih2021']"
Bartın Üniversitesi Sağlık Hizmetleri MYO,@bartinshmyo,2021-08-12T08:00:00.000Z,Bartın Üniversitesi Sağlık Hizmetleri Meslek Yüksekokulu Evde Hasta Bakımı Programı yeni öğrencilerini bekliyor! #tercih2021,,,,6,['tercih2021']
Hasan Kalyoncu Üniv,@hkunv,2021-08-11T11:41:25.000Z,"HKÜ İnşaat Müh. Bölümü Dr. Öğr. Üyesi Şafak Tercan ve HKÜ Rehberlik ve Psikolojik Danışmanlık Bölümü Dr. 
@ozgurdp_23
, 
@HaberturkTV
'de yayınlanan ""Yolun Başındayken"" programının konuğu oldu. Tercan ve Demir, Gaziantep'te ve HKÜ'de üniversite yaşamını anlattı.
#tercih2021 #hkunv",,,13,49,"['tercih2021', 'hkunv']"
HKÜ Okul Öncesi Eğitimi,@okuloncesihku,2021-08-11T12:56:22.000Z,"Sevgili üniversite adayları, Okul Öncesi Öğretmenliğini tercih etmeyi düşünüyorsanız bölümümüzde eğitim gören öğrencilerimize kulak verin sorularınıza yönelik en iyi cevabı onlar verecektir  
@TurkayDereli
 #tercih2021",,,8,24,['tercih2021']
