username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Heyy Broo..,@BossAdamBen,2020-08-15T11:29:21.000Z,"#ösym #tercih listem..
..",,,,4,"['ösym', 'tercih']"
TEDU ELL,@teduell,2021-07-26T10:46:10.000Z,"""A library is a good place to go when you feel unhappy, for there, in a book, you may find encouragement and comfort. [...] In a book, you may have your question answered.""
E.B. White
#yks2021 #tercih #üniversitetercihleri #üniversitesınavı #literature #tercih2021",,,,7,"['yks2021', 'tercih', 'üniversitetercihleri', 'üniversitesınavı', 'literature', 'tercih2021']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-11T20:44:34.000Z,"#yökdil #yds  #ales #kpss2021 #yks2021 #ingilizce  #müjde #ösym  #Tercih #okullar  

the intention or desire to do evil; ill will?","benevolent
40%
conceal
12.5%
malice
45%
convey
2.5%
40 votes
·
Final results",,,3,"['yökdil', 'yds', 'ales', 'kpss2021', 'yks2021', 'ingilizce', 'müjde', 'ösym', 'Tercih', 'okullar']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-05T09:26:58.000Z,"#yökdil #yds  #ales #ösym2021  #kpss2021
#yks2021 #ingilizce #üniversite #tercih #eyds #MEB #ösym 
 
to understand something completely?","evolve
6.3%
comprehend
81.3%
emerge
6.3%
illustrate
6.3%
64 votes
·
Final results",,1,3,"['yökdil', 'yds', 'ales', 'ösym2021', 'kpss2021', 'yks2021', 'ingilizce', 'üniversite', 'tercih', 'eyds', 'MEB', 'ösym']"
Zeytinburnu Gençlik Merkezi,@Zeytinburnu_GM,2021-08-10T09:57:19.000Z,"Tercih süreci başladı 

 Uzmanlarımız tercihlerinizde yardımcı olmak için sizleri bekliyor.

Zeytinburnu Gençlik Merkezi

#tercih #yks2021",,,6,10,"['tercih', 'yks2021']"
Cyprus Science University,@csuedutr,2021-08-07T09:00:29.000Z,"Kardeş Üniversitemiz İstanbul Aydın Üniversitesinin de tüm imkanlarından yararlanabilmek için #benimtercihimturuncu deme zamanı! 
#OnceSen  #tercih #yks21",,,7,21,"['benimtercihimturuncu', 'OnceSen', 'tercih', 'yks21']"
Cyprus Science University,@csuedutr,2021-08-11T12:25:26.000Z,"#DGS 'de tüm öğrencilere başarılar dileriz.

#tercih #OnceSen  #benimtercihimturuncu",,,5,8,"['DGS', 'tercih', 'OnceSen', 'benimtercihimturuncu']"
hüseyin aslantürk,@zarftumleci,2021-08-10T14:17:48.000Z,"#yks2021 #tercih baraj puanları düşürüldü!.
Baraj puanı,
TYT’de 140;
AYT ve YDT'de 170 olarak uygulanacaktır.",,1,1,4,"['yks2021', 'tercih']"
Cahit Çıkmaz,@cahitcikmaz,2021-08-06T14:52:56.000Z,"#Şehitkamil Ülkü Ocakları’nın Üniversite adaylarına yönelik açmış olduğu  “#Tercih #Danışmanlığı” stand’ını ziyaret ettik.

Şehitkamil Ülkü Ocakları Başkanımız 
@RhmiYesilcinar
 ve değerli yönetimine bu değerli faaliyetlerinden dolayı teşekkür ederim.

#VarolsunÜlküOcakları..",Gaziantep Ülkü Ocakları and İbrahim Hakan DEMİRKAN,,10,68,"['Şehitkamil', 'Tercih', 'Danışmanlığı', 'VarolsunÜlküOcakları']"
MAÜ Edebiyat Fakültesi,@ArtukluEdbFklts,2021-08-06T04:44:49.000Z,"Kadim ve zengin bir kültürle şekillenen Mardin'de, güçlü bir #tarih bölümünde okumaya ne dersiniz? Fakültemizin çekirdeğini oluşturan bölümlerden 
@MauTarih
, yeni öğrencilerini bekliyor.
#tercihimartuklu #tercih
#tercih2021","MAÜ TARİH BÖLÜMÜ
@MauTarih
 · Aug 5
Her adımında tarih solunan Mardin’de,
“Tarih Bölümü”nde okumak bir ayrıcalıktır! 

Birbirinden değerli öğretim elemanlarımız ve öğrenci merkezli evrensel perspektifimiz ile siz değerli öğrencileri “Tarih Bölümü”ailesinin bir parçası olmaya davet ediyoruz.
#yks2021 #ArtukluTarih",,2,22,"['tarih', 'tercihimartuklu', 'tercih', 'tercih2021']"
İzmit M.Akif Ersoy AİHL,@izmitmakifihl,2021-07-06T19:02:17.000Z,"LİSE TERCİHLERİ DEVAM EDİYOR
Sadece başarıyı değil, aynı zamanda öğrencinizin mutlu olacağı bir yuvayı da tercih edin. 
#lgs2021 #tercih",Nazif Yılmaz and 9 others,,3,9,"['lgs2021', 'tercih']"
İzmir Kâtip Çelebi Üniversitesi,@izmkatipcelebi,2021-08-11T06:49:40.000Z,"Başlıyoruz…
#İKÇÜ 
#yks2021tercih 
#tercih2021 
#tercihinikcu
#Tercih 
#TercihindeDikkatliOl",,,3,21,"['İKÇÜ', 'yks2021tercih', 'tercih2021', 'tercihinikcu', 'Tercih', 'TercihindeDikkatliOl']"
Türkiye İlahiyatlar Derneği,@TUIDernegi,2021-08-06T12:45:02.000Z,#üniveriste #tercih #rehber #tercihrehberliği #türkiyeilahiyatlarderneği #tüid #islam #islamic #turkiye,,,2,15,"['üniveriste', 'tercih', 'rehber', 'tercihrehberliği', 'türkiyeilahiyatlarderneği', 'tüid', 'islam', 'islamic', 'turkiye']"
ASBÜ,@ASBUedu,2021-08-06T19:20:04.000Z,"ASBÜ Tanıtım Günleri hafta sonu da devam ediyor.

#ASBÜ #tercihimASBÜ #ASBÜdeyim #yks #yks2021 #tercih #üniversite #sosyalbilimler #lisans #eğitim #education",,,8,19,"['ASBÜ', 'tercihimASBÜ', 'ASBÜdeyim', 'yks', 'yks2021', 'tercih', 'üniversite', 'sosyalbilimler', 'lisans', 'eğitim', 'education']"
Univclub,@univclubtr,2021-08-06T20:37:56.000Z,"""Bir Bilene Sor"" serimizin fakülte tanıtımında ilkini Dr. Can Ulusoy'la gerçekleştirdik. İktisadi ve İdari Bilimler Fakültesi Hakkında Bilinmesi Gerekenler'den bahsederek bilgi ve tavsiye aktarımlarında bulunan konuğumuz Can Ulusoy hocamıza teşekkür ederiz. #tercih #yks",,,1,3,"['tercih', 'yks']"
Cyprus Science University,@csuedutr,2021-08-08T11:01:57.000Z,Tercihini Turuncudan yana kullanman için birçok sebebin var! #OnceSen #benimtercihimturuncu #yks21 #tercih #pandemi #covid19,,,8,13,"['OnceSen', 'benimtercihimturuncu', 'yks21', 'tercih', 'pandemi', 'covid19']"
A.Ü Öğrenci Konseyi,@AUKONSEY2019,2021-08-05T17:53:15.000Z,"Ankara, Ankara; güzel Ankara!
#tercih2021 #tercih #üniversite #yks2021 #ankara #AnkaraÜniversitesindeSıraSende
@AnkaraUni
 
@necdetunuvar",,,4,29,"['tercih2021', 'tercih', 'üniversite', 'yks2021', 'ankara', 'AnkaraÜniversitesindeSıraSende']"
