username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Melih Gölek,@GolekMelih,2020-08-08T22:38:02.000Z,"some pharmacy problems
#eczacılık #eczacı #tercih #yks2020 #tercihdönemi",,,,12,"['eczacılık', 'eczacı', 'tercih', 'yks2020', 'tercihdönemi']"
Bebar Bilim Topluluğu,@bbtopluluk,2021-08-09T12:04:12.000Z,9-15 Ağustos haftası etkinliklerimiz devam ediyor. Katılmak için profildeki bağlantıdan bize dahil olabilirsiniz. #tercihdönemi,,,2,13,['tercihdönemi']
Kocaeli Üniversitesi,@kou92official,2021-08-13T13:51:51.000Z,"Çevrimiçi tercih günlerimiz sona ermiştir. 
Tercih döneminizde detaylı bilgilendirmeye;
 http://kocaeli.edu.tr/tanitim/ sayfamızdan ulaşabilirsiniz..
#yks2021tercih #tercihdönemi #kou",,,,8,"['yks2021tercih', 'tercihdönemi', 'kou']"
İÜHF 2021,@2021iuhf,2020-08-05T18:33:25.000Z,Yine bir güz döneminde Beyazıt kampüsünde karlı  bir günde buluşmak dileğiyle... #istanbulhukuk #istanbulüniversitesi #iühf #yks2020 #sonuç2020 #ösym #tercih2020 #tercihdönemi,,,10,96,"['istanbulhukuk', 'istanbulüniversitesi', 'iühf', 'yks2020', 'sonuç2020', 'ösym', 'tercih2020', 'tercihdönemi']"
Univclub,@univclubtr,2021-08-11T15:49:13.000Z," BİR BİLENE SOR: ""Hukuk Fakültesi Hakkında Bilinmesi Gerekenler""

Nil Merve Çelikbaş Şeker (İstanbul Barosu Avukat)

 12 Ağustos 20.00

Etkinlik Instagram Canlı Yayın üzerinden canlı olarak gerçekleşecektir.
#yks2021 #tercihrehberligi #tercih2021 #tercihdönemi",,,3,3,"['yks2021', 'tercihrehberligi', 'tercih2021', 'tercihdönemi']"
Bil Trabzon,@bil_trabzon,2020-08-07T10:41:00.000Z,Tercih danışma merkezimizde rehber öğretmenlerimiz öğrencilerimizin tercihlerini yapmaya devam ediyor. #yks2020 #tercihdönemi #bilkoleji #bilkolejitrabzon,,,7,15,"['yks2020', 'tercihdönemi', 'bilkoleji', 'bilkolejitrabzon']"
Kapadokya Üniversitesi,@KapadokyaUniv,2019-07-17T13:11:39.000Z,"Sonuçlar açıklandı. Tercih günlerinde yanındayız

#ÖSYM #YKS2019 #TercihGünleri #TercihDönemi  #Nevşehir #Ürgüp #Mustafapaşa #Üniversite",,1,7,12,"['ÖSYM', 'YKS2019', 'TercihGünleri', 'TercihDönemi', 'Nevşehir', 'Ürgüp', 'Mustafapaşa', 'Üniversite']"
Hacettepe İşletme Topluluğu,@hacettepehit,2020-08-26T12:30:13.000Z,"Tercih sonuçları açıklandı, aramıza hoşgeldin Hacettepeli! Tüm öğrencileri tebrik ediyor, sizleri aramızda görmek için sabırsızlanıyoruz  #hacettepeüniversitesi #yks2020 #tercihdönemi",,,6,24,"['hacettepeüniversitesi', 'yks2020', 'tercihdönemi']"
hayat tercihtir,@hayattercihtir,2021-08-10T10:22:59.000Z,"Prof. Dr. Çerezci: “Her yıl eğitim programlarımızı yeniliyoruz.”
@osmancerezci
 , Hayat Tercihtir'de değerlendirmelerde bulundu. 
  
@tv100
 @uskudaruni
 #hayattercihtir 
 #yks2021  #tercihdönemi  #doğrutercih #kariyer #üsküdarüniversitesi #meslekseçimi #gerçekbirüniversite",,,2,12,"['hayattercihtir', 'yks2021', 'tercihdönemi', 'doğrutercih', 'kariyer', 'üsküdarüniversitesi', 'meslekseçimi', 'gerçekbirüniversite']"
Yeditepe Uygulamalı Bilimler,@YeditepeUB,2021-07-30T07:05:06.000Z,"Tercih döneminde tüm aday ögrencilerimizi kampüs ve online tanıtımlarımıza bekliyoruz 

#yeditepeüniversitesi
#tercihdönemi
#tercih2021",,,2,14,"['yeditepeüniversitesi', 'tercihdönemi', 'tercih2021']"
