username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Gezer,@Gezer_Ayakkabi,2021-08-07T18:22:34.000Z,"İnsanın bütün ağırlığının baskısına gün boyu maruz kalan ve dış etkenlerle fazlaca etkileşime giren ayakların sağlığı ve bakımı insan sağlığı için büyük önem taşımaktadır.

#AyakBakımı #SağlıklıAyaklar #gezer #Sağlık #Terlik #Ayakkabı  #saglikliyasam  #GezersenBilirsin",,,2,4,"['AyakBakımı', 'SağlıklıAyaklar', 'gezer', 'Sağlık', 'Terlik', 'Ayakkabı', 'saglikliyasam', 'GezersenBilirsin']"
OliviumOutletCenter,@OliviumOutlet,2021-08-12T07:40:03.000Z,Işıltılı hissetmek herkesi mutlu eder! Yaz boyunca ayağınızdan çıkarmayacağınız konfordaki terlikler Deichmann'da. #varsayoksaolivium #deichmann #terlik,,,,,"['varsayoksaolivium', 'deichmann', 'terlik']"
Gezer,@Gezer_Ayakkabi,2021-08-12T12:58:28.000Z,"Ürün Kodu: GT6YTE.13271.00

Adımlarınız Gezer'le artık daha sağlam!

#gezer #terlik #ayakkabı #yerli #milli #istanbul #kaydırmaz #kaymaz #nonslip",,,,1,"['gezer', 'terlik', 'ayakkabı', 'yerli', 'milli', 'istanbul', 'kaydırmaz', 'kaymaz', 'nonslip']"
Polaris,@PolarisTurkiye,2021-08-08T16:27:28.000Z,"Arkadaşlarınızla birlikte seçebileceğiniz birçok trend modeli http://flo.com.tr/polaris’ten keşfedebilirsiniz.

Beyaz Kadın Terlik Kemerli
101029577
https://bit.ly/3xsgNzn

Beyaz Kadın Terlik
101025425
https://bit.ly/3fL24tr

#polaris #moda #terlik #kadın",,,,1,"['polaris', 'moda', 'terlik', 'kadın']"
Gezer,@Gezer_Ayakkabi,2021-08-05T09:38:58.000Z,"Sağlıklı adımlar için ayak bakımınıza özen gösterin!

#AyakBakımı #SağlıklıAyaklar #gezer #hijyen #Sağlık #Terlik #SağlıklıAdımlar #Ayakkabı #temizlik #footcare #health #saglikliyasam #GezersenBilirsin",,,,,"['AyakBakımı', 'SağlıklıAyaklar', 'gezer', 'hijyen', 'Sağlık', 'Terlik', 'SağlıklıAdımlar', 'Ayakkabı', 'temizlik', 'footcare', 'health', 'saglikliyasam', 'GezersenBilirsin']"
gamzeliko~,@gmzPrenseSi,2021-08-06T23:02:22.000Z,Bugün ben saçmalarken #barmakarasıterlik #basketboltopuylafutbol #canyakançorap #basketbol #futbol #terlik  sondaki edepli duruşuma ,,,,1,"['barmakarasıterlik', 'basketboltopuylafutbol', 'canyakançorap', 'basketbol', 'futbol', 'terlik']"
Gezer,@Gezer_Ayakkabi,2021-08-06T12:10:01.000Z,"Ürün Kodu: GT5YFM.06603.00

Çocuklarımızın rahatlığı için Islak Zemin Terlikleri

#gezer #terlik #ayakkabı #çocukmodası #çocukterliği #kids #summer #yaz #ıslakzemin #yerli #milli #istanbul",,,,,"['gezer', 'terlik', 'ayakkabı', 'çocukmodası', 'çocukterliği', 'kids', 'summer', 'yaz', 'ıslakzemin', 'yerli', 'milli', 'istanbul']"
butigocom,@butigocom,2021-08-08T16:41:41.000Z,"Dinamik duruşunu destekleyen topuklu terlikler yaz boyunca seninle.

Model: LENORE 1FX
Fiyat: 83.99 TL

Model: MAGGİE 1FX
Fiyat: 63.99 TL

#butigo #butigostili #terlik #moda #tarz #BenimModamO",,,,,"['butigo', 'butigostili', 'terlik', 'moda', 'tarz', 'BenimModamO']"
Gezer,@Gezer_Ayakkabi,2021-08-11T09:27:21.000Z,"Ürün Kodu: GT1YMM.04768.00

Birinden Şık ve Rahat Sabo Terlik Modelleri GEZER'de!

#gezer #terlik #ayakkabı #sabo #yerli #milli #medikal #hastane #istanbul",,,1,3,"['gezer', 'terlik', 'ayakkabı', 'sabo', 'yerli', 'milli', 'medikal', 'hastane', 'istanbul']"
butigocom,@butigocom,2021-08-12T11:43:39.000Z,"Terliklere cool bir tavır katan detaylar ve siyahın asi duruşuyla bu sezon güçlü kombinlere hazırsın.

Model: 21SWBAG1026
Fiyat: 109.99 TL

Model: CHAD 1FX
Fiyat: 89.99 TL

#butigo #butigostili #terlik #çanta #moda #tarz #BenimModamO",,,,,"['butigo', 'butigostili', 'terlik', 'çanta', 'moda', 'tarz', 'BenimModamO']"
Gezer,@Gezer_Ayakkabi,2021-08-09T11:43:11.000Z,"Ürün Kodu: GT5YZM.13100.00

ŞIKLIĞINIZI TAMAMLAYACAK MODELLER VE ZENGİN SEÇENEKLER YAZ KOLEKSİYONUMUZDA!

#gezer #terlik #ayakkabı #hafif #esnek #rahat #comfort #flexible #yaz #summer #trendyol #kadınmoda #alışveriş #yerli #milli #istanbul",,,,,"['gezer', 'terlik', 'ayakkabı', 'hafif', 'esnek', 'rahat', 'comfort', 'flexible', 'yaz', 'summer', 'trendyol', 'kadınmoda', 'alışveriş', 'yerli', 'milli', 'istanbul']"
Etichet Ayakkabı,@etichetmagazasi,2021-08-09T07:47:17.000Z,"Özel günlerde Kriste Bell rahatlığı ..

Model kodu: B6-2235

#etichet #sandalet #terlik #kadınayakkabı #kadınterlik #ayakkabı #onlineshopping 
#kristebell #kadınsandalet",,,,,"['etichet', 'sandalet', 'terlik', 'kadınayakkabı', 'kadınterlik', 'ayakkabı', 'onlineshopping', 'kristebell', 'kadınsandalet']"
