username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Kimliksiz,@kimliksiz61x,2021-08-07T18:37:07.000Z,Again  #trabzon ,,,,2,['trabzon']
Oman Air,@omanair,2021-08-11T17:19:38.000Z,"Discover the best of #Turkey with #OmanAirHolidays. Take advantage of our incredible holiday packages to fabulous #Trabzon starting from just 299 OMR* pp, inclusive of air tickets, accommodation and so much more! Book now on http://holiday.omanair.com",,1,3,24,"['Turkey', 'OmanAirHolidays', 'Trabzon']"
Uzungöl,@uzungol,2021-08-08T07:29:31.000Z,: alexandwhite #uzungöl #uzungol #trabzon #turkey #turkish,,,1,4,"['uzungöl', 'uzungol', 'trabzon', 'turkey', 'turkish']"
AllQuakes - EMSC,@EMSC,2021-08-12T01:28:12.000Z,#Earthquake (#deprem) M2.6 strikes 22 km S of #Trabzon (#Turkey) 12 min ago. More info: https://emsc-csem.org/Earthquake/earthquake.php?id=1022323…,,,1,,"['Earthquake', 'deprem', 'Trabzon', 'Turkey']"
Ömer,@omrrr80,2021-08-08T12:21:27.000Z,Yesillenduk  #karadeniz #trabzon,,,,2,"['karadeniz', 'trabzon']"
Selen Gözcü,@selen_gozcu,2021-08-05T21:59:01.000Z,êſčòrțſ    Every accomplishment starts with the decision to try. #trabzon #ortahisar,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['trabzon', 'ortahisar']"
Sadiq Al-lawati,@SadiqMehdi,2021-08-12T21:00:55.000Z,"Part 3 #trabzon city walk 
#turkey #summertime #vacation 
26th July 2021 @ Trabzon Meydan https://instagram.com/p/CSfRmgsK9Ce/?utm_medium=twitter…",,,,,"['trabzon', 'turkey', 'summertime', 'vacation']"
mavi tasarım - değer katar...,@maviitasarim,2021-08-08T10:22:36.000Z,"Maske Tak / Wear a mask

#covit19
#masketak
#wearamask 
#elleriniyıka
#washyourhands 
#istanbul
#gaziantep
#trabzon
#arhavi
#rize",,,1,2,"['covit19', 'masketak', 'wearamask', 'elleriniyıka', 'washyourhands', 'istanbul', 'gaziantep', 'trabzon', 'arhavi', 'rize']"
Oya,@Oya79212750,2021-08-10T22:07:40.000Z,"êſčòrțſ    Men never remember, but women never forget. #trabzon #ortahisar","EDA
@RahimekzKoyuncu
 · Aug 10",,1,1,"['trabzon', 'ortahisar']"
#Justice™,@OrhanOflu,2021-08-10T15:31:06.000Z,"Welcome To #Trabzon 
@Trabzonspor
 Dear 
@Cornelius29","Trabzonspor
@Trabzonspor
 · Aug 10
Trabzonsporumuza hoş geldin Andreas Cornelius!",,,2,['Trabzon']
طيران الجزيرة,@JazeeraAirways,2021-08-08T17:06:00.000Z,"4 Beautiful Cities. 1 Amazing Country.
#FlyNow to #Istanbul, #Trabzon, #Antalya or #Bodrum with our vaccinated crew to discover #Turkey! Plan your trip and book tickets via http://jazeeraairways.com or call 177.

#JazeeraAirways #FreedomToFly #LetsFlyAgain",,,,3,"['FlyNow', 'Istanbul', 'Trabzon', 'Antalya', 'Bodrum', 'Turkey', 'JazeeraAirways', 'FreedomToFly', 'LetsFlyAgain']"
Fast Rent Wi-Fi,@FastRentWifii,2021-08-08T13:31:33.000Z,Unlimited Hotspot Wi-Fi #İstanbul #trabzon #bursa #Turkey,,,,,"['İstanbul', 'trabzon', 'bursa', 'Turkey']"
TheFootballReporter,@ConvoFoot,2021-08-12T13:41:15.000Z,OFFICIAL: Trabzonspor have signed striker Andreas Cornelius from Parma for €5.1m. #turkishsuperlig #europaleague #conferenceleague #trabzon #trabzonspor #cornelius #theinsidefootballreporter https://instagram.com/p/CSefSZqojI5/?utm_medium=twitter…,,,,,"['turkishsuperlig', 'europaleague', 'conferenceleague', 'trabzon', 'trabzonspor', 'cornelius', 'theinsidefootballreporter']"
bordomavinews,@bordomavinews,2021-08-10T16:41:03.000Z,"From the north, to the north!

Welcome Cornelius  

Cornelius #Trabzonspor #trabzon #Transfers #Transfer
#haber #sondakika #superlig #tff #sampiyon","From 
Trabzonspor",,,1,"['Trabzonspor', 'trabzon', 'Transfers', 'Transfer', 'haber', 'sondakika', 'superlig', 'tff', 'sampiyon']"
Nermin Elmas,@ElmasNermin,2021-08-13T10:23:43.000Z,"#Uzungöl den Selamlar
#Trabzon ",,1,,45,"['Uzungöl', 'Trabzon']"
Okan Özer,@okanozeerr,2021-08-08T19:21:26.000Z,Bundan sonra bize her yer #Trabzon ,TÜGVA Trabzon and 2 others,,10,92,['Trabzon']
Şirzad Sümer,@sirzad_sumer,2021-08-11T20:04:30.000Z,"... insan yalnızken katettiği yollardan
ne zaman geri dönse, yeni bir haber
getirir.

#trabzon",,,3,73,['trabzon']
Erol Kaya,@erolkaya_ist,2021-08-10T15:11:58.000Z,"Baba ocağı burası.
Koşarak geçtiğimiz yerler, yollar 

Mekan aynı mekan, 
Yol aynı yol

Farklı olan adımlar...

#Trabzon",,1,9,89,['Trabzon']
𝐸𝓁𝒾𝒻,@elifkrlnks1,2021-08-06T11:41:08.000Z,Çok güzelsin #trabzon ,,,,10,['trabzon']
Behzat Uygur,@behzatuygur,2021-08-12T14:14:18.000Z,Karadeniz turnesi…Trabzon gösterimize giderken… #zigana #trabzon #heygidigünler,,37,19,1.4K,"['zigana', 'trabzon', 'heygidigünler']"
Eyüp Özkır,@ozey_61,2021-08-07T17:59:16.000Z,#Trabzon #GünBatımı #Manzarake,,,,12,"['Trabzon', 'GünBatımı', 'Manzarake']"
mavi,@mavidev,2021-08-13T13:45:27.000Z,#Trabzon ‘un en kıymetlilerinden olan zât-ı muhterem ağaçlarda kendini göstermeye başlamıştır.Afiyet olsun ,,,,1,['Trabzon']
Ayşegül,@ayyykyy_a,2021-08-07T19:19:11.000Z, #trabzon,,,,3,['trabzon']
Lokman Ertürk,@Lokman_Erturk,2021-08-12T15:30:31.000Z,"Fatih Sultan Mehmet’in fethettiği, Yavuz Sultan Selim’in yönettiği, Kanuni Sultan Süleyman’ın doğduğu Şehzadeler Şehri Marka Kent #Trabzon",Mehmet Özhaseki and 2 others,9,3,63,['Trabzon']
Ahmet Uzun,@ahmetuzun61,2021-08-12T14:29:48.000Z,"Trabzon Emniyet Müdürümüz Sayın Kenan Aydoğan'a makamında hayırlı olsun ziyaretinde bulunduk.

Yakın ilgi ve alakasından dolayı Sayın Müdürümüze ve kendisinin nezdinde güvenliğimiz için gece gündüz demeden çalışan tüm emniyet teşkilatımıza tesekkür ediyorum. 

#trabzon
#egm",,,3,12,"['trabzon', 'egm']"
emre yavuz,@emre611961,2021-08-07T07:28:43.000Z,Tebrikler O BİR #trabzon lu #türkiye li ,,,2,2,"['trabzon', 'türkiye']"
Ayşe Özyurt,@ayseozyurrt,2021-08-12T11:43:37.000Z,Konum ; #Trabzon,,,,3,['Trabzon']
Nermin Elmas,@ElmasNermin,2021-08-12T15:46:04.000Z,"Çünkü gezmek en sevdiğim
#Sümela 
 #trabzon ",,7,1,103,"['Sümela', 'trabzon']"
Muallim,@lalettayinnbiri,2021-08-09T13:58:38.000Z,"Hadi hadi barıştık tamam 
#trabzon",,,,10,['trabzon']
ERKAN AKYAZI,@erkan_akyazi,2021-08-10T05:59:17.000Z,"Günaydın... 
Hayırlı sabahlar.
#Seragölü.
#Yıldızlı #Trabzon",,5,3,50,"['Seragölü', 'Yıldızlı', 'Trabzon']"
Mücahit Yanılmaz,@23YANILMAZ,2021-08-12T13:14:53.000Z,"#Trabzon’dayız…
Trabzon İlçe Belediye Başkanlarımız ile çalışmalar hakkında genel değerlendirmelerde bulunduk.
Aşkla çalışan bütün Belediye Başkanlarımızı tebrik ediyorum.",,1,14,75,['Trabzon']
Emine yavuz,@_emine_yavuz,2021-08-12T20:45:12.000Z,"#Trabzon’dayız…
Trabzon İlçe Belediye Başkanlarımız ile çalışmalar hakkında genel değerlendirmelerde bulunduk.
Aşkla çalışan bütün Belediye Başkanlarımızı tebrik ediyorum.",,,,2,['Trabzon']
Olca,@AkbayOlca,2021-08-12T15:12:28.000Z,"Haran dönebilir senden geriye kalan.
#trabzon",,,,2,['trabzon']
Vedat Selçuk,@vedatslck,2021-08-10T10:57:49.000Z,"#trabzon #çaykara #karaçam #şeyhiyaylası 
2021Ağustos",,,2,39,"['trabzon', 'çaykara', 'karaçam', 'şeyhiyaylası']"
Zeynep,@zezey086,2021-08-12T09:26:44.000Z,Söz verdiğim gibi #Trabzon #Kitap,,1,,7,"['Trabzon', 'Kitap']"
Fatih Cakmak,@Fatih_cakmak61,2021-08-10T16:52:37.000Z,"@Trabzonspor
 #Trabzonspor #trabzon",Trabzonspor,,,1,"['Trabzonspor', 'trabzon']"
Fatoş,@Efruze6161,2021-08-10T21:52:43.000Z,"#Trabzon’un kahraman evladı
İyi ki vardın Eren
Mekanın Cennet olsun

#İyiKiVarsınEren",,,36,72,"['Trabzon', 'İyiKiVarsınEren']"
Vehbi Koç,@vehbikoctr,2021-08-11T09:02:41.000Z,"Kahramanlar Can Verir, Yurdu Yaşatmak İçin! 
 Karadeniz gibi hırçın
#Trabzon'un yiğit evladı, iyi-kimiz Eren'imiz #iyikivarsınEren.",,,4,43,"['Trabzon', 'iyikivarsınEren']"
