username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Engin Dikmen,@gezgintrk,2021-08-06T18:01:28.000Z,"Batı Almanya Teknik Üniversitesi Şehircilik Kürsüsü Prof. Dr. Högg İstanbul'a Önce Metro Lazımdır. 

#1956 #İstanbul #İstanbulTrafiği #Trafik #TrafikSorunu",,,2,3,"['1956', 'İstanbul', 'İstanbulTrafiği', 'Trafik', 'TrafikSorunu']"
Orhan SARIBAL,@orhansaribalchp,2021-08-08T10:26:34.000Z,"Çok acı!
İki gün önce Soma'da 9 can kaybetmiştik, bugün Balıkesir'de 15 can kaybettik.
Yaşamını yitiren vatandaşlarımızın yakınlarına sabır ve başsağlığı, yaralılara acil şifalar diliyorum.
Ama bu böyle olmamalı.
İnsan hayatını hiçe sayan #trafik düzeni mutlaka değiştirilmeli.",,1,4,28,['trafik']
İstanbul Emniyet Müdürlüğü,@istanbul_EGM,2021-08-09T14:32:27.000Z,"Trafik Denetleme Şube Müdürlüğümüzce; 
2-8 Ağustos 2021 tarihleri arasında gerçekleştirilen trafik uygulamalarında 

#istanbul #trafik #trafikdenetleme",,2,3,49,"['istanbul', 'trafik', 'trafikdenetleme']"
İSBAK AŞ,@isbakas,2021-08-09T08:00:16.000Z,"İSBAK olarak, 29.929 trafik lambamız ile İstanbul'da kayıtlı 4.520.493 aracın trafikte güvenli geçişini sağlıyoruz. #trafik #trafiksinyalizasyon #emniyet #trafiklambası ",,,3,10,"['trafik', 'trafiksinyalizasyon', 'emniyet', 'trafiklambası']"
Abdurrahman ASLAN,@a_aslan_04,2021-08-08T07:25:19.000Z,"#Balıkesir'de meydana gelen #Trafik kazasında hayatını kaybeden 14 vatandaşımıza Allah'tan rahmet; yaralılara acil şifalar, yakınlarına başsağlığı diliyorum.

Rabbim ülkemizi   her türlü afet, felaket ve kazalardan muhafaza eylesin.",,,8,25,"['Balıkesir', 'Trafik']"
Radyo Trafik İstanbul 104.2,@radyotrafik,2021-08-13T13:00:02.000Z,"TRAFİK RAPORU-13.08.2021

Saat 16.00-20.00 arasında İstanbul trafiğinde yaşanan tüm gelişmeleri bu ileti altında yayınlıyoruz.

Siz de yol bilgisi, soru ve görüşlerinizi gönderin paylaşalım, radyodan duyuralım. 

#Trafik #İstanbul #Cuma",,11,,1,"['Trafik', 'İstanbul', 'Cuma']"
Paganist,@paganthegreen,2021-08-12T17:10:57.000Z,#trafik te #şiir,,,,1,"['trafik', 'şiir']"
Suomen poliisi,@SuomenPoliisi,2021-08-06T07:47:50.000Z,"Skolarna börjar, vi övervakar. Det är vi alla som tillsammans säkrar barnens väg till skolan. https://poliisi.fi/sv/-/skolorna-borjar-polisen-riktar-overvakningen-till-omraden-i-narheten-av-skolor…
#polisen #trafik","Skolorna börjar – polisen riktar övervakningen till områden i närheten av skolor - Polisen
poliisi.fi",1,2,12,"['polisen', 'trafik']"
kerim fecir (felseFeci-R),@kfecir,2021-08-06T06:05:02.000Z,"#06Ağustos
#Kaza  1994
#Trafik #MedyaHaber 
#Cuma 
#HandeŞefkatMumcu 
Bir 6 Ağustos sabahı öğrendim ve 27 senedir en uzun gündür bana. Saygıyla, sevgiyle, şükranla. ",,,,,"['06Ağustos', 'Kaza', 'Trafik', 'MedyaHaber', 'Cuma', 'HandeŞefkatMumcu']"
kazasız kul olmaz,@zahretin,2021-08-13T11:03:04.000Z,Trafikte. Bütün canlılara dikkat çekmek için çok anlamlı çalışma  #trafik #trafikazalar #haber #sondakika #kurallar #marmaris,,,1,2,"['trafik', 'trafikazalar', 'haber', 'sondakika', 'kurallar', 'marmaris']"
