username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Dipak Rupapara,@rupapara_dipak,2021-06-27T17:38:25.000Z,The Divine beauty of Subramanya Swamy Mandir (Karnataka)#turizm,,,,1,['turizm']
Lulu Biswal,@lulu_biswal,2021-08-10T06:51:37.000Z,Hope you all like this #turizm #odishaturist,"0:14
4 views",,,1,"['turizm', 'odishaturist']"
Ebahar59,@ebahar59,2021-08-02T08:32:11.000Z,"Yetmez. #Saglik , #adalet , #turizm, 
#Meb 
 #PakdemirliİSTİFA",,,,,"['Saglik', 'adalet', 'turizm', 'Meb', 'PakdemirliİSTİFA']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
Anavarza Arkeolojisi,@anavarz_arkeolj,2021-07-08T10:52:16.000Z,"Hello World ! 

#anavarzaantikkenti #anavarzakalesi #adana #tarih #turizm #arkeoloji #antikkent  #anavarzaancientcity #anavarzacastle #tourism #archeology #ancienthistory #ancientruins #unesco",,,,,"['anavarzaantikkenti', 'anavarzakalesi', 'adana', 'tarih', 'turizm', 'arkeoloji', 'antikkent', 'anavarzaancientcity', 'anavarzacastle', 'tourism', 'archeology', 'ancienthistory', 'ancientruins', 'unesco']"
Mehmet Cevher Doğan,@mcevherdogan,2021-07-29T12:59:00.000Z,"Dünya'nın ilk Üniversitesi/Harran

#harran #university #üniversite #harranüniversitesi #Şanlıurfa #urfa #sanliurfa #turizm #travelphotography   #kadrajımdan #harranuniversitesi #harran #heranharran #urfafotoğrafevi",,,3,13,"['harran', 'university', 'üniversite', 'harranüniversitesi', 'Şanlıurfa', 'urfa', 'sanliurfa', 'turizm', 'travelphotography', 'kadrajımdan', 'harranuniversitesi', 'harran', 'heranharran', 'urfafotoğrafevi']"
Halil İbrahim Şan,@hibrahimsan,2021-06-22T12:04:15.000Z,"2021’de geçen yıla göre yüzde 100’lük artışlarla, toplam 32 milyonun üzerinde yabancı ziyaretçiyi ülkemizde ağırlamayı bekliyoruz. Geçen yıl 12,5 milyar dolar civarında olan turizm gelirimizin bu sene 22 milyar dolar bandının üzerine yükselmesi bekleniyor.

#Turizm #GüvenliTurizm",,,2,7,"['Turizm', 'GüvenliTurizm']"
Zeynep Aktaş,@zeynepxaktas,2021-08-07T09:01:55.000Z,"Aylara göre turizm geliri, ziyaretçi sayısı ve kişi başı ortalama harcama, 2019 - 2021
#turizm",,4,3,74,['turizm']
Fikir Ustası,@fikirustasii,2021-08-05T15:59:42.000Z,"Yeni Sayımız Sizlerle  
#işdünyası #işinsanları #dergi #kurum #belediye #milletvekili #hatay #işbirliği #röportaj #tanıtım #reklam  #hizmet #sektör #iletişim #sağlık #sanayi #turizm #ekonomi #reklamajansı #marka #hasiaddergisi #hasiad #siviltoplumkuruluşu 
@hataysiad",HASİAD,,1,2,"['işdünyası', 'işinsanları', 'dergi', 'kurum', 'belediye', 'milletvekili', 'hatay', 'işbirliği', 'röportaj', 'tanıtım', 'reklam', 'hizmet', 'sektör', 'iletişim', 'sağlık', 'sanayi', 'turizm', 'ekonomi', 'reklamajansı', 'marka', 'hasiaddergisi', 'hasiad', 'siviltoplumkuruluşu']"
Kadir Kaya,@kadirskaya07,2021-07-24T04:03:34.000Z,Günaydın can dostlarım Olympos dan selamlar #doğa #holiday #treehouses #Turizm #kadirs #SimdiAntalyaZamanı,,37,19,511,"['doğa', 'holiday', 'treehouses', 'Turizm', 'kadirs', 'SimdiAntalyaZamanı']"
Harran Ünv. Turizm ve Otel İşl. Yüksekokulu,@HarranTOY,2021-08-04T12:09:05.000Z,"2021 - 2022 Eğitim - Öğretim Yılında

Turizm Rehberliği Bölümü

Rekreasyon Yönetimi Bölümü

olarak sizleri #YKS tercihlerinizle

#HarranTOY ailesi ve
#Turizm sektörünün
üyesi olmaya davet ediyoruz.

Birlikte daha güçlüyüz...",Harran Üniversitesi and 6 others,,14,22,"['YKS', 'HarranTOY', 'Turizm']"
Hasan Subaşı,@Hasan_Subasi,2021-07-18T13:21:30.000Z,"İktidar oylarıyla meclisten geçen #Turizm teşvik yasa teklifinde büyük ölçüde belediyelerin turizm ile ilgili yetkileri budandı.
Turizmi teşvik demek, değerleri korumak, altyapı sorunlarını çözmek bunun içinde yerel yönetimlerin en önemli paydaş olduğu bilinciyle hareket etmektir",,3,3,29,['Turizm']
Ömer EVSEN,@evsenomer1,2021-07-24T09:02:18.000Z,"Anadolunun ilk caminin Diyabakırda olduğunu biliyor musunuz?
#Diyarbakir #UluCamii #tarih #turizm",,8,10,98,"['Diyarbakir', 'UluCamii', 'tarih', 'turizm']"
Orkhan Mammadov,@MammadovOrkh,2021-07-29T10:18:01.000Z,"İsrailin Tel-Əviv şəhərində #Azərbaycan-ın #Ticarət və #Turizm nümayəndəliklərinin fəaliyyətə başlaması hər iki ölkənin biznes ictimaiyyəti üçün yeni imkanlar açmaqla,ticarət-iqtisadi əlaqələrin və turizm sahəsində əməkdaşlığın genişlənməsinə töhfə verəcəkdir.
 ",İqtisadiyyat Nazirliyi and 6 others,,15,100,"['Azərbaycan', 'Ticarət', 'Turizm']"
Halil İbrahim Sincar,@sincar_47,2021-07-13T13:54:08.000Z,"Bölgede yerli ve yabancı ziyaretçilerin ilgi gösterdiği illerinden Mardin, salgın sonrası yıllık 2 milyon turist ağırlamayı hedefliyor
#Mardin #tarih #turizm #mührükil",,1,6,39,"['Mardin', 'tarih', 'turizm', 'mührükil']"
