username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Starlet Under Contract,@ridethepastlane,2021-08-06T00:47:08.000Z," The classic TV show, The Brady Bunch, showcased a few notable episode guest stars. Two were Davy Jones and Joe Namath #Nostalgia #TV",,2,5,35,"['Nostalgia', 'TV']"
Christina Lewinsky,@Ch_Lewinsky,2021-08-11T14:10:10.000Z,"New name, new job: 

#tv #live #happens",,19,16,599,"['tv', 'live', 'happens']"
iFFALCON,@iFFALCONIndia,2021-08-13T04:00:01.000Z,"Dwell in the rhythmic sounds with Dolby Audio in the #iFFALCON K61 #4K UHD #TV!
Explore at: http://bit.ly/ShopiFFALCONK61",,,6,161,"['iFFALCON', '4K', 'TV']"
AP Management,@AgencyAPM,2021-08-06T17:55:49.000Z,Busy as always is our fabulous May Kelly and another great self tape sent off this week for another project! #TV #SelfTape,,1,1,7,"['TV', 'SelfTape']"
Debra Leigh-Taylor,@debsleightaylor,2021-08-05T21:12:47.000Z,"#throwbackthursday 

Well it’s raining and I felt a smiley picture from a 2013 #photoshoot would be acceptable!

#actress #actor #tv #film #casting #photoshoot #actresslife #teameaglestone #eaglestonemanagement ⁦
@eaglestonemanag
⁩",,,1,9,"['throwbackthursday', 'photoshoot', 'actress', 'actor', 'tv', 'film', 'casting', 'photoshoot', 'actresslife', 'teameaglestone', 'eaglestonemanagement']"
Jessica Paul,@jessicapaul_uk,2021-08-12T11:56:24.000Z,"Today I arrive on set for a comedy TV series alongside some pretty major actors & my vision board has quite literally come to life. Never give up 
#actress #tv #AmazonPrime",,14,6,313,"['actress', 'tv', 'AmazonPrime']"
Dartini Blogs | Blogger & Writer,@DartiniBlogs,2021-08-12T01:17:02.000Z,"I would have loved a special season of The Big Bang Theory that covered the last year. 

#TheBigBangTheory #tv #tvtime #chucklorre 
@billprady",GIF,,3,6,"['TheBigBangTheory', 'tv', 'tvtime', 'chucklorre']"
Explore Beyond,@ExploreBeyond,2021-08-11T20:09:42.000Z,"When people see themselves represented on #TV, it helps validate their identity and experience.  if you support diversity on TV ",,,,2,['TV']
macs22,@22macs,2021-08-08T16:37:02.000Z,"Thank you Japan!
Next Olympic: Paris 2024
#thankyouforthelive #olympicgame #olympic #tv #感謝 #Japan #日本 #olympic2021",,,2,4,"['thankyouforthelive', 'olympicgame', 'olympic', 'tv', '感謝', 'Japan', '日本', 'olympic2021']"
AP Management,@AgencyAPM,2021-08-06T17:15:49.000Z,"An exciting Zoom meeting for our talented Ruby for a new TV Drama following her self tape . Fingers crossed for you 
@Ruby_Actor
 #TV #Childactor",,25,7,136,"['TV', 'Childactor']"
Techassist,@tcassist3,2021-08-06T02:57:21.000Z,"Looks like one more #Mi OLED Tv is coming.

Launching in China  on August 10

#Xiaomi #MITV #TV #OLED #OLEDTV",Lipton phone and 7 others,,1,6,"['Mi', 'Xiaomi', 'MITV', 'TV', 'OLED', 'OLEDTV']"
Nexus 21,@nexus21,2021-08-12T18:07:19.000Z,Add a pop-up #TV to your outdoor #kitchen and really bring the heat,,,2,1,"['TV', 'kitchen']"
The Weekly Cut,@weeklycut,2021-08-07T16:02:30.000Z,"A new #TV spot has been released for #ShangChi 

The #film releases Sept. 3 in theaters","From 
Shang-Chi",1,2,11,"['TV', 'ShangChi', 'film']"
jackmaypole,@drmaypole,2021-08-09T01:39:36.000Z,"Sharky does vintage #TV 
The Brady Bunch",,,,1,['TV']
castingkids,@castingkidsuk,2021-08-10T14:36:03.000Z,"CONGRATULATIONS
BRIEZ SIBLEY
BOOKED FOR TV

#acting #actor #castingkids #teameaglestone #director #producer #talent #tv",,,,2,"['acting', 'actor', 'castingkids', 'teameaglestone', 'director', 'producer', 'talent', 'tv']"
Tom Jones,@RealSirTomJones,2021-08-12T13:31:59.000Z,"In the summertime
#ThrowbackThursday #ThisIsTomJones #TV #Show #Sixties",,44,37,408,"['ThrowbackThursday', 'ThisIsTomJones', 'TV', 'Show', 'Sixties']"
Luke Goddard,@lukegoddardact,2021-08-12T22:26:28.000Z,"EXCITING NEWS

 2 days of filming a Viking era drama in September 

#actorslife #acting #film #Vikings
#TV #actor",GIF,5,2,28,"['actorslife', 'acting', 'film', 'Vikings', 'TV', 'actor']"
