username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
M. Şerif Durmaz,@MSerifDurmaz,2021-08-06T15:17:43.000Z,"#Tütün ekimi yapan çiftçi Salih beyi tarlasında ziyaret ettik. Yakın zamanda mahsul yapacak olan Salih bey, bu seneki mahsulden umutlu olduklarını söyledi. Allah bereketli kılsın.",,,40,116,['Tütün']
TÜTÜNCE & TÜTÜNSÜZCE,@msseydi,2021-08-10T19:01:29.000Z,"Batman'ın Sason ilçesinde tütün üretimine alternatif çilek üretimi göçü tersine çevirdi, İHA, 05.08.2021 https://youtu.be/8BVVnvXEZks 
#tütün","Batman’da Çilek Üretimi Göçü Tersine Çevirdi
Batman'ın Sason ilçesinde daha önce köylerini terk ederek geçimini sağlamak için büyük şehirlere göç eden vatandaşlar, devlet tarafından sağlanan çilek hibe ...
youtube.com",,,2,['tütün']
Menderes İlçe Tarım ve Orman Müdürlüğü,@MenderesTarim,2021-08-11T16:09:03.000Z,"İlçemizde  #sertifikalı #tütün  tohum üretimi yapan üreticilerimizle görüşüldü. Ürünler tarlada kontrol edildi.
 #DomatesGüvesi, #BatıMısırKökKurdu,
#MısırKoçanKurdu,
#ZeytinSineği ve 
#Zeuzera tuzak kontrolleri yapılmış olup popülasyon takibi gözlemlenmiştir.
#Tarımda35inİzi",İzmir Tarım and 2 others,,,8,"['sertifikalı', 'tütün', 'DomatesGüvesi', 'BatıMısırKökKurdu', 'MısırKoçanKurdu', 'ZeytinSineği', 'Zeuzera', 'Tarımda35inİzi']"
BAM,@mucadele_bam,2021-08-05T13:48:59.000Z,"Tütün ürünü kullanımının sebep olduğu sağlık, ekonomik, sosyal ve çevresel riskler göz önüne alarak bu bağımlılıktan kurtulmak ve sağlığı için bu olumlu değişimi başlatmak isteyenler,ALO 171 Sigara Bırakma Danışma Hattı'ndan destek alabilirler.#alo171 #sigara #nargile #tütün",,,,2,"['alo171', 'sigara', 'nargile', 'tütün']"
BAM,@mucadele_bam,2021-08-05T10:40:11.000Z,"Tütün kullanımı, Covid-19 ile mücadele ettiğimiz bu dönemde her zamankinden çok daha fazla tehlike içermekte ve tütün ürünü kullanımını bırakmak da her zamankinden çok daha fazla önem taşımaktadır. #Persembe #Covid_19 #coronavirus #sağlık #sigara #tütün #nargile #alkol #alo191",,,,2,"['Persembe', 'Covid_19', 'coronavirus', 'sağlık', 'sigara', 'tütün', 'nargile', 'alkol', 'alo191']"
TÜTÜNCE & TÜTÜNSÜZCE,@msseydi,2021-08-10T15:55:50.000Z,"Sözleşmeli tütün üreticileri, Aydınlık, 09.08.2021, Prof. Dr. Cengiz ÇAKIR
https://aydinlik.com.tr/koseyazisi/sozlesmeli-tutun-ureticileri-253334…
#tütün #tütünüretimi #tütünüreticisi #tütüncülük  #tütünticareti #TütünFonu #TEKEL #turkishtobacco #Türktütünü #TütünEksperleriDerneği #TarımveOrmanBakanlığı","Sözleşmeli tütün üreticileri
aydinlik.com.tr",,,,"['tütün', 'tütünüretimi', 'tütünüreticisi', 'tütüncülük', 'tütünticareti', 'TütünFonu', 'TEKEL', 'turkishtobacco', 'Türktütünü', 'TütünEksperleriDerneği', 'TarımveOrmanBakanlığı']"
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-06T07:28:14.000Z," Bilgi ve Sipariş İçin - 0542 542 7484  Numaralı Telefonlardan Ulaşabilirsiniz.

#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarmatütün #toptantutunsatis #tütün #antalyatütün #izmirt",,,,,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarmatütün', 'toptantutunsatis', 'tütün', 'antalyatütün', 'izmirt']"
SYD METAL PLASTİK,@sydtutuntr,2021-08-10T13:16:07.000Z,"Kalın, Slim ve Touch Makaronlara Göre Üretilmiştir. 

#Türkiye #Adana #SONDAKİKA #Tütün #Makaron #Filtre #tabaka #SydMetalPlastik #İstanbul #İzmir #TermikSantrali #TütünTabakası #SarmaTabaka #Sigara #tobacco #Shop #",,,2,2,"['Türkiye', 'Adana', 'SONDAKİKA', 'Tütün', 'Makaron', 'Filtre', 'tabaka', 'SydMetalPlastik', 'İstanbul', 'İzmir', 'TermikSantrali', 'TütünTabakası', 'SarmaTabaka', 'Sigara', 'tobacco', 'Shop']"
Hüseyin,@karaaslan_02,2021-08-12T18:41:16.000Z,"Tütün isteyen 
#Tütün",,,,,['Tütün']
BAM,@mucadele_bam,2021-08-10T11:13:33.000Z,"Madde kullanımına başlamada merak, en yakın arkadaşların kullanıyor olması, akran baskısı, yetişkinlerin taklit edilmesi en önemli risk faktörlerindendir. #salı #sigara #nargile #tütün #esigara #alkol #sağlık #yeşilay #sağlıkbakanlığı #COVID19 #coronavirus #bırakabilirsin",,,,1,"['salı', 'sigara', 'nargile', 'tütün', 'esigara', 'alkol', 'sağlık', 'yeşilay', 'sağlıkbakanlığı', 'COVID19', 'coronavirus', 'bırakabilirsin']"
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-09T13:01:21.000Z,"En iyi Adıyaman Tütünü ve Çelikhan Tütünü çeşitleri uygun fiyatlara Adıyaman Tütüncülük'te. Bir telefonla sipariş ver kapıda kolay öde. 
 3 Gün İçinde Adrese Teslim
 Kapıda Ödeme
 0542 542 7484
 http://adiyamantutunu4.com
#tütün #adıyamantütünü #çelikhantütünü",,,1,1,"['tütün', 'adıyamantütünü', 'çelikhantütünü']"
BAM,@mucadele_bam,2021-08-10T13:03:37.000Z,Sigarayı bırakarak oluşabilecek tehlikelerin önüne geçebilir ve çevreye verdiği zararları engelleyebilirsiniz. #sigara #tütün #nargile #esigara #alkol #çevre #izmarit #salı #yeşilay #sğlık #sağlıkbakanlığı #COVID #Covid_19 #bırakabilirsin #başarabilirisin,,,,,"['sigara', 'tütün', 'nargile', 'esigara', 'alkol', 'çevre', 'izmarit', 'salı', 'yeşilay', 'sğlık', 'sağlıkbakanlığı', 'COVID', 'Covid_19', 'bırakabilirsin', 'başarabilirisin']"
BAM,@mucadele_bam,2021-08-09T08:11:33.000Z,"Araştırmalar, koronavirüs testi pozitiv çıkan kişiler arasında e-sigara kullananların sayısının, kullanmayanlara oranla beş kat daha fazla olduğunu ortaya koydu. #sigara #pazartesi #tütün #nikotin #nargile #esigara #alkol #alo171 #alo191 #yeşilay #sağlık #Covid_19 #coronavirus",,,,2,"['sigara', 'pazartesi', 'tütün', 'nikotin', 'nargile', 'esigara', 'alkol', 'alo171', 'alo191', 'yeşilay', 'sağlık', 'Covid_19', 'coronavirus']"
Hüseyn,@Hseyn78756799,2021-08-11T07:02:23.000Z,#TÜTÜN DEĞİLİZ AMA BİZİMDE #SARILMAYA İHTİYACIMIZ VAR...!!,,,,,"['TÜTÜN', 'SARILMAYA']"
Ahmet Gültekin,@agultekin44,2021-08-07T19:59:00.000Z,Tütün üreticileri tepkili #Tütün  #Malatya https://malatyahabermerkezi.com/haber/tutun-ureticileri-tepkili-63088… @https://twitter.com/malatyahab aracılığıyla,"Tütün üreticileri tepkili
Büyük şirketlerle baş edemeyeceklerini söyleyen üreticiler tepkili.Doğanşehir’deki tütün üreticileri geçtiğimiz günlerde yürürlüğe giren ve tepkiler üzerine 6 ay ertelenen tütün yasasıyla ilgili...
malatyahabermerkezi.com",,,,"['Tütün', 'Malatya']"
TÜTÜNCE & TÜTÜNSÜZCE,@msseydi,2021-08-12T19:35:33.000Z,"Tütün yaprakları kurutulurken... Hatay-Yayladağı, 2021, Meriç AKTAR
https://instagram.com/p/CScPWulqAFo/?utm_source=ig_web_copy_link…
@mericaktar
 #tütün #tütüncülük #tütünüretimi #Hatay",,,,,"['tütün', 'tütüncülük', 'tütünüretimi', 'Hatay']"
Adıyaman Tütünü Çelikhan Tütünü,@Adiyaman_Tutunu,2021-08-06T13:08:52.000Z," Bilgi ve Sipariş İçin -  0(532) 335 68 02  Numaralı Telefonlardan Ulaşabilirsiniz.
#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarmatütün #toptantutunsatis #tütün #antalyatütün",,,,2,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarmatütün', 'toptantutunsatis', 'tütün', 'antalyatütün']"
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-07T19:06:56.000Z,"Adıyaman Tütünü toptan ve perakende satışı 2005 tekel tütünü instark tütünü  0542 542 7484  Numaralı Telefonlardan Ulaşabilirsiniz.
#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarma",,,,1,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarma']"
MalatyaHaberMerkezi,@malatyahaberm,2021-08-07T22:01:40.000Z,Tütün hasadı başladı #Tütün #Malatya #Adıyaman https://malatyahabermerkezi.com/haber/tutun-hasadi-basladi-63096… @https://twitter.com/malatyahab aracılığıyla,"Tütün hasadı başladı
Doğanşehir'de tütün hasadı başladı. Doğanşehir'de toplam 12 bin 500 dönüm arazide tütün ekiliyor.
malatyahabermerkezi.com",,,,"['Tütün', 'Malatya', 'Adıyaman']"
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-09T13:01:18.000Z,"En iyi Adıyaman Tütünü ve Çelikhan Tütünü çeşitleri uygun fiyatlara

 3 Gün İçinde Adrese Teslim
 Kapıda Ödeme
 0542 542 7484
 http://adiyamantutunu4.com

#tütün #adıyamantütünü #çelikhantütünü #hafiftütün #ortaiçim #serttütün #adıyaman #çelikhan",,,,1,"['tütün', 'adıyamantütünü', 'çelikhantütünü', 'hafiftütün', 'ortaiçim', 'serttütün', 'adıyaman', 'çelikhan']"
Adiyaman tütünü tekel tütün çeşitleri,@ihsanoparlak,2021-08-08T17:42:13.000Z," Bilgi ve Sipariş İçin - 0542 542 7484  Numaralı Telefonlardan Ulaşabilirsiniz.

#tekeltutunu #tütüncü #adıyamantütünü #izmir #istanbul #ankara #bursa #çanakale #çelikhantütünü #nargile #tütün #sigara #filitre #adıyaman #sarmatütün #toptantutunsatis #tütün #antalyatütün",,,,,"['tekeltutunu', 'tütüncü', 'adıyamantütünü', 'izmir', 'istanbul', 'ankara', 'bursa', 'çanakale', 'çelikhantütünü', 'nargile', 'tütün', 'sigara', 'filitre', 'adıyaman', 'sarmatütün', 'toptantutunsatis', 'tütün', 'antalyatütün']"
