username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Mikdat Merdivenlioğlu,@MMerdivenlioglu,2021-08-13T10:46:42.000Z,#tıbbicihaz ailesi Stklarını harekete geçirmeye zorladı gibi sanki  Bu da bir şeydir,"SEİS
@trseis
 · 6h
“Tıbbi cihaz feryat figan”
Metin Demir: “Alacağımızı tahsil etmek için edep dışına mı çıkalım. Küçük işletmeler iflas eşiğinde” Haberimiz Dünya Gazetesi’nde @dunya_gazetesi @mehmetkaya",,8,31,['tıbbicihaz']
Aysun Küçüközdemir,@ayskucukozdemir,2021-08-11T18:04:56.000Z,"Dostuna yardım etmekte duyarsız kalan, düşmanının darbesi ile uyanır #tibbicihaz",,,8,49,['tibbicihaz']
gülay ünlüer,@gulayeroll,2021-08-12T08:21:20.000Z,"#tıbbicihaz #kanağlıyoruz 
@CCumed",,,13,35,"['tıbbicihaz', 'kanağlıyoruz']"
Ümit Özlale,@UmitOzlale,2021-08-13T07:45:40.000Z,"1) Ülkemizde tıbbi cihaz sektörünün pazar büyüklüğü yaklaşık 13 milyar TL. Ancak, sektördeki firmaların kamudan alacaklarının toplamı sektör temsilcilerinin belirttiğine göre 23 milyar TL!

#tıbbicihaz #tıbbicihazödemebekliyor 
@trseis
 @tumdef
 @STKSADER
 @artedernegi
 @tt_uder",,4,71,166,"['tıbbicihaz', 'tıbbicihazödemebekliyor']"
hüseyin inan sakar,@InanSakar,2021-08-12T18:27:34.000Z,#tıbbicihaz #iflasınesiginde,"Barış erpolat
@ErpolatS
 · 23h
Pandemi sürecinde ve öncesinde fedakarca koşturan tıbbicihaz geldiğimiz noktada malesef #IflasinEşiğinde",,4,9,"['tıbbicihaz', 'iflasınesiginde']"
Murat GÜRTEKİN,@Muratgurtekin1,2021-08-12T19:53:23.000Z,"Herşeye rağmen elimizi eteğimizi çekmediğimiz için varlığımızı anlamayan sayın 
@drfahrettinkoca
 ve 
@lutfielvan
 bizlerde 
@AileHekimligi
 gibi 16.08.2021 den itibaren tedariği durduralım;çünkü #tıbbicihaz    #IflasinEşiğinde",,,9,42,"['tıbbicihaz', 'IflasinEşiğinde']"
H.Semih Çetin,@semihemc2,2021-08-12T16:46:39.000Z,"Herkesten ayar yiyen #tıbbicihaz sonunda kendi STK'sından da ayar yedi. ""İcracı değil ricacıyız"" Güleyim mi ağlayayım mı bilemedim. Ha bir de şey var "" Söz verdiler, sözlerinde durmadılar"". Ufak bir iş için onlarca evrak imzalarız ama bir sektörün geleceği sözlere bırakılıyor.",,1,12,42,['tıbbicihaz']
gülay ünlüer,@gulayeroll,2021-08-12T17:11:08.000Z,Teşekkür ederim alakanız İçin #tıbbicihaz #iflasıneşiğinde,"İbrahim Akyol
@iboakyy
 · 23h
Sizin amacınız bizleri #tıbbicihaz ı iflas ettirmekmi, hangi ülkede ve sektörde 19 ay ödeme yapılmıyor. Bu vadeler Tıbbi cihazın beka meselesi oldu artık. #iflasıneşiginde 

Dostlar destek verelim. Halk sağlığı açısından önemli bir mesele.

@gulayeroll",,5,18,"['tıbbicihaz', 'iflasıneşiğinde']"
Alparslan Çalışkan,@alparslan12fb,2021-08-12T11:59:33.000Z,"STK'lardan #tıbbicihaz firmalarının birlik ve beraberlik içinde olabilmesi adına,Ankara da gösteri ve basın açıklaması yapılması için girişiminde bulunulmasıdır.  
@met_dmir
 @lemeoz
 @erkindelikanli
 @akgunonur
 @trseis
 @tumdef
 @tt_uder
 @egemedikalder
 @STKSADER
 @Massiad
 @DernegiOrder",,,8,31,['tıbbicihaz']
Murat GÜRTEKİN,@Muratgurtekin1,2021-08-13T13:07:04.000Z,"#tıbbicihaz #19aydırödemebekliyor hakkımız olan parayla gövde gösterilerinizi finanse ediyorsunuz;elbet seçme özgürlüğümüzün olduğu o gün gelecek  #IflasinEşiğinde yken bizi duymayan sizlere o günde biz sağır olacağız sandık başında 
@RTErdogan
 @drfahrettinkoca
 @fahrettinaltun",,,4,16,"['tıbbicihaz', '19aydırödemebekliyor', 'IflasinEşiğinde']"
Ümit Erol,@umiteerol,2021-08-13T06:56:20.000Z,"#tıbbicihaz ÜRETİCİSİ, İTHALATÇISI, BAYİSİ İLE BİR BÜTÜNDÜR. PİYASA KENDİNİ ŞEKİLLENDİRİR. TASARRUFUNUZU BAŞKA YERLERDE YAPIN!","Ümit Erol
@umiteerol
 · 9h
#tıbbicihaz AYAKTA DURACAKSA HEP BERABER DURACAK twitter.com/aknayildiz/sta…",,5,25,['tıbbicihaz']
ayla,@ayla22033416,2021-08-11T19:21:29.000Z,"Yunanistan da olsa #tıbbicihaz sektörünün birikmiş alacaklarını ödeyemeyen sağlık bakanıda maliye bakanıda istifa ederdi 
@cbsbb
 @lutfielvan
 @drfahrettinkoca",,2,6,36,['tıbbicihaz']
Mustafa ULUTAS,@mustafaULUTASo,2021-08-12T18:58:15.000Z,"#tıbbicihaz
#IflasinEşiğinde
#iflasınEşiğinde
Tüm bürokratları ve memurları 19 ay maaş almadan çalışmaya davet ediyorum.",,,8,30,"['tıbbicihaz', 'IflasinEşiğinde', 'iflasınEşiğinde']"
ertan_yolcu,@ertaner75,2021-08-12T18:55:10.000Z,"Sayın 
@lutfielvan
 eğer gereğini yapmazsanız #tıbbicihaz sektörü sektör çalışanları aileleri tedarikçileri için de ölenlere rahmet, yakınlarına baş sağlığı, kalanlara da geçmiş olsun mesajı yayınlamak zorunda kalacaksınız. Bu sese kulak verin #tıbbicihaz sektörü #iflasıneşiğinde",,,12,49,"['tıbbicihaz', 'tıbbicihaz', 'iflasıneşiğinde']"
Bülent Aksay,@bulentaksay33,2021-08-09T18:53:57.000Z,"İktidara sesimizi duyurarmadık bari siz #tıbbicihaz ın sesini duyun. 19 aydır para tahsil edemiyoruz 14000 firma iflasın eşiğinde lütfen siz duyun bari sesimizi. 
@kilicdarogluk
 @meral_aksener
 @herkesicinCHP
 @iyiparti
 @devapartisi
 @alibabacan
 @Ahmet_Davutoglu",,,8,36,['tıbbicihaz']
