username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Başkent Üniversitesi,@baskentunv,2021-08-07T11:18:37.000Z,"Türkiye’nin sağlık alanında kurulan ilk vakıf üniversitesinde, tescilli kalitesi ve birebir eğitim olanakları ile Tıp Eğitimi almak için doğru adres Başkent Üniversitesi  
#başkentüniversitesi #tıpfakültesi #uteak #yks21 #yks2021 #tanıtım2021 #adayöğrenciler #tıpeğitimi",,,,6,"['başkentüniversitesi', 'tıpfakültesi', 'uteak', 'yks21', 'yks2021', 'tanıtım2021', 'adayöğrenciler', 'tıpeğitimi']"
Aksaray Üniversitesi,@aksarayedutr,2021-08-12T17:32:20.000Z," Aksaray Üniversitesi Tıp Fakültesi
Spor ve Sağlık Alanında İhtisaslaşan #ASÜsenibekliyor

Aday Öğrenci Sayfası
http://tanitim.aksaray.edu.tr

#NedenASÜ #YKS2021 #TıpFakültesi #Tıp #Tercih2021 #Üniversite 
@ProfYusufSahin","1:15
366 views",,14,26,"['ASÜsenibekliyor', 'NedenASÜ', 'YKS2021', 'TıpFakültesi', 'Tıp', 'Tercih2021', 'Üniversite']"
Marmara Tıp‘a Dair,@marmaratipadair,2021-08-06T13:05:50.000Z,"İntörn Doktorlarımızdan Ece Çalışan bizim için Marmara Üniversitesi Tıp Fakültesi Hastanesindeki 1 gününü videoya aldı! #marmaratıp #tıpfakültesi
İntörn Dr. Ece Çalışan ile Marmara Üniversitesi Tıp Fakültesi Hastanesi’... https://youtu.be/dNOVruccA4c 
@YouTube
 aracılığıyla",,,2,8,"['marmaratıp', 'tıpfakültesi']"
TUStere,@tustere,2021-08-07T19:18:09.000Z,"Yıkansın dokular Von Kossa ile boyansın Kalsiyumlar Kristal Beyaz ile..
O halde bekleyelim bakalım çıkmasını.. 

#tus #tusahazırlık #tıpfakültesi",,1,,2,"['tus', 'tusahazırlık', 'tıpfakültesi']"
sbuizmirtip,@sbuizmirtip,2021-08-12T07:03:04.000Z,"@sbuedutr
 @Cevdet_Erdol
 

#adayöğrenci #doğrutercih #izmirtıpfakültesi #öğrencirehberi #tercihdönemi #tercihrehberi #anadolulisesi #fenlisesi #sbu #tıpfakültesi #izmirfenlisesi #çiğlifenlisesi #aydinfenlisesi #meb #sbuedutr #bucafenlisesi #güzelbahçeanadolulisesi #izmirkızlisesi",,,,2,"['adayöğrenci', 'doğrutercih', 'izmirtıpfakültesi', 'öğrencirehberi', 'tercihdönemi', 'tercihrehberi', 'anadolulisesi', 'fenlisesi', 'sbu', 'tıpfakültesi', 'izmirfenlisesi', 'çiğlifenlisesi', 'aydinfenlisesi', 'meb', 'sbuedutr', 'bucafenlisesi', 'güzelbahçeanadolulisesi', 'izmirkızlisesi']"
ÜniAk Erzurum,@UniakErzurum,2021-08-06T10:16:59.000Z,"Üniversite adayı kardeşlerimizin geleceklerine katkı sağlamak için, ÜniAk Erzurum Teşkilatı olarak, Atatürk Üniversitesi Lisans Fakülteleri tercih kılavuzlarını hazırladık. Öğrenci kardeşlerimize başarılar dileriz. 
#TıpFakültesi #yabancıdiller #veterinerlik",Eyyüp Kadir İnan and 8 others,,1,4,"['TıpFakültesi', 'yabancıdiller', 'veterinerlik']"
sankouniversitesi,@sankouniversite,2021-08-12T12:48:05.000Z,"Tıp Fakültesi Dekanımız Prof. Dr. Salih Murat AKKIN aday öğrencilere üniversitemizi anlatıyor.

https://youtu.be/Mw92O-ti4E8

#sankouniversitesi #sanko #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu #adayöğrenci","Prof. Dr. Salih Murat AKKIN - Tıp Fakültesi Dekanı
Tıp Fakültesi Dekanımız Prof. Dr. Salih Murat AKKIN aday öğrencilere üniversitemizi anlatıyor.Akademik birimlerimizle ilgili detaylı bilgi almak için 0342 ...
youtube.com",,2,2,"['sankouniversitesi', 'sanko', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu', 'adayöğrenci']"
sankouniversitesi,@sankouniversite,2021-08-10T16:37:00.000Z,"Fizyoterapi ve Rehabilitasyon Bölümü mezunumuz Bilge DİRİL aday öğrencilere üniversitemizi anlatıyor.
https://youtu.be/_Z8sTMkXgao
#sankoüniversitesi #sanko #üniversite #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu","Bilge DİRİL - Fizyoterapi ve Rehabilitasyon Bölümü mezunu
Fizyoterapi ve Rehabilitasyon Bölümü mezunumuz Bilge DİRİL aday öğrencilere üniversitemizi anlatıyor.
youtube.com",,1,4,"['sankoüniversitesi', 'sanko', 'üniversite', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu']"
sankouniversitesi,@sankouniversite,2021-08-08T07:21:36.000Z,Bizi tüm sosyal medya hesaplarımızdan takip etmeyi unutmayın. #sankoüniversitesi #sankoüniversite #üniversite #sanko #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu #adayöğrenci #sosyalmedyahesapları,"0:42
127 views",,2,7,"['sankoüniversitesi', 'sankoüniversite', 'üniversite', 'sanko', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu', 'adayöğrenci', 'sosyalmedyahesapları']"
Erzurum Post,@Erzurumpost,2021-08-09T12:51:10.000Z,"Tıp Fakültesi, 62 öğrenciye daha kapılarını açacak https://erzurumpost.com/tip-fakultesi-62-ogrenciye-daha-kapilarini-acacak_6130.html… #Erzurum #ErzurumPost #TıpFakültesi",,,,,"['Erzurum', 'ErzurumPost', 'TıpFakültesi']"
sankouniversitesi,@sankouniversite,2021-08-09T07:06:33.000Z,"Rektörümüz Prof. Dr. Güner DAĞLI aday öğrencilere üniversitemizi anlatıyor.
https://youtu.be/IcA_KQl_pEo
#sankouniversitesi #sanko #üniversite #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu #adayöğrenci","Prof. Dr. Güner DAĞLI - SANKO Üniversitesi Rektörü
Rektörümüz Prof. Dr. Güner DAĞLI aday öğrencilere üniversitemizi anlatıyor.Akademik birimlerimizle ilgili detaylı bilgi almak için 0342 211 65 00 numaralı ...
youtube.com",,3,8,"['sankouniversitesi', 'sanko', 'üniversite', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu', 'adayöğrenci']"
sankouniversitesi,@sankouniversite,2021-08-08T12:25:29.000Z,"Hemşirelik Bölümü mezunumuz Öznur DİNÇER aday öğrencilere üniversitemizi anlatıyor.
https://youtu.be/II_7du2Tht0
#sankoüniversitesi #sankoüniversite #sanko #üniversite #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #hemşirelikbölümü","Öznur DİNÇER - Hemşirelik Bölümü
Hemşirelik Bölümü mezunumuz Öznur DİNÇER aday öğrencilere üniversitemizi anlatıyor.#sankoüniversitesi #sankoüniversite #sanko #üniversite #eğitim #sağlık ...
youtube.com",,1,1,"['sankoüniversitesi', 'sankoüniversite', 'sanko', 'üniversite', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'hemşirelikbölümü']"
PLYD,@pertevniyalden,2021-08-13T11:06:54.000Z,#pertevniyal #pertevniyalsohbetleri #plyd #ptv #pertevniyallisesi #pertevniyaltv #pertevniyallisesindenyetişenlerderneği #pertevniyaldernek #pertevniyalden #yks #tercih #engingülal #tıpfakültesi #atlasüniversitesi #asumanuğur #ayhanbilir,,,,,"['pertevniyal', 'pertevniyalsohbetleri', 'plyd', 'ptv', 'pertevniyallisesi', 'pertevniyaltv', 'pertevniyallisesindenyetişenlerderneği', 'pertevniyaldernek', 'pertevniyalden', 'yks', 'tercih', 'engingülal', 'tıpfakültesi', 'atlasüniversitesi', 'asumanuğur', 'ayhanbilir']"
hayat tercihtir,@hayattercihtir,2021-08-07T08:48:29.000Z,"Saatler 12.05’i gösterdiğinde 
@sabanozdemirr
 @ecetzns
  Prof. Dr. @denizulkearibogan ve Prof. Dr. #HikmetKoçak ile #HAYATTERCİHTİR diyeceğiz. Kaçırmayın. 
#yks2021 #tercihdönemi #meslek #gerçekbirüniversite #insanvetoplumbilimlerifakültesi #itbf #siyasetbilimi #tıpfakültesi",,,,,"['HikmetKoçak', 'HAYATTERCİHTİR', 'yks2021', 'tercihdönemi', 'meslek', 'gerçekbirüniversite', 'insanvetoplumbilimlerifakültesi', 'itbf', 'siyasetbilimi', 'tıpfakültesi']"
erdceyhan,@erdceyhan,2021-08-11T07:33:04.000Z,#business #network #world #başarı #tıp #gururkaynağı #doktor #cerrahi #bilim #teknoloji #vaka #sağlık #tıpfakültesi #Ankaraüniversitesi #yazılım #cv #iş #jobs #linkedin,"Erdinç CEYHAN on LinkedIn: #business #network #world
#business #network #world #başarı #tıp #gururkaynağı #doktor #cerrahi #bilim #teknoloji #vaka #sağlık #tıpfakültesi #Ankaraüniversitesi #yazılım #cv #iş...
linkedin.com",,,,"['business', 'network', 'world', 'başarı', 'tıp', 'gururkaynağı', 'doktor', 'cerrahi', 'bilim', 'teknoloji', 'vaka', 'sağlık', 'tıpfakültesi', 'Ankaraüniversitesi', 'yazılım', 'cv', 'iş', 'jobs', 'linkedin']"
